//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Klik
Druid of Wrath Description,Øger angrebshastigheden igennem runden så længe druiden angriber bloons.
Ball Lightning Description,"Skaber kraftfulde kuglelyn, som udspyr ekstra lyn. "
Jungle's Bounty Description,"Junglens Skatte-evne: Genererer penge ved hvert brug, og giver ekstra penge pr. bananfarm i nærheden af druiden. Kan også fange to bloons ad gangen med rænkerne."
Poplust Description,Øger angrebshastigheden og springkraften for andre druider indenfor radius. Kan sammenlægges op til 5 gange på en enkelt druide.
Superstorm Description,"Superstorm raser alle bloon-typer, som tilfører enorm skade og blæser dem væk fra udgangen."
Spirit of the Forest Description,Planter torneranker langs sporet som gør konstant skade og bonus-skade på keramiske bloons. Tornerankerne nærmest Skovens ånd gør mere skade. Den aktivere evne genererer liv og flere penge.
Avatar of Wrath Description,"Jo flere bloons der er, jo mere skade gør den!"
,
Increased Production Description,Gror 2 ekstra bananklaser pr. runde.
Long Life Bananas Description,"Bananer varer i 30 sekunder, før de rådner, i steder for 15."
EZ Collect Description,"Gør samlingsradius for bananer større, og uindsamlede bananer indsamles automatisk for halv pris. Abebanker gløder når banken er fyldt og klar til opsamling."
Greater Production Description,Gror 2 FLERE bananklaser pr. runde.
Valuable Bananas Description,Bananer er 25 % mere værd pr. klase. 
Banana Salvage Description,"Uindsamlede bananer indsamles automatisk for næsten fuld pris, og bankerne indsamler dem automatisk når de er fyldt. Taksten for tilbagesalg til farmen forøges med 10%"
Banana Plantation Description,Gror 16 bananklaser pr. runde.
Monkey Bank Description,Alle penge genereret af farmen puttes i banken og tjener 15% i rente i hver runde.
Marketplace Description,Genererer flere penge hver runde og føjer dem til din saldo. Ingen ballade.
Banana Research Facility Description,"Producerer 5 store banankasser hver runde, som hver er 300 $ værd."
IMF loan Description,"IMF-lån-evne: giver dig 10.000 $, som dog skal betales tilbage over tid."
Central Market Description,"Tjener bunkevis af penge hver runde, og handelsskibe tjener +10 % mere."
Banana Central Description,Vil du have en banan? Vi har masser af bananer!
Monkey-Nomics Description,Når du er for stor til at fejle...
Monkey Wall Street Description,Abernes handelscentrum der tjener kolossale summer og genererer liv i hver runde.
,
Sentry Gun Description,Skaber midlertidige sensormaskingeværer og indsætter dem i nærheden.
Larger Service Area Description,Skyder længere og indsætter sensormaskingeværer på et meget større område. Sensormaskingeværene har endnu større rækkevidde.
Oversize Nails Description,"Massivisering gør at søm kan springe 8 bloons på en gang, inklusive frosne. Øger også skums virkning og sensormaskingæverers effektivitet."
Faster Engineering Description,"Forøget effektivitet gør at Tekniker-aben kan producere sensormaskingeværer, skum og bloon-fælder hurtigere."
Deconstruction Description,Skud fra sømpistol og sensormaskingæverer gør ekstra skade mod MOAB-klasse-bloons og forstærkede bloons.
Pin Description,"Holder kortvarigt bloons på plads, når de træffes."
Sprockets Description,Øger angrebshastigheden på sensormaskingeværer og tekniker-aben.
Cleansing Foam Description,"Sprøjter skum som fjerner kamuflage samt regenerering, og springer bly-bloons."
Double Gun Description,To maskingeværer gør det dobbelt så sjovt.
Sentry Expert Description,Sensormaskingeværer indsættes med forskellige skadetyper baseret på dine behov.
Overclock Description,Overclock-evne: Udpeg et andet tårn til at få super-styrke i et kort stykke tid.
Bloon Trap Description,Bloonfælden fanger bloons til den er fyldt. Tøm den fyldte fælde for at få pengegevinster.
Sentry Paragon Description,Skaber super-stærke men højst uberegnelige vagterpost.
Ultraboost Description,"Ultra-tunede aber får et lille, men permanent boost, hver gang overclock bruges."
XXXL Trap Description,Kæmpe bloonfælder kan fange nogen af de største bloons…
,
Bigger Stacks Description,Producerer større bunker af søm pr. skud.
Faster Production Description,Øger produktionshastigheden hurtigt.
Long Reach Description,"Øger rækkevidden for, hvor søm kan lægges, og øger varigheden."
White Hot Spikes Description,Skærer igennem bly-bloons og frosne bloons.
Even Faster Production Description,Øger produktionshastigheden endnu mere.
Smart Spikes Description,Sømfabrikken får særlig målsøgnings-prioritet og hurtigere produktion i starten af hver runde.
Spiked Balls Description,Producerer sømkugler der gør ekstra skade mod keramiske og forstærkede bloons.
MOAB SHREDR Description,Sønderrivende motordrevne knive skærer MOAB-klasse-bloons i strimler.
Long Life Spikes Description,Søm varer meget længere og følger med én runde.
Spiked Mines Description,"Sømminer eksploderer voldsomt, når de mister alle deres søm."
Spike Storm Description,Sømstorm-evne: udspyr et tykt lag søm over hele vejen.
Deadly Spikes Description,"Ekstra farlige søm, som kan springe 2 lag pr. søm og holder en runde endnu."
Super Mines Description,"Skaber gigantiske eksploderende sømminer, som kan udslette næsten hvad som helst."
Carpet of Spikes Description,Lægger med jævne mellemrum et pig-tæppe ud over hele banen.
Perma-Spike Description,Højeffektive søm bliver næsten permanente.
,
Military Efficiency Description,Mindsker militærabers fodaftryk indenfor radius.
Magic Sciences Description,Magi-aber indenfor radius får ekstra springkraft og angrebshastighed.
Private Tuition Description,Genererer flere EP pr. runde til din helt.
Wider Influence Description,Giver akademiet en større indflydelsesradius.
Academic Network Description,Øger radius for alle akademier med denne opgradering.
Heroic Presence Description,"Helte får 15 % øget rækkevidde, mens de står indenfor akademiets radius."
M.A.S.H Description,Militærhospitalet giver ekstra liv for antal bloons sprunget.
Wizards Library Description,"Troldmænd, druider og alkymister indenfor radius kan lære op til niveau 2 i alle tre opgraderingsstier."
Heroic Academy Description,Din helts evne-nedkøling reduceres.
Military Barracks Description,"Militæraber indenfor radius får længere rækkevidde, mere springstyrke og kan sælges til en bedre pris."
Magic Arcanum Description,"Akademidimittend-evne: skaber en kraftfuld abe, hvis evner er baseret på magi-aber i nærheden."
Power Hero Development (PhD) Description,Genererer masser af EP pr. runde til din helt.
Military HQ Description,"Militæraber alle steder får en enorm rækkevidde, springstyrke og skadebonusser."
Nexus Crucible Description,"Akademidimittender, der er skabt efter evne, er permanente!"
Dynamic Duo Description,Giver dig mulighed for at få en helt mere!
,
Bigger Radius Description,Øger landsbyens indflydelsesradius.
Grow Blocker Description,"Forhindrer regenererende bloons i at virke, mens de er indenfor landsbyens radius."
Monkey Business Description,Giver 10% rabat på alle aber og opgraderer niveau 3 og lavere købt indenfor radius af landsbyen.
Jungle Drums Description,Øger angrebshastigheden for alle aber indenfor radius.
Radar Scanner Description,Alle aber indenfor radius kan se camo-bloons.
Monkey Commerce Description,"Giver yderligere 5% rabat, som kan kombineres med op til 2 andre landsbyer i denne opgradering."
Primary Training Description,"Alle primære aber indenfor radius får øget rækkevidde, springkraft og projektilhastighed."
Monkey Intelligence Bureau Description,"Efterretningstjenesten yder særlige springkundskaber, der gør, at alle aber i nærheden kan springe alle bloon-typer."
Monkey Town Description,Alle aber inden for radius af Abebyen får ekstra penge for hvert bloon spring.
Primary Mentoring Description,"Alle primære aber inden radius får gratis niveau 1 opgradering, samt øget rækkevidde og reduceret evne-nedkøling."
Call to Arms Description,Samlingsskrigs-evne: Giver aber i nærheden +50% angrebshastighed og springkraft i et kort stykke tid.
Monkey City Description,"Øger indflydelsesradius, pengegenerering indenfor radius, og giver dig en gratis dartabe i hver runde."
Primary Expertise Description,"Giver Mega-ballista angreb, og alle primære aber indenfor rækkevidde får mere springkraft, reduceret evne-nedkølingstid, og niveau 1 og 2 opgraderinger gratis."
Homeland Defense Description,Evnen giver øget angrebshastighed og springkraft på 100% for alle aber i 20 sekunder.
Monkeyopolis Description,"Absorberer alle bananfarme i nærheden samt deres indkomst, så der gøres plads til nye aber."
,
//Ability Names,
Super Monkey Fan Club Ability,Superabe-fanklub
Plasma Monkey Fan Club Ability,Plasma-abe-fanklub
Turbo Charge Ability,Turboladning
Perma Charge Ability,Perma-ladning
MOAB Assassin Ability,MOAB-snigmorder
MOAB Eliminator Ability,MOAB-eliminator
Blade Maelstrom Ability,Klingemalstrøm
Super Maelstrom Ability,Super malstrøm
Snowstorm Ability,Snestorm
Absolute Zero Ability,Absolut nulpunkt
Glue Strike Ability,Limangreb
Glue Storm Ability,Limstorm
Supply Drop Ability,Forsyningsnedkastning
Elite Sniper Ability,Elite-forsyningsnedkastning
Elite Defender Ability,Elite-forsvarer
First Strike Capability Ability,Slå først
Pre-emptive Strike Ability,Forebyggende angreb
Monkey Pirates Ability,MOAB-nedbringning
Pirate Lord Ability,Pirathersker
Ground Zero Ability,Ground Zero
Tsar Bomba Ability,Tsar-bombe
Support Chinook Redeploy Ability,Genindsæt støttehelikopter
Support Chinook Supplies Ability,Forsyninger fra støttehelikopter
Special Poperations Ability,Special springstyrker
Pop and Awe Ability,Spring og bring
Rocket Storm Ability,Raketstorm
Mauler Storm Ability,Mukkert-storm
Summon Phoenix Ability,Hidkald Fugl Fønix
Wizard Lord Phoenix Ability,Troldmandsmester Fønix
Soulbind Ability,Mørkets Fyrste
Tech Terror Ability,Udslettelse
The Anti-Bloon Ability,Anti-bloonen
Legend of the Night Ability,Nattens legende
Bloon Sabotage Ability,Sabotage
Grand Saboteur Ability,Ærkesabotør
Transforming Tonic Ability,Transformerende Tonikum
IMF loan Ability,IMF-lån
Monkey-Nomics Ability,Abe-konomi
Overclock Ability,Tuning
Spike Storm Ability,Sømstorm
Carpet of Spikes Ability,Sømtæppe
Magic Arcanum Ability,Akademidimittend
Call to Arms Ability,Kalde til våben
Homeland Defense Ability,Hjemmeværn
,
//Ability Descriptions,
Super Monkey Fan Club Ability Description,Laver op til 10 dart-aber i nærheden om til superaber i 10 sekunder.
Plasma Monkey Fan Club Ability Description,Elite-medlemsskab af denne klub giver dart-aberne endnu mere slagkraft!
Turbo Charge Ability Description,Får denne abe til at angribe utroligt hurtigt de næste 10 sekunder.
Perma Charge Ability Description,Får denne abe til at gøre ekstra skade de næste 15 sekunder.
MOAB Assassin Ability Description,"Særlige missiler affyres, som gør enorm skade mod MOAB-klasse-bloons."
MOAB Eliminator Ability Description,Snigmorder-evne gør 6x skade med kortere nedkøling.
Blade Maelstrom Ability Description,Dækker området med en storm af klinger.
Super Maelstrom Ability Description,"Endnu kraftigere malstrøm-evne, som varer længere."
Snowstorm Ability Description,Fryser kortvarigt alle bloons på skærmen.
Absolute Zero Ability Description,"En evne så kold, at den fryser alle bloons-typer - også dem der er immune og MOAB-klasse-bloons."
Glue Strike Ability Description,Limer alle bloons på skærmen.
Glue Storm Ability Description,Limstorm-evne bombarderer hele skærmen med lim i 10 sekunder.
Supply Drop Ability Description,Kaster en kasse fuld af penge ned.
Elite Sniper Ability Description,Forsyningsnedkastning giver flere penge.
Elite Defender Ability Description,Et mistet liv giver kortvarigt denne snigskytte 2x angrebshastighed til at hævne sig.
First Strike Capability Ability Description,Et altødelæggende missilangreb mod den største bloon på skærmen. Smadrer op til en ZOMG-bloon på én gang - eller mange mindre bloons.
Pre-emptive Strike Ability Description,"Udløser automatisk et ekstra anti-MOAB missil, når en MOAB-klasse-bloon viser sig ved indgangen."
Monkey Pirates Ability Description,Griber fat i en MOAB-klasse-bloon og trækker den ned.
Pirate Lord Ability Description,"Kan affyre 3 entrehager på én gang og plyndre ekstra penge fra hver MOAB-klasse-bloon, der bringes ned med dem."
Ground Zero Ability Description,Øger effektiviteten af bombninger. Ground Zero evne: nedkaster en kæmpe bombe som ødelægger næsten alt på skærmen.
Tsar Bomba Ability Description,"En meget, meget stor bombe. En eller anden, stop denne galskab!"
Support Chinook Redeploy Ability Description,Kan samle de fleste abe-typer op og placere dem andetsteds.
Support Chinook Supplies Ability Description, Nedkaster kasser fulde af liv og penge.
Special Poperations Ability Description,Indsætter en kraftfuld special abe-marinesoldat med et maskingevær.
Pop and Awe Ability Description,"Dækker hele skærmen med eksplosioner, som springer og immobiliserer alle bloons i et par sekunder."
Rocket Storm Ability Description,Sender en kraftfuld storm af raketter i alle retninger.
Mauler Storm Ability Description,Hvert missil gør enorm skade mod MOAB-klasse-bloons.
Summon Phoenix Ability Description,Kraftfuld Fugl Fønix der skaber ødelæggelse i 20 sekunder.
Wizard Lord Phoenix Ability Description,Troldmandsmesteren bliver en flammens hersker og forvandles kortvarigt til en kraftfuld Lava Fønix.
Soulbind Ability Description,Genopliv endnu stærkere bloon-tjenere for at tilintetgøre fjenden.
Tech Terror Ability Description,Ødelægger totalt de fleste bloons indenfor trykbølgen.
The Anti-Bloon Ability Description,<Programdirektiv> <Udslet bloons> <IGANGSÆT>
Legend of the Night Ability Description,"Vi sætter vor lid til ham, når alt håb er ude..."
Bloon Sabotage Ability Description,Mens sabotagen står på vil alle bloons bevæge sig med nedsat hastighed.
Grand Saboteur Ability Description,"Evnens varighed forøges, og MOAB-klasse-bloons har mindre liv, mens sabotagen står på."
Transforming Tonic Ability Description,Farme i nærheden af druiden tjener kortvarigt 50 % flere penge.
IMF loan Ability Description,"Giver dig 10.000 $, som dog skal betales tilbage over tid."
Monkey-Nomics Ability Description,Når du er for stor til at fejle...
Overclock Ability Description,Gør at en abe får super-styrke i et kort stykke tid.
Spike Storm Ability Description,Udspyr et tykt lag søm over hele vejen.
Carpet of Spikes Ability Description,Lægger et tæppe med søm over hele sporet i hver runde.
Magic Arcanum Ability Description,"Skaber en kraftfuld abe, hvis evner er baseret på magi-aber i nærheden."
Call to Arms Ability Description,Giver alle aber i nærheden DOBBELT angrebshastighed og springstyrke i 10 sekunder.
Homeland Defense Ability Description,Evne berører ALLE aber og varer i 15 sekunder.
,
//Maps,
TownCentre,Bymidte
Tutorial,Abelund
TreeStump,Træstub
InTheLoop,I indercirklen
BTD1,BTD1
Cubism,Kubisme
FourCircles,Fire cirkler
Cracked,Brudt
Hedge,Hæk
Streambed,Flodleje
MonkeysInSpace,Aber i rummet
Underground,Undergrund
AnotherBrick,Endnu en mursten
#ouch,#Av
EndOfTheRoad,Rejsens ende
Chutes,Rutsjebaner
Rake,Rive
OffTheCoast,Ved kysten
MuddyPuddles,Mudderpøle
ParkPath,Parksti
Logs,Træstammer
TestMap,Testbane
Cornfield,Majsmark
SpiceIslands,Krydderøer
FiringRange,Skydebane
HighFinance,Højfinans
Downstream,Nedstrøms
DarkCastle,Det Mørke Slot
FrozenOver,Frosset over
Haunted,Hjemsøgt
Quad,Gårdsplads
MoonLanding,Månelanding
AlpineRun,Alpint
Peninsula,Halvø
,
//Tower Groups,
Primary,Primær
Military,Militær
Magic,Magi
Support,Støtte
Heroes,Helte
Powers,Kræfter
,
//Misc,
Crit,Kritisk
,
//Target Types,
TT_Close,Nær
TT_First,Første
TT_Last,Sidste
TT_Strong,Stærk
TT_Track,Normal
TT_Circle,Cirkel
TT_CloseTrack,Nær
TT_CustomPath,Brugertilpasset sti
TT_Elite,Elite
TT_FarTrack,Fjernt
TT_FigureInfinite,Uendelig-mønster
TT_FigureEight,Ottetals-mønster
TT_FollowTouch,Følg berøring
TT_LockInPlace,Lås på plads
TT_NecromancerTarget,Åndemanermål
TT_OffsetTrack,Forskyd vej
TT_PatrolPoints,Patruljepunkter
TT_Pursuit,Jagt
TT_RandomPosition,Tilfældig plads
TT_RandomTarget,Tilfældigt mål
TT_SmartTrack,Klogt
TT_Submerge,Under vand
TT_CloseSharedRange,Luk delt rækkevidde
TT_ExpensiveFriendlyTarget,Dyrt venligt mål
TT_FirstSharedRange,Første delte rækkevidde
TT_FriendlyTarget,Venligt mål
TT_Grapplable,Kan gribes
TT_TargetIndependant,Mål uafhængigt
TT_TargetInFront,Mål foran
TT_LastSharedRange,Sidste delte rækkevidde
TT_TargetMoab,Målsæt MOAB
TT_TargetOpposite,Målsæt modsat
TT_TargetPointer,Målindikator
TT_SetTarget,Sæt mål
TT_StrongSharedRange,Stærk delt rækkevidde
TT_TargetTag,Målmarkør
TT_TrackOrDefault,Følg eller standard
TT_Centered,Centreret sti
,
//Currency,
Cash,Penge
XP,EP
Monkey Money,Abepenge
Free,Gratis
,
Round,Runde
Max Tier Reached,Maks. niveau nået
Empty,Tom
Not Upgraded,Ikke opgraderet
Owned,Ejet
Max Upgrades,Maks. opgraderinger
Deployed Message,{0} indsat
,
//UI Misc,
OK,OK
Cancel,Annullér
Start,Start
Return To Menu,Menu
Freeplay,Frit spil
Continue,Fortsæt
Done,Udført
Try Again,Prøv igen
Continue?,Fortsæt?
,
Rewards,BELØNNINGER:
Change Hero,Skift helt
Select a Hero,Vælg en helt
Select a Map,Vælg en bane
Selected,Valgt
Select a Hero Subheading,"Din helt er en kraftfuld abe, som leder dine tropper i kamp."
Select Language,Vælg sprog
Unlock All,LÅS ALLE OP
Upgrade Ingame cost,Pris i spillet
Loading,Indlæser...
,
Defeat,Nederlag
Defeat Message,Prøv igen på en lavere sværhedsgrad
Victory,Sejr
Victory Message,Du stoppede de slemme bloons
,
,
//ModeSelectScreen,
Select a Mode,Vælg en tilstand
Mode Standard,Standard
Mode MilitaryOnly,Kun militær
Mode Apopalypse,Aprikkalypse
Mode Reverse,Omvendt
Mode Sandbox,Sandkasse
Mode PrimaryOnly,Kun primær
Mode Deflation,Luftudslip
Mode Half Cash,Halv Penge
Mode DailyChallenge,Daglig udfordring
,
//GameTypeScreen,
Choose a Game,Vælg et spil
New Game,Nyt spil
Daily Challenge,Daglig udfordring
Co-op,Samarbejde
Random,Tilfældigt
,
//HomeScreen,
HS Monkeys,ABER
HS Heroes,HELTE
HS Play,SPIL
HS Powers,KRÆFTER
HS Knowledge,KUNDSKAB
,
//In game screens,
Upgrades,Opgraderinger
Sell,Sælg
Get More,Hent mere
,
// PauseMenu ,
Controls,Betjening
Drag & Drop,Træk og slip
Lock & Drop,Lås og slip
Line of Sight,Indenfor synsvidde
Continuous Play,Kontinuerligt spil
Off,Slået fra
Store,Butik
Home,Hjem
Restart,Genstart
You ran out of lives on:,Du løb tør for liv:
Game Over Round,Tillykke! Du gennemførte denne bane på: {0}
Victory Body,Tillykke! Du gennemførte denne bane på: {0}
,
// LinK,
Log out,Log ud
Clear Data,Ryd data
Login,Log på
Not logged into LiNK,Ikke logget på LiNK
Logged into LiNK as,Logget på LiNK som {0}
,
// Map Difficulty,
MD Beginner,Begynder
MD Intermediate,Øvet
MD Advanced,Avanceret
MD Expert,Ekspert
MD Extreme,Ekstrem
,
//Tower Specific Messages,
Patrol Message,[I] for at sætte kontrolpunkt
Sun Temple Title,Tempeloffer
Sun Temple Body,Templet forlanger et offer. Alle tårne i nærheden ødelægges for at forstærke templets utrolige kraft på forskellige måder. Nu er du advaret...
True Sun Temple Title,Tempeloffer
True Sun Temple Body,Ønsker du at hidkalde den \nSANDE SOLGUD!!??
Heli Pilot Redeploy Message,Træk og slip et tårn for at omplacere det
Heli Pilot Redeploy Message Banned,Kan ikke omplacere dette tårn
Select a tower to Soulbind,Vælg et tårn at sjælebinde
Select Point,Vælg et punkt
Select a tower to link,"Vælg et tårn, der skal forbindes"
Cannot link to this tower,Kan ikke forbinde til dette tårn
Tower is already linked,Tårn er allerede forbundet
Tower must have an ability,Tårnet skal have en gyldig evne
Unlink,Fjern forbindelse
,
//Upgrades Screen,
Unlock Message,Lås op for:
XP To Spend,Du har {0} EP at bruge af:
,
//Tower screen,
Unlock Hero,Lås op for niveau
Max Level Hero,Maks. niveau nået!
,
//Hero Screen,
InGame Cost,Pris i spillet: {0} $
,
//Knowledge Screen,
Knowledge Requirement,Kræver mindst {0} flere point indsat i {1}
,
//Removables,
Removable Cost,Fjern for {0} $
,
// Powers Select Screen,
Select a Power,Vælg en kraft
Add For:,Tilføj for:
,
// Achievements screen,
Achievements,Præstationer
Rewards:,Belønninger:
,
//Debug Options,
Set Health,Bestem liv
Set Health Description,Indtast en ny værdi som den nye livsværdi
Set Cash,Bestem penge
Set Cash Description,Indtast en ny værdi som den nye pengeværdi
,
//Difficulty,
Easy,Nem
Medium,Mellem
Hard,Svær
Impoppable,Uspringelig
Sandbox,Sandkasse
Easy Description,"På nemme baner koster aber mindre end normalt, bloons flyver lidt langsommere, og du har 200 liv. Når du gennemfører runde 40 på Nem, vinder du en bronzemedalje for den bane."
Medium Description,"På mellem baner koster aber normalpris, bloons flyver med normal hastighed, og du har 150 liv. Når du gennemfører runde 60 på Mellem, vinder du en sølvmedalje for den bane."
Hard Description,"På Svære baner koster aber mere end normalt, du starter på runde 3, bloons flyver lidt hurtigere, og du har 100 liv. Når du gennemfører runde 80 på Svær vinder du en guldmedalje for den bane."
Impoppable Description,"På Uspringelige baner koster aber meget end normalt, du starter på runde 6, bloons flyver hurtigere, og du har 1 liv. Når du gennemfører runde 100 på Uspringelig vinder du en platinmedalje for den bane."
Sandbox Description,"På Sandkassebaner koster aber normalpris, bloons flyver med normal hastighed, og du har uendeligt antal liv og penge."
,
,
,
,
,
//Popup Screens,
Unlock All Title,Lås op for alle opgraderinger
Unlock All Body,Lås op for alle opgraderinger for {0} EP.
Not Enough Cash Title,Ikke penge nok
Not Enough Cash Body,Spring flere bloons for at få flere penge.
Not Enough XP Title,Ikke EP nok
Not Enough XP Body,"Du skal bruge {0} EP.\nTårne tjener EP, hver gang en runde afsluttes."
Already Own Upgrade Title,Opgradering ejes allerede
Already Own Upgrade Body,Du ejer allerede denne opgradering.
Locked Title,Opgradering låst
Locked Body,"Du skal købe den foregående opgradering, før du kan købe denne."
Quit Title,Afslut
Quit Body,"Er du sikker på, at du vil ud af prøvebanen?"
Continue Saved Game Title,Fortsæt seneste gemte spil?
Continue Saved Game Body,"Ønsker du at fortsætte fra runde {0} på {1}, hvor du spiller i {2} tilstand på sværhedsgraden {3}?"
Continue Saved Game Okay,Indlæs gemt spil
Continue Saved Game Cancel,Nyt spil
,
,
//Hero Messages,
Generic Hero Message,Brug for hjælp?
,
//Tutorial,
Welcome Title,Velkommen til Bloons™ Tower Defense 6
Welcome Title Partial,Velkommen til
Welcome Body,Et episk eventyr om aber mod bloons
Town Trouble Title,Velkommen til Bloons™ Tower Defense 6
Town Trouble Body,Bloons'ene har basat din by!
Town Trouble Button,Tag den tilbage
Bloon Entry,Stop bloons'ene fra at bryde igennem!
Bloon Outro,...og prøv at flygte herfra.
Place First Tower,Placer en dart-abe for at starte.
Place Second Tower,Placer en dart-abe mere og [I] Spil
Press Go,Klar? [I] START!
Finished Round One,"Det var da let, ikke? [I] Spil for at starte den næste runde "
Earning Experience,Dine aber optjener EP ved at springe bloons.
Unlocking Upgrades,Dine dart-aber har nok til at låse op for en opgradering
Upgrade Details,Hver abe-type har 5 opgraderinger fordelt på 3 stier. Lås en af dem op nu.
Upgrade Complete,Fabelagtigt! Du kan nu opgradere dine eksisterende aber med den opgradering.
Select Monkey,"Du har låst op for en ny opgradering, men du har endnu ikke givet den til aberne i spillet. Tryk på en abe nu."
Select Upgrade,Vælg nu den oplåste opgradering for at købe og udruste din abe med den.
Hero Title,Helte!
Quincy Intro,Brug for hjælp?
Hero Info,"Quincy er en helte-abe, som selv opgraderer i løbet af spillet. Han kan springe adskillige bloons pr. skud."
Last Round,Én runde tilbage!
Next Map Title,Godt klaret!
Next Map Description,De flygter. Hop nu over til det der store træ!
Next Map Button,Kom så
Big Tree Title,Stort træ
Big Tree Description,"Dette træ blokerer dine abers synsvinkel, så placer dem omhyggeligt. Nogle aber kan skyde over forhindringer."
Big Tree Victory Title,En sidste anstrengelse...
Big Tree Victory Description,Sejren er nær. Pres ind mod bymidten!
Big Tree Victory Button,Kom så
Town Centre Title,Bymidte
Town Centre Description,Knus alle bloons'ene og red din by.
Town Centre Victory Description,Vi gjorde det!
Home Description,Velkommen hjem
Xp Reminder Title,Glem ikke!
Xp Reminder Description,Glem ikke at bruge dine EP til at låse op for flere opgraderinger til dine aber.
Lose Tutorial Title,Hov!
Lose Tutorial Description,Du løb tør for liv! Prøv igen. Prøv at placere flere aber nær vejen eller køb flere opgraderinger.
Select a Monkey,Vælg en abe
Earning Experience Title,Låser opgraderinger op
Unlocking Upgrades Title,Låser opgraderinger op
Next,Næste
,
//Loading Messages,
Loading Message 0,Inspicerer Hieroglyffer...
Loading Message 1,Træner aber...
Loading Message 2,Forbereder dartpile...
Loading Message 3,Puster bloons op...
Loading Message 4,Indsamler bananer...
Loading Message 5,Holder pause...
Loading Message 6,Slår græsset...
Loading Message 7,Slipper Abe Cthulhu løs...
Loading Message 8,Vækker Solguden...
Loading Message 9,Hidkalder helte...
Loading Message 10,Downloader nyt indhold
Internet Connection Required Message,Internetforbindelse kræves for at downloade nyt indhold. Tjek venligst forbindelsen. Prøver igen...
,
// Achievements,
Achievement 1 Name,Uspringelig
Achievement 1 Description,Spring {0} bloons
Achievement 2 Name,MOAB-snigmorder
Achievement 2 Description,Udslet {0} MOAB'er
Achievement 3 Name,BFB-slagsbror
Achievement 3 Description,Udslet {0} BFB'er
Achievement 4 Name,ZOMGinator
Achievement 4 Description,Udslet {0} ZOMG'er
Achievement 5 Name,Vi gjorde et nummer ud af DDT
Achievement 5 Description,Udslet {0} DDT'er
Achievement 6 Name,Sappør
Achievement 6 Description,Spring {0} forstærkede Bloons eller MOAB-klasse. Undgå insta-kills og bloon-svækkelse for maksimal virkning.
Achievement 7 Name,Første sejr
Achievement 7 Description,{0} sejr på en ikke-prøve Begynder-bane
Achievement 8 Name,Nybegynder
Achievement 8 Description,Vind på {0} forskellige Begynder-baner
Achievement 9 Name,Næste niveau
Achievement 9 Description,Vind {0} spil på en Øvet-bane
Achievement 10 Name,Hjælper
Achievement 10 Description,Vind spil på {0} forskellige Øvet-baner
Achievement 11 Name,Avanceret spiller
Achievement 11 Description,Vind {0} spil på en Avanceret-bane
Achievement 12 Name,Ekstrem spiller
Achievement 12 Description,Vind {0} spil på en Ekstrem-bane
Achievement 13 Name,Stor abe
Achievement 13 Description,Placer et abetårn på niveau 4
Achievement 14 Name,Mega abe
Achievement 14 Description,Placer et abetårn på niveau 5
Achievement 15 Name,Heltetid
Achievement 15 Description,Placer en helt på en ikke-prøve bane
Achievement 16 Name,Aktivering af heltekræfter
Achievement 16 Description,Brug en helteevne på niveau 3
Achievement 17 Name,"Større, slemmere"
Achievement 17 Description,Brug en helteevne på niveau 10
Achievement 18 Name,Episk helt
Achievement 18 Description,Få en helt op til niveau {0}
Achievement 19 Name,Abehævner-liga
Achievement 19 Description,Vind et spil for {0} forskellige helte
Achievement 20 Name,Kraften er med dig
Achievement 20 Description,Brug kræfter for første gang
Achievement 21 Name,Kraft-kanaliserer
Achievement 21 Description,Brug kræfter {0} gange
Achievement 22 Name,Kraftkarl
Achievement 22 Description,Brug kræfter {0} gange
Achievement 23 Name,Studerende
Achievement 23 Description,Brug dit første abekundskabspoint
Achievement 24 Name,Student
Achievement 24 Description,Brug {0} abekundskabspoint
Achievement 25 Name,Dr. Abe
Achievement 25 Description,Brug 106 abekundskabspoint
Achievement 26 Name,Første aber først
Achievement 26 Description,Vind {0} spil kun ved brug af primære aber
Achievement 27 Name,Krigsaber
Achievement 27 Description,Vind {0} spil kun ved brug af militæraber
Achievement 28 Name,Abekadabe
Achievement 28 Description,Vind {0} spil kun ved brug af magi-aber
Achievement 29 Name,Ubesungede aber
Achievement 29 Description,Vind {0} spil kun ved brug af støtteaber
Achievement 30 Name,Oppustet
Achievement 30 Description,Klar runde {0} i Luftudslip-tilstand
Achievement 31 Name,Overlever
Achievement 31 Description,Klar runde {0} i Dommedags-tilstand
Achievement 32 Name,Indie
Achievement 32 Description,Vind {0} spil med Alternative bloons-runder
Achievement 33 Name,Springbar
Achievement 33 Description,Vind {0} spil på sværhedsgraden Uspringelig
Achievement 34 Name,Nøjsom
Achievement 34 Description,Vind {0} spil i Halv-penge-tilstand
Achievement 35 Name,Bloonzilla!
Achievement 35 Description,Vind {0} spil mod MOAB'er med dobbelt liv
Achievement 36 Name,Omvender
Achievement 36 Description,Vind et spil i Omvendt-tilstand
Achievement 37 Name,Medaljehøster
Achievement 37 Description,Vind alle medaljerne for en bane
Achievement 38 Name,Dekoreret krigshelt
Achievement 38 Description,Opnå 36 sværhedsmedaljer på begynderbaner.
Achievement 39 Name,Rødt og blåt blandet giver...
Achievement 39 Description,Spring {0} lilla bloons
