//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Kliknij
Primary Mentoring Description,"Wszystkie podstawowe małpki w promieniu otrzymują ulepszenia rzędu 1 za darmo, a także zwiększony zasięg i skrócony czas odnowienia umiejętności."
Call to Arms Description,Umiejętność do broni: daje pobliskim małpkom +50% do prędkości ataku i przekłuć na krótki czas.
Monkey City Description,"Zwiększa promień wpływu, generowanie gotówki w promieniu, i daje darmową małpkę z rzutką w każdej rundzie."
Primary Expertise Description,"Dodaje atak mega balista plus wszystkie podstawowe małpki w promieniu otrzymują większą siłę przekłucia, jeszcze bardziej skrócony czas odnowienia oraz darmowe ulepszenia rzędu 1 i 2."
Homeland Defense Description,Teraz umiejętność zwiększa prędkość ataku i przekłucia o 100% dla wszystkich małpek przez 20 sekund.
Monkeyopolis Description,"Pochłania wszystkie pobliskie bananowe farmy i ich przychód, zwalniając miejsce dla nowych małpek."
,
//Ability Names,
Super Monkey Fan Club Ability,Fanklub supermałpki
Plasma Monkey Fan Club Ability,Fanklub plazmowej małpki
Turbo Charge Ability,Turbodoładowanie
Perma Charge Ability,Trwałe doładowanie
MOAB Assassin Ability,Zabójca MOAB-ów
MOAB Eliminator Ability,Wyeliminować MOAB-y
Blade Maelstrom Ability,Wir ostrzy
Super Maelstrom Ability,Super wir
Snowstorm Ability,Śnieżna burza
Absolute Zero Ability,Absolutne zero
Glue Strike Ability,Kleiste uderzenie
Glue Storm Ability,Burza kleju
Supply Drop Ability,Zrzut zaopatrzenia
Elite Sniper Ability,Elitarny zrzut zaopatrzenia
Elite Defender Ability,Obrońca wyborowy
First Strike Capability Ability,Pierwszy atak
Pre-emptive Strike Ability,Atak wyprzedzający
Monkey Pirates Ability,Eliminacja MOAB-ów
Pirate Lord Ability,Lord piratów
Ground Zero Ability,Punkt zerowy
Tsar Bomba Ability,Carska bomba
Support Chinook Redeploy Ability,Chinook wspierający relokujący
Support Chinook Supplies Ability,Chinook wspierający dostawczy
Special Poperations Ability,Przekłuwacje specjalne
Pop and Awe Ability,Przekłucie i przerażenie
Rocket Storm Ability,Burza rakiet
Mauler Storm Ability,Burza zabijaki
Summon Phoenix Ability,Wezwanie Feniksa
Wizard Lord Phoenix Ability,Czarownik Feniks
Soulbind Ability,Książę ciemności
Tech Terror Ability,Anihilacja
The Anti-Bloon Ability,Anty blon
Legend of the Night Ability,Legenda nocy
Bloon Sabotage Ability,Sabotaż
Grand Saboteur Ability,Wielki sabotażysta
Transforming Tonic Ability,Tonik transformujący
IMF loan Ability,Pożyczka
Monkey-Nomics Ability,Małpko-nomia
Overclock Ability,Podkręcenie
Spike Storm Ability,Kolczasta burza
Carpet of Spikes Ability,Kolczasty dywan
Magic Arcanum Ability,Absolwent Akademii
Call to Arms Ability,Do broni
Homeland Defense Ability,Obrona ojczyzny
,
//Ability Descriptions,
Super Monkey Fan Club Ability Description,Zamienia do 10 okolicznych małpek z rzutkami w supermałpki na 10 sekund.
Plasma Monkey Fan Club Ability Description,Elitarne członkostwo w tym klubie daje małpkom z rzutkami jeszcze więcej mocy!
Turbo Charge Ability Description,"Sprawia, że ta małpka atakuje niezwykle szybko przez 10 sekund."
Perma Charge Ability Description,"Sprawia, że ta małpka zadaje dodatkowe obrażenia przez 15 sekund."
MOAB Assassin Ability Description,Specjalna rakieta wylatuje i zadaje ogromne obrażenia blonom klasy MOAB.
MOAB Eliminator Ability Description,Umiejętność zabijania zadaje 6x więcej obrażeń i ma krótkie odnowienie.
Blade Maelstrom Ability Description,Pokrywa obszar burzą ostrzy.
Super Maelstrom Ability Description,Jeszcze potężniejsza i dłużej działająca umiejętność wir.
Snowstorm Ability Description,Zamraża wszystkie blony na ekranie na krótki czas.
Absolute Zero Ability Description,"Umiejętność tak zimna, że zamraża wszystkie typy blonów, w tym odporne na zimno, i klasę MOAB."
Glue Strike Ability Description,Skleja wszystkie blony na ekranie.
Glue Storm Ability Description,Umiejętność burza kleju bombarduje cały ekran klejem na ponad 10 sekund.
Supply Drop Ability Description,Zrzuca skrzynkę pełną gotówki.
Elite Sniper Ability Description,Zrzut zaopatrzenia daje o wiele więcej gotówki.
Elite Defender Ability Description,Stracone życie daje temu snajperowi 2x szybszy atak na krótki czas odwetu.
First Strike Capability Ability Description,Niszczycielski atak rakietowy na największego blona na ekranie. Za jednym zamachem niszczy blony ZOMG i wiele mniejszych.
Pre-emptive Strike Ability Description,"Automatycznie uruchamia dodatkową rakietę anty-MOAB, gdy tylko blon klasy MOAB pojawia się w wejściu dla blonów."
Monkey Pirates Ability Description,Umiejętność eliminacja MOAB-ów: chwyta blona klasy MOAB i eliminuje go. Główny atak dodaje dwa działa więcej.
Pirate Lord Ability Description,"Może strzelać 3 hakami naraz, plądrując dodatkową gotówkę za każdego zdjętego blona klasy MOAB."
Ground Zero Ability Description,"Zwiększa efektywność zrzucanych bomb. Umiejętność punkt zerowy: zrzuca wielką bombę, która niszczy większość rzeczy na ekranie."
Tsar Bomba Ability Description,"Bardzo, bardzo duża bomba. Niech ktoś zatrzyma to szaleństwo!"
Support Chinook Redeploy Ability Description,Może podnosić i umieszczać na nowo większość typów małpek.
Support Chinook Supplies Ability Description,Zrzuca życia i skrzynie z gotówką.
Special Poperations Ability Description,Stawia potężną specjalną małpkę marine z karabinem maszynowym.
Pop and Awe Ability Description,"Spuszcza deszcz eksplozji na całym ekranie, uszkadzając i unieruchamiając na kilka sekund wszystkie blony. "
Rocket Storm Ability Description,Wysyła potężną burzę rakiet we wszystkich kierunkach.
Mauler Storm Ability Description,Każda rakieta zadaje ekstremalne obrażenia blonom klasy MOAB.
Summon Phoenix Ability Description,Potężny feniks sieje spustoszenie wśród blonów przez 20 sekund.
Wizard Lord Phoenix Ability Description,"Czarownik staje się mistrzem płomieni, zamieniając się w super potężnego Feniksa Lawy na krótki czas."
Soulbind Ability Description,Reanimuje jeszcze potężniejsze służebne blony unicestwiające wroga i wzmacniające innych nekromantów.
Tech Terror Ability Description,Niszczy kompletnie większość blonów w promieniu wybuchu.
The Anti-Bloon Ability Description,<Polecenie programu> <Pozbyć się blonów> <INICJACJA>
Legend of the Night Ability Description,"Zwracamy się do niego, gdy nie ma już nadziei…"
Bloon Sabotage Ability Description,Trwa przez 15 sekund. Podczas sabotażu wszystkie blony poruszają się z połową prędkości.
Grand Saboteur Ability Description,"Umiejętność działa dłużej, a blony klasy MOAB podczas sabotażu przywołują się z niższym zdrowiem."
Transforming Tonic Ability Description,Farmy w pobliżu druida zarabiają 50% więcej przez krótki czas.
IMF loan Ability Description,"Daje ci 10 000 $, ale z czasem musisz to spłacić."
Monkey-Nomics Ability Description,"Gdy jesteś zbyt wielki, by zawieść…"
Overclock Ability Description,Wybrana małpka staje się super naładowana na krótki czas.
Spike Storm Ability Description,Pokrywa grubą warstwą kolców całą ścieżkę.
Carpet of Spikes Ability Description,W każdej rundzie ścieli dywan z kolców na całej ścieżce.
Magic Arcanum Ability Description,"Tworzy potężną małpkę, której umiejętności bazują na pobliskich magicznych małpkach."
Call to Arms Ability Description,Daje wszystkim małpkom PODWÓJNĄ prędkość ataku i przekłucia na 10 sekund.
Homeland Defense Ability Description,Umiejętność obejmuje WSZYSTKIE małpki i trwa 15 sekund.
,
//Maps,
TownCentre,Centrum miasta
Tutorial,Małpia łączka
TreeStump,Pniak
InTheLoop,W pętli
BTD1,BTD1
Cubism,Kubizm
FourCircles,Cztery okręgi
Cracked,Przełamana
Hedge,Żywopłot
Streambed,Potok
MonkeysInSpace,Małpki w kosmosie
Underground,Pod ziemią
AnotherBrick,Kolejna cegła
#ouch,#Ała
EndOfTheRoad,Koniec drogi
Chutes,Zsypy
Rake,Grabie
OffTheCoast,Z daleka od brzegu
MuddyPuddles,Błotniste kałuże
ParkPath,Ścieżka w parku
Logs,Kłody
TestMap,Mapa testowa
Cornfield,Pole kukurydzy
SpiceIslands,Wyspy przypraw
FiringRange,Strzelnica
HighFinance,Duże pieniądze
Downstream,Z nurtem
DarkCastle,Mroczny zamek
FrozenOver,Mróz
Haunted,Nawiedzona
Quad,Czworokąt
MoonLanding,Lądowanie na Księżycu
AlpineRun,Alpejski wyścig
Peninsula,Półwysep
,
//Tower Groups,
Primary,Podstawowe
Military,Militarne
Magic,Magiczne
Support,Wsparcie
Heroes,Bohaterowie
Powers,Moce
,
//Misc,
Crit,Kryt.
,
//Target Types,
TT_Close,Bliski
TT_First,Pierwszy
TT_Last,Ostatni
TT_Strong,Mocny
TT_Track,Normalny
TT_Circle,Krąg
TT_CloseTrack,Zamknięty
TT_CustomPath,Ustalona ścieżka
TT_Elite,Elitarne
TT_FarTrack,Dalekie
TT_FigureInfinite,Znak nieskończoności
TT_FigureEight,Ósemki
TT_FollowTouch,Podążaj za dotykiem
TT_LockInPlace,Zablokuj w miejscu
TT_NecromancerTarget,Cel nekromanty
TT_OffsetTrack,Przesunięta ścieżka
TT_PatrolPoints,Punkty patrolowe
TT_Pursuit,Pościg
TT_RandomPosition,Domyślna pozycja
TT_RandomTarget,Losowy cel
TT_SmartTrack,Inteligentnie
TT_Submerge,Zanurzenie
TT_CloseSharedRange,Bliski wspólny zasięg
TT_ExpensiveFriendlyTarget,Kosztowny przyjazny cel
TT_FirstSharedRange,Pierwszy wspólny zasięg
TT_FriendlyTarget,Przyjazny cel
TT_Grapplable,Chwytalny
TT_TargetIndependant,Cel niezależny
TT_TargetInFront,Cel z przodu
TT_LastSharedRange,Ostatni wspólny zasięg
TT_TargetMoab,Celuj w MOAB-y
TT_TargetOpposite,Celuj przeciwnie
TT_TargetPointer,Wskaźnik celu
TT_SetTarget,Ustal cel
TT_StrongSharedRange,Mocny wspólny zasięg
TT_TargetTag,Znacznik celu
TT_TrackOrDefault,Ścieżka lub domyślna
TT_Centered,Wyśrodkowana ścieżka
,
//Currency,
Cash,Gotówka
XP,PD
Monkey Money,Małpia kasa
Free,Za darmo
,
Round,Runda
Max Tier Reached,Osiągnięto maksymalny rząd
Empty,Brak
Not Upgraded,Brak ulepszenia
Owned,Posiadane
Max Upgrades,Ulepszono maksymalnie
Deployed Message,{0} nadciąga
,
//UI Misc,
OK,OK
Cancel,Anuluj
Start,Start
Return To Menu,Menu
Freeplay,Wolna rozgrywka
Continue,Kontynuuj
Done,Zakończ
Try Again,Spróbuj ponownie
Continue?,Kontynuować?
,
Rewards,NAGRODY:
Change Hero,Zmień bohatera
Select a Hero,Wybierz bohatera
Select a Map,Wybierz mapę
Selected,Wybrano
Select a Hero Subheading,"Twój bohater jest potężną małpką, która prowadzi wojska do boju"
Select Language,Wybierz język
Unlock All,ODBLOKUJ WSZYSTKO
Upgrade Ingame cost,Koszt w grze
Loading,Ładowanie...
,
Defeat,Porażka
Defeat Message,Może spróbuj jeszcze raz na niższym poziomie trudności
Victory,Zwycięstwo
Victory Message,Przebrzydłe blony zostały powstrzymane
,
,
//ModeSelectScreen,
Select a Mode,Wybierz tryb
Mode Standard,Standardowy
Mode MilitaryOnly,Tylko militarne
Mode Apopalypse,Apokalipsa
Mode Reverse,Odwrócony
Mode Sandbox,Piaskownica
Mode PrimaryOnly,Tylko podstawowe
Mode Deflation,Deflacja
Mode Half Cash,Połowa kasy
Mode DailyChallenge,Dzienne wyzwanie
,
//GameTypeScreen,
Choose a Game,Wybierz grę
New Game,Nowa gra
Daily Challenge,Dzienne wyzwanie
Co-op,Kooperacja
Random,Losowo
,
//HomeScreen,
HS Monkeys,MAŁPKI
HS Heroes,BOHATEROWIE
HS Play,GRAJ
HS Powers,MOCE
HS Knowledge,WIEDZA
,
//In game screens,
Upgrades,Ulepszenia
Sell,Sprzedaj
Get More,Zdobądź więcej
,
// PauseMenu ,
Controls,Sterowanie
Drag & Drop,Przeciągnij i upuść
Lock & Drop,Przeciągnij i zablokuj
Line of Sight,Linia wzroku
Continuous Play,Rozgrywka ciągła
Off,Wył.
Store,Sklep
Home,Dom
Restart,Restart
You ran out of lives on:,Skończyły ci się życia w:
Game Over Round,Rundzie {0}
Victory Body,Gratulacje! Przechodzisz tę mapę na poziomie trudności: {0}
,
// LinK,
Log out,Wyloguj się
Clear Data,Wyczyść dane
Login,Zaloguj się
Not logged into LiNK,Brak połączenia z LiNK
Logged into LiNK as,Zalogowany do LiNK jako {0}
,
// Map Difficulty,
MD Beginner,Początkujący
MD Intermediate,Średnio zaawansowany
MD Advanced,Zaawansowany
MD Expert,Ekspert
MD Extreme,Ekstremalna
,
//Tower Specific Messages,
Patrol Message,"[I], aby wybrać punkt patrolowy"
Sun Temple Title,Ofiara dla świątyni
Sun Temple Body,"Świątynia domaga się złożenia ofiary. Wszystkie pobliskie wieże zostaną zniszczone, wzmacniając tym samym niesamowite moce świątyni na wiele rożnych sposobów. Nie mów, że cię nie ostrzegaliśmy..."
True Sun Temple Title,Ofiara dla świątyni
True Sun Temple Body,Chcesz przyzwać \nPRAWDZIWEGO BOGA SŁOŃCA!?!? 
Heli Pilot Redeploy Message,"Przeciągnij i upuść wieżę, aby postawić ją na nowo"
Heli Pilot Redeploy Message Banned,Nie można ponownie postawić tej wieży
Select a tower to Soulbind,"Wybierz wieżę, aby związać duszę"
Select Point,Wybierz punkt
Select a tower to link,"Wybierz wieżę, aby połączyć"
Cannot link to this tower,Nie można połączyć z tą wieżą
Tower is already linked,Ta wieża jest już połączona
Tower must have an ability,Wieża musi mieć poprawną umiejętność
Unlink,Odłącz
,
//Upgrades Screen,
Unlock Message,Odblokuj za:
XP To Spend,{0} PD do wydania:
,
//Tower screen,
Unlock Hero,Odblokuj poziom
Max Level Hero,Osiągnięto maksymalny poziom!
,
//Hero Screen,
InGame Cost,Koszt w grze: {0}$
,
//Knowledge Screen,
Knowledge Requirement,Wymaga zainwestowania jeszcze przynajmniej {0} pkt. w {1}
,
//Removables,
Removable Cost,Usuń za {0}
,
// Powers Select Screen,
Select a Power,Wybierz moc
Add For:,Dodaj za:
,
// Achievements screen,
Achievements,Osiągnięcia
Rewards:,Nagrody:
,
//Debug Options,
Set Health,Ustaw zdrowie
Set Health Description,"Wpisz wartość, która będzie określać nowy poziom zdrowia"
Set Cash,Ustaw gotówkę
Set Cash Description,"Wpisz wartość, która będzie określać nowy poziom gotówki"
,
//Difficulty,
Easy,Niski
Medium,Średni
Hard,Wysoki
Impoppable,Nieprzekłuwalny
Sandbox,Piaskownica
Easy Description,"Na niskim poziomie trudności małpki kosztują mniej niż normalnie, blony są nieco wolniejsze a ty masz 200 żyć. Pokonanie rundy 40 na niskim poziomie trudności wynagrodzi cię brązowym medalem."
Medium Description,"Na średnim poziomie trudności małpki mają normalne ceny, blony poruszają się z typową prędkością a ty masz 150 żyć. Pokonanie rundy 60 na średnim poziomie trudności wynagrodzi cię srebrnym medalem."
Hard Description,"Na wysokim poziomie trudności małpki kosztują więcej niż normalnie, blony są nieco szybsze, a ty masz 100 żyć i rozpoczynasz grę w rundzie 3. Pokonanie rundy 80 na wysokim poziomie trudności wynagrodzi cię złotym medalem."
Impoppable Description,"Na nieprzekłuwalym poziomie trudności małpki kosztują dużo więcej niż normalnie, blony są szybsze, a ty masz 1 życie i rozpoczynasz grę w rundzie 6. Pokonanie rundy 100 na nieprzekłuwalnym poziomie trudności wynagrodzi cię platynowym medalem."
Sandbox Description,"W trybie piaskownicy małpki mają normalną cenę, blony poruszają się z typową prędkością, a ty masz nieograniczoną ilość żyć i gotówki."
,
,
,
,
,
//Popup Screens,
Unlock All Title,Odblokuj wszystkie ulepszenia
Unlock All Body,Odblokuj wszystkie ulepszenia za {0} PD.
Not Enough Cash Title,Za mało gotówki
Not Enough Cash Body,"Przekłuj więcej blonów, aby zdobyć pieniądze."
Not Enough XP Title,Za mało PD
Not Enough XP Body,Potrzebujesz {0} PD.\nWieże zdobywają PD z każdą upływającą rundą.
Already Own Upgrade Title,Ulepszenie zdobyte
Already Own Upgrade Body,Już masz to ulepszenie.
Locked Title,Ulepszenie zablokowane
Locked Body,"Zanim kupisz to ulepszenie, najpierw musisz zakupić poprzednie."
Quit Title,Wyjście
Quit Body,Na pewno chcesz opuścić samouczek?
Continue Saved Game Title,Kontynuować z ostatniego zapisu gry?
Continue Saved Game Body,"Na pewno chcesz kontynuować od rundy {0} na {1}, grając w trybie {2} na poziomie trudności {3}?"
Continue Saved Game Okay,Wczytaj grę
Continue Saved Game Cancel,Nowa gra
,
,
//Hero Messages,
Generic Hero Message,Potrzebujesz pomocy?
,
//Tutorial,
Welcome Title,Witaj w Bloons™ Tower Defense 6
Welcome Title Partial,Witaj w
Welcome Body,epickiej przygodzie małpek przeciwko blonom
Town Trouble Title,Witaj w Bloons™ Tower Defense 6
Town Trouble Body,Blony zajęły twoje miasto!
Town Trouble Button,Odzyskaj je
Bloon Entry,Nie pozwól blonom przedrzeć się!
Bloon Outro,... i postaraj się stąd uciec.
Place First Tower,"Umieść małpkę z rzutkami, aby rozpocząć."
Place Second Tower,"Umieść małpkę z rzutkami, a następnie wciśnij [I] Graj"
Press Go,A teraz [I] Ruszamy!
Finished Round One,"Bułka z masłem, prawda? [I] Graj, aby przejść do kolejnej rundy."
Earning Experience,"Przekłuwanie blonów sprawia, że twoje małpki zdobywają doświadczenie."
Unlocking Upgrades,"Twoje małpki z rzutkami zdobyły go wystarczająco, aby odblokować ulepszenie."
Upgrade Details,Każda małpka ma 5 ulepszeń i 3 ścieżki. Odblokuj jedno już teraz.
Upgrade Complete,Świetnie! Dzięki temu ulepszeniu możesz wzmocnić swoje małpki.
Select Monkey,"Ulepszenie zostało odblokowane, ale musisz jeszcze je zastosować na małpkach na mapie. Dotknij teraz jednej z nich."
Select Upgrade,"Następnie wybierz odblokowane ulepszenie, aby je zakupić i zastosować."
Hero Title,Bohaterowie!
Quincy Intro,Potrzebujesz pomocy?
Hero Info,"Quincy jest małpim bohaterem, który ulepsza się sam w trakcie gry. Jest w stanie przekłuć jednym strzałem wiele blonów."
Last Round,Jeszcze tylko jedna runda do końca!
Next Map Title,Nieźle!
Next Map Description,Zmusiliśmy je do ucieczki. A teraz udajmy się do tego wielkiego drzewa!
Next Map Button,Chodźmy
Big Tree Title,Wielkie drzewo
Big Tree Description,"To drzewo może przesłaniać widok twoim małpkom, więc umieszczaj je z rozwagą. Niektóre małpki potrafią strzelać ponad przeszkodami."
Big Tree Victory Title,Jeszcze tylko trochę...
Big Tree Victory Description,"Zwycięstwo jest już w zasięgu, więc ruszajmy na centrum miasta!"
Big Tree Victory Button,Chodźmy
Town Centre Title,Centrum miasta
Town Centre Description,Zniszcz wszystkie blony i ocal swoje miasto.
Town Centre Victory Description,Udało się!
Home Description,Witaj w domu
Xp Reminder Title,Nie zapomnij!
Xp Reminder Description,"Pamiętaj, aby zawsze wydawać małpie punkty doświadczenia na odblokowanie nowych ulepszeń dla swoich małpek!"
Lose Tutorial Title,Ojej!
Lose Tutorial Description,Skończyły ci się życia! Spróbuj ponownie. Może umieść więcej małpek w pobliżu drogi albo kup więcej ulepszeń.
Select a Monkey,Wybierz małpkę
Earning Experience Title,Odblokowywanie ulepszeń
Unlocking Upgrades Title,Odblokowywanie ulepszeń
Next,Dalej
,
//Loading Messages,
Loading Message 0,Weryfikacja hieroglifów...
Loading Message 1,Szkolenie małpek...
Loading Message 2,Przygotowywanie rzutek...
Loading Message 3,Dmuchanie blonów...
Loading Message 4,Zbieranie bananów...
Loading Message 5,Wylegiwanie się...
Loading Message 6,Strzyżenie ogródka...
Loading Message 7,Wypuszczanie małpiego Cthulhu...
Loading Message 8,Budzenie Boga Słońca...
Loading Message 9,Przyzywanie bohaterów...
Loading Message 10,Pobieranie nowej zawartości
Internet Connection Required Message,"Do pobrania tej zawartości wymagane jest połączenie sieciowe. Proszę się upewnić, że je masz. Ponawianie próby..."
,
// Achievements,
Achievement 1 Name,Nieprzekłuwalny
Achievement 1 Description,Przekłuj {0} blonów
Achievement 2 Name,Zabójca MOAB-ów
Achievement 2 Description,Zniszcz {0} MOAB-ów
Achievement 3 Name,Awanturnik BLB
Achievement 3 Description,Zniszcz {0} BLB
Achievement 4 Name,ZOMGinator
Achievement 4 Description,Zniszcz {0} ZOMG-ów
Achievement 5 Name,Fucha z MST
Achievement 5 Description,Zniszcz {0} MST
Achievement 6 Name,Saper
Achievement 6 Description,"Przekłuj {0} blonów ufortyfikowanych albo MOAB-ów. Aby osiągnąć najlepsze wyniki, unikaj natychmiastowych zabójstw i rozbierania fortu."
Achievement 7 Name,Pierwsze zwycięstwo
Achievement 7 Description,{0} zwycięstwo poza samouczkiem na mapie dla początkujących graczy
Achievement 8 Name,Konik polny
Achievement 8 Description,Wygraj na {0} różnych mapach dla początkujących graczy
Achievement 9 Name,Następny poziom
Achievement 9 Description,Wygraj na {0} mapie dla średnio zaawansowanych graczy
Achievement 10 Name,Akolita
Achievement 10 Description,Wygraj na {0} różnych mapach dla średnio zaawansowanych graczy
Achievement 11 Name,Zaawansowany gracz
Achievement 11 Description,Wygraj na {0} mapie dla zaawansowanych graczy
Achievement 12 Name,Ekstremalny gracz
Achievement 12 Description,Wygraj na {0} mapie dla ekstremalnych graczy
Achievement 13 Name,Duża małpa
Achievement 13 Description,Postaw małpią wieżę rzędu IV
Achievement 14 Name,Megamałpa
Achievement 14 Description,Postaw małpią wieżę rzędu V
Achievement 15 Name,Czas bohaterów
Achievement 15 Description,Postaw bohatera na mapie poza samouczkiem
Achievement 16 Name,Moce bohatera aktywne
Achievement 16 Description,Użyj dowolnej mocy bohatera z poziomu 3
Achievement 17 Name,"Większy, groźniejszy"
Achievement 17 Description,Użyj dowolnej mocy bohatera z poziomu 10
Achievement 18 Name,Epicki bohater
Achievement 18 Description,Doprowadź dowolnego bohatera do poziomu {0}
Achievement 19 Name,Małpia Liga Zemsty
Achievement 19 Description,Wygraj grę z {0} różnymi bohaterami
Achievement 20 Name,Mam tę moc
Achievement 20 Description,Użyj mocy po raz pierwszy
Achievement 21 Name,Mocny użytkownik
Achievement 21 Description,Użyj mocy {0} razy
Achievement 22 Name,Uprawomocniony
Achievement 22 Description,Użyj mocy {0} razy
Achievement 23 Name,Uczeń
Achievement 23 Description,Wydaj swój pierwszy punkt małpiej wiedzy
Achievement 24 Name,Uczony
Achievement 24 Description,Wydaj {0} punktów małpiej wiedzy
Achievement 25 Name,Doktor Małpa
Achievement 25 Description,Wydaj 106 punktów małpiej wiedzy
Achievement 26 Name,Zacznijmy od podstaw
Achievement 26 Description,"Wygraj {0} gier, używając jedynie małpek podstawowych"
Achievement 27 Name,Małpy wojny
Achievement 27 Description,"Wygraj {0} gier, używając jedynie małpek militarnych"
Achievement 28 Name,Abrakadabramałpy
Achievement 28 Description,"Wygraj {0} gier, używając jedynie małpek magicznych"
Achievement 29 Name,Nieznane małpy
Achievement 29 Description,"Wygraj {0} gier, używając jedynie małpek wsparcia"
Achievement 30 Name,Nadmuchany
Achievement 30 Description,Pokonaj rundę {0} w trybie deflacji
Achievement 31 Name,Ocalały
Achievement 31 Description,Pokonaj rundę {0} w trybie apokalipsy
Achievement 32 Name,Indie
Achievement 32 Description,Wygraj na {0} mapach z rundami naprzemiennych blonów
Achievement 33 Name,Przekłuwalny
Achievement 33 Description,Wygraj {0} gier na nieprzekłuwalnym poziomie trudności
Achievement 34 Name,Skąpiradło
Achievement 34 Description,Wygraj {0} rund w trybie połowy kasy
Achievement 35 Name,Blonzilla!
Achievement 35 Description,Wygraj {0} gier na mapach z MOAB-ami mającymi 2x więcej życia
Achievement 36 Name,Odwrócenie roli
Achievement 36 Description,Wygraj grę w trybie odwróconym
Achievement 37 Name,Zdobywca medali
Achievement 37 Description,Wygraj wszystkie dostępne na mapie medale
Achievement 38 Name,Wyróżniony bohater
Achievement 38 Description,Zdobądź 36 medali za poziom trudności na mapach dla początkujących
Achievement 39 Name,Czerwony i niebieski to...
Achievement 39 Description,Przekłuj {0} fioletowych blonów
Achievement 40 Name,Podczerwony
Achievement 40 Description,Przekłuj {0} kamuflażowych blonów
Achievement 41 Name,Suma wszystkich mocy
Achievement 41 Description,Zbierz przynajmniej 12 różnych mocy
Achievement 42 Name,Zwyzywany
Achievement 42 Description,Wygraj {0} dzienne wyzwanie
Achievement 43 Name,Debiutant wyzwań
Achievement 43 Description,Wygraj {0} dziennych wyzwań
Achievement 44 Name,Mistrz wyzwań
Achievement 44 Description,Wygraj {0} dziennych wyzwań
Achievement 45 Name,Idealny tydzień
Achievement 45 Description,Wypełnij wszystkie dzienne wyzwania z danego tygodnia
Achievement 46 Name,Uczona naczelna
Achievement 46 Description,Odblokuj całą małpią wiedzę w obrębie jednej gałęzi
Achievement 47 Name,Mistrz blonów
Achievement 47 Description,Pokonaj {0} map w trybie SKiMMPS
Achievement 48 Name,Niekwestionowany mistrz blonów
Achievement 48 Description,Pokonaj {0} map w trybie SKiMMPS
Achievement 49 Name,Arcymistrz blonów
Achievement 49 Description,Pokonaj {0} map w trybie SKiMMPS
Achievement 50 Name,Badacz WSZy
Achievement 50 Description,Zniszcz {0} WSZy
Collect,Zbierz
,
//Standard Round Messages,
,
,
Hint 2,Otrzymujesz 1 szt. gotówki za przekłucie każdej warstwy blona oraz mały bonus na koniec każdej rundy.
Hint 7,"Graj regularnie w Bloons TD 6, aby mieć pewność, że zawsze masz aktualną wersję gry, wraz z najnowszymi mapami, bohaterami, wyzwaniami i innymi superaśnymi dodatkami."
Hint 12,"Im częściej używasz danej małpki, tym więcej odblokujesz dla niej ulepszeń."
Hint 26,"Widzisz te blony wyglądające jak zebra? One łączą w sobie zawziętość białych blonów z czarnymi blonami, a mają w sobie oba, tak dla hecy."
Hint 32,W rundzie 24 pojawił się jeden kamuflażowy blon. Przygotuj się na więcej!
Hint 38,"Pod koniec następnej rundy zjawią się 2 odrastające tęczowe blony. Jeśli nie zajmiesz się nimi należycie, ta dwójka może się rozmnożyć..."
Hint 39,"W następnej rundzie nadleci pierwszy blon klasy MOAB. Tylko nie mów, że cię nie ostrzegaliśmy!"
Hint 41,NADCHODZĄ: Odrastające tęczowe blony oraz kamuflażowe tęczowe blony. Szykuj się do walki!
Hint 45,Nadciągają ufortyfikowane ceramiczne blony.
Hint 50,"Sporo kamuflażowych ceramicznych blonów czeka, żeby zepsuć ci dzień. Tak tylko mówię..."
Hint 54,"BTD6 to świetna gra, ale życie też jest świetne. Dlatego pamiętaj, aby od czasu do czasu zrobić sobie przerwę. A później pograć znowu w BTD6!"
Hint 58,Możesz przekłuć ołów? Możesz przekłuć kamuflaż? A... kamuflażowy ołów?
Hint 59,"Już niebawem nastąpi ostatnia runda na średnim poziomie trudności. Gratulujemy! Oczywiście zakładając, że zdołasz przekłuć wszystkie blony BLB..."
Hint 62,"Jeśli gra BTD5 nie jest ci obca, to zapewne wiesz, jak wygląda runda 63. A jeśli to twój pierwszy raz, to ujmę to tak: bardzo dużo upakowanych ciasno ceramicznych blonów."
Hint 73,"Następna runda: kamuflażowe odrastające ufortyfikowane ceramiczne blony. Uff, co za łamaniec języka!"
Hint 77,"A co się stanie, gdy upakujesz na małej przestrzeni 75 ceramicznych blonów? Zaraz się dowiesz! "
Hint 79,"Ostatnia runda na wysokim poziomie trudności. Niech każda twoja małpka skupi się na blonie ZOMG. Jest wielki i powolny, ale też bardzo, bardzo wytrzymały."
Hint 89,"Co to ten cały blon MST? To jakby MOAB zmieszał się z różowym blonem, a później jeszcze z kamuflażowym i ceramicznym. Nic dobrego z tego nie wyszło."
Hint 100,Gratulujemy pokonania rundy 100! Zasługujesz na nagrodę!
,
//Alternate Round Messages [will comment out duplicates for now / warnings],
Alternate Hint 3,Rundy z naprzemiennymi blonami...
Alternate Hint 4,"Chyba wiesz, co oznacza „naprzemienny”, prawda?"
Alternate Hint 5,Czy tamten kamuflaż wywołał w tobie panikę?
Alternate Hint 7,Ciągle masz maksimum żyć?
