//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Clique
Achievement 26 Name,Les singes primaires en premier
Achievement 26 Description,Gagne {0} parties en n'utilisant que des singes primaires
Achievement 27 Name,Une guerre de singes
Achievement 27 Description,Gagne {0} parties en n'utilisant que des singes militaires
Achievement 28 Name,Abracadabsinge
Achievement 28 Description,Gagne {0} parties en n'utilisant que des singes magiques
Achievement 29 Name,Singes méconnus
Achievement 29 Description,Gagne {0} parties en n'utilisant que des singes d'aide
Achievement 30 Name,Gonflé
Achievement 30 Description,Remporte la manche {0} en mode Dégonflage
Achievement 31 Name,Survivant
Achievement 31 Description,Remporte la manche {0} en mode Apocalypse
Achievement 32 Name,Indé
Achievement 32 Description,Gagne {0} parties avec des manches de Bloons alternatives
Achievement 33 Name,Éclatable
Achievement 33 Description,Gagne {0} parties en difficulté Impossible à éclater
Achievement 34 Name,Économe
Achievement 34 Description,Gagne {0} parties en mode Moitié d'argent au début
Achievement 35 Name,Bloonzilla !
Achievement 35 Description,Gagne {0} parties contre des MOAB à doubles points de dégâts
Achievement 36 Name,Inverseur de rôles
Achievement 36 Description,Gagne une partie en mode Inverse
Achievement 37 Name,Médaillé d'or
Achievement 37 Description,Remporte toutes les médailles de la carte
Achievement 38 Name,Héros décoré
Achievement 38 Description,Gagne 36 médailles de difficulté au sein des cartes Débutant
Achievement 39 Name,"Rouge et bleu, ça fait du…"
Achievement 39 Description,Fais éclater {0} Bloons violets
Achievement 40 Name,Infrarouge
Achievement 40 Description,Fais éclater {0} Bloons camouflés
Achievement 41 Name,Nos pouvoirs combinés
Achievement 41 Description,Obtiens au moins 12 pouvoirs différents
Achievement 42 Name,Challenger
Achievement 42 Description,Gagne {0} défi quotidien
Achievement 43 Name,Apprenti challenger
Achievement 43 Description,Gagne {0} défis quotidiens
Achievement 44 Name,Maître challenger
Achievement 44 Description,Gagne {0} défis quotidiens
Achievement 45 Name,Semaine parfaite
Achievement 45 Description,Termine tous les défis quotidiens en une semaine
Achievement 46 Name,Primate savant
Achievement 46 Description,Débloque toutes les connaissances de singe sur une branche
Achievement 47 Name,Maître des Bloons
Achievement 47 Description,Remporte {0} carte en mode CHIMPANZÉS
Achievement 48 Name,Maître des Bloons supérieur
Achievement 48 Description,Remporte {0} cartes en mode CHIMPANZÉS
Achievement 49 Name,Maître des Bloons ultime
Achievement 49 Description,Remporte {0} cartes en mode CHIMPANZÉS
Achievement 50 Name,Super BAD
Achievement 50 Description,Détruis {0} BAD
Collect,Collecte
,
//Standard Round Messages,
,
,
Hint 2,"Tu obtiens 1 en argent pour chaque couche de Bloon éclatée, et aussi des bonus à la fin de chaque manche."
Hint 7,"Continue à jouer à Bloons TD 6 régulièrement et découvre de nouvelles mises à jour : des cartes, des héros, des défis et d'autres contenus épiques."
Hint 12,"Plus tu utiliseras certains singes, et plus tu débloqueras d'améliorations liées à leur utilisation."
Hint 26,"Tu vois ces Bloons zébrés ? Ils combinent la méchanceté des Bloons blancs et des Bloons noirs, et contiennent un de chaque, juste pour s'amuser."
Hint 32,Tu as vu un Bloon camouflé durant la manche 24. Espérons que tu sois prêt à en voir d'autres !
Hint 38,"La fin de la manche suivante contient 2 Bloons arc-en-ciel regonflés. Si tu ne t'en occupes pas bien, ces deux-là se multiplieront…"
Hint 39,Premier Bloon de classe MOAB à la prochaine manche. Ne nous dis pas qu'on ne t'a pas prévenu !
Hint 41,Ils arrivent : des Bloons arc-en-ciel pouvant se regonfler et des Bloons arc-en-ciel camouflés. Tu t'es bien préparé ?
Hint 45,Les Bloons en céramique fortifiés sont les prochains à débarquer.
Hint 50,Un grand nombre de Bloons en céramique camouflés pourraient te gâcher la journée. Je dis ça comme ça.
Hint 54,"BTD6, c'est génial. La vie, c'est aussi génial. N'oublie pas de faire une pause de temps en temps et de faire autre chose. Et puis après, joue encore plus à BTD6 !"
Hint 58,Tu sais faire éclater des Bloons en plomb ? Et des camouflés ? Et… des en plomb camouflés ?
Hint 59,"La dernière manche en difficulté Moyenne arrive. Félicitations ! Enfin, si tu arrives à faire éclater le Bloon BFB…"
Hint 62,"Si tu as déjà joué à BTD5, tu te souviens de la manche 63. Si tu découvres le jeu, disons juste que ça va être rempli de Bloons en céramique."
Hint 73,Prochaine manche : des Bloons en céramique fortifiés camouflés pouvant se regonfler. Ouah ! Un vrai nom à coucher dehors.
Hint 77,Qu'est-ce qu'il se passe quand on entasse 75 Bloons en céramique dans un tout petit endroit ? Tu es sur le point de le découvrir !
Hint 79,"Voici la dernière manche en difficulté Difficile. Jette tout ce que tu as sur le Bloon ZOMG. Il est gros, il est lent, mais il est vraiment coriace."
Hint 89,"Qu'est-ce que c'est, un Bloon DDT ? C'est comme un MOAB croisé avec un Bloon rose, un camouflé et un en plomb. Et pas en bien."
Hint 100,"Félicitations, tu as complété la manche 100 ! Amuse-toi avec ta récompense !"
,
//Alternate Round Messages [will comment out duplicates for now / warnings],
Alternate Hint 3,Manches de Bloons alternatives…
Alternate Hint 4,"Tu sais que « alternatif », ça veut juste dire plus difficile, hein ?"
Alternate Hint 5,Tu as paniqué quand tu as vu le camouflé ?
Alternate Hint 7,Encore toutes tes vies ?
Alternate Hint 8,"Euh, je me demande bien quand le premier Bloon en plomb va débarquer…"
Alternate Hint 21,C'est ce qu'on appelle une manche de « fauché »…
Alternate Hint 39,"La prochaine manche, c'est MOAB, comme d'hab… Ou pas."
Alternate Hint 59,BFB pour la prochaine manche. Ou plutôt des FBFB…
Alternate Hint 77,"La prochaine manche, ça n'est pas du gâteau…"
Alternate Hint 79,"ZOMG, pas facile…"
Alternate Hint 99,"Ça n'était pas si difficile, si ?"
Alternate Hint 100,"Félicitations, tu as complété la manche 100 ! Amuse-toi avec ta récompense !"
,
// iap ,
Max Level,Niveau maximum
Processing,Traitement
Purchased,Acheté
Purchase failed,Échec de l’achat. Vérifie ta connexion Internet et la connexion de ton système.
,
// Time,
days,jours
day,jour
hours,heures
hour,heure
minutes,minutes
minute,minute
seconds,secondes
second,seconde
,
// Store: standard,
btd6_monkeymoney,Monnaie de singe
btd6_monkeymoney Description,Une bonne poignée de monnaie de singe.
btd6_pileomonkeymoney,Tas de monnaie de singe
btd6_pileomonkeymoney Description,Un beau gros tas de monnaie de singe.
btd6_vaultomonkeymoney,Chambre forte de monnaie de singe
btd6_vaultomonkeymoney Description,Une chambre forte entière remplie à ras bord de monnaie de singe !
btd6_mountainomonkeymoney,Montagne de monnaie de singe
btd6_mountainomonkeymoney Description,Tu vas avoir besoin d'une équipe de singes sherpas pour atteindre le sommet de cette fabuleuse montagne de monnaie de singe.
btd6_towerxp,(5000) XP des singes
btd6_towerxp Description,Gagne immédiatement {0} XP pour ta tour de singe préférée !
btd6_fulltowerunlock,Déverrouillage de singe complet
btd6_fulltowerunlock Description,Déverrouille immédiatement toutes les améliorations disponibles pour une tour de singe.
btd6_doublecashmode,Mode argent doublé
btd6_doublecashmode Description,Obtiens le double d'argent à l'intérieur du jeu pour toujours ! Peut être désactivé.
btd6_knowledgeunlocked,Connaissances débloquées
btd6_knowledgeunlocked Description,Débloque les secrets des connaissances de singe ! Obtiens instantanément le rang {0} et aussi {1} points bonus de connaissances !
btd6_knowledgepoint,Point de connaissances
btd6_knowledgepoint Description,Deviens plus sage comme les singes avec ce point de connaissances.
btd6_herobooster,Boost de héros
btd6_herobooster Description,Le héros sélectionné dans ta partie devient niveau {0} jusqu'à la fin de cette partie.
btd6_powersattackpack,Pack d'attaque de pouvoirs
btd6_powersattackpack Description,Assortiment de {0} pouvoirs de singes concentrés sur les batailles.
btd6_instatowerspack,Pack de singe instantané
btd6_instatowerspack Description,"5 tours de singe, prêtes à être placées sans utiliser aucun argent du jeu ! Contient 2 de niveau 1, 2 de niveau 2 et 1 de niveau 3. Les singes au sein de chaque niveau ont les mêmes chances d'être tirés."
btd6_tier3instatowerspack,Pack de singe instantané de niveau 3
btd6_tier3instatowerspack Description,"10 tours de singe instantanées de niveau 3, prêtes à être placées sans utiliser aucun argent du jeu ! Les chances de tirer chaque singe sont les mêmes."
btd6_tier4instatowerspack,Pack de singe instantané de niveau 4
btd6_tier4instatowerspack Description,"10 tours de singe instantanées de niveau 4, prêtes à être placées sans utiliser aucun argent du jeu ! Les chances de tirer chaque singe sont les mêmes."
btd6_needmoremonkeymoneyprompt,Pas assez de monnaie de singe ! En acheter davantage ?
,
,
// Store: Limited Time Packs,
btd6_knowledgepoints,{0} points de connaissances
btd6_knowledgepoints Description,Obtiens {0} points de connaissances de singe dès maintenant !
btd6_extraTowerxp,XP de tour supplémentaire ({0})
btd6_extraTowerxp Description,Récupère {0} XP pour ta tour préférée dès maintenant !
btd6_extramonkeymoney,Monnaie de singe bonus
btd6_extramonkeymoney Description,Offre spéciale ! {0} monnaie de singe à un très petit prix.
btd6_powerspandamonium,Pandémonium de pouvoirs
btd6_powerspandamonium Description,Nos pouvoirs combinés ! {0} des meilleurs pouvoirs de singe disponibles en un seul pack.
btd6_instatowersmegabooster,Méga boost de singe instantané
btd6_instatowersmegabooster Description,"Ce méga pack contient 5 tours de singe instantanées de niveau 2, 12 tours de niveau 3 et 3 tours de niveau 4, prêtes à être placées sans utiliser aucun argent du jeu ! Les singes au sein de chaque niveau ont les mêmes chances d'être tirés."
btd6_megamonkeycompendiumpack,Pack de méga compendium de singe
btd6_megamonkeycompendiumpack Description,"Un énorme pack rempli de plein de trucs super ! 25 000 monnaie de singe, 100 pouvoirs d'attaque, 30 tours de singe instantanées de niveau 3, 15 tours de singe instantanées de niveau 4, 5 tours de singe instantanées de niveau 5, et Connaissances débloquées (Rang 30, 5 points bonus de connaissances de singe) Les singes au sein de chaque niveau ont les mêmes chances d'être tirés."
btd6_tier5instatowerpack,Pack de singe insta de niveau 5
btd6_tier5instatowerpack Description,"10 tours de singe de niveau 5, prêtes à être placées sans utiliser aucun argent du jeu ! Les chances de tirer chaque singe sont les mêmes."
,
// Store: Sale packs,
btd6_pileomonkeymoney_sale,Offre Tas de monnaie de singe
btd6_pileomonkeymoney_sale Description,Un beau gros tas de monnaie de singe.
btd6_vaultomonkeymoney_sale,Offre Chambre forte de monnaie de singe
btd6_vaultomonkeymoney_sale Description,Une chambre forte entière remplie à ras bord de monnaie de singe !
btd6_knowledgepoints_sale,{0} offre de connaissances
btd6_knowledgepoints_sale Description,Obtiens {0} points de connaissances de singe dès maintenant !
btd6_instatowersmegabooster_sale,Offre de Méga boost de singe instantané
btd6_instatowersmegabooster_sale Description,"Ce méga pack contient 5 tours de singe instantanées de niveau 2, 12 tours de niveau 3 et 3 tours de niveau 4, prêtes à être placées sans utiliser aucun argent du jeu !"
btd6_tier3instatowerspack_sale,Offre Pack de singe instantané de niveau 3
btd6_tier3instatowerspack_sale Description,"10 tours de singe instantanées de niveau 3, prêtes à être placées sans utiliser aucun argent du jeu !"
btd6_tier4instatowerspack_sale,Offre Pack de singe instantané de niveau 4
btd6_tier4instatowerspack_sale Description,"10 tours de singe instantanées de niveau 4, prêtes à être placées sans utiliser aucun argent du jeu !"
,
Restore,Restaurer
Today,Aujourd'hui
DailyRewardDay,Jour {0}
Sale Ends In,La remise expire dans : 
Offer Ends In,L'offre expire dans : 
Promo Ends In,La promotion expire dans : 
Loot.TowerXP.Title,{0} XP
Loot.Base.Description,x {0}
Loot.BaseAdd.Description,+ {0}
Loot.InstaRank.Description,Niv {0}
Loot.DoubleCashMode.Title,Mode argent doublé
Loot.FullTowerUnlock.Title,{0} tour entière débloquée
Loot.HeroBooster.Title,Boost de héros
Loot.InstaRankToLevel.Title,Rang instantané au niveau {0}
Loot.PowerPacks.Title,Packs de pouvoirs
Loot.KnowledgePoints.Title,Points de connaissances
Loot.MonkeyMoney.Title,Monnaie de singe
Loot.RandomInstaTower.Title,Singe instantané aléatoire
Loot.RandomAttackPower.Title,Pouvoir d'attaque aléatoire
Loot.RandomBestPower.Title,Meilleur pouvoir aléatoire
Loot.RandomInstaTowerTier.Title,Singe instantané de niveau {0}
,
ExistingData.Title,Données existantes trouvées
ExistingData.Message,niveau {0}\nVeux-tu conserver ces données ou les supprimer ?
ExistingData.Clear,Supprimer
ExistingData.Keep,Conserver
,
Shop.Title,Boutique
Shop.SubHeading,"Vas-y, régale-toi, tu le mérites !"
Shop.Sale,Offre
Shop.Bonus,Bonus
Claimed,Obtenu
Map,Carte
Difficulty,Difficulté
Monkeys Available:,Singes disponibles :
Go,C'est parti !
Knowledge,Connaissances
Daily Reward,Récompense quotidienne
Settings,Paramètres
Language,Langue
Events,Événements
Upgrades:,Améliorations :
Ingame cost:,Coût dans le jeu :
Select,Sélectionner
Path Closed,Chemin fermé
Store unavailable,Boutique non disponible
,
// ------------- Monkey Knowledge,
// Primary,
IncreasedLifespan,Durée de vie augmentée
IncreasedLifespanDescription,"Durée de vie de projectile augmentée pour le singe à fléchettes, le lanceur de bombes, le tireur de punaises et l'encolleur."
ExtraDartPops,Éclatement de fléchettes supplémentaires
ExtraDartPopsDescription,Les singes à fléchettes reçoivent + 1 de pouvoir perforant à chaque tir.
CheapRangs,Boomerangs bon marché
CheapRangsDescription,Coût de base pour le lanceur de boomerangs réduit de 50.
FraggyFrags,Bombes à fragmentation plus
FraggyFragsDescription,Les bombes à fragmentation reçoivent 2 fragmentations supplémentaires.
FastGlue,Colle rapide
FastGlueDescription,La vitesse d'attaque de l'encolleur est augmentée de 10 %.
IcyChill,Froid glacial
IcyChillDescription,Rayon de gel légèrement amélioré.
HardTacks,Punaises dures
HardTacksDescription,Les punaises du tireur de punaises peuvent faire éclater les Bloons gelés.
CrossbowReach,Portée d'arbalète
CrossbowReachDescription,Portée d'arbalète augmentée.
4And4,4 et 4
4And4Description,Le tir triple du singe à fléchettes reçoit 4 fléchettes tous les 4 tirs.
ForceVsForce,Force contre force
ForceVsForceDescription,La force destructrice inflige +2 dégâts par tir aux Bloons de classe MOAB.
MasterDoubleCross,Arbalètes doubles
MasterDoubleCrossDescription,Te permet d'avoir DEUX maîtres arbalétriers.
ExtraBounce,Rebond supplémentaire
ExtraBounceDescription,Améliore le ricochet du boomerang pour qu'il rebondisse jusqu'à 80 fois.
LongTurbo,Turbo long
LongTurboDescription,L'aptitude de recharge boomerang turbo dure 15 secondes.
HardPress,Super presse
HardPressDescription,La presse anti-MOAB repousse 30 % plus loin.
MegaMauler,Méga cogneur
MegaMaulerDescription,Le cogneur de MOAB inflige plus de dégâts par tir.
ViolentImpact,Impact violent
ViolentImpactDescription,L'Impact Bloon du lanceur de bombes assomme pendant 25 % plus longtemps.
BudgetClusters,Sous-munitions économiques
BudgetClustersDescription,Le coût des bombes à sous-munitions du lanceur de bombes est réduit de 100.
FastTackAttacks,Attaques de punaises rapides
FastTackAttacksDescription,La vitesse d'attaque du tireur de punaises est augmentée de 8 %.
PoppyBlades,Lames effilées
PoppyBladesDescription,L'amélioration Tireur de lame reçoit + 2 de pouvoir perforant.
BigInferno,Grand enfer
BigInfernoDescription,L'amélioration Cercle de l'enfer reçoit un rayon d'explosion + 3.
SoCold,Trop…froid…
SoColdDescription,L'amélioration Permafrost du singe de glace ralentit de 60 %.
BigCryoBlast,Grosse explosion cryo
BigCryoBlastDescription,Le canon cryo reçoit un rayon d'explosion augmenté.
Hypothermia,Hypothermie
HypothermiaDescription,La Tempête de neige gèle les Bloons plus longtemps.
MoreSplattyGlue,Plus d'éclaboussure de colle
MoreSplattyGlueDescription,L'éclaboussure de colle peut toucher un maximum de 8 Bloons par tir.
AviationGradeGlue,Colle de qualité aéronautique
AviationGradeGlueDescription,La colle anti-MOAB ralentit plus que d'habitude.
CheaperSolution,Solution moins chère
CheaperSolutionDescription,Le coût du liquéfieur de Bloons est réduit de 1 000.
BonusMonkey,Singe bonus !
BonusMonkeyDescription,Commence chaque partie avec 1 singe à fléchettes gratuit ! (Seulement 1 tour de singe gratuite par partie)
MoreCash,Plus d'argent
MoreCashDescription,L'argent de départ est augmenté de 200.
,
// Support,
FlatPackBuildings,Pack de bâtiments
FlatPackBuildingsDescription,Les bananeraies et le village coûtent 2 % moins cher et peuvent être vendus pour 2 % plus cher.
FarmSubsidy,Subvention de bananeraie
FarmSubsidyDescription,La première bananeraie de chaque partie coûte 100 de moins.
MoreValuableBananas,Plus de bananes extra
MoreValuableBananasDescription,L'amélioration de bananes extra augmente jusqu'à 30 %.
VigilantSentries,Sentinelles vigilantes
VigilantSentriesDescription,Les tourelles sentinelles durent plus longtemps que la normale.
OneMoreSpike,Une herse de plus
OneMoreSpikeDescription,Les tas de l'usine de herses reçoivent + 1 herse.
GlobalAbilityCooldowns,Temps de recharge d'aptitudes général
GlobalAbilityCooldownsDescription,Tous les temps de recharge d'aptitudes pour tous les singes sont réduits de 3 %.
EliteTutors,Tuteurs d'élite
EliteTutorsDescription,Génère + 15 XP en plus par manche pour ton héros.
InsiderTrades,Transactions d'initiés
InsiderTradesDescription,La remise des singeries est augmentée de 2 %.
BiggerBanks,De plus grosses banques
BiggerBanksDescription,Les banques simiesques peuvent conserver 2 500 de monnaie supplémentaire.
BackroomDeals,Accords en coulisse
BackroomDealsDescription,Le prêt du FMI prête 1 000 $ de plus et le taux de remboursement est fixé à 40 %.
ThickerFoams,Mousse plus épaisse
ThickerFoamsDescription,La mousse nettoyante peut toucher 3 Bloons supplémentaires avant d'expirer.
BigTraps,Gros pièges
BigTrapsDescription,Le piège à Bloons peut contenir 30 EBR de plus.
BetterSellDeals,Meilleures ventes
BetterSellDealsDescription,Tous les singes se vendent pour 5 % de plus.
VeryShreddy,Très broyant
VeryShreddyDescription,Les pointes du broyeur de MOAB font + 1 de dégâts en plus pour les Bloons de classe MOAB.
HiValueMines,Mines à valeur élevée
HiValueMinesDescription,Le coût des mines pointues est réduit de 1 500.
LongGraduation,Diplôme plus long
LongGraduationDescription,Le diplômé d'académie dure plus longtemps.
InlandRevenueStreams,Sources de revenu intérieur
InlandRevenueStreamsDescription,Le bonus d'argent de la ville des singes est augmenté de 10 %.
ToArms,Aux ARMES !
ToArmsDescription,Durée de l'appel aux armes augmentée de 3 secondes.
VeteranMonkeyTraining,Formation de singe vétéran
VeteranMonkeyTrainingDescription,Tous les temps de rechargement des singes sont réduits de 3 %.
MonkeyEducation,Éducation simiesque
MonkeyEducationDescription,Taux de revenu d'XP de tous les singes augmenté de 8 %.
,
// Military,
AdvancedLogistics,Logistique avancée
AdvancedLogisticsDescription,Coûts de base de tous les singes militaires réduits de 5 %.
GunCoolant,Liquide de refroidissement des armes
GunCoolantDescription,Attaque des singes pilotes d'élite 10 % plus rapide.
CeramicShock,Choc de céramique
CeramicShockDescription,Les tirs des snipers sur les Bloons en céramique les ralentissent brièvement.
NavalUpgrades,Améliorations navales
NavalUpgradesDescription,Le singe boucanier et le sous-marin singe reçoivent + 1 pouvoir perforant par tir.
TradeAgreements,Accords commerciaux
TradeAgreementsDescription,Les navires de commerce génèrent + 20 $ par manche.
AirforceUpgrades,Améliorations de l'armée de l'air
AirforceUpgradesDescription,Les singes pilotes d'élite et les pilotes d'hélicoptère reçoivent + 1 pouvoir perforant par tir.
BroadBladeDartlings,Mitrailleurs de fléchettes larges
BroadBladeDartlingsDescription,Tirs de mitrailleuses à fléchettes qui peuvent toucher les Bloons plus facilement.
BreakingBallistic,Super balistique
BreakingBallisticDescription,Les missiles balistiques infligent plus de dégâts aux Bloons en céramique.
AcceleratedAerodarts,Aérofléchettes accélérées
AcceleratedAerodartsDescription,Les fléchettes des singes pilotes d'élite volent plus vite.
RapidRazors,Rasoirs rapides
RapidRazorsDescription,Les rotors rasoirs font éclater les Bloons plus rapidement.
BudgetBattery,Artillerie économique
BudgetBatteryDescription,Coût du déluge d'artillerie réduit de 600.
PaintStripper,Décapant
PaintStripperDescription,Les obus de mortier fracassants suppriment la fortification des Bloons DDT.
CheaperMaiming,Mutilation moins chère
CheaperMaimingDescription,Coût de la mutilation de MOAB réduit de 1 000.
ChargedChinooks,Chinooks chargés
ChargedChinooksDescription,Les aptitudes de chinook activées accordent 25 % de vies et d'argent en plus.
ExtraBurnyStuff,Ça crame beaucoup
ExtraBurnyStuffDescription,Ça crame éclate toutes les quelques secondes.
DartlingCoolant,Liquide de refroidissement de fléchettes
DartlingCoolantDescription,Vitesse d'attaque de la mitrailleuse à fléchettes augmentée de 10 %.
MoreBuckshot,Plus de chevrotine
MoreBuckshotDescription,La chevrotine tire 5 projectiles.
BigBunch,Grosse grappe
BigBunchDescription,Le tir en grappes tire 6 grappes.
TargetedPineapples,Ananas ciblés
TargetedPineapplesDescription,Les ananas sont seulement largués près des circuits.
EliteMilitaryTraining,Formation militaire d'élite
EliteMilitaryTrainingDescription,Tous les singes militaires reçoivent une fois + 1 000 XP et gagnent des XP dans le jeu 5 % plus vite de façon permanente.
MasterDefender,Maître défenseur
MasterDefenderDescription,Le défenseur d'élite n'a pas de temps de recharge.
BigBloonSabotage,Sabotage du grand Bloon
BigBloonSabotageDescription,Tous les Bloons de classe MOAB apparaissent dans un état à moitié endommagé.
FasterTakedowns,Démolitions plus rapides
FasterTakedownsDescription,L'aptitude Démolition de MOAB reçoit un temps de recharge 5 secondes plus court.
SubAdmiral,Amiral de sous-marin
SubAdmiralDescription,Le commandant de sous-marin touche tous les sous-marins singes à l'écran.
MilitaryConscription,Conscription militaire
MilitaryConscriptionDescription,Le prix d'achat du premier singe militaire de chaque partie est réduit d'un tiers.
AeronauticSubsidy,Subvention aéronautique
AeronauticSubsidyDescription,Les améliorations des singes pilotes d'élite de niveau 5 coûtent 10 % moins cher.
FocusedPlasma,Plasma concentré
FocusedPlasmaDescription,L'accélérateur de plasma inflige des dégâts plus rapidement.
QuadBurst,Explosion quadruplée
QuadBurstDescription,Fait exploser les fléchettes à air en 4 au lieu de 3.
,
// Heroes,
QuickHands,Dextérité
QuickHandsDescription,Rend les attaques de tous les héros 4 % plus rapides.
MoreSplody,Plus de splosions
MoreSplodyDescription,Les explosifs des héros reçoivent + 2 pouvoir perforant par tir.
HeroicReach,Portée de héros
HeroicReachDescription,Tous les héros reçoivent une portée légèrement augmentée.
HeroicVelocity,Vélocité héroïque
HeroicVelocityDescription,La vitesse des projectiles de tous les héros est légèrement augmentée.
SelfTaughtHeroes,Héros autodidactes
SelfTaughtHeroesDescription,Les héros gagnent des XP 10 % plus vite.
HeroFavors,Service de héros
HeroFavorsDescription,Le coût de base des héros est réduit de 10 %.
Scholarships,Bourses
ScholarshipsDescription,Les coûts de formation des héros sont réduits de 10 %.
AbilityDiscipline,Discipline d'aptitude
AbilityDisciplineDescription,Le temps de recharge d'aptitudes de héros de niveau 10 est réduit de 10 %.
EmpoweredHeroes,Héros renforcés
EmpoweredHeroesDescription,Les héros débutent chaque partie au niveau 3.
AbilityMastery,Maîtrise d'aptitudes
AbilityMasteryDescription,"Au niveau 20, le temps de recharge d'aptitudes de héros de niveau 3 est réduit de 30 %."
BigBloonBlueprints,Plans de grand Bloon
BigBloonBlueprintsDescription,Les héros infligent + 1 de dégâts supplémentaires aux Bloons de classe MOAB avec leur attaque de base.
,
// Magic,
MagicTricks,Tours de magie
MagicTricksDescription,La magie guidée et la magie intense coûtent 25 de moins.
LingeringMagic,Magie durable
LingeringMagicDescription,"Durée de vie plus longue pour les projectiles des singes sorciers, des super singes, des singes ninjas et des druides."
SuperRange,SUPER portée
SuperRangeDescription,Portée augmentée pour l'amélioration de super portée.
DiversionTactics,Tactiques de diversion
DiversionTacticsDescription,Plus grandes chances de distraire les Bloons avec l'amélioration Distraction.
SpeedyBrewing,Concoction plus rapide
SpeedyBrewingDescription,Toutes les potions de l'alchimiste reçoivent un temps de rechargement 5 % plus rapide.
WarmOak,Chêne chaud
WarmOakDescription,Le coût du cœur de chêne est réduit de 100.
CheaperDoubles,Doubles moins chers
CheaperDoublesDescription,Le coût du double tir de ninja est réduit de 100.
AcidStability,Stabilité acide
AcidStabilityDescription,Les flaques d'acide des alchimistes durent 5 secondes de plus.
HotMagic,Magie flamboyante
HotMagicDescription,Toutes les tours de type magique peuvent faire éclater des Bloons gelés.
ArcaneImpale,Empalement mystérieux
ArcaneImpaleDescription,La herse ésotérique inflige des dégâts supplémentaires aux Bloons de classe MOAB et en céramique.
ColdFront,Front d'air froid
ColdFrontDescription,Les tirs de boules de foudre gèlent les Bloons après avoir infligé des dégâts.
FlameJet,Jet de flammes
FlameJetDescription,Les projectiles de flammes du souffle du dragon se déplacent bien plus vite.
StrikeDownTheFalse,À bas les infidèles
StrikeDownTheFalseDescription,L'avatar du soleil peut faire éclater les Bloons violets.
HeavyKnockback,Forte poussée
HeavyKnockbackDescription,Les Bloons touchés par la poussée du super singe sont repoussés un peu plus fort.
StrongTonic,Tonifiant corsé
StrongTonicDescription,Le tonifiant transformateur dure plus longtemps.
MoMonkeyMoney,Plus de monnaie de singe
MoMonkeyMoneyDescription,Gagne 10 % de monnaie de singe supplémentaire avec tes victoires dans tous les modes de difficulté.
DeadlyTranquility,Tranquillité mortelle
DeadlyTranquilityDescription,Bloonjitsu et le grand maître ninja reçoivent un shuriken en plus par lancer.
ManaShield,Bouclier de mana
ManaShieldDescription,Génère un bouclier spécial qui absorbe jusqu'à 25 vies gratuitement. Se recharge lentement à chaque manche si aucun Bloon ne fuit.
ThereCanBeOnlyOne,Il ne peut en rester qu’un
ThereCanBeOnlyOneDescription,Il ne peut en rester qu’un.
,
// Powers,
JustOneMore,Un de plus
JustOneMoreDescription,Les tas de herses contiennent 21 herses.
LongerBoosts,Boosts plus longs
LongerBoostsDescription,Les boosts de singes durent plus longtemps.
PreGamePrep,Préparation pré-partie
PreGamePrepDescription,Débute chaque partie avec un tas de herses permanentes à la fin du circuit.
SupaGroFertilizer,Super expansion
SupaGroFertilizerDescription,L'expansion ajoute 30 % au lieu de 25 %.
BudgetCashDrops,Livraisons d'argent économiques
BudgetCashDropsDescription,Les livraisons d'argent coûtent 20 en monnaie de singe de moins.
LongerDartTime,Arrêt du temps plus long
LongerDartTimeDescription,L'arrêt du temps dure plus longtemps que d'habitude.
PowerfulMonkeyStorm,Tempête de singes puissante
PowerfulMonkeyStormDescription,La tempête de super singes inflige plus de dégâts.
FitFarmers,Bons cultivateurs
FitFarmersDescription,Les cultivateurs singes possèdent un rayon plus large.
CheaperLakes,Lacs moins chers
CheaperLakesDescription,Les lacs portables coûtent 40 en monnaie de singe.
BudgetPontoons,Pontons économiques
BudgetPontoonsDescription,Les pontons coûtent 40 en monnaie de singe.
MaulingMoabMines,Mines cogneuses de MOAB
MaulingMoabMinesDescription,Les mines anti-MOAB infligent des dégâts supplémentaires.
BiggerCamoTrap,Piège anticamouflage plus gros
BiggerCamoTrapDescription,Le piège anticamouflage peut contenir 600 Bloons.
SupersizeGlueTrap,Piège collant extra large
SupersizeGlueTrapDescription,"Le piège collant peut ralentir les Bloons de classe MOAB. Plus le Bloon est gros, et plus la quantité de colle utilisée est grande."
SupaThrive,Super expansion
SupaThriveDescription,L'expansion ajoute 30 % au lieu de 25 %.
,
Monkey Knowledge,Connaissances de singe
Unlock More Amazing Skills,Débloque encore plus d'aptitudes incroyables
Choose a tower to get started,Choisis une tour pour commencer
Requires Points,Requiert \n{0} points
Complete,Terminer
Needs,Besoins
Assign+1,Assigner + 1
NEW HERO!,NOUVEAU HÉROS !
1 Monkey Knowledge Point!,1 point de connaissances de singe !
Level Up!,Niveau suivant !
Max Level!,Niveau maximum !
Set Round,Définir la manche
Set Round Description,"Détermine la manche actuelle des joueurs. Remarque : en appuyant sur Jouer, cela augmentera le nombre de la manche"
Buy Insta Monkeys,Acheter des singes instantanés
,
Mode Clicks,CHIMPANZÉS
Mode DoubleMoabHealth,Bloons MOAB à doubles points de santé
Mode AlternateBloonsRounds,Manches de Bloons alternatives
Mode Impoppable,Impossible à éclater
Mode HalfStartingCash,Moitié d'argent au début
