//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Klikk
Homeland Defense Ability,Hjemmefront
,
//Ability Descriptions,
Super Monkey Fan Club Ability Description,Konverterer opptil 10 Dart-aper i nærheten om til Superaper i 10 sekunder.
Plasma Monkey Fan Club Ability Description,Elite-medlemskap i denne klubben gir Dart-aper enda flere krefter!
Turbo Charge Ability Description,Gjør dette ape-angrepet utrolig raskt i 10 sekunder.
Perma Charge Ability Description,Gjør at denne apen påfører ekstra skade i 15 sekunder.
MOAB Assassin Ability Description,Spesialmissil flyr ut og gjør massiv skade på bloonas av MOAB-klasse.
MOAB Eliminator Ability Description,Snikmorder-evner gjør 6x skade med kort nedkjølingstid.
Blade Maelstrom Ability Description,Dekker området i en storm av klinger.
Super Maelstrom Ability Description,Enda kraftigere malstrøm-evne som varer lengre.
Snowstorm Ability Description,Fryser alle bloons på skjermen i en kort periode.
Absolute Zero Ability Description,"Evnen er så kald at den fryser alle bloon-typer, inkludert kuldeimmune og av MOAB-klasse."
Glue Strike Ability Description,Limer alle bloons på skjermen.
Glue Storm Ability Description,Limstorm-evnen dekker hele skjermen med lim i 10 sekunder.
Supply Drop Ability Description,Evne: leverer en kasse full av penger.
Elite Sniper Ability Description,Forsyningsslipp gir mye mer penger.
Elite Defender Ability Description,Et tapt liv gir denne Snikskytteren 2x angrepshastighet i en liten stund i motangrep.
First Strike Capability Ability Description,"Et ødeleggende missilangrep på den største bloonen på skjermen. Ødelegger opptil en ZOMG-bloon i en fei, eller mange mindre bloons."
Pre-emptive Strike Ability Description,Utløser automatisk en ekstra anti-MOAB-missil når enn MOAB-klasse bloons ankommer fra bloon-inngangen.
Monkey Pirates Ability Description,Fester seg til en bloon av MOAB-klasse og tar den ned.
Pirate Lord Ability Description,Kan skyte 3 jernkroker samtidig og stjele ekstra penger fra hver bloon av MOAB-klasse som går ned med dem.
Ground Zero Ability Description,Øker effektiviteten til bombeslipp. Angrepsstedsevne: slipper en stor bombe som ødelegger det meste på skjermen.
Tsar Bomba Ability Description,"En veldig, veldig stor bombe. Noen må stoppe denne galskapen!"
Support Chinook Redeploy Ability Description,Kan plukke opp og omplassere de fleste apetyper.
Support Chinook Supplies Ability Description,Slipper liv- og pengekasser.
Special Poperations Ability Description,Utplasserer en mektig Marine-ape med maskingevær.
Pop and Awe Ability Description,"Spruter eksplosiver over hele skjermen, popper og immobiliserer alle bloons i et par sekunder."
Rocket Storm Ability Description,Sender en kraftig storm av raketter i alle retninger.
Mauler Storm Ability Description,Hvert missil gjør ekstrem skade på bloons av MOAB-klasse.
Summon Phoenix Ability Description,Mektig føniks bringer total ødeleggelse over bloons i 20 sekunder.
Wizard Lord Phoenix Ability Description,Trollmannherren blir flammenes mester og forvandler ham til en supermektig Lavaføniks i en kort periode.
Soulbind Ability Description,Gjenanimer enda kraftigere bloontjenere for å utslette fienden.
Tech Terror Ability Description,Ødelegger de fleste bloons fullstendig innenfor smellradius.
The Anti-Bloon Ability Description,<Programdirektiv> <Utrydd bloons> <START>
Legend of the Night Ability Description,Vi går til ham når alt håp er ute …
Bloon Sabotage Ability Description,Under sabotasjen beveger alle bloons seg med redusert hastighet.
Grand Saboteur Ability Description,"Evnen varer lenger, og bloons av MOAB-klasse fornyes med mindre helse under sabotasjen."
Transforming Tonic Ability Description,Gårder i nærheten av Druiden tjener 50% mer penger i en kort periode.
IMF loan Ability Description,"Gir deg 9000$, men du må betale tilbake over tid."
Monkey-Nomics Ability Description,Når du er for stor til å feile …
Overclock Ability Description,Målape får superkrefter i kort tid.
Spike Storm Ability Description,Skyter et tykt lag med spiker over hele banen.
Carpet of Spikes Ability Description,"Legger en spikermatte over hele banen, i alle runder."
Magic Arcanum Ability Description,Skaper en mektig ape med evner som baseres på Magiske aper som er i nærheten.
Call to Arms Ability Description,Gir alle aper DOBBEL angrepshastighet og popper i 10 sekunder.
Homeland Defense Ability Description,Evner påvirker ALLE aper og varer i 15 sekunder.
,
//Maps,
TownCentre,Bysentrum
Tutorial,Ape-eng
TreeStump,Trestubb
InTheLoop,I loopen
BTD1,BTD1
Cubism,Kubisme
FourCircles,Fire sirkler
Cracked,Sprukket
Hedge,Hekk
Streambed,Elvebunn
MonkeysInSpace,Aper i verdensrommet
Underground,Undergrunn
AnotherBrick,Enda en murstein
#ouch,#Ouch
EndOfTheRoad,Veiens ende
Chutes,Renne
Rake,Rake
OffTheCoast,Ved kysten
MuddyPuddles,Sølepytt
ParkPath,Tur i parken
Logs,Logg
TestMap,Prøvekart
Cornfield,Maisåker
SpiceIslands,Krydderøyene
FiringRange,Skytebane
HighFinance,Høye finanser
Downstream,Nedstrømning
DarkCastle,Mørkt slott
FrozenOver,Gjennomfryst
Haunted,Hjemsøkt
Quad,Tur i parken
MoonLanding,Månelanding
AlpineRun,Alpintur
Peninsula,Peninsula
,
//Tower Groups,
Primary,Primær
Military,Militær
Magic,Magi
Support,Støtte
Heroes,Helter
Powers,Krefter
,
//Misc,
Crit,Kritisk angrep
,
//Target Types,
TT_Close,Nærmeste
TT_First,Første
TT_Last,Siste
TT_Strong,Sterkeste
TT_Track,Normal
TT_Circle,Sirkel
TT_CloseTrack,Nærmeste
TT_CustomPath,Tilpasset bane
TT_Elite,Elite
TT_FarTrack,Langt
TT_FigureInfinite,Figur infinitiv
TT_FigureEight,Figur åtte
TT_FollowTouch,Følg berøring
TT_LockInPlace,Lås på plass
TT_NecromancerTarget,Åndemaner-mål
TT_OffsetTrack,Forskjøvet bane
TT_PatrolPoints,Patruljepoeng
TT_Pursuit,Forfølg
TT_RandomPosition,Tilfeldig posisjon
TT_RandomTarget,Tilfeldig mål
TT_SmartTrack,Smart
TT_Submerge,Gå under
TT_CloseSharedRange,Kort delt rekkevidde
TT_ExpensiveFriendlyTarget,Dyrt vennlig mål
TT_FirstSharedRange,Første delte rekkevidde
TT_FriendlyTarget,Vennlig mål
TT_Grapplable,Festbart
TT_TargetIndependant,Uavhengig mål
TT_TargetInFront,Mål i front
TT_LastSharedRange,Siste delte bane
TT_TargetMoab,Mål-MOAB
TT_TargetOpposite,Mål-motsetning
TT_TargetPointer,Målpeker
TT_SetTarget,Angi mål
TT_StrongSharedRange,Sterk delt rekkevidde
TT_TargetTag,Mål-sisten
TT_TrackOrDefault,Bane eller standard
TT_Centered,Sentrert bane
,
//Currency,
Cash,Penger
XP,XP
Monkey Money,Apepenger
Free,Gratis
,
Round,Runde:
Max Tier Reached,Maks nivå er oppnådd
Empty,Tom
Not Upgraded,Ikke oppgradert
Owned,Har
Max Upgrades,Maksoppgraderinger
Deployed Message,{0} utplassert
,
//UI Misc,
OK,OK
Cancel,Avbryt
Start,Start
Return To Menu,Meny
Freeplay,FRISPILL
Continue,Fortsett
Done,Ferdig
Try Again,Prøv igjen
Continue?,Fortsett?
,
Rewards,BELØNNINGER:
Change Hero,Bytt helt
Select a Hero,Velg helt
Select a Map,Velg kart
Selected,Valgt
Select a Hero Subheading,Helten er en mektig ape som leder troppene dine inn i kamp
Select Language,Velg språk
Unlock All,LÅS OPP ALT
Upgrade Ingame cost,Kostnad i spill
Loading,Laster inn …
,
Defeat,Nederlag
Defeat Message,Kanskje prøv på en lavere vanskelighetsgrad
Victory,Seier
Victory Message,Du har stoppet ekle bloons
,
,
//ModeSelectScreen,
Select a Mode,Velg en modus
Mode Standard,Standard
Mode MilitaryOnly,Kun militær
Mode Apopalypse,Apopalypse
Mode Reverse,Revers
Mode Sandbox,Sandkasse
Mode PrimaryOnly,Kun primær
Mode Deflation,Deflasjon
Mode Half Cash,Halvert pengesum
Mode DailyChallenge,DAGLIG UTFORDRING
,
//GameTypeScreen,
Choose a Game,Velg et spill
New Game,Nytt spill
Daily Challenge,DAGLIG UTFORDRING
Co-op,Samarbeid
Random,Tilfeldig
,
//HomeScreen,
HS Monkeys,APER
HS Heroes,HELTER
HS Play,SPILL
HS Powers,KREFTER
HS Knowledge,KUNNSKAP
,
//In game screens,
Upgrades,Oppgraderinger
Sell,Selg
Get More,Skaff mer
,
// PauseMenu ,
Controls,Kontroller
Drag & Drop,Dra og slipp
Lock & Drop,Slipp og lås
Line of Sight,Siktelinje
Continuous Play,Kontinuerlig spill
Off,Av
Store,Butikk
Home,Hjem
Restart,Omstart
You ran out of lives on:,Du gikk tom for liv på:
Game Over Round,Runde {0}
Victory Body,Gratulerer! Du fullførte denne banen på: {0}
,
// LinK,
Log out,Logg ut
Clear Data,Fjern data
Login,Logg inn
Not logged into LiNK,Ikke logget på LINK
Logged into LiNK as,Logget på LINK som {0}
,
// Map Difficulty,
MD Beginner,Begynner
MD Intermediate,Mellomnivå
MD Advanced,Avansert
MD Expert,Ekspert
MD Extreme,Ekstrem
,
//Tower Specific Messages,
Patrol Message,[I] for å angi patruljepunkt
Sun Temple Title,Tempeloffer
Sun Temple Body,Tempelet krever ofringer. Alle tårn i nærheten vil ødelegges og styrker Tempelets utrolige krefter på forskjellige måter. Du er advart …
True Sun Temple Title,Tempeloffer
True Sun Temple Body,Ønsker du å tilkalle\nDEN SANNE SOLGUDEN!!??
Heli Pilot Redeploy Message,Dra og slipp et tårn for å omplassere
Heli Pilot Redeploy Message Banned,Kan ikke omplassere dette tårnet
Select a tower to Soulbind,Velg et tårn å sjelebinde
Select Point,Velg punkt
Select a tower to link,Velg et tårn å koble til
Cannot link to this tower,Kan ikke koble til dette tårnet
Tower is already linked,Tårnet er allerede tilkoblet
Tower must have an ability,Tårnet må ha en gyldig evne
Unlink,Koble fra
,
//Upgrades Screen,
Unlock Message,Lås opp for:
XP To Spend,{0} XP å bruke:
,
//Tower screen,
Unlock Hero,Lås opp nivå
Max Level Hero,Du har nådd maksnivå!
,
//Hero Screen,
InGame Cost,Pris i spillet: {0} $
,
//Knowledge Screen,
Knowledge Requirement,Krever minst {0} flere poeng investert i {1}
,
//Removables,
Removable Cost,Fjern for {0} $
,
// Powers Select Screen,
Select a Power,Velg en kraft
Add For:,Legg til for:
,
// Achievements screen,
Achievements,Prestasjoner
Rewards:,Belønninger:
,
//Debug Options,
Set Health,Angi helse
Set Health Description,Skriv en verdi for å legge inn ny helseverdi
Set Cash,Angi penger
Set Cash Description,Skriv en verdi for å legge inn ny pengeverdi
,
//Difficulty,
Easy,Lett
Medium,Middels
Hard,Vanskelig
Impoppable,Popptastisk
Sandbox,Sandkasse
Easy Description,"På Lett koster tårn mindre enn vanlig, bloons beveger seg litt tregere og du har 200 liv. Fullfører du runde 40 på Lett, får du en bronsemedalje for den banen."
Medium Description,"På Middels koster aper det vanlige, bloons beveger seg som normalt og du har 150 liv. Fullfører du runde 60 på Middels, får du en sølvmedalje for den banen."
Hard Description,"På Vanskelig koster aper mer enn vanlig, du starter på runde 3, bloons beveger seg litt raskere og du har 100 liv. Fullfører du runde 80 på Vanskelig, får du en gullmedalje for den banen."
Impoppable Description,"På Upoppelig koster aper mye mer enn vanlig, du starter på runde 6, bloons beveger seg litt raskere og du har 1 liv. Fullfører du runde 100 på Upoppelig, får du en platinamedalje for den banen."
Sandbox Description,"På Sandkasse koster aper det vanlige, bloons beveger seg normalt og du har ubegrenset med liv og penger."
,
,
,
,
,
//Popup Screens,
Unlock All Title,Lås opp alle opp-\ngraderinger
Unlock All Body,Lås opp alle oppgraderinger for {0} XP.
Not Enough Cash Title,Ikke nok penger
Not Enough Cash Body,Popp flere bloons for å skaffe penger.
Not Enough XP Title,Ikke nok XP
Not Enough XP Body,Du trenger {0} XP.\nTårn gir XP hver gang en runde fullføres.
Already Own Upgrade Title,Har allerede oppgradering
Already Own Upgrade Body,Du har allerede oppgraderingen
Locked Title,Oppgradering låst
Locked Body,Du må kjøpe den forrige oppgraderingen før du kjøper denne.
Quit Title,Avslutt
Quit Body,Er du sikker på at du vil avslutte veiledningen?
Continue Saved Game Title,Fortsette der du lagret spillet sist?
Continue Saved Game Body,"Ønsker du å fortsette fra runde {0} på {1}, i modusen {2} på vanskelighetsgraden {3}?"
Continue Saved Game Okay,Lagre
Continue Saved Game Cancel,Nytt spill
,
,
//Hero Messages,
Generic Hero Message,Trenger du hjelp?
,
//Tutorial,
Welcome Title,Velkommen til Bloons™ Tower Defense 6
Welcome Title Partial,Velkommen til  
Welcome Body,Et episk eventyr med aper mot bloons
Town Trouble Title,Velkommen til Bloons™ Tower Defense 6
Town Trouble Body,Bloons har tatt over byen din!
Town Trouble Button,Ta den tilbake
Bloon Entry,Stopp bloons fra å komme seg gjennom!
Bloon Outro,… og forsøk å komme deg ut herfra.
Place First Tower,Sett ut en Dart-ape for å begynne.
Place Second Tower,Sett ut en Dart-ape til og [I] på Spill.
Press Go,[I] på START!
Finished Round One,"Det var lett, ikke sant? [I] på Spill for å starte neste runde."
Earning Experience,Når du popper bloons tjener du apeerfaring.
Unlocking Upgrades,Dart-apene dine har nok til å låse opp en oppgradering.
Upgrade Details,Hver apesort har 5 oppgraderinger på 3 stier. Lås opp en av dem nå.
Upgrade Complete,Flott! Nå kan du oppgradere dine eksisterende aper med oppgraderingen.
Select Monkey,"Du har låst opp oppgraderingen, men må fortsatt bruke den på aper i spillet. Trykk på en ape nå."
Select Upgrade,Nå velger du den opplåste oppgraderingen for å kjøpe og utruste den.
Hero Title,Helter!
Quincy Intro,Trenger du hjelp?
Hero Info,Quincy er en apehelt som oppgraderer seg selv i løpet av spillet. Han kan poppe mange bloons per skudd.
Last Round,Én runde igjen!
Next Map Title,Bra jobba!
Next Map Description,"Vi har fått dem på flukt, dra bort til det store treet."
Next Map Button,Kom igjen
Big Tree Title,Stort tre
Big Tree Description,"Dette treet blokkerer sikten til apene dine, så plassér dem med omhu. Noen aper kan skyte over hinder."
Big Tree Victory Title,Et siste dytt …
Big Tree Victory Description,"Seier i sikte, kom deg til sentrum!"
Big Tree Victory Button,Kom igjen
Town Centre Title,Bysentrum
Town Centre Description,Knus alle bloons og redd byen din.
Town Centre Victory Description,Vi klarte det! 
Home Description,Velkommen hjem
Xp Reminder Title,Ikke glem!
Xp Reminder Description,Husk å bruke dine ape-XP for å låse opp flere oppgraderinger til apene dine.
Lose Tutorial Title,Oops!
Lose Tutorial Description,Du gikk tom for liv! Prøv igjen. Førsøk å sette ut flere aper i nærheten av banen for å få flere oppgraderinger …
Select a Monkey,Velg en ape
Earning Experience Title,Låser opp oppgraderinger
Unlocking Upgrades Title,Låser opp oppgraderinger
Next,Neste
,
//Loading Messages,
Loading Message 0,Inspiserer hieroglyfer …
Loading Message 1,Lærer opp aper ...
Loading Message 2,Forbereder dartpiler …
Loading Message 3,Blåser opp bloons …
Loading Message 4,Samler bananer …
Loading Message 5,Tar en pause …
Loading Message 6,Trimmer hekken …
Loading Message 7,Slipper løs Cthulhu …
Loading Message 8,Vekker Solguden …
Loading Message 9,Tilkaller helter …
Loading Message 10,Laster ned nytt innhold
Internet Connection Required Message,Internettilkobling kreves for å laste ned nytt spillinnhold. Kontroller tilkoblingen din. Prøver igjen …
,
// Achievements,
Achievement 1 Name,Popptastisk
Achievement 1 Description,Popp {0} bloons
Achievement 2 Name,MOAB-snikmorder
Achievement 2 Description,Ødelegg {0} MOABer
Achievement 3 Name,BFB-bråkmaker
Achievement 3 Description,Ødelegg {0} BFBer
Achievement 4 Name,ZOMGinator
Achievement 4 Description,Ødelegg {0} ZOMGer
Achievement 5 Name,Jeg gjorde en jobb på DDT
Achievement 5 Description,Ødelegg {0} DDTer
Achievement 6 Name,Sapper
Achievement 6 Description,Popp {0} forsterkede bloons eller bloons av MOAB-klasse. Unngå umiddelbare drap og for best resultat.
Achievement 7 Name,Første seier
Achievement 7 Description,{0} seier på Begynner-kart uten opplæring
Achievement 8 Name,Gresshopper
Achievement 8 Description,Vinn på {0} forskjellige Begynner-kart
Achievement 9 Name,Neste nivå
Achievement 9 Description,Vinn {0} spill på Mellomnivå-kart
Achievement 10 Name,Medhjelperen
Achievement 10 Description,Vinn spill på {0} ulike Mellomnivå-kart
Achievement 11 Name,Avansert spiller
Achievement 11 Description,Vinn {0} spill på et Avansert-kart
Achievement 12 Name,Ekstremspiller
Achievement 12 Description,Vinn {0} spill på et Ekstrem-kart
Achievement 13 Name,Stor ape
Achievement 13 Description,Sett ut et apetårn på nivå 4
Achievement 14 Name,Mega-ape
Achievement 14 Description,Sett ut et apetårn på nivå 5
Achievement 15 Name,Heltetid
Achievement 15 Description,Sett ut en helt på et kart uten opplæring
Achievement 16 Name,Heltekrefter aktivert
Achievement 16 Description,Bruk hvilken som helst helteevne på nivå 3
Achievement 17 Name,Større og slemmere
Achievement 17 Description,Bruk hvilken som helst helteevne på nivå 10
Achievement 18 Name,Episk helt
Achievement 18 Description,Rykk en helt opp til nivå {0}
Achievement 19 Name,Apehevn-ligaen
Achievement 19 Description,Vinn et spill for {0} forskjellige helter
Achievement 20 Name,Du har kraften
Achievement 20 Description,Bruk krefter for første gang
Achievement 21 Name,Kraftbruker
Achievement 21 Description,Bruk krefter {0} ganger
Achievement 22 Name,Mektig
Achievement 22 Description,Bruk krefter {0} ganger
Achievement 23 Name,Student
Achievement 23 Description,Bruk ditt første apekunnskap-poeng
Achievement 24 Name,Mastergrad
Achievement 24 Description,Bruk {0} apekunnskap-poeng
Achievement 25 Name,Dr. Ape
Achievement 25 Description,Bruk 106 apekunnskap-poeng
Achievement 26 Name,Første ape ut
Achievement 26 Description,Vinn {0} spill ved å kun bruke primæraper
Achievement 27 Name,Krigsaper
Achievement 27 Description,Vinn {0} spill ved å kun bruke militæraper
Achievement 28 Name,Abrakadabrape
Achievement 28 Description,Vinn {0} spill ved å kun bruke magiske aper
Achievement 29 Name,Ukjente aper
Achievement 29 Description,Vinn {0} spill ved å kun bruke støtteaper
Achievement 30 Name,Oppblåst
Achievement 30 Description,Klar runde {0} i Deflasjon-modus
Achievement 31 Name,Overlevelse
Achievement 31 Description,Klar runde {0} i Apoppalypse-modus
Achievement 32 Name,Indie
Achievement 32 Description,Vinn {0} spill i Vekslende bloon-runder.
Achievement 33 Name,Poppelig
Achievement 33 Description,Vinn {0} spill i Upoppelig vanskelighetsgrad
Achievement 34 Name,Sparsommelig
Achievement 34 Description,Vinn {0} spill i Halvert pengesum-modus
Achievement 35 Name,Bloonzilla!
Achievement 35 Description,Vinn {0} spill mot Doble HP MOABer
Achievement 36 Name,Rollereversering
Achievement 36 Description,Vinn et spill i Revers-modus
Achievement 37 Name,Medaljevinner
Achievement 37 Description,Få alle medaljer på et kart
Achievement 38 Name,Dekorert helt
Achievement 38 Description,Få 36 vanskelighetsmedaljer på Nybegynner-baner
Achievement 39 Name,Rødt og blått blir ...
Achievement 39 Description,Popp {0} lilla bloons
Achievement 40 Name,Infrarød
Achievement 40 Description,Popp {0} kamuflerte bloons
Achievement 41 Name,Våre kombinerte krefter
Achievement 41 Description,Samle minst 12 ulike krefter
Achievement 42 Name,Utfordrer
Achievement 42 Description,Vinn {0} daglige utfordringer
Achievement 43 Name,Utfordringslærling
Achievement 43 Description,Vinn {0} daglige utfordringer
Achievement 44 Name,Utfordringsmester
Achievement 44 Description,Vinn {0} daglige utfordringer
Achievement 45 Name,Perfekt uke
Achievement 45 Description,Fullfør alle daglige utfordringer på én uke.
Achievement 46 Name,Kunnskapsrik primat
Achievement 46 Description,Lås opp all apekunnskap i en gren
Achievement 47 Name,Bloonsmester
Achievement 47 Description,Klar {0} kart i CHIMPS-modus
Achievement 48 Name,Overlegen bloonsmester
Achievement 48 Description,Klar {0} kart i CHIMPS-modus
Achievement 49 Name,Ultimat bloonsmester
Achievement 49 Description,Klar {0} kart i CHIMPS-modus
Achievement 50 Name,Super BAD
Achievement 50 Description,Ødelegg {0} BADer
Collect,Samle
,
//Standard Round Messages,
,
,
Hint 2,"Du får 1 penge for hvert lag med poppede bloons, pluss litt i bonus i slutten av hver runde."
Hint 7,"Fortsett å spille Bloons TD 6 regelmessig og se etter nye oppdateringer – kart, helter, utfordringer og andre herligheter."
Hint 12,"Jo mer du bruker en bestemt ape, desto flere oppgraderinger vil du låse opp for det."
Hint 26,"Ser du de sebrastripede bloonsene? De kombinerer det slemme i hvite bloons og svarte bloons, og inneholder en av hver bare for moro skyld."
Hint 32,Du så en kamuflert bloon i runde 24. Håper du er klar for flere!
Hint 38,"Slutten av neste runde har 2 gjenvoksende regnbuebloons. Behandles de ikke riktig, kan 2 bli mange flere …"
Hint 39,Første bloon av MOAB-klasse i neste runde. Du er herved advart!
Hint 41,Kommer straks: gjenvekst-regnbuebloons og kamuflerte regnbuebloons. Er du klar for dette?
Hint 45,Neste blir forsterkede keramiske bloons.
Hint 50,Mange kamuflerte keramiske bloons kan ødelegge dagen din. Bare nevner det.
Hint 54,BTD6 er superkult. Det er livet også. Ikke glem å ta pauser innimellom og gjør noe annet. Så kan du spille mer BTD6 etterpå!
Hint 58,Kan du poppe bly? Kan du poppe kamuflasje? Hva med kamuflert bly?
Hint 59,Nå kommer siste runde på Middels vanskelighetsgrad. Gratulerer! Hvis du klarer å poppe den BFB-bloonen da …
Hint 62,"Hvis du spilte BTD5 vil du huske hvordan runde 63 var. Hvis du er ny i dette spillet, la oss bare si: mange tettpakkede keramiske bloons."
Hint 73,Neste runde: kamuflerte gjenvoksende forsterkede keramiske blooms. Puh! Det var en munnfull.
Hint 77,Hva skjer når du stapper 75 keramiske bloons inn på en veldig liten plass? Det får du finne ut av!
Hint 79,"Nå kommer siste runde i vanskelighetsgraden Vanskelig. Kast alt du har på ZOMG-bloon. Den er stor og treig, men veldig, veldig tøff."
Hint 89,"Hva er en DDT-bloon, spør du? Som en MOAB krysset med en rosa bloon, kamuflert bloon og bly-bloon. På alle verst tenkelige måter."
Hint 100,Gratulerer med å klare runde 100! Kos deg med belønningen din!
,
//Alternate Round Messages [will comment out duplicates for now / warnings],
Alternate Hint 3,Vekslende bloon-runder...
Alternate Hint 4,"Du vet at «vekslende» bare betyr vanskeligere, ikke sant?"
Alternate Hint 5,Fikk du panikk når du så den kamuflerte bloonen?
Alternate Hint 7,Fortsatt på maks liv?
Alternate Hint 8,"Hmm, lurer du på når første bly-bloon dukker opp?"
Alternate Hint 21,Det kaller vi en «pengesultende» runde…
Alternate Hint 39,"Neste runde, MOAB som vanlig. Eller?"
Alternate Hint 59,BFB neste runde. Eller burde det være FBFB?
Alternate Hint 77,Neste runde stinker skikkelig …
Alternate Hint 79,zomg DET VAR TØFT …
Alternate Hint 99,Det var vel ikke så ILLE?
Alternate Hint 100,Gratulerer med å klare runde 100! Kos deg med belønningen din!
,
// iap ,
Max Level,Maks nivå
Processing,Behandler
Purchased,Kjøpt
Purchase failed,Kjøp mislyktes. Kontroller internettilkoblingen og enhetskontoen.
,
// Time,
days,dager
day,dag
hours,timer
hour,time
minutes,minutter
minute,minutt
seconds,sekunder
second,sekund
,
// Store: standard,
btd6_monkeymoney,Apepenger
btd6_monkeymoney Description,En god håndfull med apepenger
btd6_pileomonkeymoney,Bunke med apepenger
btd6_pileomonkeymoney Description,En stor bunke med apepenger.
btd6_vaultomonkeymoney,Hvelv med apepenger
btd6_vaultomonkeymoney Description,Et helt hvelv fylt til randen med apepenger!
btd6_mountainomonkeymoney,Fjell med apepenger
btd6_mountainomonkeymoney Description,Du vil trenge et team av apesherpaer for å nå toppen av dette heftige fjellet med apepenger.
btd6_towerxp,(5000) ape-XP
btd6_towerxp Description,Få {0} XP til ditt favoritt-apetårn nå!
btd6_fulltowerunlock,Full opplåsning av ape
btd6_fulltowerunlock Description,Lås opp alle oppgraderinger for et apetårn umiddelbart.
btd6_doublecashmode,Dobbel pengemodus
btd6_doublecashmode Description,Få dobbelt så mye penger i spillet for alltid! Kan deaktiveres.
btd6_knowledgeunlocked,Opplåst kunnskap
btd6_knowledgeunlocked Description,Lås opp hemmelighetene til apekunnskap! Rykk umiddelbart opp til rang {0} og få i tillegg {1} kunnskapspoeng i bonus!
btd6_knowledgepoint,Kunnskapspoeng
btd6_knowledgepoint Description,Bli klokere som ape med dette kunnskapspoenget.
btd6_herobooster,Helteøkning
btd6_herobooster Description,Den utvalgte helten i ditt nåværende spill økes til nivå {0} til økten avsluttes.
btd6_powersattackpack,Kraftangrep-pakke
btd6_powersattackpack Description,Et utvalg av {0} kampfokuserte apekrefter!
btd6_instatowerspack,Hurtigape-pakke
btd6_instatowerspack Description,"5 apetårn klare til å settes ut uten kostnad! Inneholder 2 nivå 1, 2 nivå 2, og 1 nivå 3. Aper på samme nivå har samme sjanse for å bli trukket."
btd6_tier3instatowerspack,Nivå 3 Hurtigape-pakke
btd6_tier3instatowerspack Description,"10 Hurtigape-tårn på nivå 3, klare til å settes ut uten kostnad! Sjansen for å trekke hver ape er den samme."
btd6_tier4instatowerspack,Nivå 4 Hurtigape-pakke
btd6_tier4instatowerspack Description,"10 Hurtigape-tårn på nivå 4, klare til å settes ut uten kostnad! Sjansen for å trekke hver ape er den samme."
btd6_needmoremonkeymoneyprompt,Ikke nok apepenger! Kjøpe flere?
,
,
// Store: Limited Time Packs,
btd6_knowledgepoints,{0} kunnskapspoeng
btd6_knowledgepoints Description,Plukk med deg {0} ape-kunnskapspoeng akkurat nå!
btd6_extraTowerxp,Ekstra tårn-XP ({0})
btd6_extraTowerxp Description,Få {0} XP til ditt favoritt-tårn nå!
btd6_extramonkeymoney,Ekstra apepenger
btd6_extramonkeymoney Description,Spesialtilbud! {0} apepenger til en veldig liten pris.
btd6_powerspandamonium,Kraftpandemonium
btd6_powerspandamonium Description,Med våre kombinerte krefter! {0} av de beste apekreftene du kan få i én pakke.
btd6_instatowersmegabooster,Hurtigape – megaøker
btd6_instatowersmegabooster Description,"Denne megapakken inneholder 5 Hurtigape-tårn på nivå 2, 12 på nivå 3, og 3 på nivå 4, klare til å settes ut uten kostnad! Aper på samme nivå har samme sjanse for å bli trukket."
btd6_megamonkeycompendiumpack,Mega-ape – kompendiumpakke
btd6_megamonkeycompendiumpack Description,"En svær pakke fylt med supre godbiter! 25 000 apepenger, 100 angrepskrefter, 30 Hurtigape-tårn på nivå 3, 15 Hurtigape-tårn på nivå 4, 5 Hurtigape-tårn på nivå 5 og Opplåst kunnskap (rang 30, 5 ekstra apekunnskapspoeng)! Aper på hvert nivå har samme sjanse for å bli trukket."
btd6_tier5instatowerpack,Nivå 5 Hurtigape-pakke
btd6_tier5instatowerpack Description,"10 apetårn på nivå 5, klare til å settes ut uten kostnad! Sjansen for å trekke hver ape er den samme."
,
// Store: Sale packs,
btd6_pileomonkeymoney_sale,Bunke med apepenger – salg
btd6_pileomonkeymoney_sale Description,En stor bunke med apepenger.
btd6_vaultomonkeymoney_sale,Hvelv av apepenger – salg
btd6_vaultomonkeymoney_sale Description,Et helt hvelv fylt til randen med apepenger!
btd6_knowledgepoints_sale,{0} kunnskapssalg
btd6_knowledgepoints_sale Description,Plukk med deg {0} ape-kunnskapspoeng akkurat nå!
btd6_instatowersmegabooster_sale,Hurtigape – megaøkningssalg
btd6_instatowersmegabooster_sale Description,"Denne megapakken inneholder 5 Hurtigape-tårn på nivå 2, 12 på nivå 3, og 3 på nivå 4, klare til å settes ut uten kostnad!"
btd6_tier3instatowerspack_sale,Hurtigape på nivå 3 – pakkesalg
btd6_tier3instatowerspack_sale Description,"10 Hurtigape-tårn nivå 3, klare til å settes ut uten kostnad!"
btd6_tier4instatowerspack_sale,Hurtigape på nivå 4 – pakkesalg
btd6_tier4instatowerspack_sale Description,"10 Hurtigape-tårn nivå 4, klare til å settes ut uten kostnad!"
,
Restore,Gjenopprett
Today,I dag
DailyRewardDay,Dag {0}
Sale Ends In,Salget avsluttes om: 
Offer Ends In,Tilbudet avsluttes om: 
Promo Ends In,Kampanjen avsluttes om: 
Loot.TowerXP.Title,{0} XP
Loot.Base.Description,x {0} 
Loot.BaseAdd.Description,+ {0}
Loot.InstaRank.Description,Nivå {0}
Loot.DoubleCashMode.Title,Dobbel pengemodus
