//Input. Needs to be first e.g [I] replaced by click or tap,
Click,คลิก
Centered Path,บินวนรอบจุด
Fighter Plane,เครื่องบินขับไล่
Bomber Ace,เครื่องบินทิ้งระเบิด
Neva-Miss Targeting,เล็งเป้าไม่มีพลาด
Operation: Dart Storm,ปฏิบัติการ: พายุลูกดอก
Ground Zero,กราวด์ซีโร่
Spectre,สเปกเตอร์
Sky Shredder,สกายเชรดเดอร์
Tsar Bomba,ซาร์บอมบ้า
Flying Fortress,ปราการลอยฟ้า
,
Quad Darts,ลูกดอกสี่นัด
Bigger Jets,เครื่องยนต์เจ็ตใหญ่ขึ้น
Faster Firing,ยิงเร็วขึ้น
Pursuit,ไล่กวด
IFR,IFR
Faster Darts,ลูกดอกเร็วขึ้น
Razor Rotors,ใบพัดคมมีด
Downdraft,กระแสอากาศไหลลง
MOAB Shove,พุ่งผลัก MOAB
Apache Dartship,อาปาชี่ดาร์ทชิป
Support Chinook,ชินุกสนับสนุน
Comanche Defense,โคแมนชี่ป้องกัน
Apache Prime,อาปาชี่ไพรม์
Special Poperations,ป๊อปโปเรชั่นพิเศษ
Comanche Commander,ผู้บัญชาการโคแมนชี่
,
Bigger Blast,รัศมีระเบิดกว้างขึ้น
Mortar Faster Reload,บรรจุกระสุนเร็วขึ้น
Increased Accuracy,เพิ่มความแม่นยำ
Bloon Buster,นักถล่มลูกโป่ง
Mortar Rapid Reload,บรรจุกระสุนฉับไว
Burny Stuff,กระสุนร้อนผ่าว
Shockwave,เชลช็อก
Heavy Shells,กระสุนหนัก
Signal Flare,พลุสัญญาณ
The Big One,ของใหญ่
Artillery Battery,กองรบปืนใหญ่
Shattering Shells,กระสุนล้างบาง
The Biggest One,ของใหญ่สุด
Pop and Awe,สะท้านสะเทือน
Blooncineration,เผาผลาญมอดไหม้
,
Focused Firing,เพ่งเป้ายิง
Advanced Targeting,เล็งเป้าขั้นสูง
Powerful Darts,ลูกดอกทรงพลัง
Faster Swivel,หมุนแท่นเร็วขึ้น
Faster Barrel Spin,หมุนลำกล้องเร็วขึ้น
Depleted Bloontonium,ลูกโป่งโทเนียมพลังงานต่ำ
Laser Shock,เลเซอร์ช็อก
Laser Cannon,ปืนใหญ่เลเซอร์
Hydra Rocket Pods,ลำกล้องจรวดไฮดร้า
Buckshot,กระสุนลูกปราย
Plasma Accelerator,เครื่องเร่งอนุภาคพลาสม่า
Rocket Storm,พายุจรวด
Bloon Area Denial System,ระบบต่อต้านลูกโป่ง
Ray of Doom,รังสีหายนะ
M.A.D,M.A.D
Bloon Exclusion Zone,โซนปลอดลูกโป่ง
,
Guided Magic,เวทนำวิถี
Fireball,บอลไฟ
Intense Magic,เวทเข้มข้น
Arcane Blast,ระเบิดเวทลี้ลับ
Wall of Fire,กำแพงเพลิง
Monkey Sense,มังกี้เซนส์
Arcane Mastery,อำนาจเวทลี้ลับ
Dragon's Breath,ลมหายใจมังกร
Shimmer,เผยโฉม
Arcane Spike,หนามเวทลี้ลับ
Summon Phoenix,อัญเชิญฟีนิกซ์
Necromancer: Unpopped Army,นักเวทย์: ลูกโป่งผีดิบ
Archmage,มหาจอมเวท
Wizard Lord Phoenix,ฟีนิกซ์ลอร์ดผู้วิเศษ
Soulbind,เจ้าชายแห่งความมืด
,
Laser Blasts,เลเซอร์บลาสต์
Super Range,ซูเปอร์เรนจ์
Knockback,ซัดกระเด็น
Plasma Blasts,พลาสม่าบลาสต์
Epic Range,อีปิคเรนจ์
Ultravision,อัลตร้าวิชั่น
Sun Avatar,อวตารแห่งตะวัน
Robo Monkey,ลิงโรบ็อท
Dark Knight,อัศวินรัตติกาล
Sun Temple,วิหารแห่งตะวัน
Tech Terror,เทคเทอร์เรอร์
Dark Champion,ดาร์กแชมเปี้ยน
True Sun God,เทพตะวันตัวจริง
The Anti-Bloon,หุ่นสังหารลูกโป่ง
Legend of the Night,ตำนานแห่งรัตติกาล
,
Ninja Discipline,วินัยนินจา
Distraction,เบนความสนใจ
Seeking Shuriken,ชูริเคนติดตาม
Sharp Shurikens,ชูริเคนแหลมคม
Counter-Espionage,จารกรรมสวนกลับ
Caltrops,ตะปูเรือใบ
Double Shot,ขว้างสองครั้ง
Shinobi Tactics,กลยุทธ์ชิโนบิ
Flash Bomb,ระเบิดแสงวาบ
Bloonjitsu,ลูกโป่งจิตสึ
Bloon Sabotage,ลูกโป่งวินาศ
Sticky Bomb,ระเบิดแปะติด
Grandmaster Ninja,ปรมาจารย์นินจา
Grand Saboteur,สุดยอดนักวินาศกรรม
Master Bomber,มือระเบิดชั้นเซียน
,
Larger Potions,ยาขวดใหญ่ขึ้น
Stronger Acid,กรดแรงขึ้น
Acid Pool,แอ่งน้ำกรด
Acidic Mixture Dip,กรดอาบลูกดอก
Perishing Potions,ยาสลายเกราะ
Alchemist Faster Throwing,ขว้างเร็วขึ้น
Berserker Brew,ยานักรบคลั่ง
Unstable Concoction,สารไม่เสถียร
Lead to Gold,ตะกั่วเป็นทอง
Stronger Stimulant,สารกระตุ้นที่แรงขึ้น
Transforming Tonic,ยาแปลงร่าง
Rubber to Gold,ยางเป็นทอง
Permanent Brew,ยาทำงานถาวร
Total Transformation,แปลงร่างสมบูรณ์แบบ
Bloon Master Alchemist,นักแปรธาตุปรมาจารย์ลูกโป่ง
,
Hard Thorns,หนามแข็งแกร่ง
Thorn Swarm,ฝูงหนาม
Druidic Reach,เอื้อมมือของดรูอิด
Heart of Thunder,หัวใจสายฟ้า
Heart of Oak,หัวใจไม้โอ๊ค
Heart of Vengeance,หัวใจพยาบาท
Druid of the Storm,ดรูอิดแห่งวายุ
Druid of the Jungle,ดรูอิดแห่งผืนป่า
Druid of Wrath,ดรูอิดแห่งโทสะ
Ball Lightning,บอลสายฟ้า
Jungle's Bounty,พืชผลจากพงไพร
Poplust,พ็อปลัสต์
Superstorm,พายุยักษ์
Spirit of the Forest,จิตวิญญาณแห่งผืนป่า
Avatar of Wrath,อวตารแห่งโทสะ
,
Increased Production,เพิ่มการผลิต
Long Life Bananas,ยืดอายุกล้วย
EZ Collect,เก็บเกี่ยวสะดวก
Greater Production,เพิ่มการผลิตขึ้นอีก
Valuable Bananas,กล้วยมีค่า
Banana Salvage,เก็บกู้กล้วย
Banana Plantation,ไร่กล้วย
Monkey Bank,ธนาคารลิง
Marketplace,ตลาดการค้า
Banana Research Facility,ศูนย์วิจัยกล้วย
IMF loan,เงินกู้ IMF
Central Market,ตลาดกลาง
Banana Central,บานาน่าเซ็นทรัล
Monkey-Nomics,เศรษฐกิจวานร
Monkey Wall Street,มังกี้วอลสตรีท
,
Sentry Gun,ป้อนปืนระวังภัย
Larger Service Area,พื้นที่ทำงานกว้างขึ้น
Oversize Nails,ตะปูขนาดใหญ่
Faster Engineering,งานวิศวกรรมฉับไว
Deconstruction,รื้อค้นเพื่อวิเคราะห์
Pin,ปักตรึง
Sprockets,ฟันเฟือง
Cleansing Foam,โฟมชะล้าง
Double Gun,ปืนคู่
Sentry Expert,ผู้ชำนาญด้านป้อมปืน
Overclock,โอเวอร์คล็อก
Bloon Trap,กับดักลูกโป่ง
Sentry Paragon,เซนทรี่แชมเปี้ยน
Ultraboost,อัลตร้าบูสต์
XXXL Trap,กับดัก XXXL
,
Bigger Stacks,กองใหญ่ขึ้น
Faster Production,ผลิตเร็วขึ้น
Long Reach,ระยะไกลขึ้น
White Hot Spikes,ตะปูร้อนระอุ
Even Faster Production,ผลิตเร็วขึ้นอีก
Smart Spikes,ตะปูอัจฉริยะ
Spiked Balls,บอลหนาม
MOAB SHREDR,MOAB SHREDR
Long Life Spikes,ยืดอายุตะปู
Spiked Mines,กับระเบิดตะปู
Spike Storm,พายุตะปู
Deadly Spikes,ตะปูสังหาร
Super Mines,ซูเปอร์ไมน์
Carpet of Spikes,พรมตะปู
Perma-Spike,ตะปูถาวร
,
Military Efficiency,ประสิทธิภาพการรบ
Magic Sciences,วิทยาศาสตร์เวทมนตร์
Private Tuition,ติวส่วนตัว
Wider Influence,ระยะทำงานกว้างขึ้น
Academic Network,เครือข่ายวิชาการ
Heroic Presence,ผู้กล้าปรากฏกาย
M.A.S.H,M.A.S.H.
Wizards Library,ห้องสมุดผู้วิเศษ
Heroic Academy,วิทยาลัยผู้กล้า
Military Barracks,ค่ายทหาร
Magic Arcanum,ศาสตร์ลับเวทมนตร์
Power Hero Development (PhD),การพัฒนาพลังฮีโร่ (PhD)
Military HQ,ศูนย์บัญชาการรบ
Nexus Crucible,เน็กซัสครูซิเบิล
Dynamic Duo,ไดนามิกดูโอ้
,
Bigger Radius,รัศมีกว้างขึ้น
Grow Blocker,ยับยั้งการเติบโต
Monkey Business,ธุรกิจชาวลิง
Jungle Drums,กลองป่า
Radar Scanner,เครื่องสแกนเรดาร์
Monkey Commerce,งานพาณิชย์ชาวลิง
Primary Training,การฝึกของลิงหลัก
Monkey Intelligence Bureau,หน่วยข่าวกรองลิง
Monkey Town,มังกี้ทาวน์
Primary Mentoring,การศึกษาของลิงเริ่มต้น
Call to Arms,เรียกรวมพล
Monkey City,นครวานร
Primary Expertise,ความชำนาญลิงเริ่มต้น
Homeland Defense,ปกป้องแผ่นดินเกิด
Monkeyopolis,มหานครวานร
,
//Power names,
SuperMonkeyStorm,พายุซูเปอร์มังกี้
MonkeyBoost,มังกี้บูสต์
Thrive,รุ่งเรือง
DartTime,หยุดเวลา
CashDrop,ดร็อปเงินสด
BananaFarmer,เกษตรกรกล้วย
PortableLake,ทะเลสาบพกพา
Pontoon,แพลอยน้ำ
RoadSpikes,ตะปูถนน
MoabMine,กับระเบิด MOAB
CamoTrap,กับดักพรางตัว
GlueTrap,กับดักกาว
,
//Power descriptions,
SuperMonkeyStorm Description,นั่นมันนก ไม่ใช่ นั่นมันเครื่องบิน ผิดแล้ว นั่นคือกองกำลังลิงซูเปอร์พาวเวอร์ที่ยิงเลเซอร์และบินได้ พวกเขาจะทำลายลูกโป่งทุกลูกในจอ และทำดาเมจรุนแรงกับลูกโป่งคลาส MOAB
MonkeyBoost Description,เร่งพลังไปให้ถึง 11 กันเลย! ทาวเวอร์ทั้งหมดโจมตีเร็วขึ้นเป็นสองเท่านาน {0} วินาที
Thrive Description,เพิ่มการผลิตเงินสดจากทาวเวอร์ทั้งหมดและการเจาะลูกโป่ง {0}% มีผลไปจนจบรอบปัจจุบันและมีผลตลอดรอบหน้า!
DartTime Description,ถ้าเจอสิ่งที่เคลื่อนไหวเร็วเกินไป ให้ใช้พลังหยุดเวลาเพื่อหยุดการเคลื่อนไหวทั้งหมดชั่วครู่ เพื่อให้คุณได้มีสมาธิจัดการลิงของคุณ
CashDrop Description,อยากเติมเงินด่วนไหม ขอให้ศูนย์บัญชาการลิงยิงกล่องสุดเฟี้ยวที่ใส่เงินไว้เพียบลงมาได้เลย!
BananaFarmer Description,เบื่อกับการเก็บกล้วยเองหรือยัง เขาคนนี้ก็เบื่อเหมือนกัน แต่อย่างน้อยเขาก็ได้ค่าจ้าง เกษตรกรจะเก็บกล้วยทั้งหมดในรัศมีโดยอัตโนมัติ ทำให้คุณไม่ต้องลำบากเก็บเอง
PortableLake Description,ไม่มีที่ให้วางเรือใช่ไหม ลิงผู้ชาญฉลาดรู้ว่าพวกเขาวางทะเลสาบพกพาบนพื้นดินได้ ช่วยให้สามารถวางทาวเวอร์แบบวางในน้ำได้
Pontoon Description,วางทาวเวอร์แบบวางบนบกได้แทบทุกชนิดในน้ำด้วยแพชนิดนี้! เพียงวางแพ จากนั้นก็วางทาวเวอร์ทับลงไปได้เลย
RoadSpikes Description,ตะปูถนนกองใหญ่ที่พร้อมวางในเวลาคับขันที่สุด!
MoabMine Description,กับระเบิดทรงพลังที่ตรวจจับลูกโป่งคลาส MOAB และจะระเบิดเพื่อทำดาเมจรุนแรง
CamoTrap Description,สุดยอดผลงานทางวิศวกรรมของชาวลิง กับดักนี้จะลบล้างสถานะพรางตัวจากลูกโป่ง {0} ลูกแรกที่ไปสัมผัส
GlueTrap Description,กับดักเหนียวเหนอะหนะนี้จะลดความเร็วลูกโป่ง {0} ลูกแรกที่ไปสัมผัส จากนั้นกับดักจะหายไป
,
//Upgrade Descriptions,
Sharp Shots Description,เจาะลูกโป่งได้เพิ่มอีก 1 ลูกต่อนัด
Quick Shots Description,โจมตีเร็วขึ้น 15%
Long Range Darts Description,ทำให้ลิงลูกดอกโจมตีไกลกว่าปกติ
Razor Sharp Shots Description,เจาะลูกโป่งได้เพิ่มเติมอีก 2 ลูกต่อนัด
Very Quick Shots Description,โจมตีเร็วขึ้น 33%!
Enhanced Eyesight Description,โจมตีไกลขึ้นอีก และตรวจจับลูกโป่งลายพรางได้
Spike-o-pult Description,เปลี่ยนลิงลูกดอกให้เป็นเครื่องเหวี่ยงลูกตุ้มหนามขนาดใหญ่ที่โจมตีช้าลง ลูกตุ้มแต่ละลูก เจาะบลูนได้เป็นจำนวนมาก และเด้งออกเมื่อสัมผัสสิ่งกีดขวาง
Triple Shot Description,ขว้างลูกดอกคราวละ 3 ลูก จากเดิม 1 ลูก
Crossbow Description,ใช้หน้าไม้โจมตีระยะไกล เจาะลูกโป่งได้ 3 ชั้นต่อการโจมตีแต่ละนัด
Juggernaut Description,เหวี่ยงลูกตุ้มหนามขนาดยักษ์ที่ทำลายลูกโป่งตะกั่วได้ เหมาะกับการทำลายลูกโป่งเซรามิก
Super Monkey Fan Club Description,สกิลของแฟนคลับซูเปอร์มังกี้: เปลี่ยนลิงลูกดอกที่อยู่ใกล้เคียงสูงสุด 10 ตัว รวมตัวเอง ให้กลายเป็นซูเปอร์มังกี้นาน 15 วินาที นอกจากนี้ยังเพิ่มความเร็วการโจมตีธรรมดาขึ้นอีกด้วย
Sharp Shooter Description,ลิงตาเหยี่ยวโจมตีเร็วขึ้น และทุกสองสามนัดจะยิงกระสุนคริติคอลอันทรงพลัง ทำดาเมจรุนแรงขึ้นมากๆ
Ultra-Juggernaut Description,ลูกตุ้มหนามยักษ์แบ่งตัวสองครั้งเป็นลูกตุ้มจักเกอร์นอต 6 ลูก เพื่อพลังทำลายที่รุนแรงขึ้น
Plasma Monkey Fan Club Description,สมาชิกระดับสูงของชมรมนี้มอบพลังที่แข็งแกร่งยิ่งขึ้นให้ลิงลูกดอก!
Crossbow Master Description,เซียนหน้าไม้ยิงเร็วมากและทำลายลูกโป่งเกือบทุกชนิดได้สบายๆ
,
Improved Rangs Description,เจาะลูกโป่งได้สูงสุด 8 ลูกต่อการขว้างหนึ่งครั้ง
Faster Throwing Description,ขว้างบูมเมอแรงเร็วขึ้น
Long Range Rangs Description,ขว้างบูมเมอแรงไกลกว่าปกติ
Glaives Description,ขว้างกงจักรที่คมกว่าและเร็วกว่าแทนบูมเมอแรง
Faster Rangs Description,ขว้างบูมเมอแรงเร็วขึ้น และบูมเมอแรงเคลื่อนที่เร็วขึ้น
Red Hot Rangs Description,บูมเมอแรงเจาะลูกโป่งแช่แข็งและลูกโป่งตะกั่วได้ และทำดาเมจแรงขึ้นกับศัตรูทุกชนิด
Glaive Ricochet Description,กงจักรจะชิ่งไปยังลูกโป่งลูกอื่นโดยอัตโนมัติอย่างรุนแรง
Bionc Boomerang Description,เปลี่ยนไปใช้แขนจักรกลอันทรงพลังที่ขว้างบูมเมอแรงได้เร็วมาก และทำดาเมจแรงขึ้นกับลูกโป่งคลาส MOAB
Kylie Boomerang Description,ขว้างบูมเมอแรงไคลี่ซึ่งมีน้ำหนักมาก มีวิถีการโจมตีตรง จากที่เดิมเป็นวิถีโค้ง
M.O.A.R Glaives Description,ระบบสะท้อนขั้นสูงกับวัตถุจำนวนมาก (Multiple Object Advanced Ricochet) เสริมพลังที่ยอดเยี่ยมอยู่แล้วของลิงกงจักรสะท้อน
Turbo Charge Description,สกิลเทอร์โบชาร์จ: ทำให้ลิงตัวนี้โจมตีเร็วอย่างเหลือเชื่อเป็นเวลา 10 วินาที
MOAB Press Description,บูมเมอแรงไคลี่โจมตีลูกโป่งคลาส MOAB หลายครั้งต่อการขว้างแต่ละครั้ง และบางครั้งก็ซัดให้กระเด็นถอยหลังเป็นระยะสั้นๆ ตามเส้นทาง
Glaive Lord Description,ลอร์ดแห่งกงจักรมีกงจักรพิเศษ 3 อันล้อมรอบตัว หั่นเฉือนทุกสิ่งที่เข้าใกล้ กงจักรของลอร์ดแห่งกงจักรผ่าทะลุลูกโป่งคลาส MOAB เฉือนมันเป็นชิ้นๆ จากภายใน
Perma Charge Description,เพอร์มาชาร์จมีความเร็วโจมตีเร็วมากอย่างถาวร สกิลเพิ่มความรุนแรงมากขึ้นไปอีก
MOAB Domination Description,ไคลี่ซัดถอยหลังแบบพิเศษทำงานบ่อยขึ้น และทำดาเมจเพิ่มขึ้นอย่างมาก
,
Bigger Bombs Description,ยิงระเบิดขนาดใหญ่ขึ้น มีรัศมีระเบิดกว้างขึ้นและพลังการเจาะมากขึ้น
Faster Reload Description,บรรจุกระสุนเร็วขึ้น
Extra Range Description,เพิ่มระยะโจมตี
Heavy Bombs Description,ระเบิดพลังสูงสามารถเจาะลูกโป่ง 2 ชั้นในคราวเดียว และทำลายลูกโป่งเพิ่มมากขึ้น
Missile Launcher Description,เปลี่ยนจากระเบิดเป็นมิสไซล์ ซึ่งยิงเร็วขึ้น เคลื่อนที่เร็วขึ้น และมีระยะไกลขึ้น
Frag Bombs Description,ระเบิดส่งสะเก็ดแหลมคมออกมา ซึ่งทำลายลูกโป่งเพิ่มมากขึ้น รวมถึงลูกโป่งสีดำ
Really Big Bombs Description,ระเบิดขนาดใหญ่ทำดาเมจรุนแรงขึ้นเป็นพื้นที่กว้าง และสะเก็ดระเบิดทำลายลูกโป่งได้มากขึ้น
MOAB Mauler Description,มอลเลอร์ MOAB ทำดาเมจกับลูกโป่งคลาส MOAB แรงขึ้นอย่างมาก
Cluster Bombs Description,ส่งระเบิดออกมาอีกทอดหนึ่ง แทนที่จะส่งสะเก็ดแหลมคมออกมาในแต่ละนัด
Bloon Impact Description,ระเบิดรุนแรงขึ้นมากจนทำให้ลูกโป่งสตันเป็นเวลาสั้นๆ เมื่อโดนโจมตี เพิ่มระยะไกลขึ้น และสะเก็ดระเบิดมีประสิทธิภาพมากขึ้น
MOAB Assassin Description,สกิลสังหาร MOAB: ยิงมิสไซล์พิเศษเพื่อทำดาเมจรุนแรงกับลูกโป่งคลาส MOAB เพิ่มระยะโจมตีธรรมดา และเพิ่มดาเมจที่ทำกับลูกโป่งคลาส MOAB
Recursive Cluster Description,ทุกนัดที่สอง ระเบิดคลัสเตอร์จะกระจายระเบิดคลัสเตอร์อีกทอดเพื่อพลังทำลายล้างที่มากขึ้น
Bloon Crush Description,กระสุนล้างบางทำดาเมจมหาศาล และสตันลูกโป่งคลาส MOAB ได้
MOAB Eliminator Description,ทำดาเมจมหาศาลกับ MOAB นอกจากนี้ ทักษะปืนใหญ่สังหารทำดาเมจ 6 เท่าและมีคูลดาวน์ไม่นาน
Bomb Blitz Description,"ทำดาเมจแรงขึ้นมาก และได้รับสกิลติดตัว ""พายุระเบิด"" - เมื่อสูญเสียแต้มชีวิต พายุระเบิดจะทำงานโดยอัตโนมัติ สกิลนี้จะทำลายลูกโป่งทั้งหมดยกเว้นลูกโป่งขนาดใหญ่สุด"
,
Faster Shooting Description,ยิงตะปูเร็วขึ้น
Long Range Tacks Description,ตะปูลอยไปไกลกว่าปกติ
More Tacks Description,ยิงตะปู 10 ตัวจากเดิม 8 ตัว พร้อมเพิ่มดาเมจของสกิลวงแหวนเพลิง
Even Faster Shooting Description,ยิงตะปูเร็วขึ้นอีก
Super Range Tacks Description,ตะปูเพิ่มระยะไกลออกไปอีก และทำลายลูกโป่งได้มากขึ้น
Even More Tacks Description,ยิงตะปู 12 ตัวต่อครั้ง พร้อมเพิ่มดาเมจของสกิลวงแหวนเพลิงขึ้นไปอีก
Hot Shots Description,ยิงตะปูความร้อนสูงที่ทำดาเมจเพิ่มเติมและเจาะลูกโป่งตะกั่วได้
Blade Shooter Description,เปลี่ยนจากตะปูเป็นใบเลื่อยคมกริบ ทำลายลูกโป่งเพิ่มเติมได้สูงสุด 5 ลูก
Tack Sprayer Description,ยิงตะปูออกมา 16 ตัวต่อครั้ง
Ring of Fire Description,เปลี่ยนจากตะปูมาใช้วงแหวนเพลิงอันทรงพลัง ทำดาเมจลูกโป่งเพิ่มหลายตัวมากๆ
Blade Maelstrom Description,สกิลพายุใบเลื่อย: ยิงใบเลื่อยจำนวนมากออกไปเหมือนพายุหมุนครอบคลุมทั้งจอ
Overdrive Description,ยิงด้วยความเร็วสูงเหลือเชื่อ
Inferno Ring Description,เพลิงนรกอันร้ายกาจเผาทำลายลูกโป่งให้สิ้นซาก
Super Maelstrom Description,สกิลพายุแรงขึ้นไปอีกและอยู่ได้นานขึ้น
The Tack Zone Description,ตะปูปริมาณมาก
,
Permafrost Description,ลูกโป่งยังเคลื่อนที่ช้าต่อไปแม้น้ำแข็งจะละลายแล้ว
Enhanced Freeze Description,โจมตีเร็วขึ้นและแช่แข็งนานขึ้น
Larger Radius Description,รัศมีการแช่แข็งกว้างขึ้น
Metal Freeze Description,สามารถแช่แข็งและทำลายลูกโป่งตะกั่วกับลูกโป่งลายพราง
Deep Freeze Description,แช่แข็งเพิ่มอีกชั้น จะทำให้การแช่แช่แข็งอยู่ได้นานขึ้น
Re-Freeze Description,แช่แข็งลูกโป่งที่ถูกแช่แข็งอยู่แล้วซ้ำได้
Ice Shards Description,ผลึกอันคมกริบลอยออกมาเมื่อทำลายลูกโป่งที่ถูกแช่แข็ง
Arctic Wind Description,โจมตีศัตรูหลายตัวขึ้นมาก และได้ออร่าเย็นเฉียบที่ลดความเร็วลูกโป่งและแช่แข็งน้ำที่อยู่ใกล้เคียง
Cryo Cannon Description,ยิงระเบิดแช่แข็งใส่ลูกโป่งในระยะไกลขึ้น
Embrittlement Description,โจมตีลูกโป่งคลาส MOAB ได้ ลูกโป่งทั้งหมดที่ถูกโจมตีจะมีสถานะเปราะ ได้รับดาเมจเพิ่มเติมเมื่อแช่แข็ง และเสียคุณสมบัติการพรางตัว
Snowstorm Description,สกิลพายุหิมะ: แช่แข็งลูกโป่งธรรมดาทั้งหมดในหน้าจอ แช่แข็งลูกโป่งสีขาว ม้าลาย และลายพรางเป็นเวลาสั้นๆ พร้อมลดความเร็วคลาส MOAB
Icicles Description,ลูกโป่งที่ถูกแช่แข็งจะงอกน้ำแข็งย้อยอันแหลมคมออกมาทำลายลูกโป่งที่สัมผัส
Super Brittle Description,ลูกโป่งได้รับดาเมจรุนแรงขณะถูกแช่แข็ง รวมถึงลูกโป่งคลาส MOAB ด้วย
Absolute Zero Description,สกิลมีพลังความเย็นรุนแรงขึ้น ทำให้ลูกโป่งธรรมดารวมถึงลูกโป่งสีขาว ม้าลาย และลายพรางถูกแช่นานขึ้น ลดความเร็วคลาส MOAB ได้นานขึ้น และเพิ่มความเร็วโจมตีของลิงน้ำแข็งทุกขึ้นอย่างมากตลอดระยะเวลาทำงานของสกิล
Icicle Impale Description,ยิงหนามน้ำแข็งย้อยขนาดใหญ่ ทำดาเมจรุนแรงและแช่แข็งลูกโป่งคลาส MOAB
,
Glue Soak Description,กาวอาบลูกโป่งทุกชั้น
Bigger Globs Description,เคลือบลูกโป่งได้ 2 ลูกต่อนัด
Stickier Glue Description,ทำให้เอฟเฟกต์กาวอยู่นานขึ้นมาก
Corrosive Glue Description,ลูกโป่งที่โดนกาวจะถูกทำลายหนึ่งชั้นทุกสองสามวินาที
Glue Splatter Description,สาดกาวใส่ลูกโป่งได้สูงสุด 6 ลูกต่อนัด
Stronger Glue Description,ลดความเร็วลูกโป่งลงไปอีก
Bloon Dissolver Description,สารละลายฤทธิ์รุนแรงละลายลูกโป่ง 2 ชั้นทุกวินาที
Glue Hose Description,ยิงกาวเร็วขึ้นเป็น 3 เท่า!
MOAB Glue Description,ปรับปรุงสูตรกาวให้เกาะติดลูกโป่งคลาส MOAB ได้
Bloon Liquefier Description,กาวเคลือบลูกโป่งเพิ่มเติมอีกหนึ่งตัวต่อนัด และทำให้เปื้อนสารเหลวที่ทำลายลูกโป่ง 10 ชั้นต่อวินาที
Glue Strike Description,สกิลกลูสไตรก์: เคลือบกาวใส่ลูกโป่งทุกลูกบนจอ ทำให้ลูกโป่งทุกลูกโดนดาเมจทุกชนิดแรงขึ้นขณะที่เปื้อนกาว
Relentless Glue Description,ลูกโป่งเปื้อนกาวที่ถูกทำลายจะทิ้งแอ่งกาวไว้บนเส้นทาง
The Bloon Solver Description,"มีปัญหากับลูกโป่งเหรอ นี่ล่ะคือโซลูชั่น เป็นทั้ง ""ทางแก้"" และ ""สารละลาย"" ในตัว"
Glue Storm Description,สกิลพายุกาวใช้กาวโจมตีทั้งหน้าจอตลอดระยะเวลา 15 วินาที ลูกโป่งที่เปื้อนกาวจะได้รับดาเมจเพิ่มเติม
Super Glue Description,กาวมีพลังแรงถึงขั้นหยุดการเคลื่อนไหวลูกโป่งทั้งหมดที่เปื้อนกาวชั่วคราว!
,
Full Metal Jacket Description,กระสุนเจาะลูกโป่ง 4 ชั้น และทั้งกระสุนกับสะเก็ดสามารถทำลายลูกโป่งตะกั่วและลูกโป่งแช่แข็งได้
Night Vision Goggles Description,ทำให้ลิงซุ่มยิงสามารถตรวจจับและทำดาเมจเพิ่มเติม 2 หน่วยกับลูกโป่งลายพราง
Fast Firing Description,ยิงเร็วกว่าปกติ
Large Calibre Description,กระสุนเจาะลูกโป่งได้ 7 ชั้น
Shrapnel Shot Description,ลูกโป่งที่โดยดาเมจพ่นสะเก็ดแหลมคมออกไปเป็นพื้นที่รูปโคน
Even Faster Firing Description,ยิงเร็วขึ้นกว่าเดิมอีก!
Deadly Precision Description,ดาเมจ 20 หน่วยต่อนัด พร้อมทำดาเมจโบนัสกับเซรามิก
Bouncing Bullet Description,กระสุนกระดอนไปยังเป้าหมายใหม่ สูงสุด 3 ครั้ง
Semi-Automatic Description,โจมตีเร็วขึ้นเป็น 3 เท่า!
Maim MOAB Description,ทำดาเมจเยอะขึ้นมากและหยุดการเคลื่อนไหวลูกโป่งคลาส MOAB เป็นเวลาสั้นๆ
Supply Drop Description,สกิลเสบียงทางอากาศ: ดร็อปลังที่เต็มด้วยเงินสด การโจมตีธรรมดายังสามารถทำดาเมจลูกโป่งตะกั่ว และเพิ่มพลังการเจาะของสะเก็ด
Full Auto Rifle Description,อาวุธอัตโนมัติเต็มรูปแบบที่มีพลังการเจาะรุนแรงเหลือเชื่อ
Cripple MOAB Description,MOAB ที่ถูกหยุดการเคลื่อนไหวจะหยุดนานขึ้น และได้รับดาเมจเพิ่มเติมจากการโจมตีอื่นๆ ทั้งหมด
Elite Sniper Description,เสบียงทางอากาศให้เงินสดเยอะขึ้นมาก ให้ความสำคัญกับการเล็งลูกโป่งระดับสูงก่อน และทำให้พลซุ่มยิงทุกคนบรรจุกระสุนเร็วขึ้น
Elite Defender Description,ยิงเร็วมากๆ และยิ่งบลูนตามเส้นทางอยู่ห่างจากตัวเองเท่าไหร่ก็จะยิ่งโจมตีเร็วขึ้น ความเร็วโจมตีเพิ่มขึ้นเป็น 4x ครู่หนึ่งเมื่อเสียแต้มชีวิต ทำดาเมจแรงขึ้นกับบลูนคลาส MOAB
,
Longer Range Description,เพิ่มระยะโจมตี
Barbed Darts Description,ลูกดอกของเรือดำน้ำเจาะลูกโป่งเพิ่มเติมอีก 3 ลูก
Twin Guns Description,"ทำให้ปืนคู่ที่เพิ่มมามีความเร็วโจมตีเป็น 2 เท่า เสริมพลังให้สกิล ""มิสไซล์วิถีโค้ง"" และ ""ปฏิกรณ์ลูกโป่งโทเนียม"""
Advanced Intel Description,ทำให้สามารถเล็งเป้าหมายระยะไกลเพื่อโจมตีลูกโป่งในรัศมีทาวเวอร์อื่นๆ ของคุณ
