//Input. Needs to be first e.g [I] replaced by click or tap,
Click,クリック
M.O.A.R Glaives Description,マルチ物体上級跳ね返り(MOAR)は、グレイブ・リコシェット・モンキーの既に素晴らしいパワーをさらに向上させる。
Turbo Charge Description,ターボチャージ能力：10秒間、このモンキーの攻撃を信じられないほど速くする。
MOAB Press Description,重たいカイリーブーメランを投げるたびに、MOAB級ブルーンに複数回命中し、戻って来るときにノックダウンすることもある。
Glaive Lord Description,剣天王は自身を3つの特別な剣で囲み、近づくもの全てを切り裂く。剣天王の剣は、MOAB級ブルーンを内側からゆっくりと切り裂く。
Perma Charge Description,永久チャージは、永久的な超高速攻撃速度を備えている。アビリティが、致死性をさらに上げる。
MOAB Domination Description,特別なノックバックブーメランで、しばしばもっと大きなダメージを与え、その頻度も増える。
,
Bigger Bombs Description,より大きな爆弾を発射。爆破エリアが広がり、破裂力もアップ。
Faster Reload Description,リロードがスピーディーになる。
Extra Range Description,攻撃距離を増やす。
Heavy Bombs Description,一度にブルーン2層分をつぶし、もっと多くのブルーンを割ることができる頑丈な爆弾。
Missile Launcher Description,爆弾を、もっとスピーディーに発砲し、さらに長い距離を速く飛べるミサイルに交換しよう。
Frag Bombs Description,爆破すると鋭い破片を投げつけ、黒ブルーンを含めたブルーンを割ることができる。
Really Big Bombs Description,巨大爆弾が広範囲でもっと大きなダメージを与え、手りゅう弾がもっと多くのブルーンを割れるようにする。
MOAB Mauler Description,MOABモーラーは、MOAB級ブルーンにさらに大きなダメージを与える。
Cluster Bombs Description,発射のたびに、鋭い破片の代わりに第二の爆弾を投じる。
Bloon Impact Description,爆破の勢いがとても強いので、当たるとブルーンは短時間マヒする。範囲が増え、手りゅう弾がもっと効果的になる。
MOAB Assassin Description,暗殺MOAB能力：MOAB級ブルーンにダメージを与える特別なミサイルを発射する。通常の攻撃範囲とMOAB級ダメージも増加する。
Recursive Cluster Description,撃ったクラスター爆弾が、毎秒もっと沢山のクラスター爆弾を放出し、破壊力が増す。
Bloon Crush Description,ブルーンを破壊する爆破が巨大なダメージを与え、MOAB級ブルーンをマヒさせる。
MOAB Eliminator Description,MOABに巨大なダメージを与え、暗殺能力が与えるダメージが6倍になり、クールダウンが短縮される。
Bomb Blitz Description,より大きなダメージを与え、受け身の爆弾の嵐の能力を得る。殺された場合には、最大のブルーン以外の全部を破壊する爆弾の嵐が自動的にトリガーされる。
,
Faster Shooting Description,びょうを撃つのが早くなる。
Long Range Tacks Description,びょうが通常より遠くへ飛ぶ。
More Tacks Description,8個でなく10個のびょうを発砲するようになり、さらに火の輪のダメージが増える。
Even Faster Shooting Description,びょうを撃つのがもっと早くなる。
Super Range Tacks Description,びょうの飛距離がもっと長くなり、もっとたくさんのブルーンを割れるようになる。
Even More Tacks Description,一発に12個のびょうを打ち放ち、火の輪のダメージがもっと増える。
Hot Shots Description,追加ダメージを与え鉛ブルーンを割れるスーパーショットのびょうを撃つ。
Blade Shooter Description,一度に最大5個のブルーンを割れる鋭い刃を撃つスイッチ。
Tack Sprayer Description,一斉射撃ごとに16個のびょうを撃ち放つ。
Ring of Fire Description,びょうの代わりに致死的な炎の輪で、より多くのブルーンにダメージを与える。
Blade Maelstrom Description,ブレード大混乱能力：地域をブレードの嵐で覆う。
Overdrive Description,信じられないほどのスピードで撃つ。
Inferno Ring Description,致命的な猛火がブルーンを忘却の彼方へと焼きつける。
Super Maelstrom Description,もっとパワフルな大混乱能力で、持続時間も長い。
The Tack Zone Description,とてもたくさんのびょう。
,
Permafrost Description,解凍後もブルーンの動きを遅らせる。
Enhanced Freeze Description,高速攻撃を行い、凍結時間も長くなる。
Larger Radius Description,凍結エリアが広くなる。
Metal Freeze Description,鉛とカモフラージュブルーンを凍結して割れる。
Deep Freeze Description,ブルーン2層分を凍結する。
Re-Freeze Description,既に凍結しているブルーンを、再凍結できる。
Ice Shards Description,凍結ブルーンが割れると剃刀のように鋭い破片が飛び散る。
Arctic Wind Description,貫通度を大きく上げて、近寄るブルーンの動きを遅らせるとても冷たいオーラを取得する。
Cryo Cannon Description,もっと遠距離のブルーンめがけて、凍結ボムを発射。
Embrittlement Description,MOAB級ブルーンに命中できる。命中した全てのブルーンはもろくなり、凍結中に追加のダメージを受け、カモフラージュ性を失う。
Snowstorm Description,雪嵐の能力：画面上の全てのブルーンを凍結させる。白、ゼブラ、カモフラージュ、MOAB級は短時間凍結させる。
Icicles Description,凍結したブルーンは、鋭いつららを作り、触れたブルーンを割ることができる。
Super Brittle Description,MOAB級ブルーンを含めたブルーンが、凍結中に巨大ダメージを与える。
Absolute Zero Description,とても冷たい能力なので、白、ゼブラ、カモフラージュを含め全部の通常ブルーンを凍結させてる。MOAB級の遅延度を増やし、アイスモンキーの攻撃速度を大幅に上げる。
Icicle Impale Description,巨大なつららのスパイクがMOAB級ブルーンに巨大なダメージを与え、凍結する。
,
Glue Soak Description,グルーがブルーンの全層に浸透する。
Bigger Globs Description,一度に2個のブルーンの表面を覆うことができる。
Stickier Glue Description,グルーの効果がより長く持続する。
Corrosive Glue Description,迷彩ブルーンや打つと砕けるブルーンを検知し、凍らせている間に追加ダメージを与え、迷彩特性を無効にする。
Glue Splatter Description,一度に最大6個のブルーンにグルーをまき散らす。
Stronger Glue Description,ブルーンをもっと遅らせる。
Bloon Dissolver Description,究極の溶剤は1秒に1層ずつ溶かす。
Glue Hose Description,グルーを三倍速で発射！
MOAB Glue Description,改良調合で、MOAB級ブルーンにくっつけるようになった。
Bloon Liquefier Description,ショットごとにもうひとつずつブルーンをのり付けして、毎秒10個弾ける液化化合物をこすり付ける。
Glue Strike Description,グルー攻撃能力：画面の全てのブルーンをのり付けして、より多くの全てのダメージを受けるようにする。
Relentless Glue Description,のり付けされて割れたブルーンが、トラック上にグルーの塊を残していく。
The Bloon Solver Description,ブルーンが問題だって？ここに解決法があるよ。
Glue Storm Description,グルーの嵐の能力が、15秒間以上、ノリで画面全体を強打する。接着ブルーンは、接着されている間は追加ダメージを受ける。
Super Glue Description,とても強力なグルーなので、影響を受けたブルーン全てを一時的に動かなくさせる！
,
Full Metal Jacket Description,ブルーンを4層貫通できる射撃。鉛と凍結ブルーンも割れる。
Night Vision Goggles Description,スナイパーが、迷彩ブルーンを検知し、追加で2ダメージ与えられるようになる。
Fast Firing Description,通常より速く発射する。
Large Calibre Description,ブルーンの4層分を貫通できる射撃！
Shrapnel Shot Description,破壊されたブルーンが、全方向に鋭い散弾をまき散らす。
Even Faster Firing Description,もっと速く発射。
Deadly Precision Description,ショットごとに20ダメージ、さらに陶器に対し追加ダメージ。
Bouncing Bullet Description,最高3回まで、新しい標的めがけてショットが跳ね返る。
Semi-Automatic Description,三倍速攻撃！
Maim MOAB Description,さらにより大きなダメージを与えて、MOAB級ブルーンを短時間動かなくする。
Supply Drop Description,供給品ドロップ能力：箱に一杯のキャッシュを落とす。通常の攻撃で鉛のブルーンを破壊し、散弾銃の破裂パワーが大きくなる。
Full Auto Rifle Description,信じられないほどの破裂パワーがある完全自動式の武器。
Cripple MOAB Description,打撃をういけたMOABがより長い時間動けなくなり、全てのほかの攻撃から追加ダメージを受ける。
Elite Sniper Description,供給品ドロップで投下されるキャッシュが増える。全てのスナイパーに、エリート照準プリオとより速いリロードを与えてくれる。
Elite Defender Description,ライフが一つ失われると、短時間の間、このスナイパーに報復として4倍の攻撃速度が与えられる。また、ブルーンがトラックに沿っているほど、攻撃がより速く遠くまで到達する。MOAB級ブルーンにより大きなダメージを与える。
,
Longer Range Description,攻撃距離を増やす。
Barbed Darts Description,潜水艦のダーツが、追加で3個のブルーンを割れる。
Twin Guns Description,ツインガンを追加すると攻撃スピードが2倍に。弾道ミサイルとブルーントニウム炉を増強する。
Advanced Intel Description,ほかのタワーの半径内のブルーンを遠くから狙えるようになる。
Heat-tipped Darts Description,加熱ダーツが命中すると3つに分裂し、巨大な破裂パワーとなる。
Airburst Darts Description,エアバースト・ダーツは当たると3つに分裂し、巨大な破裂パワーを発する。ブルーントニウム炉をさらに増強する。
Submerge and Support Description,潜水中は攻撃しないが、半径内のカモフラージュブルーンを永久的に見えるようにする潜水照準オプションを加える。
Ballistic Missile Description,範囲内の標的を探し、追加のMOABおよぼ後期ダメージを与える。
Triple Guns Description,もっと速く射撃できるように、三番目の銃を追加する。
Bloontonium Reactor Description,潜水してカモフラージュを検知し、ブルーンを割って水中ベースモンキーのクールダウン能力を15%.短縮する。
First Strike Capability Description,先制攻撃能力：画面上の最も大きなブルーンに破滅的なミサイル攻撃をし、大きなスプラッシュダメージを与える。
Armor Piercing Darts Description,特別APダーツのダメージと破裂パワーが増え、MOAB級ブルーンに追加ダメージを与える。
Energizer Description,あらゆる場所のアビリティクールダウンを20％減らす。半径内では、ヒーローはXPを50％速く獲得でき、水のモンキーアビリティのクールダウンが半分になる。
Pre-emptive Strike Description,MOAB級ブルーンがブルーン入り口からスポーンする度に、自動的にパワフルなミサイル攻撃をトリガーする。
Sub Commander Description,半径内の司令官と全ての潜水艦対し、貫通度とダメージを追加する。
,
Buccaneer-Faster Shooting Description,搭載された全ての武器が、より高速に発砲する。
Buccaneer-Grape Shot Description,5個の尖ったブドウ弾からなる噴出を船に追加する。
Buccaneer-Long Range Description,さらに広い範囲で、発射物がより速く飛ぶ。
Buccaneer-Double Shot Description,船が発射する武器が二倍になる。
Buccaneer-Hot Shot Description,燃える厚いブドウ弾が、鉛ブルーンを割り、ブルーンを燃やす。
Buccaneer-Crow's Nest Description,海賊がカモフラージュブルーンを撃てるようになる。
Buccaneer-Destroyer Description,スーパー素早い攻撃！
Buccaneer-Cannon Ship Description,パワフルな爆弾を発射するパワフルな大砲を追加する。
Buccaneer-Merchantman Description,各ラウンドで自動的にキャッシュを作り出す。
Buccaneer-Aircraft Carrier Description,ブルーンを機銃掃射する戦闘機団を発動し、MOAB級ブルーンにミサイルを発射する。
Buccaneer-Monkey Pirates Description,船に2台の大砲と、もっとダメージを与える大砲攻撃を追加する。MOABテイクダウン能力：MOAB級ブルーンにもりを投げつけて倒す。
Buccaneer-Favored Trades Description,より高速攻撃を行い、ラウンドごとにたくさんのお金を生成する。半径内のモンキーの販売価値が上がる。
Buccaneer-Carrier Flagship Description,追加ダメージを与える。船の上方の甲板にモンキーを配置でき、全ての水ベースのモンキーとモンキーエースの攻撃速度をアップする。
Buccaneer-Pirate Lord Description,全ての攻撃速度が大幅に上がり、一度に3つの四爪錨を撃ち、MOAB級ブルーンを倒すと、それぞれから追加のキャッシュを略奪する。
Buccaneer-Trade Empire Description,各ラウンドでもっと多くのキャッシュを生成し、獲得するキャッシュをほかの商人の数の最大20倍まで増やすほか、全ての商人のダメージをブーストする。
,
Rapid Fire Description,通常より速く発射する。
Exploding Pineapple Description,地面に落とすと数秒後に激しく爆発するパイナップルを投下。エースの爆発攻撃が改善された。
Sharper Darts Description,手裏剣はそれぞれ8個のブルーンを割ることができる。
Lots More Darts Description,一度に12本のダーツを発射。
Spy Plane Description,モンキーエースがカモフラージュブルーンを撃てるようになる。
Centered Path Description,新しいセントラル飛行経路の最大マップ範囲
Fighter Plane Description,速く飛行し、MOAB対抗ミサイルを発射する。
Bomber Ace Description,ブルーンのトラック上を通過する際に一連の爆弾を投下する。
Neva-Miss Targeting Description,ダーツが自分で自動的にブルーンを探しだして割る。
Operation: Dart Storm Description,一斉射撃ごとに16本のダーツを二倍速で撃つ。
Ground Zero Description,爆弾ダメージが大幅に増える。爆心地の能力：画面上のほとんどを破壊する巨大爆弾を落とす。
Spectre Description,ダーツと爆弾を素早く発射し、ほとんどの種類のブルーンをたやすく片付ける。
Sky Shredder Description,ブルーンたちは、彼らが来なければ良いのにと願う。
Tsar Bomba Description,とても、とても大きな爆弾。だれか、この狂気を止めて！
Flying Fortress Description,これこそ、大型航空機。
,
Quad Darts Description,一度に2本でなく4本のダーツを発射する。
Bigger Jets Description,パワフルなジェットにより、ヘリの移動速度がもっと速くなる。
Faster Firing Description,ヘリ攻撃の速度が上がる。
Pursuit Description,新しい照準オプションで、ヘリがブルーンを自動検知し追跡できるようになる。
IFR Description,ヘリパイロットがカモフラージュブルーンを探知し射撃できるようになる。
Faster Darts Description,ダーツが空中をもっと速く推進する。
Razor Rotors Description,回転剃刃ブレードが、触れるブルーンを全て引き裂く。鉛と凍結ブルーンも含む。
Downdraft Description,ブルーンをヘリから吹き飛ばし、入り口方向へ戻す。
MOAB Shove Description,MOAB級ブルーンと追突し押しのけ、その動きを逆にしたり遅くしたりする。押しのけパワーは、大型ジェットとIFRアップグレードで増幅する。
Apache Dartship Description,大きなミサイル配列とパワフルなマシンガンを追加する。
Support Chinook Description,能力：ライフとキャッシュクレートを落下させる。または、ほとんどの種類のモンキーをピックアップし再展開させることができる。
Comanche Defense Description,最も必要な時に、自動的に３多くコマンチを呼ぶ。
Apache Prime Description,アパッチプライムは、ほとんどのブルーンに膨らんだことを後悔させる。
Special Poperations Description,マシンガンを持つパワフルな特別モンキー海兵隊を展開する。
Comanche Commander Description,アップグレードした武器。３多くコマンチも自動的に呼ぶ。永久に。
,
Bigger Blast Description,ビッグブラストの炸裂弾の爆発半径がもっとビッグに。
Mortar Faster Reload Description,迫撃砲の攻撃速度を増加する。
Increased Accuracy Description,より正確な発砲になる。
Bloon Buster Description,一度に2層のブルーンを砕ける！
Mortar Rapid Reload Description,リロードがもっと速くなる。
Burny Stuff Description,ダメージを受けたブルーンは、ヒットごとに一瞬炎上する。
Shockwave Description,爆発衝撃波が命中時にブルーンをマヒさせ、より広い地域のブルーンを割り、バーニースタッフのダメージを増やす。
Heavy Shells Description,頑丈な炸裂弾が陶器、鉛、そして全ての強化ブルーンに対し追加ダメージを与える。黒ブルーンを割ることもできる。
Signal Flare Description,閃光で割られたカモフラージュブルーンが、永久にカモフラージュを失う。
The Big One Description,破滅的な爆発がブルーンを5層分割り、バーニースタッフのダメージをさらに増やす。
Artillery Battery Description,砲撃能力：わずかに広いエリアで急速発射攻撃を発動する。主攻撃がとても高速の3バレルにアップグレードされる。
Shattering Shells Description,散らばる殻は、最大のブルーン以外のすべての特別なブルーンの特性を取り除きます。
The Biggest One Description,巨大な地域でブルーンを深い層まで爆破するほか、バーニースタッフの強力なダメージをもたらす。
Pop and Awe Description,割って恐べし能力：スクリーン全体に爆発し、数秒間、すべてのブルーンを割って固定する。
Blooncineration Description,とても熱いバーニースタッフが、ショットごとにブルーンを5層分溶かしてくれる。MOAB級のブルーンも燃やして追加ダメージを与え、DDT迷彩を取り除く。
,
Focused Firing Description,ダートリング砲の精度が上がる。
Advanced Targeting Description,ダートリング砲手が迷彩ブルーンを打てるようになる。
Powerful Darts Description,ダーツはより速く動いて凍結ブルーンを破裂させることができつほか、それぞれ3個のブルーンを割れる。
Faster Swivel Description,銃身がもっと速く回転できるようになる。
Faster Barrel Spin Description,銃をより速く撃てるようになる。
Depleted Bloontonium Description,どの種類のブルーンにもダメージを与えられるようになる。
Laser Shock Description,先端にレーザーがついたショットがブルーンにショックを与え、命中した1秒後にまた割れるようにする。
Laser Cannon Description,凍結ブルーンを割ることのできるよりパワフルなレーザー爆破を早撃ち。
Hydra Rocket Pods Description,全てのタイプのブルーンにダメージを与えて、爆発を複数回引き起こす劣化ブルーントニウムミサイルを発射する。
Buckshot Description,ダーツの代わりに致命的なバックショットの爆破を発射する。
Plasma Accelerator Description,一か所に向けてパワフルなエネルギー光線を集中させる。
Rocket Storm Description,ロケットストーム能力：パワフルなロケットの嵐を幅広い放射状に放つ。
Bloon Area Denial System Description,4銃身の自動大砲が自動的に攻撃するように設定できる。
Ray of Doom Description,ブルーン破滅への明確な線を作り出す。気の向くままに、ほとんどのブルーンを消し去ることができる。
M.A.D Description,MOAB保証付きデストロイヤー。ゆっくり発射するメガミサイルが、MOAB級ブルーンに絶大なダメージを与える。
Bloon Exclusion Zone Description,6銃身にグレードアップされており、ダメージも大幅に増加。ブルーンの存在自体が排除される。
,
Guided Magic Description,魔法攻撃が長もちし、ブルーンを探し出す。隠れているものまでも。
Fireball Description,数秒ごとに、爆破の火の玉の呪文を唱える。
Intense Magic Description,もっとパワフルな魔法攻撃
Arcane Blast Description,より大規模でパワフルな魔法攻撃が、ブルーン2層分を割る。
Wall of Fire Description,トラック全体に超熱々の炎の壁を作り出し、通過するブルーンを丸焼きにする。
Monkey Sense Description,海賊がカモフラージュブルーンを撃てるようになる。
Arcane Mastery Description,範囲、ダメージ、破裂力が増強した高速攻撃。
Dragon's Breath Description,付近のブルーンにずっと炎を噴射して、ファイヤーボールと炎の壁を強化する。
Shimmer Description,付近のカモフラージュブルーンの場所が時々見えるようになる黒魔術攻撃を永久に取得する。
Arcane Spike Description,より高速な発射魔法が、ほとんどの種類のブルーンに巨大ダメージを与える。
Summon Phoenix Description,フェニックス召喚能力：パワフルなフェニックスが20秒間ブルーンに大惨事をもたらす。
Necromancer: Unpopped Army Description,最近割った敵を生き返らせ、召使いとしてブルーンを破壊させる。
Archmage Description,魔法の魔術学の真の導師。
Wizard Lord Phoenix Description,魔王使いの王が炎の達人となり、短時間の間、パワフルな溶岩フェニックスに変化する。
Soulbind Description,さらにもっとパワフルなブルーン召使いを生き返らせて敵を消し、ほかの全てのネクロマンサーを強化させる。
,
Laser Blasts Description,ダーツの代わりにパワフルなレーザー爆破を発射する。
Super Range Description,スーパーモンキーには、スーパーレンジが必要。
Knockback Description,命中するごとにブルーンを後退、そして遅延させる。
Plasma Blasts Description,プラズマは触れるもの全てを蒸発させる。
Epic Range Description,壮大なものを入手できるのに、なぜスーパー級で妥協するの？
Ultravision Description,スーパーモンキーが少し遠くまで射撃できるようになり、カモフラージュブルーンも見えるようにする。
Sun Avatar Description,太陽の核からの力をチャネリング。
Robo Monkey Description,スーパーモンキーの半分、イコール、死のキラーロボットの半分。一度に二丁の銃を撃ち、クリティカルにできる。
Dark Knight Description,ダークブレードはノックバックと貫通を大きくして、MOAB級ブルーンに追加ダメージを与える。近くのロケーションに移動するダークシフト能力を得る。
Sun Temple Description,タワーが向上性を犠牲にし、神殿の攻撃を変更する。
Tech Terror Description,全滅の能力：爆破半径内のほとんどのブルーンを完全に徹底的に破壊する。
Dark Champion Description,チャンピオンダークブレードは、全ての種類のブルーンに穴をあけ代内にするのが得意。
True Sun God Description,真の太陽神の偉大なる力の前に、震えよ！！
The Anti-Bloon Description,<プログラム命令> <ブルーン壊滅> <開始>
Legend of the Night Description,全ての望みを失ったときに頼れる人…
,
Ninja Discipline Description,攻撃距離と攻撃スピードを増加する。
Distraction Description,ブルーンのいくつかが混乱し、後退する。
Seeking Shuriken Description,手裏剣はブルーンを探して自動的に割る。
Sharp Shurikens Description,手裏剣はそれぞれ4個のブルーンを割ることができる。
Counter-Espionage Description,忍者攻撃はダメージを与えたブルーンからカモフラージュを剥ぎ取る。
Caltrops Description,付近のトラックに、スパイク付き鉄菱を投げる。
Double Shot Description,一度に二枚の手裏剣を投げる。
Shinobi Tactics Description,付近の忍者の攻撃速度と貫通度を上げる。20回まで効果を重ねられる。
Flash Bomb Description,時々複数のブルーンを一時的に動かなくさせる閃光爆弾を投げる。
Bloonjitsu Description,一度に五枚の手裏剣を投げる！
Bloon Sabotage Description,サボタージ能力：15秒間有効。サボタージ期間中は、全てのブルーンの移動速度が半分になる。 
Sticky Bomb Description,パワフルな時さ攻撃をMOAB級ブルーンに投げる。
Grandmaster Ninja Description,信じられない速さで投げる。一撃の手裏剣数8枚！
Grand Saboteur Description,能力の期間がもっと長く、サボタージ中にスポーンするMOAB級ブルーンのヘルスが減少する。
Master Bomber Description,モンキーMOAB破壊マシン。
,
Larger Potions Description,より広い地域に、より大量のポーションを散らす。
Stronger Acid Description,酸性ポーションがブルーンを迅速に溶かしてくれる。
Acid Pool Description,付近にブルーンがない場合は、錬金術師は近くのトラックを酸で満たすことができる。
Acidic Mixture Dip Description,鉛のブルーンを破裂させ、セラミックとMOAB級ブルーンに追加ダメージを与えるのに役に立つポーションを、近くのモンキーに投げ与える。数回の攻撃の後、消滅する。
Perishing Potions Description,攻撃ポーションがMOAB級ブルーンにより大きなダメージを与え、小さめのブルーンの強化を除去する。醸造酒や刺激剤もを強化する。
Alchemist Faster Throwing Description,ポーションを投げ、より早く攻撃する。
Berserker Brew Description,この特製醸造品は、モンキーに追加ダメージ、距離、そして攻撃速度を与える。長持ちする。
Unstable Concoction Description,MOAB級ブルーンの表面を爆破材で覆い、割れると大きな爆破を引き起こす。
Lead to Gold Description,鉛のブルーンを金に替える！特別な溶液が鉛のブルーンに追加ダメージを与えて、1発で破壊してキャッシュを生み出す。
Stronger Stimulant Description,強めのバーサーカーの醸造酒で、標的にもっとパワフルな効果をもたらす。さらに長持ち。
Transforming Tonic Description,変身能力：錬金術師をパワフルな攻撃モンスターに20秒間変身させる。
Rubber to Gold Description,全てのブルーンの一部をゴールドに変換し、影響を受けたブルーンを割るともっと多くのキャッシュがもらえる。
Permanent Brew Description,バーサーカーの醸造を飲んだモンキーに、永久的な影響を与える。
Total Transformation Description,近くの5匹のモンキーを20秒間、狂気の攻撃モンスターに変身させる。
Bloon Master Alchemist Description,秘密の縮小ポーション。影響を受けたブルーンは全て赤ブルーンになる。
,
Hard Thorns Description,硬いトゲは、それぞれ2個のブルーンを割れるし、どのタイプのブルーンでも割れる。
Thorn Swarm Description,一度に発射するトゲの数が5個でなく8個になる。
Druidic Reach Description,大幅に範囲を広げる。
Heart of Thunder Description,ブルーンからブルーンへと弓状に稲妻の一定間隔の爆破を発動する。
Heart of Oak Description,攻撃が再増殖型ブルーンを普通のブルーンに変える。
Heart of Vengeance Description,攻撃スピードが10%アップ、さらにアップグレードするとスタート時点から失たライフ1個につき1%アップする。上限は100%で、ライフが復元されると減っていく。
Druid of the Storm Description,突風がトラック上に吹き、ブルーンを出口から遠ざける。
Druid of the Jungle Description,地面からツルを呼び出して、ブルーンを一度に1つずつ絡ませて押しつぶし、致命的なとげの山を残す。
Druid of Wrath Description,ドルイドがブルーンを攻撃している間は、ラウンド中に攻撃速度がアップする。
Ball Lightning Description,追加の稲妻を発射する光の球を作り、ブルーンを凍結する。 
Jungle's Bounty Description,ジャングルのめぐみ能力：使うたびに現金を生成するほか、ドルイドの近くのバナナ農園がそれぞれ追加キャッシュを作り出す。ツルで2個のブルーンを一度につかむこともできる。
Poplust Description,半径内の他のドルイドの貫通と攻撃速度をアップさせる。任意のドルイド一体につき、5回まで効果を重ねることができる。
Superstorm Description,スーパーストームは全種類のブルーンに莫大なダメージを与え、出口から遠ざける。
Spirit of the Forest Description,常にダメージを与えるほか、陶器にボーナスダメージを加えるトゲのつるを道沿いに生やす。森の精霊に最も近いつるは、より多くのダメージを与える。有効化された能力は、ライフとお金を生成する。
Avatar of Wrath Description,ブルーンが多いほどダメージも増える。
,
Increased Production Description,栽培するバナナの束がラウンドごとに2つ増える。
Long Life Bananas Description,バナナが腐るまでの時間が15秒でなく30秒になる。
EZ Collect Description,バナナの回収半径が増加し、収集されていないバナナは半分の価値で自動収集される。モンキーバンクが満タンになり回収準備ができると、光るようになる。
Greater Production Description,栽培するバナナの束が、ラウンドごとにさらに2つ増える。
Valuable Bananas Description,バナナの束ごとの価値が25％増える。 
Banana Salvage Description,未収集のバナナはほぼ全てが自動回収され、バンクは満タンになると自動回収される。農場の売り戻し率は10％増加。
Banana Plantation Description,ランドごとに16束のバナナを栽培する。
Monkey Bank Description,この農場が生成した全てのお金がバンクで保管されるようになり、ラウンドごとに15%の利子を得る。
Marketplace Description,ラウンドごとにお金を作り、合計に加える。いたってシンプル。
Banana Research Facility Description,ラウンドごとに、各＄300の価値のあるバナナの大箱を生産する。
IMF loan Description,"IMFローン能力：$10,000くれるが、徐々に返済しなくてはならない。"
Central Market Description,ラウンドごとにたくさんのお金を獲得し、商人に渡す。収入が+10％増加。
Banana Central Description,バナナが必要ですか？バナナありますよ！
Monkey-Nomics Description,失敗できないくらいの大物になったら…
Monkey Wall Street Description,モンキー貿易の中心地、ラウンドごとにすごい収入を獲得し、ラウンドごとに命を生み出す。
,
Sentry Gun Description,一時的に見張り番を作り、付近に展開する。
Larger Service Area Description,より遠くに発射し、もっと広い地域に見張り番を送り出す。見張り番はより長射程距離。
Oversize Nails Description,マッシビゼーションを使うと、凍結を含む8個のブルーンを、クギで一度に割れるようになる。また、フォームと見張り番の効果が増加する。
Faster Engineering Description,効率が改善され、見張り番をもっと頻繁に作り出し、泡立ちとブルーンがより頻繁にとらえられるようになる。
Deconstruction Description,釘打ち機と見張り番の弾が、MOAB級ブルーンと強化ブルーンに対し追加ダメージを与える。
Pin Description,命中すると、短時間の間、ブルーンをその場に留める。
Sprockets Description,見張り番の銃とエンジニアの攻撃速度を上げる。
Cleansing Foam Description,カモフラージュと再増殖型を除去するアワを噴射し、鉛のブルーンを割る。
Double Gun Description,銃が二丁だと、お楽しみも二倍。
Sentry Expert Description,見張り番が、必要に応じて異なる種類のダメージを備えて展開する。
Overclock Description,オーバー時計能力：攻撃速度を短時間スーパーチャージする別のタワーを狙う。
Bloon Trap Description,満杯になるまで、ブルーントラップがブルーンをとらえる。一杯になったトラップを選択するとキャッシュがもらえる。
Sentry Paragon Description,超パワフルだけれど、とても不安定な見張り番を作り出す。
Ultraboost Description,ウルトラオーバー時計能力を備えたモンキーの攻撃範囲とパワーが短時間大きくなり、全タイプのブルーンにダメージを与える。
XXXL Trap Description,巨大なブルーントラップは、最大級のブルーンさえとらえることができる…
,
Bigger Stacks Description,弾ごとにより大きなスパイクの山を作成する。
Faster Production Description,生産率を素早く増やす。
Long Reach Description,スパイクの山の投下範囲を増やし、長もちさせる。
White Hot Spikes Description,鉛ブルーンと凍結ブルーンを切り裂く。
Even Faster Production Description,生産率をさらに増やす。
Smart Spikes Description,スパイク工場が特別ターゲットの優先となり、各ラウンドの開始時に生産が加速される。
Spiked Balls Description,陶器と強化ブルーンに追加ダメージを与えるスパイクボールを生産する。
MOAB SHREDR Description,エンジンオペレーションの超上級な剃刀が、MOAB級のブルーンを切り裂く。
Long Life Spikes Description,スパイクの持続時間がもっと長くなり、1ラウンド分、繰り越せる。
Spiked Mines Description,スパイク付き地雷のスパイクがなくなると、激しく爆破する。
Spike Storm Description,スパイク嵐の能力：トラック全体に厚い層のスパイクを発射する。
Deadly Spikes Description,超致命的なスパイクはそれぞれ2層を割ることができ、そして追加で1ラウンド持続する。
Super Mines Description,ほぼ全てを破壊できる、巨大な爆破スパイク地雷を作る。
Carpet of Spikes Description,トラック全体に、定期的にスパイクのじゅうたんを設置する。
Perma-Spike Description,高ダメージスパイクが、ほぼ永久的に持続するようになる。
,
Military Efficiency Description,半径内の軍人モンキーの足跡を減らす。
Magic Sciences Description,半径内の魔法モンキーが、追加の貫通と攻撃スピードを得る。
Private Tuition Description,ラウンドごとに、もっとたくさんのXPがヒーロー用に生成される。
Wider Influence Description,アカデミーの影響半径を広げる。
Academic Network Description,このアップグレードでは、全てアカデミーのアカデミー半径が増える。
Heroic Presence Description,アカデミーの半径内にいると、ヒーローの射程距離が15％アップする。
M.A.S.H Description,ブルーンを割ると、モンキー陸軍外科病院が追加ライフをくれる。
Wizards Library Description,半径内の魔法使い、ドルイド、錬金術師が、3つのアップグレード経路において2段階まで学習できる。
Heroic Academy Description,ヒーローの能力クールダウンが短縮。
Military Barracks Description,半径内の軍人モンキーの射程距離が増え、もっとたくさん割って好きな割合で売れるようになる。
Magic Arcanum Description,アカデミー卒業生の能力：パワフルなモンキーを作り出す。その能力は、近くの魔法モンキーによる。
Power Hero Development (PhD) Description,ヒーローのために、ラウンドごとにたくさんの追加XPを生成する。
Military HQ Description,各地の軍人モンキーが、射程距離、破裂パワー、ダメージバフを獲得する。
Nexus Crucible Description,能力で作られたアカデミー卒業生は、永久的！
Dynamic Duo Description,二人目のヒーローを取得できる！
,
Bigger Radius Description,村の影響半径を広げる。
