//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Klicka
Banana Research Facility Description,Producerar 5 stora bananlådor varje runda som är värda $300 styck.
IMF loan Description,"IMF-lånförmåga: Ger dig $10 000, men du måste betala tillbaka över tid."
Central Market Description,Ger högar med pengar varje runda och ger handelsfartygen +10 % i inkomst.
Banana Central Description,Vill du ha bananer? Vi har bananer!
Monkey-Nomics Description,För när du är för stor för att misslyckas...
Monkey Wall Street Description,Apindustriområdet tjänar in kolossala inkomster och genererar liv varje runda.
,
Sentry Gun Description,Skapar tillfälliga vaktkulsprutor och grupperar dem i närheten.
Larger Service Area Description,Skjuter längre och placerar ut vaktkulsprutor över ett mycket större område. Vaktkulsprutor har längre räckvidd.
Oversize Nails Description,"Massivisering gör det möjligt för spikar att smälla 8 Bloons samtidigt, inklusive frusna. Ökar även effektiviteten för Skum och Vakttorn."
Faster Engineering Description,"Ökad effektivitet tillåter Ingenjören att producera vaktkulsprutor, skum och Bloonfällor oftare."
Deconstruction Description,Spikpistol- och Vakttornsskott åsamkar extra skada på MOAB-klass- och förstärkta Bloons.
Pin Description,Spikar fast Bloons under en kort tid när de träffas.
Sprockets Description,Ökar attackhastigheten för vaktkulsprutor och Ingenjörer.
Cleansing Foam Description,Sprejar skum som tar bort Kamo och Återväxt och smäller Blybloons.
Double Gun Description,Två kulsprutor är dubbelt så kul.
Sentry Expert Description,"Vaktkulsprutorna placeras ut med olika skadetyper, beroende på dina behov."
Overclock Description,Överklockningsförmåga: Väljer ett annat torn för att superladda dess attackhastighet under en kort stund.
Bloon Trap Description,Bloonfällan fångar Bloons till den är full. Peka på fällan för att tömma den mot pengar.
Sentry Paragon Description,Skapar superstarka med mycket instabila vakttorn.
Ultraboost Description,Apor i överklockat läge får en liten men permanent effekthöjning varje gång de överklockas.
XXXL Trap Description,Stora Bloonfällor kan fånga även några av de största Bloontyperna…
,
Bigger Stacks Description,Skapar större högar av spikar per skott.
Faster Production Description,Höjer produktionshastigheten snabbt.
Long Reach Description,"Ökar räckvidden för spikhögsläpp, samt får högarna att vara längre."
White Hot Spikes Description,Skär genom Blybloons och frusna Bloons.
Even Faster Production Description,Ökar produktionshastigheten ännu mer.
Smart Spikes Description,Spikfabriken får en särskild målsökningsprioritet och snabbare produktion i början av varje runda.
Spiked Balls Description,Producerar spikbollar som orsakar extra skada på Keramik- och förstärkta Bloons.
MOAB SHREDR Description,Superhårda-rivande-motordrivna-rakblad strimlar sönder MOAB-klass-Bloons.
Long Life Spikes Description,Spikar varar mycket längre och kan fortsätta till nästa runda.
Spiked Mines Description,Spikminor exploderar våldsamt när de förlorar alla sina spikar.
Spike Storm Description,Spikstormförmåga: Skjuter ut ett tjockt lager spikar över hela banan.
Deadly Spikes Description,Extra dödliga spikar kan smälla igenom 2 lager per spik och varar ytterligare en runda.
Super Mines Description,Skapar gigantiska exploderande spikminor som kan utrota nästan allt.
Carpet of Spikes Description,Lägger regelbundet ut en spikmatta över hela banan.
Perma-Spike Description,Spikar som åsamkar stor skada blir nästan permanenta.
,
Military Efficiency Description,Minskar avtrycket för Militärapor inom radien.
Magic Sciences Description,Magiska apor inom radien får extra genomslag och attackhastighet.
Private Tuition Description,Genererar mer XP per runda för din Hjälte.
Wider Influence Description,Ger Akademin en större verkansradie.
Academic Network Description,Ökar Akademins radie för alla Akademier med denna uppgradering.
Heroic Presence Description,Hjältar får 15 % större räckvidd när de befinner sig innanför Akademins radie.
M.A.S.H Description,Apornas armésjukhus ger extra liv för smällda Bloons.
Wizards Library Description,"Trollkarlar, Druider och Alkemister inom radien kan lära sig upp till nivå 2 i alla tre uppgraderingsvägar."
Heroic Academy Description,Nedkylningen för din Hjältes förmågor minskas.
Military Barracks Description,"Militärapor inom radien får längre räckvidd, fler smällningar och kan säljas till ett fördelaktigt pris."
Magic Arcanum Description,Akademiutbildningsförmåga: Skapar en kraftfull apa vars förmågor baseras på vilka Magiska Apor som är i närheten.
Power Hero Development (PhD) Description,Genererar massor med extra XP per runda för din Hjälte.
Military HQ Description,"Militärapor överallt får enorm räckvidd, fler smällningar och ger högre skada."
Nexus Crucible Description,Utexaminerade från Akademin som skapas av förmågan är permanenta!
Dynamic Duo Description,Gör det möjligt för dig att få en andra hjälte!
,
Bigger Radius Description,Ökar verkansradien för Byn.
Grow Blocker Description,Förhindrar Återväxande Bloons från att fungera när de befinner sig innanför Byns radie.
Monkey Business Description,Ger 10 % rabatt för alla Apor och uppgraderingar på nivå 3 eller lägre som köps inom Byns radie.
Jungle Drums Description,Ökar attackhastigheten för alla apor inom radien.
Radar Scanner Description,Gör det möjligt för alla apor inom radien att attackera Kamo-Bloons.
Monkey Commerce Description,En extra rabatt på 5 % som kan kombineras 2 gånger med andra Byar med denna uppgradering.
Primary Training Description,"Alla primära apor inom radien får större räckvidd, genomslag och projektilhastighet."
Monkey Intelligence Bureau Description,Underrättelsetjänsten ger specialkunskap om Bloonsmällning och gör det möjligt för apor i närheten att smälla alla Bloontyper.
Monkey Town Description,Alla apor inom Apstadens radie får extra pengar per Bloonsmällning.
Primary Mentoring Description,"Alla primärapor inom radien får uppgraderingar till nivå 1 gratis, ökad räckvidd och minskad nedkylning av förmågor."
Call to Arms Description,Stridsropsförmåga: Ger alla apor i närheten +50 % attackhastighet och smällningar under en kort stund.
Monkey City Description,"Ökar radien för påverkan, genereringen av pengar inom radien och ger dig en gratis Pilapa varje runda."
Primary Expertise Description,"Lägger till Megaballistaattack, plus att alla Primärapor inom radien får större smällkraft, nedkylningen av förmågor minskas ytterligare och uppgraderingar till nivå 1 och 2 är gratis."
Homeland Defense Description,Förmågan ökar nu attackhastigheten och smällningarna med 100 % för alla apor under 20 sekunder.
Monkeyopolis Description,"Absorberar alla Bananodlingar i närheten och deras inkomst, vilket ger plats för fler apor."
,
//Ability Names,
Super Monkey Fan Club Ability,Stålapans Fanklubb
Plasma Monkey Fan Club Ability,Plasmaapans fan club
Turbo Charge Ability,Turboladdning
Perma Charge Ability,Permaladdning
MOAB Assassin Ability,Mörda MOAB
MOAB Eliminator Ability,Eliminera MOAB
Blade Maelstrom Ability,Rakbladmalström
Super Maelstrom Ability,Supermalström
Snowstorm Ability,Snöstorm
Absolute Zero Ability,Absolut Nollpunkt
Glue Strike Ability,Klisterattack
Glue Storm Ability,Klisterstorm
Supply Drop Ability,Fraktsläppning
Elite Sniper Ability,Elitförnödenhetssläpp
Elite Defender Ability,Elitförsvarare
First Strike Capability Ability,Första insats
Pre-emptive Strike Ability,Förebyggande angrepp
Monkey Pirates Ability,MOAB-nedtagning
Pirate Lord Ability,Piratherre
Ground Zero Ability,Ground Zero
Tsar Bomba Ability,Tsarbomb
Support Chinook Redeploy Ability,Återinsättning av stöd-Chinook
Support Chinook Supplies Ability,Stöd-Chinook-förnödenheter
Special Poperations Ability,Hemliga smälltjänsten
Pop and Awe Ability,Smäll och beundra
Rocket Storm Ability,Raketstorm
Mauler Storm Ability,Misshandlarstorm
Summon Phoenix Ability,Tillkalla Fenix
Wizard Lord Phoenix Ability,Trollkarlsherre Fenix
Soulbind Ability,Mörkrets furste
Tech Terror Ability,Förintelse
The Anti-Bloon Ability,Antibloon
Legend of the Night Ability,Nattens legend
Bloon Sabotage Ability,Sabotage
Grand Saboteur Ability,Mästarsabotör
Transforming Tonic Ability,Förvandlade tonic
IMF loan Ability,IMF-lån
Monkey-Nomics Ability,Apekonomi
Overclock Ability,Långtidsläge
Spike Storm Ability,Spikstorm
Carpet of Spikes Ability,Spikmatta
Magic Arcanum Ability,Utexaminerad från Akademin
Call to Arms Ability,Inkallning
Homeland Defense Ability,Hemlandsförsvar
,
//Ability Descriptions,
Super Monkey Fan Club Ability Description,Förvandlar upp till 10 Pilapor i närheten till Stålapor i 10 sekunder.
Plasma Monkey Fan Club Ability Description,Elitmedlemskap i denna klubb ger Pilapan ännu större kraft!
Turbo Charge Ability Description,Får denna apa att attackera otroligt snabbt i 10 sekunder.
Perma Charge Ability Description,Får denna apa att åsamka extra skada i 15 sekunder.
MOAB Assassin Ability Description,Specialmissil flyger iväg och åsamkar massiv skada på MOAB-klass-Bloons.
MOAB Eliminator Ability Description,Mördarförmågan åsamkar sexdubbel skada med kortare nedkylningstid.
Blade Maelstrom Ability Description,Täcker området med en storm av blad.
Super Maelstrom Ability Description,Ännu mera kraftfull Malströmförmåga och varar längre.
Snowstorm Ability Description,Fryser alla Bloons på skärmen en kort stund.
Absolute Zero Ability Description,"Förmågan är så kall att den fryser alla Bloontyper, inklusive de som är immuna mot kyla och MOAB-klass."
Glue Strike Ability Description,Klistrar fast alla Bloons på skärmen.
Glue Storm Ability Description,Klisterstormförmåga täcker hela skärmen med klister i 10 sekunder.
Supply Drop Ability Description,Släpper en låda full med pengar.
Elite Sniper Ability Description,Släpp av förnödenheter ger mycket mera pengar.
Elite Defender Ability Description,Ett förlorat liv ger denna Prickskytt 2x attackhastighet under en kort stund som vedergällning.
First Strike Capability Ability Description,"En förödande missilattack mot skärmens största Bloon. Förstör upp till en ZOMG-Bloon direkt, eller många mindre Bloons."
Pre-emptive Strike Ability Description,Aktiverar automatiskt en extra anti-MOAB-missil när MOAB-klass-Bloons dyker upp från Blooningången.
Monkey Pirates Ability Description,Greppar en MOAB-klass-Bloon och tar ned den.
Pirate Lord Ability Description,Kan skjuta 3 änterhakar åt gången och plundra extra pengar från varje MOAB-klass-Bloon som dras ned med dem.
Ground Zero Ability Description,Ökar effektiviteten för bombsläpp. Ground Zero-förmåga: släpper en stor bomb som förstör det mesta på skärmen.
Tsar Bomba Ability Description,"En väldigt, väldigt stor bomb. Någon måste stoppa de här galenskaperna!"
Support Chinook Redeploy Ability Description,Kan plocka upp och återinsätta de flesta aptyper.
Support Chinook Supplies Ability Description,Släpper liv och pengalådor.
Special Poperations Ability Description,Sätter in en kraftfull specialapmarinsoldat med automatgevär.
Pop and Awe Ability Description,"Regnar explosioner över hela skärmen, smäller och gör Bloons orörliga under några sekunder."
Rocket Storm Ability Description,Skickar en kraftfull raketstorm i alla riktningar.
Mauler Storm Ability Description,Varje missil åsamkar extrem skada på MOAB-klass-Bloons.
Summon Phoenix Ability Description,Kraftfull fenix orsakar förödelse bland Bloons i 20 sekunder.
Wizard Lord Phoenix Ability Description,Trollkarlsherren blir en eldmästare och förvandlas till en superkraftfull Lavafenix under en kort stund.
Soulbind Ability Description,Återuppliva ännu mera kraftfulla Bloontjänare för att tillintetgöra fienden.
Tech Terror Ability Description,Förstör de flesta Bloons fullständigt innanför sprängradien.
The Anti-Bloon Ability Description,<Programdirektiv> <Utrota Bloons> <VERKSTÄLL>
Legend of the Night Ability Description,Vi vänder oss till honom när allt hopp är ute...
Bloon Sabotage Ability Description,Under sabotaget rör sig alla Bloons med reducerad hastighet.
Grand Saboteur Ability Description,Förmågans varaktighet är längre och MOAB-klass-Bloons återföds med mindre hälsa under sabotaget.
Transforming Tonic Ability Description,Odlingar nära Druiden tjänar 50 % mer pengar under en kort tid.
IMF loan Ability Description,"Ger dig $10 000, men du måste betala tillbaka över tid."
Monkey-Nomics Ability Description,För när du är för stor för att misslyckas...
Overclock Ability Description,Målapan får superkrafter under en kort stund.
Spike Storm Ability Description,Skjuter ut ett tjockt lager spikar över hela banan.
Carpet of Spikes Ability Description,Lägger en spikmatta över hela banan varje runda.
Magic Arcanum Ability Description,Skapar en kraftfull apa vars förmågor baseras på vilka Magiska Apor som är i närheten.
Call to Arms Ability Description,Ger alla apor i närheten DUBBEL attackhastighet och smällningar i 10 sekunder.
Homeland Defense Ability Description,Förmågan påverkar ALLA apor i 15 sekunder.
,
//Maps,
TownCentre,Stadskärna
Tutorial,Apäng
TreeStump,Trästubbe
InTheLoop,I loopen
BTD1,BTD1
Cubism,Kubism
FourCircles,Fyra cirklar
Cracked,Sprucken
Hedge,Häck
Streambed,Strömfåra
MonkeysInSpace,Apor i rymden
Underground,Underjorden
AnotherBrick,Ytterligare en tegelsten
#ouch,#Aj
EndOfTheRoad,Vägens slut
Chutes,Fallskärmar
Rake,Lutning
OffTheCoast,Utanför kusten
MuddyPuddles,Gyttjepölar
ParkPath,Parkväg
Logs,Stockar
TestMap,Testkarta
Cornfield,Majsfält
SpiceIslands,Kryddöar
FiringRange,Skjutbana
HighFinance,Dyr finansiering
Downstream,Nedströms
DarkCastle,Mörkt slott
FrozenOver,Överfrusen
Haunted,Hemsökt
Quad,Quad
MoonLanding,Månlandning
AlpineRun,Utförsåkning
Peninsula,Halvö
,
//Tower Groups,
Primary,Primär
Military,Militär
Magic,Magi
Support,Stöd
Heroes,Hjältar
Powers,Krafter
,
//Misc,
Crit,Kritisk
,
//Target Types,
TT_Close,Nära
TT_First,Första
TT_Last,Sista
TT_Strong,Stark
TT_Track,Normal
TT_Circle,Cirkel
TT_CloseTrack,Nära
TT_CustomPath,Anpassad väg
TT_Elite,Elit
TT_FarTrack,Lång
TT_FigureInfinite,Oändlig figur
TT_FigureEight,Siffran Åtta
TT_FollowTouch,Följ Klickning
TT_LockInPlace,Lås På Plats
TT_NecromancerTarget,Besvärjarmål
TT_OffsetTrack,Förskjuten bana
TT_PatrolPoints,Patrullpunkter
TT_Pursuit,Följ
TT_RandomPosition,Slumpmässig position
TT_RandomTarget,Slumpmässigt mål
TT_SmartTrack,Smart
TT_Submerge,Undervattensläge
TT_CloseSharedRange,Nära delad räckvidd
TT_ExpensiveFriendlyTarget,Dyrt allierat mål
TT_FirstSharedRange,Första delad räckvidd
TT_FriendlyTarget,Allierat mål
TT_Grapplable,Greppbar
TT_TargetIndependant,Oberoende av mål
TT_TargetInFront,Mål rakt framför
TT_LastSharedRange,Sista delad räckvidd
TT_TargetMoab,MOAB-mål
TT_TargetOpposite,Motsatt mål
TT_TargetPointer,Målpekare
TT_SetTarget,Välj Mål
TT_StrongSharedRange,Stark delad räckvidd
TT_TargetTag,Måletikett
TT_TrackOrDefault,Bana eller Anpassad
TT_Centered,Centrerad väg
,
//Currency,
Cash,Pengar
XP,XP
Monkey Money,Appengar
Free,Gratis
,
Round,Runda
Max Tier Reached,Maxnivå uppnådd
Empty,Töm
Not Upgraded,Ej uppgraderad
Owned,Ägd
Max Upgrades,Max Uppgraderingar
Deployed Message,{0} insatt/insatta
,
//UI Misc,
OK,OK
Cancel,Avbryt
Start,Starta
Return To Menu,Meny
Freeplay,GRATISSPEL
Continue,Fortsätt
Done,Färdig
Try Again,Försök igen
Continue?,Fortsätt?
,
Rewards,BELÖNINGAR:
Change Hero,Byt Hjälte
Select a Hero,Välj en Hjälte
Select a Map,Välj en karta
Selected,Vald
Select a Hero Subheading,Din Hjälte är en kraftfull apa som leder dina trupper i strid
Select Language,Välj språk
Unlock All,LÅS UPP ALLA
Upgrade Ingame cost,Kostnad i spelet
Loading,Laddar...
,
Defeat,Besegra
Defeat Message,Försök igen på lägre svårighetsgrad
Victory,Seger
Victory Message,Du har stoppat alla elaka Bloons
,
,
//ModeSelectScreen,
Select a Mode,Välj ett läge
Mode Standard,Standard
Mode MilitaryOnly,Endast militär
Mode Apopalypse,Apopalyps
Mode Reverse,Omvänd
Mode Sandbox,Sandlåda
Mode PrimaryOnly,Endast primär
Mode Deflation,Deflation
Mode Half Cash,Hälften av pengarna
Mode DailyChallenge,Daglig utmaning
,
//GameTypeScreen,
Choose a Game,Välj ett spel
New Game,Nytt spel
Daily Challenge,Daglig utmaning
Co-op,Samspel
Random,Slumpmässigt
,
//HomeScreen,
HS Monkeys,APOR
HS Heroes,HJÄLTAR
HS Play,SPELA
HS Powers,KRAFTER
HS Knowledge,KUNSKAP
,
//In game screens,
Upgrades,Uppgraderingar
Sell,Sälj
Get More,Få fler
,
// PauseMenu ,
Controls,Kontroller
Drag & Drop,Drag & Släpp
Lock & Drop,Ladda och säkra
Line of Sight,Siktlinje
Continuous Play,Kontinuerligt spel
Off,Av
Store,Butik
Home,Hem
Restart,Omstart
You ran out of lives on:,Du fick slut på liv på:
Game Over Round,Runda {0}
Victory Body,Gratulerar! Du slutförde denna bana den: {0}
,
// LinK,
Log out,Logga ut
Clear Data,Rensa data
Login,Inloggningsnamn
Not logged into LiNK,Ej inloggad på LiNK
Logged into LiNK as,Inloggad på LiNK som {0}
,
// Map Difficulty,
MD Beginner,Nybörjare
MD Intermediate,Mellansvår
MD Advanced,Avancerad
MD Expert,Expert
MD Extreme,Extrem
,
//Tower Specific Messages,
Patrol Message,[I] för att ställa i patrullpunkt
Sun Temple Title,Tempeloffer
Sun Temple Body,Templet kräver ett offer. Alla närliggande torn kommer att förstöras vilket förstärker Templets otroliga kraft på olika sätt. Vi har varnat dig...
True Sun Temple Title,Tempeloffer
True Sun Temple Body,Vill du frammana den \nVERKLIGA SOLGUDEN!!??
Heli Pilot Redeploy Message,Dra och släpp ett torn för att återinsätta
Heli Pilot Redeploy Message Banned,Kan inte återinsätta detta torn
Select a tower to Soulbind,Välj ett torn att själbinda
Select Point,Välj punkt
Select a tower to link,Välj ett torn att länka
Cannot link to this tower,Kan inte länka till detta torn
Tower is already linked,Tornet är redan länkat
Tower must have an ability,Tornet måste ha en giltig förmåga
Unlink,Ta bort länk
,
//Upgrades Screen,
Unlock Message,Lås upp för:
XP To Spend,{0} XP att spendera:
,
//Tower screen,
Unlock Hero,Upplåsningsnivå
Max Level Hero,Maxnivå uppnådd!
,
//Hero Screen,
InGame Cost,Kostnad i spelet: ${0}
,
//Knowledge Screen,
Knowledge Requirement,Kräver minst {0} ytterligare poäng som investeras i {1}
,
//Removables,
Removable Cost,Ta bort för ${0}
,
// Powers Select Screen,
Select a Power,Välj en kraft
Add For:,Lägg till för:
,
// Achievements screen,
Achievements,Insats
Rewards:,Belöningar:
,
//Debug Options,
Set Health,Ställ in hälsa
Set Health Description,Ange ett värde att ställa in som det nya hälsovärdet
Set Cash,Ställ in pengar
Set Cash Description,Ange ett värde att ställa in som det nya hälsovärdet
,
//Difficulty,
Easy,Lätt
Medium,Medelsvår
Hard,Svår
Impoppable,Osmällbar
Sandbox,Sandlåda
Easy Description,"På Enkel kostar aporna mindre än normalt, Bloons rör sig lite långsammare och du har 200 liv. Att klara runda 40 på Enkel ger dig en bronsmedalj för den banan."
Medium Description,"På Medelsvår kostar aporna normalt, Bloons rör sig normalt och du har 150 liv. Att klara runda 60 på Medelsvår ger dig en silvermedalj för den banan."
Hard Description,"På Svår kostar aporna mer än normalt, du startar på runda 3, Bloons rör sig lite snabbare och du har 100 liv. Att klara runda 80 på Svår ger dig en guldmedalj för den banan."
Impoppable Description,"På Osmällbar kostar aporna mycket mer än normalt, du startar på runda 6, Bloons rör sig snabbare och du har 1 liv. Att klara runda 100 på Osmällbar ger dig en platinamedalj för den banan."
Sandbox Description,"På Sandlåda kostar aporna normalt, Bloons rör sig normalt och du har obegränsat med liv och pengar."
,
,
,
,
,
//Popup Screens,
Unlock All Title,Lås upp alla Uppgraderingar
Unlock All Body,Lås upp alla uppgraderingar för {0} XP.
Not Enough Cash Title,Inte tillräckligt med pengar
Not Enough Cash Body,Smäll fler Bloons för att få pengar.
Not Enough XP Title,Inte tillräckligt med XP
Not Enough XP Body,Du behöver {0} XP.\nTorn tjänar in XP varje gång en runda passeras.
Already Own Upgrade Title,Du har redan uppgraderingen
Already Own Upgrade Body,Du har redan denna uppgradering.
Locked Title,Uppgradering låst
Locked Body,Du måste köpa den föregående uppgraderingen innan du köper den här.
Quit Title,Avsluta
Quit Body,Är du säker på att du vill stänga handledningen?
Continue Saved Game Title,Fortsätt det senast sparade spelet?
Continue Saved Game Body,Vill du fortsätta från runda {0} på {1} och spela {2}-läge på svårighetsgrad  {3}?
Continue Saved Game Okay,Ladda sparat spel
Continue Saved Game Cancel,Nytt spel
,
,
//Hero Messages,
Generic Hero Message,Behöver du hjälp?
,
//Tutorial,
Welcome Title,Välkommen till Bloons™ Tower Defense 6
Welcome Title Partial,Välkommen till
Welcome Body,Ett episkt äventyr med apor mot Bloons
Town Trouble Title,Välkommen till Bloons™ Tower Defense 6
Town Trouble Body,Bloons har tagit över din stad!
Town Trouble Button,Ta tillbaka den
Bloon Entry,Stoppa Bloons från att komma igenom!
Bloon Outro,...och försöka fly därifrån.
Place First Tower,Placera ut en Pilapa för att komma igång.
Place Second Tower,Placera ut ytterligare en Pilapa och [I] Spela
Press Go,Och nu [I] KÖR!
Finished Round One,"Det var lätt, eller hur? [I] Spela för att starta nästa runda"
Earning Experience,Att smälla Bloons ger dig aperfarenhet.
Unlocking Upgrades,Dina Pilapor har tillräckligt för att låsa upp en uppgradering
Upgrade Details,Varje Aptyp har 5 uppgraderingar i 3 vägar. Lås upp en av dem nu.
Upgrade Complete,Bra! Du kan nu uppgradera dina existerande apor med den uppgraderingen.
Select Monkey,"Du har låst upp uppgraderingen, men måste fortfarande tillämpa den på aporna i spelet. Peka på en apa nu."
Select Upgrade,Välj nu den upplåsta uppgraderingen du vill köpa och använd den.
Hero Title,Hjältar!
Quincy Intro,Behöver du hjälp?
Hero Info,Quincy är en Aphjälte som uppgraderar sig själv under spelet. Han kan smälla flera Bloons per skott.
Last Round,En runda kvar!
Next Map Title,Bra jobbat!
Next Map Description,"Vi fick dem att ta till flykten, fortsätt till det där Stora Trädet!"
Next Map Button,Nu kör vi
Big Tree Title,Stort träd
Big Tree Description,Detta träd blockerar sikten för dina apor så placera ut dem med omsorg. Vissa apor kan skjuta över hinder.
Big Tree Victory Title,En sista ansträngning...
Big Tree Victory Description,"Segern är inom räckhåll, pressa vidare till Stadskärnan!"
Big Tree Victory Button,Nu kör vi
Town Centre Title,Stadskärna
Town Centre Description,Krossa alla Bloons och rädda din stad.
Town Centre Victory Description,Vi klarade det!
Home Description,Välkommen hem
Xp Reminder Title,Glöm inte!
Xp Reminder Description,Kom ihåg att spendera dina Ap-XP-poäng för att låsa upp fler uppgraderingar för dina apor.
Lose Tutorial Title,Hoppsan!
Lose Tutorial Description,Du fick slut på liv! Försök igen. Försök att placera fler apor nära vägen eller att få fler uppgraderingar.
Select a Monkey,Välj en apa
Earning Experience Title,Låser upp uppgraderingar
Unlocking Upgrades Title,Låser upp uppgraderingar
Next,Nästa
,
//Loading Messages,
Loading Message 0,Inspekterar hieroglyfer...
Loading Message 1,Tränar upp apor...
Loading Message 2,Förbereder pilar...
Loading Message 3,Blåser upp Bloons...
Loading Message 4,Plockar bananer...
Loading Message 5,Tar en paus...
Loading Message 6,Trimmar häcken...
Loading Message 7,Släpper lös Ap-Cthulhu...
Loading Message 8,Väcker Solguden...
Loading Message 9,Frammanar Hjältar...
Loading Message 10,Laddar ner nytt innehåll
Internet Connection Required Message,Internetanslutning krävs för att ladda ner nytt spelinnehåll. Var vänlig kontrollera anslutningen. Försöker igen...
,
// Achievements,
Achievement 1 Name,Osmällbar
Achievement 1 Description,Smäll {0} Bloons
Achievement 2 Name,MOAB-Lönnmördare
Achievement 2 Description,Förstör {0} MOAB:er
Achievement 3 Name,BFB-kämpe
Achievement 3 Description,Förstör {0} BFB:er
Achievement 4 Name,ZOMGinator
Achievement 4 Description,Förstör {0} ZOMG:er
Achievement 5 Name,Jag tog hand om DDT
Achievement 5 Description,Förstör {0} DDT:er
Achievement 6 Name,Sappör
Achievement 6 Description,Smäll {0} förstärkta Bloons eller MOAB-klass. Undvik direktsmällningar och Fortavskalning för bästa möjliga resultat.
Achievement 7 Name,Första segern
Achievement 7 Description,{0} vinst på Nybörjarkarta som inte är handledning
Achievement 8 Name,Gräshoppa
Achievement 8 Description,Vinn på {0} olika nybörjarkartor
Achievement 9 Name,Nästa nivå
Achievement 9 Description,Vinn {0} spel på en Medelsvår karta
Achievement 10 Name,Följeslagare
Achievement 10 Description,Vinn spel på {0} olika Medelsvåra kartor
Achievement 11 Name,Avancerad spelare
Achievement 11 Description,Vinn {0} spel på en Avancerad karta
Achievement 12 Name,Extrem spelare
Achievement 12 Description,Vinn {0} spel på en Extrem karta
Achievement 13 Name,Stor apa
Achievement 13 Description,Placera ut ett nivå 4-aptorn
Achievement 14 Name,Mega-apa
Achievement 14 Description,Placera ut ett nivå 5-aptorn
Achievement 15 Name,Tid för Hjältar
Achievement 15 Description,Använd en Hjälte på en karta som inte är handledning
Achievement 16 Name,Aktivera Hjältens kraft
Achievement 16 Description,Använd valfri hjälteförmåga på nivå 3
Achievement 17 Name,"Större, hårdare"
Achievement 17 Description,Använd valfri hjälteförmåga på nivå 10
Achievement 18 Name,Episk hjälte
Achievement 18 Description,Höj nivån för valfri Hjälte till nivå {0}
Achievement 19 Name,Aphämnarligan
Achievement 19 Description,Vinn ett spel för {0} olika hjältar
Achievement 20 Name,Du har kraften
Achievement 20 Description,Använd krafter för första gången
Achievement 21 Name,Kraftanvändare
Achievement 21 Description,Använd krafter {0} gånger
Achievement 22 Name,Utrustad
Achievement 22 Description,Använd krafter {0} gånger
Achievement 23 Name,Student
Achievement 23 Description,Tillämpa din första apkunskapspoäng
Achievement 24 Name,Forskare
Achievement 24 Description,Tillämpa {0} apkunskapspoäng
Achievement 25 Name,Dr. Apa
Achievement 25 Description,Spendera 106 apkunskappoäng
Achievement 26 Name,Första aporna först
Achievement 26 Description,Vinn {0} spel med endast primära apor
Achievement 27 Name,Krigsapor
Achievement 27 Description,Vinn {0} spel med endast militära apor
Achievement 28 Name,Abrakadabrapa
Achievement 28 Description,Vinn {0} spel med endast magiska apor
Achievement 29 Name,Osjungna apor
Achievement 29 Description,Vinn {0} spel med endast stödapor
Achievement 30 Name,Uppblåst
Achievement 30 Description,Klara runda {0} i ouppblåst läge
Achievement 31 Name,Överlevare
Achievement 31 Description,Klara runda {0} i Apokalypsläge
Achievement 32 Name,Indie
Achievement 32 Description,Vinn {0} spel med alternativa Bloonrundor
Achievement 33 Name,Smällbar
Achievement 33 Description,Vinn {0} spel på svårighetsgraden Osmällbar
Achievement 34 Name,Sparsam
Achievement 34 Description,Vinn {0} spel i Halva startkapitalet-läge
Achievement 35 Name,Bloonzilla!
Achievement 35 Description,Vinn {0} spel mot MOAB:er med dubbla HP
Achievement 36 Name,Rollomkastare
Achievement 36 Description,Vinn ett spel i omvänt läge
Achievement 37 Name,Medaljvinnare
Achievement 37 Description,Få alla medaljer för en karta
Achievement 38 Name,Medaljbelönad Hjälte
Achievement 38 Description,Vinn 36 svårighetsmedaljer på nybörjarbanor
Achievement 39 Name,Rött och blått blir...
Achievement 39 Description,Smäll {0} lila Bloons
Achievement 40 Name,Infraröd
Achievement 40 Description,Smäll {0} Kamo-Bloons
Achievement 41 Name,Våra kombinerade krafter
Achievement 41 Description,Samla in minst 12 olika krafter
Achievement 42 Name,Utmanare
Achievement 42 Description,Vinn {0} Daglig utmaning
Achievement 43 Name,Utmaningslärling
Achievement 43 Description,Vinn {0} Dagliga utmaningar
Achievement 44 Name,Utmaningsmästare
Achievement 44 Description,Vinn {0} Dagliga utmaningar
Achievement 45 Name,Perfekt vecka
Achievement 45 Description,Slutför alla Dagliga Utmaningar under en vecka
Achievement 46 Name,Kunnig primat
Achievement 46 Description,Lås upp all Apkunskap på en gren
Achievement 47 Name,Bloonsmästare
Achievement 47 Description,Klara {0} karta i CHIMPANS-läge
Achievement 48 Name,Överlägsen Bloonsmästare
Achievement 48 Description,Klara {0} kartor i CHIMPANS-läge
Achievement 49 Name,Ultimat Bloonsmästare
Achievement 49 Description,Klara {0} kartor i CHIMPANS-läge
Achievement 50 Name,SuperBADDARE
Achievement 50 Description,Förstör {0} BAD:er
Collect,Samla in
,
//Standard Round Messages,
,
,
Hint 2,"Du får 1 pengar för varje smällt Bloonlager, plus lite bonus i slutet av varje runda."
Hint 7,"Fortsätt att spela Bloons TD 6 regelbundet och håll ögonen öppna för nya uppdateringar - kartor, hjältar, uppdrag och andra godsaker."
Hint 12,"Ju mer du använder en viss apa, ju fler uppgraderingar kommer du att låsa upp för att du använder den."
