//Input. Needs to be first e.g [I] replaced by click or tap,
Click,点击
Bloon Buster Description,立即粉碎2层气球！
Mortar Rapid Reload Description,更快的装填速度。
Burny Stuff Description,受损的气球每次被击中后都会被瞬间点燃。
Shockwave Description,爆炸冲击波会在在爆击点击晕气球，击破很大范围内的气球，并增加燃烧物伤害。
Heavy Shells Description,重炮弹对陶瓷气球、铅气球、所有强化气球、所有晕眩气球造成额外伤害。也可以击破黑气球。
Signal Flare Description,被照明弹击中的迷彩气球永久失去伪装。
The Big One Description,强烈爆炸可击破7层气球，同时增加燃烧物伤害。
Artillery Battery Description,炮轰技能：对较大范围内的目标发动快速炮击。主攻击可对BAD和Boss级气球造成更高伤害。炮台可升级至3个炮筒，从而大幅加快攻击速度。
Shattering Shells Description,除了最大的气球以外，被碎甲弹击中的气球将失去所有特殊属性，并可点燃MOAB级气球，对其造成额外伤害。
The Biggest One Description,炮弹击破大片区域内的多层气球，同时增加燃烧物伤害。
Pop and Awe Description,击破震慑技能：对整个屏幕的气球狂轰滥炸，击破所有气球造成伤害，并使它们失去移动能力，效果持续数秒。所有炮台可对BAD级和Boss级气球造成更高伤害。主攻击可对被击晕的气球造成额外伤害。
Blooncineration Description,超热燃烧每次攻击可烧穿5层气球，并点燃MOAB级气球造成大量伤害。
,
Focused Firing Description,提高飞镖枪的精度。
Advanced Targeting Description,允许飞镖枪手击中迷彩气球。
Powerful Darts Description,飞镖移动速度更快，可击破冰冻气球，并且每支飞镖可击破3个气球。
Faster Swivel Description,枪管旋转得更快。
Faster Barrel Spin Description,开枪速度更快。
Depleted Bloontonium Description,可对所有类型的气球造成伤害。
Laser Shock Description,气球被激光打靶击中后1秒内再次被击破。
Laser Cannon Description,快速发射更多强力激光炮，可击破冰冻气球。
Hydra Rocket Pods Description,发射气球枯竭导弹，可对所有气球类型造成伤害，并引发多次爆炸。
Buckshot Description,发射致命的大型铅弹，而不是飞镖。
Plasma Accelerator Description,将强大的能量束集中在一个点上。
Rocket Storm Description,火箭风暴技能：在很大的锥角范围内发射暴雨般的火箭。
Bloon Area Denial System Description,4管自动加农炮，可以设置为自动攻击。
Ray of Doom Description,形成一条坚固的气球消灭线。这样，你可以随心所欲地击破大部分气球。
M.A.D Description,MOAB毁灭者。发射速度较慢的巨型导弹对MOAB级气球造成极大伤害。
Bloon Exclusion Zone Description,升级为6管大炮，伤害大幅提升。气球全部消失。
,
Guided Magic Description,魔法炮弹能持续更长时间，即使藏身掩体之下的气球，也能搜寻到。
Fireball Description,每隔几秒施放一个爆炸性的火球法术符咒。
Intense Magic Description,更强大的魔法炮弹，飞行得更快，并可以击破更多气球。
Arcane Blast Description,更大、更强的魔法炮弹，可击破2层气球。
Wall of Fire Description,在路径上设置一道超热的火墙，在气球经过时将其烤熟。
Monkey Sense Description,允许法师攻击迷彩气球。
Arcane Mastery Description,攻击速度加快，射程、伤害和击破力得到增强。
Dragon's Breath Description,向附近的气球喷出无尽的火焰，并增强火球和火墙的威力。
Shimmer Description,获得黑暗魔法攻击，周期性永久显示附近所有迷彩气球的位置。
Arcane Spike Description,魔法攻击速度加快，对大多数类型气球造成海量伤害。
Summon Phoenix Description,召唤凤凰技能：强大的凤凰会对气球造成20秒的浩劫。
Necromancer: Unpopped Army Description,复活最近被击破的气球，利用其攻击气球。
Archmage Description,真正的魔法大师。攻击速度更快，并且可对MOAB级气球造成更高伤害。
Wizard Lord Phoenix Description,高阶法师变身火焰大师，短时间内变成超强大的熔岩凤凰。
Soulbind Description,复活更强大的气球，利用它们消灭敌人，并增强所有其他死灵法师。
,
Laser Blasts Description,发射强大的激光，而不是飞镖。
Super Range Description,超猴侠要有超级射程。
Knockback Description,每次击中后，气球会被击退或减速。
Plasma Blasts Description,等离子几乎可融化其所触及的一切东西。
Epic Range Description,既然有史诗射程，又何需超级射程？
Ultravision Description,使超猴侠的射程略微增加，能够探测迷彩气球，并对它们造成更高伤害。
Sun Avatar Description,引导来自太阳核心的力量。
Robo Monkey Description,一半是超猴侠，一半是死亡机器。立即双枪射击！
Dark Knight Description,黑暗之刃可提高击退和穿刺力，并对MOAB级气球造成额外伤害。获得黑暗之刃技能后转移到附近的位置。
Sun Temple Description,塔的牺牲能增强并修改圣殿的攻击。
Tech Terror Description,歼灭技能：在爆炸范围内彻底摧毁大部分气球。
Dark Champion Description,王者黑暗之刃擅长穿刺和破坏所有类型的气球。
True Sun God Description,在真正的太阳神力量之前颤抖吧！
The Anti-Bloon Description,<程序指令> <消灭气球> <发起进攻>
Legend of the Night Description,当所有的希望都破灭时，我们只能依赖他…
,
Ninja Discipline Description,增加攻击范围和攻击速度。
Distraction Description,一些气球会受到干扰并向后移动。
Seeking Shuriken Description,手里剑会自动寻找并击破气球。
Sharp Shurikens Description,每支手里剑可击破4个气球。
Counter-Espionage Description,忍者攻击可以撕掉气球的迷彩。
Caltrops Description,在附近的路径上放置蒺藜。
Double Shot Description,一次投掷2支手里剑。
Shinobi Tactics Description,提高附近忍者猴子的攻击速度和穿刺，可叠加20次。
Flash Bomb Description,扔出闪光弹，眩晕多个气球。
Bloonjitsu Description,一次投掷5支手里剑！
Bloon Sabotage Description,破坏技能：持续15秒。在破坏期间，所有气球移速减半。
Sticky Bomb Description,向MOAB级气球发起定时猛攻。
Grandmaster Ninja Description,投掷速度非常快，每次8支手里剑！
Grand Saboteur Description,技能持续时间更长，MOAB级气球在破坏期间孵化的气球生命值较低。
Master Bomber Description,一台猴子MOAB拆卸机。
,
Larger Potions Description,更大的药剂会溅到更大的区域。
Stronger Acid Description,酸性药剂可以更快地溶解气球。
Acid Pool Description,如果附近没有气球，炼金术士可以用酸将附近的道路浸透。
Acidic Mixture Dip Description,向附近的猴子扔出药剂，帮助它们击破铅气球，并对陶瓷和MOAB级气球造成额外伤害。数次攻击后效果消失。
Perishing Potions Description,攻击药剂可对MOAB级气球造成更多伤害，并去除较小气球的强化属性。此外，还可增强啤酒和兴奋剂的效果。
Alchemist Faster Throwing Description,投掷药剂且攻击速度加快。
Berserker Brew Description,向附近的猴子投掷特殊啤酒，使它们的攻击范围、攻击速度和造成的伤害增加
Unstable Concoction Description,使用爆炸性物质涂覆MOAB级气球，当他们被击破时会引起大爆炸。
Lead to Gold Description,将铅气球变成黄金！特殊的溶剂会对铅气球造成额外的伤害，一次就能摧毁它们并产生现金。
Stronger Stimulant Description,超强啤酒对目标的作用更加显著。
Transforming Tonic Description,变身技能：使炼金术士变成强大的攻击怪兽，持续20秒。持续时间更长。
Rubber to Gold Description,将所有气球部分转换为黄金，从受影响的气球那里获得更多现金。
Permanent Brew Description,喝下狂暴啤酒的猴子获得永久加成。
Total Transformation Description,在屏幕上将数十只猴子变成疯狂攻击怪兽，持续20秒。
Bloon Master Alchemist Description,神秘的收缩药剂将所有受影响的气球转换为红气球。
,
Hard Thorns Description,硬刺每次可击破两个气球，并击破任意类型的气球。
Thorn Swarm Description,每次发射8个荆棘，而不是5个。
Druidic Reach Description,大幅增加攻击范围。
Heart of Thunder Description,在气球之间释放常规的叉状闪电冲击波。
Heart of Oak Description,攻击可使重生气球转变成普通气球。
Heart of Vengeance Description,获得10%的攻击速度，并且升级后每失去一条命就能获得初始数值的1%。增加值上限为100%，在生命恢复后将减少。
Druid of the Storm Description,几阵风将气球从出口处吹开。
Druid of the Jungle Description,召唤藤蔓缠绕并一次碾碎一个气球，留下一堆致命的荆棘。
Druid of Wrath Description,只要德鲁伊在攻击气球，攻击速度每回合都会变快。
Ball Lightning Description,制造强大的闪电球，射出额外的闪电球并可以冻结气球。
Jungle's Bounty Description,丛林赏金技能：每次使用可生成现金，并且德鲁伊附近的每座香蕉农场都会生成额外现金。召唤两根葡萄藤缠住气球，并且荆棘桩可获得额外穿透力。
Poplust Description,强化作用范围内德鲁伊的攻击速度和穿透。每个德鲁伊身上的增益效果可最多叠加5次。
Superstorm Description,超级风暴对所有类型的气球造成巨大伤害，并将它们从出口处吹开。
Spirit of the Forest Description,在路径上种植刺藤，造成持续伤害，对陶瓷气球造成额外伤害，技能激活后可恢复生命和生成现金。
Avatar of Wrath Description,气球越多，它造成的伤害越大！
,
Increased Production Description,每回合多长出2串香蕉。
Long Life Bananas Description,香蕉在腐烂前持续存在30秒，而不是15秒。
EZ Collect Description,香蕉的收集半径更大。自动收集未收集的香蕉可获得一半的现金。猴子银行在储存满并且准备收集时会发光。
Greater Production Description,每回合再长出2串香蕉。
Valuable Bananas Description,每串香蕉价值提高25％。
Banana Salvage Description,自动收集未收集的香蕉可获得几乎全部现金，猴子银行在储存满会自动收集。农场回售率提高10%。
Banana Plantation Description,每回合长出16串香蕉。
Monkey Bank Description,该农场生成的所有钱现在都被存储在银行中，每回合可获得15%的利息。
Marketplace Description,每回合生成一笔钱并将其计入总额。别大惊小怪。
Banana Research Facility Description,每回合生产5大箱香蕉，每箱价值300块。
IMF loan Description,IMF贷款技能：给你10000块，但你必须按时还款。
Central Market Description,每回合获得大量金钱，并使商人收入+ 10％。
Banana Central Description,你想要香蕉？我们有香蕉！
Monkey-Nomics Description,当你规模太大而不能失败时可以考虑…
Monkey Wall Street Description,猴子交易中心每回合可赚取巨额收入并恢复生命。
,
Sentry Gun Description,制造临时岗哨枪并在附近部署。
Larger Service Area Description,射程增加，并在更大的区域部署哨兵。
Oversize Nails Description,大规模化允许刺钉一次击破8个气球，包括冰冻气球。同时提高泡沫和哨兵的效果。
Faster Engineering Description,泡沫剂效果提高使得哨兵放哨更频繁，泡沫剂起作用也更快。
Deconstruction Description,刺钉枪和哨兵枪可对MOAB级气球和强化气球造成额外伤害。
Pin Description,击中时可将气球短暂钉在原地。
Sprockets Description,增加哨兵枪和工程师的攻击速度。
Cleansing Foam Description,喷射泡沫，清除迷彩气球和重生气球，并可击破铅气球。
Double Gun Description,享受两支枪的乐趣。
Sentry Expert Description,根据你的需要，为哨兵部署不同类型的伤害。
Overclock Description,超频技能：锁定另一座塔，短时间内提升其攻击速度。
Bloon Trap Description,气球陷阱可捕获气球，直到装满为止。选择清空装满气球的陷阱可获取现金。
Sentry Paragon Description,创建超级强力，但却非常不稳定的哨岗机枪。
Ultraboost Description,极超频猴每次超频都会获得少量但永久的提升。
XXXL Trap Description,巨型气球陷阱可捕获一些非常大的气球…
,
Bigger Stacks Description,每次发射更大的一堆刺钉。
Faster Production Description,迅速提高生产率。
Long Reach Description,增加刺钉堆的掉落范围，刺钉堆持续更长的时间。
White Hot Spikes Description,击穿铅气球和冰冻气球。
Even Faster Production Description,更大地提高生产率。
Smart Spikes Description,刺钉工厂在每个回合开始时都可优先获取特殊攻击目标和加速生产。
Spiked Balls Description,生产刺钉球，对陶瓷气球和强化气球造成额外伤害。
MOAB SHREDR Description,超级引擎驱动剃刀可以撕碎MOAB级气球。
Long Life Spikes Description,钉刺持续时间更长，可以持续一回合。
Spiked Mines Description,在失去刺钉后，刺钉地雷会猛烈爆炸。
Spike Storm Description,刺钉风暴技能：在整条路径上射出层层尖刺。
Deadly Spikes Description,更多的致命刺钉，每个刺钉可击破2层气球，并且可额外持续1回合
Super Mines Description,创造可以消灭几乎任何东西的巨型刺钉地雷。
Carpet of Spikes Description,周期性地在整条路径上设置一个刺钉地毯。
Perma-Spike Description,高伤害刺钉变得几乎不可磨灭。
,
Military Efficiency Description,减少半径内的军事猴子的占地面积。
Magic Sciences Description,半径内的魔法猴子获得额外的穿透和攻击速度。
Private Tuition Description,每回合为你的英雄生成更多的XP。
Wider Influence Description,让学院获得更大的影响半径。
Academic Network Description,升级所有学院的影响半径。
Heroic Presence Description,在学院的半径范围内，英雄的射程增加15％。
M.A.S.H Description,猴子军外科医院可拯救被气球炸死的生命。
Wizards Library Description,在这三个升级途径中，法师、德鲁伊和炼金术士都能学到2阶。
Heroic Academy Description,你的英雄的技能冷却时间缩短了。
Military Barracks Description,半径内的军事猴子的射程更远、爆破力更强，并且可以不错的价格出售。
Magic Arcanum Description,学院毕业生技能：基于附近魔法猴子的能力创造一个强大的猴子。
Power Hero Development (PhD) Description,每回合为你的英雄生成大量额外的XP。
Military HQ Description,各地的军事猴子都会获得巨大的射程、爆破和伤害加成。
Nexus Crucible Description,学院毕业生所获得的技能是永久的！
Dynamic Duo Description,让你获得第二个英雄！
,
Bigger Radius Description,增加村庄的影响半径。
Grow Blocker Description,在村庄的半径范围内防止重生气球投入战斗。
Monkey Business Description,为所有在村庄半径内购买的猴子和3阶或以下的升级提供10％的折扣。
Jungle Drums Description,提高半径内所有猴子的攻击速度。
Radar Scanner Description,允许半径内的所有猴子攻击迷彩气球。
Monkey Commerce Description,此次升级可额外享受5％的折扣，可与最多2个其他村庄堆叠。
Primary Training Description,所有半径中的初级猴子都会获得更大的射程、穿透和射弹速度。
Monkey Intelligence Bureau Description,情报局教授特种气球爆破技能，允许附近的猴子击破所有类型的气球。
Monkey Town Description,在猴子镇半径内每次击破气球都能获得额外的现金。
Primary Mentoring Description,作用范围内的所有初级猴子获得1阶免费升级，射程增加，技能冷却时间缩短。
Call to Arms Description,战争召唤技能：短时间内使附近猴子的攻击速度和击破力提升50%。
Monkey City Description,扩大作用范围，增加范围内的金钱生成，并且每回合免费为你提供一个飞镖猴。
Primary Expertise Description,增加超级弩炮攻击，并且作用范围内所有初级猴子的击破力增加，技能冷却时间进一步减少，免费获得1级和2级免费升级。
Homeland Defense Description,所有猴子的技能攻速和击破力提高100%，持续20秒。
Monkeyopolis Description,吸纳附近所有的香蕉农场和他们的产出，为新猴子释放空间。
,
//Ability Names,
Super Monkey Fan Club Ability,超猴侠粉丝会
Plasma Monkey Fan Club Ability,等离子猴粉丝会
Turbo Charge Ability,涡轮充能
Perma Charge Ability,永久强化
MOAB Assassin Ability,刺杀MOAB
MOAB Eliminator Ability,消灭MOAB
Blade Maelstrom Ability,利刃漩涡
Super Maelstrom Ability,超级漩涡
Snowstorm Ability,暴风雪
Absolute Zero Ability,绝对零度
Glue Strike Ability,胶水打击
Glue Storm Ability,胶水风暴
Supply Drop Ability,空投补给
Elite Sniper Ability,精英空投补给
Elite Defender Ability,精英防御者
First Strike Capability Ability,先发制人
Pre-emptive Strike Ability,先敌出击
Monkey Pirates Ability,MOAB追击
Pirate Lord Ability,海盗之王
Ground Zero Ability,夷为平地
Tsar Bomba Ability,沙皇邦巴
Support Chinook Redeploy Ability,支持切努克重新部署
Support Chinook Supplies Ability,支持切努克补给
Special Poperations Ability,特种作战
Pop and Awe Ability,击破震慑
Rocket Storm Ability,火箭风暴
Mauler Storm Ability,重锤风暴
Summon Phoenix Ability,召唤凤凰
Wizard Lord Phoenix Ability,高阶法师菲尼克斯
Soulbind Ability,黑暗王子
Tech Terror Ability,歼灭
The Anti-Bloon Ability,反气球
Legend of the Night Ability,黑夜传说
Bloon Sabotage Ability,破坏
Grand Saboteur Ability,大破坏
Transforming Tonic Ability,变身药水
IMF loan Ability,IMF贷款
Monkey-Nomics Ability,猴子经济政策
Overclock Ability,超频
Spike Storm Ability,刺钉风暴
Carpet of Spikes Ability,刺钉地毯
Magic Arcanum Ability,学院毕业生
Call to Arms Ability,战争召唤
Homeland Defense Ability,国土防御
,
//Ability Descriptions,
Super Monkey Fan Club Ability Description,最多可将附近的10个飞镖猴转换成超猴侠，持续10秒。
Plasma Monkey Fan Club Ability Description,入会这家俱乐部可让飞镖猴获得更强大的力量！
Turbo Charge Ability Description,使这个猴子的攻击速度变得异常快，持续10秒。
Perma Charge Ability Description,使这个猴子的获得额外伤害，持续15秒。
MOAB Assassin Ability Description,特制导弹对MOAB级气球造成巨大伤害。
MOAB Eliminator Ability Description,刺杀技能造成6倍伤害，有短暂冷却时间。
Blade Maelstrom Ability Description,对目标区域发起利刃风暴。
Super Maelstrom Ability Description,更强大的漩涡技能和更长的持续时间。
Snowstorm Ability Description,在短时间内冻结屏幕上的所有气球。
Absolute Zero Ability Description,极寒技能，可冻结所有的气球类型，包括免疫寒冷的气球和MOAB级气球。
Glue Strike Ability Description,粘住屏幕上的所有气球。
Glue Storm Ability Description,胶水风暴技能可在10秒内对全屏气球发起胶水攻击。
Supply Drop Ability Description,空投一个装满现金的箱子。
Elite Sniper Ability Description,空投补给带来了更多的现金。
Elite Defender Ability Description,失去生命会让狙击手在短时间内以2倍的攻击速度进行报复。
First Strike Capability Ability Description,对屏幕上最大的气球进行毁灭性的导弹袭击。一击摧毁一个ZOMG气球或多个较小气球。
Pre-emptive Strike Ability Description,每当MOAB气球从气球入口出现时，自动触发MOAB导弹效果。
Monkey Pirates Ability Description,MOAB追击技能：抓住MOAB级气球并将其消灭。主攻击额外增加两门大炮。
Pirate Lord Ability Description,可一次发射3个爪钩，每次击落MOAB级气球可获得更多现金。
Ground Zero Ability Description,提高投弹的效果。夷为平地技能：投掷一枚可摧毁全屏气球的巨型炸弹。
Tsar Bomba Ability Description,一种非常非常大的炸弹。有人阻止了这种疯狂想法！
Support Chinook Redeploy Ability Description,可以搭载和重新部署大部分类型的猴子。
Support Chinook Supplies Ability Description,空投生命或现金箱。
Special Poperations Ability Description,部署一支配备机枪的特种猴子海军陆战队。
Pop and Awe Ability Description,在整个屏幕上狂轰滥炸，击破并使所有气球失去移动能力，持续数秒钟。
Rocket Storm Ability Description,向各个方向发射暴雨般的火箭。
Mauler Storm Ability Description,每枚导弹对MOAB级气球造成极大伤害。
Summon Phoenix Ability Description,强大的凤凰会对气球造成20秒的浩劫。
Wizard Lord Phoenix Ability Description,高阶法师变身火焰大师，短时间内变成超强大的熔岩凤凰。
Soulbind Ability Description,复活更强大的气球，利用它们消灭敌人。
Tech Terror Ability Description,在爆炸范围内彻底摧毁大部分气球。
The Anti-Bloon Ability Description,<程序指令> <消灭气球> <发起进攻>
Legend of the Night Ability Description,当所有的希望都破灭时，我们只能依赖他…
Bloon Sabotage Ability Description,持续15秒。在破坏期间，所有气球移速变慢。
Grand Saboteur Ability Description,技能持续时间更长，MOAB级气球在破坏期间孵化的气球生命值较低。
Transforming Tonic Ability Description,德鲁伊附近的农场额外获得50%的金钱，持续一小段时间。
IMF loan Ability Description,给你10000块，但你必须按时还款。
Monkey-Nomics Ability Description,当你规模太大而不能失败时可以考虑…
Overclock Ability Description,目标猴子的攻击力在短时间内获得极大增强。
Spike Storm Ability Description,在整条路径上射出层层尖刺。
Carpet of Spikes Ability Description,每回合在整条路径上设置一个刺钉地毯。
Magic Arcanum Ability Description,基于附近魔法猴子的技能创造一个强大的猴子。
Call to Arms Ability Description,为所有猴子提供双倍攻速和爆破力，持续10秒。
Homeland Defense Ability Description,技能影响所有猴子，持续15秒。
,
//Maps,
TownCentre,市中心
Tutorial,猴子草甸
TreeStump,树桩
InTheLoop,循环
BTD1,BTD1
Cubism,立体主义
FourCircles,四个圈子
Cracked,龟裂之地
Hedge,树篱
Streambed,河床
MonkeysInSpace,太空猴子
Underground,地下
AnotherBrick,另一块砖
#ouch,＃哎哟
EndOfTheRoad,路的尽头
Chutes,滑槽
Rake,耙
OffTheCoast,海岸
MuddyPuddles,泥泞的水坑
ParkPath,公园路径
Logs,原木
TestMap,测试图
Cornfield,玉米地
SpiceIslands,香料群岛
FiringRange,靶场
HighFinance,高级金融
Downstream,顺流而下
DarkCastle,黑暗城堡
FrozenOver,冰冻三尺
Haunted,鬼屋
Quad,方院
MoonLanding,登月
AlpineRun,高山竞速
Peninsula,半岛
,
//Tower Groups,
Primary,主要
Military,军事
Magic,魔法
Support,支援
Heroes,英雄
Powers,力量
,
//Misc,
Crit,暴击
,
//Target Types,
TT_Close,近距
TT_First,第一个
TT_Last,最后一个
TT_Strong,强力
TT_Track,正常
TT_Circle,圈
TT_CloseTrack,近距
TT_CustomPath,自定义路径
TT_Elite,精英
TT_FarTrack,远轨道
TT_FigureInfinite,图无限
TT_FigureEight,图八
TT_FollowTouch,跟随触摸
TT_LockInPlace,锁定到位
TT_NecromancerTarget,死灵法师目标
TT_OffsetTrack,偏移轨道
TT_PatrolPoints,巡逻点
TT_Pursuit,追踪
TT_RandomPosition,随机位置
TT_RandomTarget,随机目标
TT_SmartTrack,智能轨道
TT_Submerge,淹没
TT_CloseSharedRange,附近共享范围
TT_ExpensiveFriendlyTarget,昂贵的友军目标
TT_FirstSharedRange,第一个共享范围
TT_FriendlyTarget,友好的目标
TT_Grapplable,攫取
TT_TargetIndependant,目标独立
TT_TargetInFront,目标在前面
TT_LastSharedRange,最后共享范围
TT_TargetMoab,目标MOAB
TT_TargetOpposite,目标相反
TT_TargetPointer,目标指针
TT_SetTarget,设定目标
TT_StrongSharedRange,强大的共享范围
TT_TargetTag,目标标签
TT_TrackOrDefault,追踪或默认
TT_Centered,中央路线
,
//Currency,
Cash,现金
XP,XP
Monkey Money,猴币
Free,免费
,
Round,回合
Max Tier Reached,已达到最高阶
Empty,清空
Not Upgraded,未升级
Owned,已拥有
Max Upgrades,最大升级
Deployed Message,已部署{0}个
,
//UI Misc,
OK,好的
Cancel,取消
Start,开始
Return To Menu,菜单
Freeplay,自由游戏
Continue,继续
Done,完成
Try Again,重试
Continue?,继续？
,
Rewards,奖励：
Change Hero,更换英雄
Select a Hero,选择英雄
Select a Map,选择地图
Selected,已选中
Select a Hero Subheading,你的英雄是一个强大的猴子，它将带领你的部队作战
Select Language,选择语言
Unlock All,全部解锁
Upgrade Ingame cost,游戏内花费
Loading,正在加载…
,
Defeat,失败
Defeat Message,可以试试更低的难度
Victory,胜利
Victory Message,你已经阻止了讨厌的气球
,
,
//ModeSelectScreen,
Select a Mode,选择模式
Mode Standard,标准
Mode MilitaryOnly,仅限军事
Mode Apopalypse,天启
Mode Reverse,相反
Mode Sandbox,沙盒
Mode PrimaryOnly,仅初级
Mode Deflation,放气
Mode Half Cash,一半现金
Mode DailyChallenge,每日挑戰
,
//GameTypeScreen,
Choose a Game,选择游戏
New Game,新游戏
Daily Challenge,每日挑战
Co-op,合作
Random,随机
,
//HomeScreen,
HS Monkeys,猴子
HS Heroes,英雄
HS Play,开始
HS Powers,力量
HS Knowledge,知识
,
//In game screens,
Upgrades,升级
Sell,出售
Get More,获取更多
,
// PauseMenu ,
Controls,控制
Drag & Drop,拖放
Lock & Drop,放下和锁定
Line of Sight,视线
Continuous Play,连续游戏
Off,关
Store,商店
Home,主页
Restart,重新开始
You ran out of lives on:,你的生命用完：
Game Over Round,第{0}回合
Victory Body,恭喜！ 你于第{0}回合完成了本路径
,
// LinK,
Log out,退出
Clear Data,清除数据
Login,登录
Not logged into LiNK,未登录到LiNK
Logged into LiNK as,以{0}登录到LiNK
,
// Map Difficulty,
MD Beginner,新手
MD Intermediate,中级
MD Advanced,高级
MD Expert,专家
MD Extreme,极限
,
//Tower Specific Messages,
Patrol Message,[I]以设置巡逻点
Sun Temple Title,寺庙祭品
Sun Temple Body,圣殿需要祭品。附近的所有防御塔将被摧毁，以不同的方式增强了神殿的难以置信的力量。早就警告过你了...
True Sun Temple Title,寺庙祭品
True Sun Temple Body,你是否想要召唤\n“真太阳神”!!？
Heli Pilot Redeploy Message,拖放防御塔进行重新部署
Heli Pilot Redeploy Message Banned,无法重新部署此塔
Select a tower to Soulbind,选择一个要灵魂绑定的塔 
Select Point,选择点 
Select a tower to link,选择一座要链接的塔
Cannot link to this tower,无法链接这座塔
Tower is already linked,塔已链接
Tower must have an ability,防御塔必须装备一个有效技能
Unlink,取消链接
,
//Upgrades Screen,
Unlock Message,解锁花费：
XP To Spend,消耗{0}XP ：
,
//Tower screen,
Unlock Hero,解锁下一等级
Max Level Hero,已达到最高等级！
,
//Hero Screen,
InGame Cost,游戏内花费：{0}
,
//Knowledge Screen,
Knowledge Requirement,至少还需要{0}点投入到{1}
,
//Removables,
Removable Cost,移除需要花费{0}块
,
// Powers Select Screen,
Select a Power,选择力量
Add For:,添加：
,
// Achievements screen,
Achievements,成就
Rewards:,奖励：
,
//Debug Options,
Set Health,设置生命值
Set Health Description,输入一个值以设置为新的生命值
Set Cash,设置现金
Set Cash Description,输入一个值作为新的现金价值
,
//Difficulty,
Easy,简单
Medium,中级
Hard,困难
Impoppable,不可击破
Sandbox,沙盒
Easy Description,简单模式中，猴子的成本比普通模式低，气球的移动速度稍慢一点，而且你有200条生命。在简单模式中完成40回合可获得该路径的青铜奖励。
Medium Description,中级模式中，猴子的成本正常，气球的移动速度正常，你有150条生命。在中级模式中完成60回合可获得该路径的白银奖励。
Hard Description,困难模式中，猴子的成本比普通模式稍高，您从第3回合开始游戏，气球的移动速度稍快，你有100条生命。在困难模式中完成80回合可获得该路径的黄金奖励。
Impoppable Description,不可击破模式中，猴子的成本比普通模式高很多，您从第6回合开始游戏，气球的移动速度快很多，你有1条生命。在不可击破模式中完成100回合可获得该路径的铂金奖励。
Sandbox Description,沙盒模式中，猴子的成本正常，气球的移动速度正常，你有无限条生命和无限的现金。
,
,
,
,
,
//Popup Screens,
Unlock All Title,解锁所有升级
Unlock All Body,花费{0}XP解锁所有升级。
Not Enough Cash Title,没有足够的现金
Not Enough Cash Body,击破更多气球获取现金。
Not Enough XP Title,XP不足
Not Enough XP Body,你需要{0}XP。\n每完成一回合游戏，防御塔都可以获得XP
Already Own Upgrade Title,升级已拥有
Already Own Upgrade Body,你已经拥有此升级。
Locked Title,升级未解锁
Locked Body,购买此产品之前，你必须先购买先前的升级产品。
Quit Title,退出
Quit Body,你确定要退出教程吗？
Continue Saved Game Title,继续上次保存的游戏？
Continue Saved Game Body,你是否希望从第{0}回合的{1}继续完成{2}模式{3}难度的游戏？
Continue Saved Game Okay,加载保存
Continue Saved Game Cancel,新游戏
,
,
//Hero Messages,
Generic Hero Message,需要帮助？
,
//Tutorial,
Welcome Title,欢迎来到《气球塔防6》
Welcome Title Partial,欢迎来到
Welcome Body,猴子对抗气球的史诗冒险
Town Trouble Title,欢迎来到《气球塔防6》
Town Trouble Body,气球占领了你的城镇！
Town Trouble Button,夺回城镇
Bloon Entry,阻止气球入侵！
Bloon Outro,...并尝试逃离这里。
Place First Tower,放置飞镖猴并开始游戏。
Place Second Tower,放置另一个飞镖猴，然后[I]开始
Press Go,现在[I]开始！
Finished Round One,很简单吧？[I]开始，以开始下一回合
Earning Experience,击破气球可为你的猴子赢得经验值。
Unlocking Upgrades,你已有足够的飞镖猴，可解锁升级
Upgrade Details,每种猴子有3个升级方向，每个方向有5次升级。现在解锁其中一个。
Upgrade Complete,很好！你现在可以升级现有的猴子。
Select Monkey,虽然你解锁了此升级，但仍需要在游戏中对猴子进行相应升级。现在点击一只猴子进行升级。
Select Upgrade,现在，选择解锁升级购买并配备它。
Hero Title,英雄！
Quincy Intro,需要帮助？
Hero Info,昆西是一位在比赛中升级自己的猴子英雄。他每次攻击可击破多个气球。
Last Round,还剩最后一回合！
Next Map Title,干得漂亮！
Next Map Description,我们已经让他们向那棵大树方向逃跑了！
Next Map Button,我们开始吧
Big Tree Title,大树
Big Tree Description,这棵树挡住了猴子的视线，所以要小心放置它们。 一些猴子可以射过障碍物。
Big Tree Victory Title,最后一击...
Big Tree Victory Description,胜利在望，攻入市中心！
Big Tree Victory Button,我们开始吧
Town Centre Title,市中心
Town Centre Description,粉碎所有的气球并拯救你的城镇。
Town Centre Victory Description,我们成功了！
Home Description,欢迎回家
Xp Reminder Title,别忘了！
Xp Reminder Description,记得花你的猴子XP为你的猴子解锁更多的升级。
Lose Tutorial Title,哎呦！
Lose Tutorial Description,你的生命耗尽！再试一次。尝试在路径附近放置更多猴子或获得更多升级。
Select a Monkey,选择一只猴子
Earning Experience Title,解锁升级
Unlocking Upgrades Title,解锁升级
Next,下一页
,
//Loading Messages,
Loading Message 0,正在检查象形文字…
Loading Message 1,正在训练猴子...
Loading Message 2,正在准备飞镖......
Loading Message 3,正在为气球充气 ...
Loading Message 4,正在收集香蕉......
Loading Message 5,正在休息...
Loading Message 6,正在修剪花园...
Loading Message 7,正在释放猴子克苏鲁...
