//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Klicken
Stronger Acid Description,Säuretränke lösen Bloons schneller auf.
Acid Pool Description,"Wenn keine Bloons in der Nähe sind, kann der Alchemist die Strecke nebenan mit Säure tränken."
Acidic Mixture Dip Description,"Wirft einen nützlichen Trank auf Affen, wonach sie Blei-Bloons platzen lassen können und Extraschaden bei Keramik-Bloons und Bloons der MOAB-Klasse anrichten. Klingt nach mehreren Angriffen wieder ab."
Perishing Potions Description,Angriffstränke fügen Bloons der MOAB-Klasse mehr Schaden zu und entfernen Stärkung von kleineren Bloons. Stärkt auch Gebräue und Anregungsmittel.
Alchemist Faster Throwing Description,Wirft Tränke und greift schneller an.
Berserker Brew Description,"Ein Spezialgebräu verleiht den Affen Extraschaden, Reichweite und Angriffsgeschwindigkeit. Hält länger an."
Unstable Concoction Description,"Beschichtete Bloons der MOAB-Klasse mit einer explosiven Substanz, die eine größere Explosion verursacht, wenn sie platzen."
Lead to Gold Description,"Verwandelt Blei-Bloons zu GOLD! Spezielle Lösungsmittel verursachen bei Blei-Bloons Extraschaden, zerstören sie in einem Schuss und erzeugen Geld."
Stronger Stimulant Description,Das extra starke Berserker-Gebräu hat einen noch kraftvolleren Effekt auf das Ziel. Hält noch länger an.
Transforming Tonic Description,Transformations-Fähigkeit: Verwandelt einen Alchemisten 20 Sekunden lang in ein mächtiges Angriffsmonster.
Rubber to Gold Description,"Verwandelt alle Bloons teilweise zu Gold, was dir mehr Geld pro Platzenlassen betroffener Bloons einbringt."
Permanent Brew Description,"Das Berserker-Gebräu wirkt DAUERHAFT bei Affen, die es trinken."
Total Transformation Description,Verwandelt fünf Affen in der Nähe 20 Sekunden lang in verrückte Angriffsmonster.
Bloon Master Alchemist Description,Ein geheimer Schrumpftrank verwandelt alle betroffenen Bloons in Rote Bloons.
,
Hard Thorns Description,Hartdornen können jeweils 2 Bloons und dabei sogar alle Bloon-Arten platzen lassen.
Thorn Swarm Description,Schießt 8 Dornen pro Schuss statt 5.
Druidic Reach Description,Erhöht die Reichweite sehr deutlich.
Heart of Thunder Description,"Setzt regulär Gabelblitze ein, die einen Bogen von Bloon zu Bloon bilden."
Heart of Oak Description,Angriffe verwandeln runderneuerte Bloons zu normalen Bloons.
Heart of Vengeance Description,"Erhöht die Angriffsgeschwindigkeit um 10 % und 1 % für jedes verlorene Leben vom Startwert nach dem Upgrade. Maximal bis 100 % und verringert sich, wenn Leben wiederhergestellt werden. "
Druid of the Storm Description,Windböen pusten die Bloons von der Strecke und vom Ausgang weg.
Druid of the Jungle Description,"Ruft eine Schlingpflanze aus dem Boden, die einen Bloon nach dem anderen fesselt und vernichtet und einen tödlichen Dornenhaufen hinterlässt."
Druid of Wrath Description,"Gewinnt an Angriffsgeschwindigkeit während der Runde, solange der Druide Bloons angreift."
Ball Lightning Description,"Erzeugt mächtige Blitzkugeln, die weitere Blitzschläge aussenden und Bloons einfrieren können."
Jungle's Bounty Description,"Dschungelbeute-Fähigkeit: Erzeugt bei jedem Einsatz Geld, plus Extrageld pro Bananenfarm in der Nähe des Druiden. Kann auch zwei Bloons gleichzeitig mit Schlingpflanzen packen."
Poplust Description,Verbessert Angriffsgeschwindigkeit und Durchschlagskraft für andere Druiden im Umkreis. Kann bis zu 5-mal auf einem einzelnen Druiden angehäuft werden.
Superstorm Description,Supersturm fügt allen Bloon-Arten schweren Schaden zu und bläst sie vom Ausgang weg.
Spirit of the Forest Description,"Lässt Dornenranken am Weg entlang wachsen, die konstanten Schaden verursachen sowie zusätzlichen Schaden an Keramiken. Ranken in der Nähe des Waldgeistes fügen mehr Schaden zu. Wenn die Fähigkeit aktiviert ist, werden Leben und mehr Geld generiert."
Avatar of Wrath Description,"Je mehr Bloons es gibt, desto größer der angerichtete Schaden!"
,
Increased Production Description,Lässt 2 zusätzliche Bananenstauden pro Runde wachsen.
Long Life Bananas Description,Bananen halten 30 statt gewöhnlich 15 Sekunden.
EZ Collect Description,"Der Sammelradius von Bananen ist größer und ungesammelte Bananen werden automatisch zum halben Wert gesammelt. Affenbanken leuchten, wenn die Bank voll ist und zum Einsammeln bereit ist."
Greater Production Description,Lässt 2 WEITERE zusätzliche Bananenstauden pro Runde wachsen.
Valuable Bananas Description,Bananen sind 25 % mehr Geld pro Staude wert.  
Banana Salvage Description,"Nicht eingesammelte Bananen werden für fast ihren gesamten Wert automatisch eingesammelt und die Banken werden automatisch eingesammelt, wenn sie voll sind. Die Rückkaufsrate für Farmen ist um 10 % erhöht."
Banana Plantation Description,Lässt 16 Bananenstauden pro Runde wachsen.
Monkey Bank Description,Sämtliches von dieser Farm generierte Geld wird jetzt in der Bank gelagert und in jeder Runde mit 15 % verzinst.
Marketplace Description,Generiert jede Runde Geld und fügt es deiner Gesamtsumme hinzu. Kein Witz.
Banana Research Facility Description,"Produziert jede Runde 5 große Bananenkisten, die je 300 $ wert sind."
IMF loan Description,"IAF-Kredit-Fähigkeit: Bringt dir 10.000 $, die du jedoch mit der Zeit zurückzahlen musst."
Central Market Description,Bringt dir haufenweise Geld jede Runde ein und Handelsschiffen +10 % Einkommen.
Banana Central Description,Du willst Bananen? Wir haben Bananen!
Monkey-Nomics Description,Wenn du bereits zu groß für den Untergang bist ...
Monkey Wall Street Description,Ein zentraler Affenhandelspunkt bringt jede Runde kolossale Einnahmen und generiert Leben.
,
Sentry Gun Description,Fertigt zeitlich begrenzte Überwachungskanonen und startet sie in seiner Nähe.
Larger Service Area Description,Schießt weiter und setzt Wachtürme in einem viel größeren Gebiet ein. Die Wachtürme haben eine längere Reichweite.
Oversize Nails Description,"Durch Vergrößerung können Nägel 8 Bloons auf einmal platzen lassen, auch die gefrorenen. Erhöht auch die Schaum- und Wachturmwirksamkeit."
Faster Engineering Description,"Die verbesserte Effizienz erlaubt es dem Ingenieur, Wachtürme, Schaum und Bloon-Fallen noch häufiger zu produzieren."
Deconstruction Description,Schüsse des Bolzenschussgeräts und des Wachturms verursachen Extraschaden bei Bloons der MOAB-Klasse und Wehrbloons.
Pin Description,Hält Bloons nach Treffern für kurze Zeit an ihrem Platz.
Sprockets Description,Erhöht die Angriffsgeschwindigkeit von Überwachungskanonen und Pionieren.
Cleansing Foam Description,"Sprüht einen Schaum, der Tarnung und Runderneuern von Bloons entfernt und Blei-Bloons zum Platzen bringt."
Double Gun Description,Zwei Waffen für doppelten Spaß.
Sentry Expert Description,Wachtürme werden mit verschiedenen Schadensarten eingesetzt – basierend auf deinen Bedürfnissen.
Overclock Description,"Übertakt-Fähigkeit: Zielt auf einen anderen Turm, um dessen Angriffsgeschwindigkeit für kurze Zeit extrem zu erhöhen."
Bloon Trap Description,"Die Bloon-Falle fängt Bloons, bis sie voll ist. Wähle sie zum Leeren der vollen Falle für Geld."
Sentry Paragon Description,"Erzeugt superstarke Wachtürme, die jedoch ziemlich instabil sind."
Ultraboost Description,"Ultra-übertaktete Affen erhalten einen kleinen, aber dauerhaften Boost bei jedem Übertakten."
XXXL Trap Description,Große Bloon-Fallen können sogar die größten Bloons einfangen …
,
Bigger Stacks Description,Erzeugt größere Nagelhaufen mit jedem Schuss.
Faster Production Description,Erhöht schnell die Produktionsrate.
Long Reach Description,"Erhöhte Reichweite von Nagelsperrenabwürfen, plus längere Haltbarkeit der Sperren."
White Hot Spikes Description,Schneidet durch Blei-Bloons und Eis-Bloons.
Even Faster Production Description,Erhöht die Produktionsrate noch mehr.
Smart Spikes Description,Die Nagelfabrik gewinnt zu Beginn jeder Runde spezielle Zielpriorität und beschleunigte Produktion.
Spiked Balls Description,"Erzeugt Nagelbälle, die bei Keramik- und Wehrbloons viel Schaden anrichten."
MOAB SHREDR Description,Super-gehärtete-zerfleischende-motorangetriebene-Rasierklingen zerfetzen Bloons der MOAB-Klasse.
Long Life Spikes Description,Nägel halten viel länger und können eine Runde übertragen werden.
Spiked Mines Description,"Nagelminen explodieren heftig, wenn sie alle Nägel verloren haben."
Spike Storm Description,Nagelsturm-Fähigkeit: Verteilt eine dicke Schicht Nägel über die gesamte Strecke.
Deadly Spikes Description,Extra tödliche Nägel können 2 Schichten je Nagel platzen lassen und halten eine weitere Runde.
Super Mines Description,"Erzeugt gigantisch explodierende Nagelminen, die beinahe alles vernichten."
Carpet of Spikes Description,Sendet regelmäßig einen Stachelteppich über die ganze Strecke.
Perma-Spike Description,Nägel mit hohem Schaden sind fast permanent vorhanden.
,
Military Efficiency Description,Verringert die Wirkungsfläche der Militäraffen im Radius.
Magic Sciences Description,Zauberaffen im Radius erhalten zusätzliche Durchschlagskraft und Angriffsgeschwindigkeit.
Private Tuition Description,Erzeugt mehr XP pro Runde für deinen Helden.
Wider Influence Description,Verleiht der Akademie einen größeren Einflussradius.
Academic Network Description,Vergrößert mit diesem Upgrade den Akademieradius für alle Akademien.
Heroic Presence Description,Helden erhalten eine um 15 % vergrößerte Reichweite innerhalb des Radius der Akademie.
M.A.S.H Description,Die Chirurgie des Affenarmee-Hospitals verleiht Extraleben für zerplatzte Bloons.
Wizards Library Description,"Zauberer, Druiden und Alchemisten im Radius können auf allen drei Upgrade-Zweigen bis Stufe 2 lernen."
Heroic Academy Description,Die Abkühlphasen für die Fähigkeiten deines Helden sind verkürzt.
Military Barracks Description,Militäraffen im Radius erhalten eine höhere Reichweite. Mehr geplatzte Bloons bringen eine ordentliche Summe ein.
Magic Arcanum Description,"Akademieabsolventen-Fähigkeit: Erzeugt einen mächtigen Affen, dessen Fähigkeiten darauf basieren, welche Zauberaffen in der Nähe sind."
Power Hero Development (PhD) Description,Erzeugt viel mehr XP pro Runde für deinen Helden.
Military HQ Description,"Militäraffen erhalten überall eine große Reichweite, und Stärkungen für das Platzenlassen und Schaden."
Nexus Crucible Description,Die durch Fähigkeiten erzeugten Akademieabsolventen bleiben dauerhaft!
Dynamic Duo Description,Du erhältst immer einen zweiten Helden!
,
Bigger Radius Description,Erhöht den Einflussradius des Dorfes.
Grow Blocker Description,"Hindert runderneuerte Bloons am Arbeiten, wenn sie im Radius des Dorfes sind."
Monkey Business Description,"Gewährt 10 % Rabatt für alle Affen und Upgrades Stufe 3 oder weniger, die im Umkreis des Dorfes gekauft werden."
Jungle Drums Description,Erhöht die Angriffsgeschwindigkeit für alle Affen innerhalb des Radius.
Radar Scanner Description,Erlaubt allen Affen im Radius den Angriff auf Tarn-Bloons.
Monkey Commerce Description,"Zusätzlich 5 % Rabatt, die bei diesem Upgrade bis zu 2-mal mit anderen Dörfern kombiniert werden können."
Primary Training Description,"Alle Primäraffen im Radius erhalten mehr Reichweite, Durchschlagskraft und Geschossgeschwindigkeit."
Monkey Intelligence Bureau Description,"Das Büro verleiht spezielles Wissen zum Platzenlassen von Bloons und ermöglicht es Affen in der Nähe, alle Bloon-Arten platzen zu lassen."
Monkey Town Description,"Alle Affen, die innerhalb des Radius der Affenstadt sind, erhalten Extrageld pro geplatztem Bloon."
Primary Mentoring Description,"Alle Primäraffen im Radius erhalten kostenlos Upgrades der Stufe 1, mehr Reichweite und reduzierte Abkühlphase für Fähigkeiten."
Call to Arms Description,Zu-den-Waffen-Fähigkeit: Verleiht Affen in der Nähe +50 % Angriffsgeschwindigkeit und lässt Bloons für kurze Zeit platzen.
Monkey City Description,"Erhöht Einflussradius, Geldgenerierung im Radius und bringt dir jede Runde einen kostenlosen Wurfpfeilaffen."
Primary Expertise Description,"Fügt den Angriff Mega-Ballista hinzu. Außerdem erhalten alle Primär-Affen in Reichweite mehr Kraft zum Platzenlassen, Fähigkeits-Abkühlphasen weiter reduziert und kostenlose Upgrades der Stufen 1 und 2."
Homeland Defense Description,Fähigkeit erhöht jetzt die Angriffsgeschwindigkeit und platzt 20 Sekunden lang bei 100 % aller Affen.
Monkeyopolis Description,Schöpft die Einnahmen von allen Bananenplantagen in der Nähe ab und macht so Platz für neue Affen.
,
//Ability Names,
Super Monkey Fan Club Ability,Superaffen-Fanclub
Plasma Monkey Fan Club Ability,Plasmaaffen-Fanclub
Turbo Charge Ability,Turboladung
Perma Charge Ability,Permaladung
MOAB Assassin Ability,MOAB-Killer
MOAB Eliminator Ability,MOAB-Eliminierung
Blade Maelstrom Ability,Klingeninferno
Super Maelstrom Ability,Super-Inferno
Snowstorm Ability,Schneesturm
Absolute Zero Ability,Absolut Null
Glue Strike Ability,Klebstoffangriff
Glue Storm Ability,Klebstoffsturm
Supply Drop Ability,Nachschub-Abwurf
Elite Sniper Ability,Elite-Nachschub-Abwurf
Elite Defender Ability,Elite-Verteidiger
First Strike Capability Ability,Erstschlag
Pre-emptive Strike Ability,Präventivschlag
Monkey Pirates Ability,MOAB-Abschuss
Pirate Lord Ability,Piratenfürst
Ground Zero Ability,Ground Zero
Tsar Bomba Ability,Tsar-Bomba
Support Chinook Redeploy Ability,Support-Chinook-Absetzen
Support Chinook Supplies Ability,Support-Chinook-Nachschub
Special Poperations Ability,Spezial-Platzerei
Pop and Awe Ability,Platz-Methode
Rocket Storm Ability,Raketensturm
Mauler Storm Ability,Schläger-Sturm
Summon Phoenix Ability,Phönix beschwören
Wizard Lord Phoenix Ability,Zauberer-Phönix
Soulbind Ability,Fürst der Finsternis
Tech Terror Ability,Vernichtung
The Anti-Bloon Ability,Der Anti-Bloon
Legend of the Night Ability,Legende der Nacht
Bloon Sabotage Ability,Sabotage
Grand Saboteur Ability,Groß-Saboteur
Transforming Tonic Ability,Transformierendes Tonikum
IMF loan Ability,IAF-Kredit
Monkey-Nomics Ability,Affennomie
Overclock Ability,Übertakten
Spike Storm Ability,Nagelsturm
Carpet of Spikes Ability,Nagelteppich
Magic Arcanum Ability,Akademieabsolvent
Call to Arms Ability,Zu den Waffen
Homeland Defense Ability,Heimatverteidigung
,
//Ability Descriptions,
Super Monkey Fan Club Ability Description,Bis zu 10 Wurfpfeilaffen in der Nähe werden 10 Sekunden lang zu Superaffen.
Plasma Monkey Fan Club Ability Description,Die Elitemitgliedschaft in diesem Club verleiht den Wurfpfeilaffen noch mehr Kraft!
Turbo Charge Ability Description,Dieser Affe greift 10 Sekunden lang unglaublich schnell an.
Perma Charge Ability Description,Lässt diesen Affen 15 Sekunden lang zusätzlichen Schaden verursachen.
MOAB Assassin Ability Description,Eine Spezialrakete fliegt los und verursacht bei Bloons der MOAB-Klasse schweren Schaden.
MOAB Eliminator Ability Description,Asassinenfähigkeit richtet mit einer kurzen Abkühlzeit sechsfachen Schaden an.
Blade Maelstrom Ability Description,Fähigkeit: Bedeckt die ganze Strecke mit einem Klingenteppich.
Super Maelstrom Ability Description,"Noch stärkere Infernofähigkeit, die noch länger dauert."
Snowstorm Ability Description,Friert für kurze Zeit alle Bloons auf dem Bildschirm ein.
Absolute Zero Ability Description,"Die Fähigkeit ist so kalt, dass sie alle Bloons einfriert, darunter auch kälteimmune und diejenigen von der MOAB-Klasse."
Glue Strike Ability Description,Verklebt alle Bloons auf dem Bildschirm.
Glue Storm Ability Description,Die Klebstoffsturm-Fähigkeit bewirft den ganzen Bildschirm 10 Sekunden lang mit Klebstoff.
Supply Drop Ability Description,Wirft eine Kiste voller Geld ab.
Elite Sniper Ability Description,Die Versorgung wirft viel mehr Geld ab.
Elite Defender Ability Description,Ein verlorenes Leben verleiht diesem Scharfschützen beim Gegenschlag für kurze Zeit 2-fache Angriffsgeschwindigkeit.
First Strike Capability Ability Description,Fähigkeit: ein vernichtender Raketenangriff gegen den größten Bloon auf dem Bildschirm. Zerstört bis zu 1 ZOMG-Bloon oder viele Bloons niedrigerer Klasse auf einmal.
Pre-emptive Strike Ability Description,"Löst automatisch einen Extra-MOAB-Killereffekt aus, wenn Bloons der MOAB-Klasse am Blooneingang erscheinen."
Monkey Pirates Ability Description,Schnappt sich einen Bloons der MOAB-Klasse und schießt ihn ab.
Pirate Lord Ability Description,"Kann 3 Enterhaken gleichzeitig verschießen und Extrageld von jedem Bloon der MOAB-Klasse plündern, den er damit heruntergeholt hat."
Ground Zero Ability Description,"Erhöht die Wirksamkeit von Bombenabwürfen. Ground Zero-Fähigkeit: Wirft eine gigantische Bombe ab, die beinahe alles auf dem Boden zerstört."
Tsar Bomba Ability Description,Eine äußerst große Bombe. Jemand muss diesem Irrsinn ein Ende setzen!
Support Chinook Redeploy Ability Description,Kann die meisten Affen-Arten aufnehmen und wieder absetzen.
Support Chinook Supplies Ability Description,Wirft Leben und Geldkisten ab.
Special Poperations Ability Description,Setzt einen starken Affen-Marine mit Maschinengewehr ein.
Pop and Awe Ability Description,"Lässt Explosionen über den ganzen Bildschirm regnen, während ein paar Sekunden lang alle Bloons platzen und bewegungsunfähig sind."
Rocket Storm Ability Description,Sendet einen mächtigen Raketensturm in alle Richtungen.
Mauler Storm Ability Description,Jede Rakete verursacht extremen Schaden bei Bloons der MOAB-Klasse.
Summon Phoenix Ability Description,Der mächtige Phönix richtet 20 Sekunden lang verheerende Schäden unter den Bloons an.
Wizard Lord Phoenix Ability Description,Der Zauberer wird zum Meister der Flamme und verwandelt sich für kurze Zeit zu einem superstarken Lava-Phönix.
Soulbind Ability Description,"Wiederbelebe noch stärkerer Bloon-Diener, um den Gegner zu vernichten."
Tech Terror Ability Description,Zerstört die meisten Bloons innerhalb des Explosionsradius vollständig.
The Anti-Bloon Ability Description,<Programmdirektive> <Bloons ausradieren> <INITIIEREN>
Legend of the Night Ability Description,"Wir wenden uns an ihn, wenn alle Hoffnung verloren ist ..."
Bloon Sabotage Ability Description,Während der Sabotage bewegen sich alle Bloons noch langsamer
Grand Saboteur Ability Description,Die Fähigkeit dauert länger und Bloons der MOAB-Klasse erscheinen während der Sabotage mit weniger Gesundheit.
Transforming Tonic Ability Description,Plantagen in der Nähe des Druiden bringen für kurze Zeit 50 % mehr Geld.
IMF loan Ability Description,"Bringt dir 10.000 $, die du jedoch mit der Zeit zurückzahlen musst."
Monkey-Nomics Ability Description,Wenn du bereits zu groß für den Untergang bist ...
Overclock Ability Description,Der Zielaffe verfügt für kurze Zeit über Superkraft.
Spike Storm Ability Description,Verteilt eine dicke Schicht Nägel über die gesamte Strecke.
Carpet of Spikes Ability Description,Bedeckt jede Runde die gesamte Strecke mit einem Nagelteppich.
Magic Arcanum Ability Description,"Erzeugt einen mächtigen Affen, dessen Fähigkeiten darauf basieren, welche Zauberaffen in der Nähe sind."
Call to Arms Ability Description,Verleiht allen Affen DOPPELTE Angriffsgeschwindigkeit und lässt 10 Sekunden lang Bloons platzen.
Homeland Defense Ability Description,Die Fähigkeit betrifft ALLE Affen und dauert 15 Sekunden lang.
,
//Maps,
TownCentre,Stadtmitte
Tutorial,Affenaue
TreeStump,Baumstumpf
InTheLoop,Auf dem Laufenden
BTD1,BTD1
Cubism,Kubismus
FourCircles,Vier Kreise
Cracked,Rissig
Hedge,Ausweichen
Streambed,Flussbett
MonkeysInSpace,Affen im Weltall
Underground,Unterirdisch
AnotherBrick,Noch ein Ziegel
#ouch,#Autsch
EndOfTheRoad,Ende der Straße
Chutes,Rutschen
Rake,Harke
OffTheCoast,Vor der Küste
MuddyPuddles,Matschpfützen
ParkPath,Parkweg
Logs,Stämme
TestMap,Testkarte
Cornfield,Kornfeld
SpiceIslands,Würzinseln
FiringRange,Schießplatz
HighFinance,Hochfinanz
Downstream,Flussabwärts
DarkCastle,Finstere Burg
FrozenOver,Eingefroren
Haunted,Heimgesucht
Quad,Kolleghof
MoonLanding,Mondlandung
AlpineRun,Alpinablauf
Peninsula,Halbinsel
,
//Tower Groups,
Primary,Primär
Military,Militär
Magic,Zauberer
Support,Unterstützung
Heroes,Helden
Powers,Kräfte
,
//Misc,
Crit,Kritisch
,
//Target Types,
TT_Close,Nah
TT_First,Erster
TT_Last,Letzter
TT_Strong,Stärkster
TT_Track,Normal
TT_Circle,Kreis
TT_CloseTrack,Nah
TT_CustomPath,Maßgeschneiderter Weg
TT_Elite,Elite
TT_FarTrack,Weit
TT_FigureInfinite,Symbol für Unendlich
TT_FigureEight,Zahl Acht
TT_FollowTouch,Berührung folgen
TT_LockInPlace,Fest verankert
TT_NecromancerTarget,Nekromantenziel
TT_OffsetTrack,Ausgleichstrecke
TT_PatrolPoints,Patrouillenpunkte
TT_Pursuit,Verfolgung
TT_RandomPosition,Zufällige Position
TT_RandomTarget,Zufälliges Ziel
TT_SmartTrack,Klug
TT_Submerge,Abgetaucht
TT_CloseSharedRange,Knappe Reichweite
TT_ExpensiveFriendlyTarget,Teures freundliches Ziel
TT_FirstSharedRange,Erstgeteilte Reichweite
TT_FriendlyTarget,Freundliches Ziel
TT_Grapplable,Wurfable
TT_TargetIndependant,Zielunabhängig
TT_TargetInFront,Ziel vorne
TT_LastSharedRange,Zuletzt geteilte Reichweite
TT_TargetMoab,MOAB-Ziel
TT_TargetOpposite,Gegenüber-Ziel
TT_TargetPointer,Zielmarkierer
TT_SetTarget,Ziel festlegen
TT_StrongSharedRange,Starkgeteilte Reichweite
TT_TargetTag,Zielmarkierung
TT_TrackOrDefault,Strecke oder Standard
TT_Centered,Zentrierter Pfad
,
//Currency,
Cash,Geld
XP,XP
Monkey Money,Affengeld
Free,Gratis
,
Round,Runde:
Max Tier Reached,Maximal erreichte Stufe
Empty,Leer
Not Upgraded,Nicht verbessert
Owned,In Besitz
Max Upgrades,Maximale \nUpgrades
Deployed Message,{0} eingesetzt
,
//UI Misc,
OK,OK
Cancel,Abbrechen
Start,Start
Return To Menu,Menü
Freeplay,FREIES SPIEL
Continue,Weiter
Done,Fertig
Try Again,ERNEUT VERSUCHEN?
Continue?,Weiter?
,
Rewards,BELOHNUNGEN:
Change Hero,Held wechseln
Select a Hero,Held wählen
Select a Map,Karte wählen
Selected,Gewählt
Select a Hero Subheading,"Dein Held ist ein mächtiger Affe, der deine Truppen in die Schlacht führt."
Select Language,Sprache wählen
Unlock All,ALLE FREISCHALTEN
Upgrade Ingame cost,Kosten im Spiel
Loading,Wird geladen ...
,
Defeat,Niederlage
Defeat Message,Vielleicht versuchst du es auf einem niedrigeren Schwierigkeitsgrad erneut?
Victory,Sieg
Victory Message,Du hast die lästigen Bloons aufgehalten.
,
,
//ModeSelectScreen,
Select a Mode,Modus wählen
Mode Standard,Standard
Mode MilitaryOnly,Nur Militär
Mode Apopalypse,Aplatz-\nolypse
Mode Reverse,Rückwärts
Mode Sandbox,Sandkasten
Mode PrimaryOnly,Nur Primär
Mode Deflation,Luftablassen
Mode Half Cash,Halbes Geld
Mode DailyChallenge,TAGESHERAUSFORDERUNG
,
//GameTypeScreen,
Choose a Game,Spiel wählen
New Game,Neues Spiel
Daily Challenge,TAGESHERAUSFORDERUNG
Co-op,Co-Op
Random,Zufällig
,
//HomeScreen,
HS Monkeys,AFFEN
HS Heroes,HELDEN
HS Play,SPIELEN
HS Powers,KRÄFTE
HS Knowledge,WISSEN
,
//In game screens,
Upgrades,Upgrades
Sell,Verkaufen
Get More,Mehr holen
,
// PauseMenu ,
Controls,Steuerung:
Drag & Drop,Ziehen & Ablegen
Lock & Drop,Abwurf und Sperre
Line of Sight,Sichtlinie
Continuous Play,Kontinuierliches Spiel
Off,Aus
Store,Shop
Home,Hauptseite
Restart,Neu starten
You ran out of lives on:,Du hast keine Leben mehr
Game Over Round,Runde {0}
Victory Body,Glückwunsch! Du hast diese Strecke beendet mit: {0}
,
// LinK,
Log out,Abmelden
Clear Data,Daten löschen
Login,Anmelden
Not logged into LiNK,Du bist nicht bei LiNK angemeldet.
Logged into LiNK as,Du bist als {0} bei LiNK angemeldet.
,
// Map Difficulty,
MD Beginner,Anfänger
MD Intermediate,Zwischenstüfler
MD Advanced,Fortgeschrittener
MD Expert,Experte
MD Extreme,Extremspieler
,
//Tower Specific Messages,
Patrol Message,[I] zum Einstellen eines Kontrollpunkts
Sun Temple Title,Tempelopfer
Sun Temple Body,"Der Tempel verlangt ein Opfer. Alle Türme in der Nähe werden zerstört, wodurch die fantastische Kraft des Tempels auf unterschiedliche Art gesteigert wird. Sag nicht, dass du nicht gewarnt wurdest ..."
True Sun Temple Title,Tempelopfer
True Sun Temple Body,Willst du den\nECHTEN SONNENGOTT RUFEN?!!
Heli Pilot Redeploy Message,"Ziehe einen Turm und lege ihn ab, um ihn abzusetzen."
Heli Pilot Redeploy Message Banned,Dieser Turm kann nicht abgesetzt werden.
Select a tower to Soulbind,Turm für den Seelenbinder wählen
Select Point,Punkt wählen
Select a tower to link,Wähle einen Turm zum Verknüpfen
Cannot link to this tower,Dieser Turm kann nicht verknüpft werden
Tower is already linked,Turm ist bereits verknüpft
Tower must have an ability,Türme brauchen eine gültige Fähigkeit
Unlink,Verknüpfung aufheben
,
//Upgrades Screen,
Unlock Message,Freischalten für:
XP To Spend,{0} XP zum Ausgeben:
,
//Tower screen,
Unlock Hero,Stufe freischalten
Max Level Hero,Maximalstufe erreicht!
,
//Hero Screen,
InGame Cost,Kosten im Spiel: {0} $
,
//Knowledge Screen,
Knowledge Requirement,Erfordert die Investition von mindestens {0} weiteren Punkt(en) in {1}.
,
//Removables,
Removable Cost,Entfernen für {0} $
,
// Powers Select Screen,
Select a Power,Eine Kraft wählen
Add For:,Hinzufügen für:
,
// Achievements screen,
Achievements,Erfolge
Rewards:,Belohnungen
,
//Debug Options,
Set Health,Gesundheit festlegen
Set Health Description,"Gib einen Wert ein, um ihn als neuen Gesundheitswert festzulegen."
Set Cash,Geld festlegen
Set Cash Description,"Gib einen Wert ein, um ihn als neuen Geldwert festzulegen."
,
//Difficulty,
Easy,Leicht
Medium,Mittel
Hard,Schwer
Impoppable,Unplatzbar
Sandbox,Sandkasten
Easy Description,"Auf Schwierigkeitsstufe Leicht kosten Türme weniger als sonst, die Bloons bewegen sich langsamer und du hast 200 Leben. Wenn du auf Schwierigkeitsstufe Leicht Runde 40 absolvierst, erhältst du eine Bronzemedaille für diese Strecke."
Medium Description,"Auf Schwierigkeitsstufe Mittelschwer kosten Türme so viel wie immer, die Bloons bewegen sich normal und du hast 150 Leben. Wenn du auf Schwierigkeitsstufe Mittelschwer Runde 60 absolvierst, erhältst du eine Silbermedaille für diese Strecke."
Hard Description,"Auf Schwierigkeitsstufe Schwer kosten die Affen mehr als üblich, du beginnst in Runde 3, die Bloons bewegen sich etwas schneller und du hast 100 Leben. Wenn du auf Schwierigkeitsstufe Schwer Runde 80 schaffst, erhältst du die Goldmedaille für diese Strecke."
Impoppable Description,"Auf Schwierigkeitsstufe Unplatzbar kosten die Affen viel mehr als üblich, du beginnst in Runde 6, die Bloons bewegen sich etwas shcneller und du hast 1 Leben. Wenn du auf Schwierigkeitsstufe Schwer Runde 100 schaffst, erhältst du die Platinmedaille für diese Strecke."
Sandbox Description,"Auf Schwierigkeitsstufe Sandkasten kosten Türme so viel wie immer, die Bloons bewegen sich normal und du hast unbegrenzt Leben und Geld."
,
,
,
,
,
//Popup Screens,
Unlock All Title,Alle Upgrades freischalten
Unlock All Body,Alle Upgrades für {0} XP freischalten.
Not Enough Cash Title,Nicht genug Geld
Not Enough Cash Body,"Lass mehr Bloons platzen, um dir Geld zu besorgen."
Not Enough XP Title,Nicht genug XP
Not Enough XP Body,"Du brauchst {0} XP.\nTürme bringen dir jedes Mal XP, wenn du eine Runde überstehst."
Already Own Upgrade Title,Upgrade bereits in Besitz
Already Own Upgrade Body,Du besitzt dieses Upgrade bereits.
Locked Title,Upgrade gesperrt
Locked Body,"Du musst das vorherige Upgrade kaufen, bevor du dieses kaufst."
Quit Title,Beenden
Quit Body,Willst du das Tutorial wirklich verlassen?
Continue Saved Game Title,Das letzte gespeicherte Spiel fortsetzen?
Continue Saved Game Body,Willst du mit Runde {0} in {1} im {2}-Modus auf Schwierigkeitsstufe {3} weiterspielen?
Continue Saved Game Okay,Spielstand laden
Continue Saved Game Cancel,Neues Spiel
,
,
//Hero Messages,
Generic Hero Message,Brauchst du Hilfe?
,
//Tutorial,
Welcome Title,Willkommen bei Bloons™ Tower Defense 6
