//Input. Needs to be first e.g [I] replaced by click or tap,
Click,클릭
Submerge and Support Description,잠수 중에는 공격을 멈추는 대신 반경 내 캐모 풍선을 영구적으로 드러내는 잠수 표적 옵션을 추가합니다.
Ballistic Missile Description,"미사일이 사정거리 내의 표적을 추적하며, MOAB과 세라믹 풍선에 추가 피해를 줍니다."
Triple Guns Description,세 번째 대포를 추가하여 공격 속도가 더욱 증가합니다.
Bloontonium Reactor Description,"잠수하여 캐모를 감지하고, 풍선을 터트리며, 주변에 있는 수중 원숭이의 능력 쿨다운을 15% 감소합니다."
First Strike Capability Description,"선제 공격 능력: 화면에서 가장 큰 풍선을 향해 무시무시한 미사일을 날리며, 방사 피해도 줍니다."
Armor Piercing Darts Description,"특수 철갑다트의 공격력과 터트리는 힘이 증가하며, MOAB급 풍선에게 추가 피해를 줍니다."
Energizer Description,모든 곳의 능력 쿨다운이 20% 감소합니다. 반경 내에 있는 영웅의 XP 획득 속도가 50% 증가하고 수중 원숭이의 능력 쿨다운이 반으로 감소합니다.
Pre-emptive Strike Description,풍선 입구에서 MOAB급 풍선이 나타나면 자동으로 강력한 미사일 공격을 발동합니다.
Sub Commander Description,사령관과 반경 내 모든 잠수함에게 추가 관통력과 공격력을 부여합니다.
,
Buccaneer-Faster Shooting Description,선상의 모든 무기의 공격 속도가 증가합니다.
Buccaneer-Grape Shot Description,선상에 5개의 뾰족한 포도 분무를 추가합니다.
Buccaneer-Long Range Description,사정거리가 훨씬 더 길어지고 발사무기의 이동 속도가 증가합니다.
Buccaneer-Double Shot Description,함선의 발사 무기가 두 배가 됩니다.
Buccaneer-Hot Shot Description,불타는 뜨거운 포도탄이 납 풍선을 터트릴 수 있으며 풍선에 불을 붙입니다.
Buccaneer-Crow's Nest Description,해적선이 캐모 풍선을 공격할 수 있습니다.
Buccaneer-Destroyer Description,엄청 빠르게 공격합니다!
Buccaneer-Cannon Ship Description,위력적인 폭탄을 발사하는 강력한 대포를 추가합니다.
Buccaneer-Merchantman Description,라운드마다 자동으로 캐시를 생산합니다.
Buccaneer-Aircraft Carrier Description,표적에 폭격을 가하며 MOAB급 풍선에게 미사일을 발사하는 전투기 부대를 출동시킵니다.
Buccaneer-Monkey Pirates Description,"배에 대포 2대를 추가하며, 대포 공격이 주는 피해가 증가합니다. MOAB 테이크다운 능력: MOAB급 풍선에 작살을 던져 추락시킵니다."
Buccaneer-Favored Trades Description,"공격 속도가 빨라지며, 라운드마다 많은 캐시를 생산합니다. 반경 내 원숭이의 판매 가격이 올라갑니다."
Buccaneer-Carrier Flagship Description,"추가 피해를 줍니다. 상갑판에 다른 원숭이를 배치할 수 있으며, 모든 수중 원숭이와 에이스 원숭이의 공격 속도가 증가합니다."
Buccaneer-Pirate Lord Description,"모든 공격의 공격 속도가 상당히 증가하며, 한꺼번에 3개의 갈고리닻을 발사하고, 격추시킨 MOAB급 풍선에게서 각각 추가 캐시를 갈취할 수 있습니다."
Buccaneer-Trade Empire Description,"라운드당 캐시 생산량이 증가하며, 최대 20명까지 다른 상인이 버는 캐시의 양이 상인의 수만큼 증가하고, 모든 상인의 공격력이 증가합니다."
,
Rapid Fire Description,평소보다 공격 속도가 증가합니다.
Exploding Pineapple Description,땅에 떨어지면 몇 초 후에 폭발하는 파인애플을 투하합니다. 에이스의 폭발 공격이 향상됩니다.
Sharper Darts Description,다트가 각각 8개의 풍선을 터트립니다.
Lots More Darts Description,한꺼번에 12개의 다트를 던집니다.
Spy Plane Description,"에이스 원숭이가 캐모 풍선을 맞힐 수 있으며, 더 많은 피해를 줄 수 있습니다."
Centered Path Description,맵을 최대한 커버하기 위한 새로운 중앙 비행 경로입니다.
Fighter Plane Description,빠르게 비행하며 MOAB대항 미사일을 발사합니다.
Bomber Ace Description,풍선 트랙을 지날 때 일련의 폭탄을 투하합니다.
Neva-Miss Targeting Description,다트가 자동으로 풍선을 추적하여 알아서 터트립니다.
Operation: Dart Storm Description,"한꺼번에 일제히 16개의 다트를 발사하며, 발사 속도가 두 배입니다."
Ground Zero Description,폭탄의 공격력이 상당히 증가합니다. 낙하지점 능력: 화면의 거의 모든 것을 파괴하는 거대한 폭탄을 투하합니다.
Spectre Description,다트와 폭탄을 빠르게 발사하여 대부분의 풍선 유형을 가볍게 제압합니다.
Sky Shredder Description,풍선들이 여기 온 것을 후회하게 될 겁니다.
Tsar Bomba Description,무지막지하게 큰 폭탄입니다. 사태가 겉잡을 수 없게 되었네요!
Flying Fortress Description,정말 커다란 비행기입니다.
,
Quad Darts Description,일제 사격마다 2개가 아닌 4개의 다트를 쏩니다.
Bigger Jets Description,강력한 추진기 덕분에 헬기의 이동 속도가 훨씬 증가합니다.
Faster Firing Description,모든 헬기 공격의 공격 속도가 증가합니다.
Pursuit Description,새로운 표적 옵션 덕분에 헬기가 자동으로 풍선을 발견하고 추적할 수 있습니다.
IFR Description,헬기 조종사가 캐모 풍선을 감지하고 공격할 수 있습니다.
Faster Darts Description,다트가 공기 중에서 훨씬 더 빠르게 이동합니다.
Razor Rotors Description,면도날 회전날개가 납과 얼린 풍선을 포함하여 접촉하는 모든 풍선을 갈갈이 찢습니다.
Downdraft Description,풍선을 헬기에서 입구 쪽으로 밀어냅니다.
MOAB Shove Description,MOAB급 풍선과 충돌하여 밀쳐내서 뒤로 가게 하거나 느리게 만듭니다. 더 큰 제트기나 IFR 업그레이드 시 밀쳐내는 강도가 증폭됩니다.
Apache Dartship Description,대형 미사일 대열과 강력한 기관총을 추가합니다.
Support Chinook Description,능력: 목숨과 캐시 상자를 투하하거나 대부분의 원숭이 유형을 태우고 재배치할 수 있습니다.
Comanche Defense Description,가장 필요한 순간에 자동으로 3명의 코만치를 더 소집합니다.
Apache Prime Description,아파치 프라임은 대부분의 풍선이 태어난 걸 후회하게 만듭니다.
Special Poperations Description,기관총을 든 무시무시한 원숭이 해병대 특수부대원을 배치합니다.
Comanche Commander Description,무기가 업그레이드되었습니다. 역시 자동으로 3명의 코만치를 더 소집합니다. 영구히 말입니다.
,
Bigger Blast Description,큰 포탄일수록 폭발 반경이 더 넓습니다.
Mortar Faster Reload Description,박격포의 공격 속도가 증가합니다.
Increased Accuracy Description,공격의 명중률이 증가합니다.
Bloon Buster Description,한꺼번에 풍선 2겹을 뚫고 돌파합니다!
Mortar Rapid Reload Description,재장전 속도가 더욱 증가합니다.
Burny Stuff Description,명중할 때마다 피해 받은 풍선에 잠깐 불이 붙습니다.
Shockwave Description,"폭발의 충격파가 접촉 지점의 풍선을 기절시키고 넓은 영역의 풍선을 터트리며, 연소 물질의 공격력을 증가합니다."
Heavy Shells Description,"중량 포탄이 세라믹 풍선, 납 풍선, 모든 강화 풍선에 추가 피해를 줍니다. 또한, 검은 풍선도 터트립니다."
Signal Flare Description,신호탄이 터트린 캐모 풍선은 영구히 캐모 상태를 잃습니다.
The Big One Description,엄청난 폭발이 풍선 7겹을 터트리며 연소 물질의 공격력을 더욱더 증가합니다.
Artillery Battery Description,포격 능력: 약간 더 넓은 범위에 연사 공격을 퍼붓습니다. 기본 공격이 3개의 총열로 업그레이드되어 엄청나게 빠른 속도로 공격합니다.
Shattering Shells Description,"가장 큰 풍선을 제외하고, 비산 포탄에 맞은 풍선의 모든 특수 상태가 해제됩니다."
The Biggest One Description,"굉장히 넓은 영역에서 풍선의 겹을 깊이 뚫으며, 연소 물질의 공격력이 막강해집니다."
Pop and Awe Description,터지고 멍하니 능력: 화면 전체에 폭발을 내려 몇 초 동안 모든 풍선을 터트리고 움직이지 못하게 합니다. 기본 공격이 기절한 풍선에 추가 피해를 줍니다.
Blooncineration Description,"초고열 연소 물질이 매번 풍선의 5겹을 태우며 MOAB급 풍선에게는 추가 피해를 주고, DDT 풍선에게서 캐모를 해제합니다."
,
Focused Firing Description,다트포의 명중률이 증가합니다.
Advanced Targeting Description,다트포 사수가 캐모 풍선을 공격할 수 있습니다.
Powerful Darts Description,"다트의 이동 속도가 빨라지며, 얼린 풍선을 터트릴 수 있고, 각각 풍선 3개를 터트립니다."
Faster Swivel Description,총열 회전 속도가 더욱 증가합니다.
Faster Barrel Spin Description,총 발사를 훨씬 더 빠르게 합니다.
Depleted Bloontonium Description,공격으로 모든 풍선 유형에 피해를 줄 수 있습니다.
Laser Shock Description,레이저처리된 공격에 맞은 풍선은 충격으로 1초 뒤에 또 터집니다.
Laser Cannon Description,얼린 풍선도 터트리며 위력이 훨씬 향상된 레이저 공격을 연사합니다.
Hydra Rocket Pods Description,모든 유형의 풍선에 피해를 주며 다중 폭발을 발동하는 감손 블룬토니움 미사일을 발사합니다.
Buckshot Description,다트 대신에 살벌하게 터지는 산탄을 쏩니다.
Plasma Accelerator Description,한 지점에 강력한 에너지빔을 쏩니다.
Rocket Storm Description,로켓 폭풍 능력: 넓은 각도의 부채꼴 범위로 위력적인 로켓 폭풍을 발동합니다.
Bloon Area Denial System Description,자동으로 공격하도록 설정할 수 있는 4열 자동 대포 시스템입니다.
Ray of Doom Description,일직선상의 풍선을 확실하게 학살합니다. 대부분의 풍선들을 여유롭게 파괴할 수 있습니다.
M.A.D Description,MOAB 확정 파괴자. 공격 속도는 느리지만 MOAB급 풍선에 극심한 피해를 주는 메가 미사일을 발사합니다.
Bloon Exclusion Zone Description,포열을 6개로 업그레이드하고 공격력도 어마어마하게 증가합니다. 풍선이라는 존재를 아예 지워버립니다.
,
Guided Magic Description,"마법 공격이 더 오래 지속되며, 엄폐물 뒤에 있는 풍선도 발견하여 추적합니다."
Fireball Description,몇 초마다 폭발하는 불덩이 주문을 시전합니다.
Intense Magic Description,"마법 공격의 위력과 이동 속도가 증가하며, 더 많은 풍선을 터트립니다."
Arcane Blast Description,더욱 강력하고 규모가 커진 마법 공격이 풍선 2겹을 터트립니다.
Wall of Fire Description,트랙을 가로지르는 매우 뜨거운 화염의 벽을 생성하여 지나가는 풍선을 구워버립니다.
Monkey Sense Description,마법사가 캐모 풍선을 공격할 수 있습니다.
Arcane Mastery Description,"공격 속도가 빨라지며 사정거리, 공격력, 터트리는 힘이 증가합니다."
Dragon's Breath Description,주변의 풍선에 끝없는 화염을 분출하며 불덩이와 화염벽을 향상합니다.
Shimmer Description,주기적으로 주변의 캐모 풍선의 위치를 영구히 드러내는 흑마법 효과가 추가됩니다.
Arcane Spike Description,마법 공격 발사가 빨라지며 대부분의 풍선 유형에 어마어마한 피해를 줍니다.
Summon Phoenix Description,피닉스 소환 능력: 강력한 피닉스가 20초 동안 풍선을 사정없이 파괴합니다.
Necromancer: Unpopped Army Description,최근에 터트린 적을 되살려서 풍선을 파괴하는 종으로 부립니다.
Archmage Description,마법술의 진정한 대가입니다.
Wizard Lord Phoenix Description,마법사 군주가 화염의 대가가 되어 잠시 동안 초강력 용암 피닉스로 변신합니다.
Soulbind Description,더 많은 강력한 풍선 종을 되살려서 적을 제거합니다.
,
Laser Blasts Description,다트 대신에 무시무시한 레이저를 쏩니다.
Super Range Description,슈퍼 원숭이에게 어울리는 슈퍼 사정거리입니다.
Knockback Description,명중할 때마다 풍선이 뒤로 밀쳐지거나 느려집니다.
Plasma Blasts Description,플라스마가 건드리는 것은 대부분 먼지가 됩니다.
Epic Range Description,에픽을 가질 수 있는데 왜 슈퍼에 만족하죠?
Ultravision Description,"슈퍼 원숭이의 사정거리를 약간 증가시키며, 캐모 풍선을 볼 수 있게 합니다."
Sun Avatar Description,태양의 코어로부터 힘을 얻습니다.
Robo Monkey Description,"반은 슈퍼 원숭이, 반은 죽음의 킬러 로봇입니다. 한꺼번에 2개의 총으로 공격하고, 치명타를 낼 때도 있습니다!"
Dark Knight Description,"암흑 칼날의 넉백 효과와 관통력이 증가하며, MOAB급 풍선에 추가 피해를 줍니다. 가까운 장소로 이동하는 어둠포털 능력을 얻습니다."
Sun Temple Description,타워를 제물로 삼으면 사원의 공격을 강화하고 개조할 수 있습니다.
Tech Terror Description,파멸 능력: 폭발 반경 내에 있는 대부분의 풍선을 온전히 파괴합니다.
Dark Champion Description,챔피언의 암흑 칼날이 모든 유형의 풍선을 찌르고 파괴하는 데 활약합니다.
True Sun God Description,진정한 태양신의 전능한 힘 앞에서 모두 떨지어다!
The Anti-Bloon Description,<프로그램 지령> <풍선 퇴치> <실행>
Legend of the Night Description,"마지막 희망까지 사그라졌을 때, 의지할 수 있는 오직 단 하나의 존재..."
,
Ninja Discipline Description,공격 범위와 공격 속도가 증가합니다.
Distraction Description,일부 풍선이 정신이 산만해져 뒤로 움직입니다.
Seeking Shuriken Description,표창이 자동으로 풍선을 추적하여 터트립니다.
Sharp Shurikens Description,표창이 각각 풍선을 4개씩 터트립니다.
Counter-Espionage Description,닌자 공격에 피해를 받은 풍선은 캐모가 해제됩니다.
Caltrops Description,주변 트랙에 뾰족한 마름쇠를 뿌립니다.
Double Shot Description,한번에 2개의 표창을 던집니다.
Shinobi Tactics Description,주변 닌자의 공격 속도와 관통력이 증가합니다. 20번까지 중첩됩니다.
Flash Bomb Description,섬광 폭탄을 던져 다수의 풍선을 기절시킵니다.
Bloonjitsu Description,한번에 5개의 표창을 던집니다!
Bloon Sabotage Description,사보타주 능력: 15초 동안 지속됩니다. 사보타주 동안 모든 풍선의 이동 속도가 절반이 됩니다.  
Sticky Bomb Description,MOAB급 풍선을 향해 위력적인 시한폭탄을 투척합니다.
Grandmaster Ninja Description,공격당 8개의 표창을 엄청나게 빨리 던집니다!
Grand Saboteur Description,"능력 지속 시간이 증가하며, 사보타주 동안 나타나는 MOAB급 풍선의 체력이 감소합니다."
Master Bomber Description,MOAB 파괴 전담 원숭이입니다.
,
Larger Potions Description,큰 물약은 넓은 영역에 영향을 줍니다.
Stronger Acid Description,산성 물약은 풍선을 더 빨리 녹입니다.
Acid Pool Description,연금술사는 주변에 풍선이 없으면 주변의 트랙을 산성물질로 흠뻑 적실 수 있습니다.
Acidic Mixture Dip Description,가까이 있는 원숭이들에게 납 풍선을 터트릴 수 있고 세라믹과 MOAB급 풍선에 추가 피해를 주게 하는 이로운 물약을 던집니다. 몇 번 공격하고 나면 효과가 없어집니다.
Perishing Potions Description,"공격 물약이 MOAB급 풍선에 주는 피해가 증가하고, 작은 풍선에서 강화 속성을 제거합니다. 또한, 약제와 흥분제의 효과를 강화합니다."
Alchemist Faster Throwing Description,물약 투척 속도와 공격 속도가 빨라집니다.
Berserker Brew Description,"특수 약제가 원숭이들에게 추가 공격력, 공격 사정거리, 공격 속도를 부여합니다.더 오래 지속됩니다."
Unstable Concoction Description,MOAB급 풍선에 폭발성 물질을 묻혀 터질 때 커다란 폭발이 일어나게 합니다.
Lead to Gold Description,납 풍선을 금으로 바꿉니다! 특수 용제로 납 풍선에 추가 피해를 주어 한 방에 제거하고 캐시를 생성합니다.
Stronger Stimulant Description,초강력 광전사 약제가 대상에 미치는 효과가 더욱 강해집니다. 더욱더 오래 지속됩니다.
Transforming Tonic Description,변신 능력: 연금술사를 20초 동안 강력한 공격형 몬스터로 변신시킵니다.
Rubber to Gold Description,모든 풍선의 일부를 금으로 바꾸어 해당 풍선이 터질 때마다 획득하는 캐시의 양을 증가시킵니다.
Permanent Brew Description,광전사 약제의 효과가 이를 마시는 원숭이에게 영구적으로 부여됩니다.
Total Transformation Description,주변 원숭이 다섯 마리를 20초 동안 공격에 미친 몬스터로 변신시킵니다.
Bloon Master Alchemist Description,비법의 축소 물약이 맞힌 풍선을 모두 빨간 풍선으로 바꿉니다.
,
Hard Thorns Description,"단단한 가시가 각각 풍선을 2개씩 터트리며, 모든 유형의 풍선을 터트립니다."
Thorn Swarm Description,한꺼번에 가시를 5개 대신 8개 쏩니다.
Druidic Reach Description,사정거리가 상당히 증가합니다.
Heart of Thunder Description,이 풍선에서 저 풍선으로 갈라지는 벼락을 주기적으로 방출합니다.
Heart of Oak Description,공격에 맞은 재생 풍선이 일반 풍선으로 바뀝니다.
Heart of Vengeance Description,"발사 속도가 10% 상승하며, 업그레이드 이후 시작값에서 잃은 목숨당 1%씩 올라갑니다. 최대 100%까지 올라가며, 목숨을 회복하면 다시 내려갑니다."
Druid of the Storm Description,드센 바람이 불어 트랙 위의 풍선을 출구에서 멀리 날려보냅니다.
Druid of the Jungle Description,풍선을 하나씩 휘감아 으스러뜨리고 무시무시한 가시 더미를 남기는 넝쿨을 땅에서 소환합니다.
Druid of Wrath Description,드루이드가 풍선을 공격하고 있는 한 라운드 중에 공격 속도가 증가합니다.
Ball Lightning Description,추가로 벼락을 쏘며 풍선을 얼리는 강력한 번개구를 생성합니다. 
Jungle's Bounty Description,"정글의 축복 능력: 사용할 때마다 캐시를 생성하며, 드루이드 주변 농장의 수에 따라 추가 캐시를 생성합니다. 또한, 넝쿨로 한꺼번에 풍선을 두 개씩 붙잡습니다."
Poplust Description,반경 내에 있는 다른 드루이드의 공격 속도와 관통력이 증가합니다. 드루이드당 5번까지 중첩될 수 있습니다.
Superstorm Description,슈퍼 폭풍이 모든 유형의 풍선에게 어마어마한 피해를 주며 출구에서 멀리 날려보냅니다.
Spirit of the Forest Description,지속 피해를 주며 세라믹 풍선에 추가 피해를 주는 가시덩굴이 경로를 따라 자라게 합니다. 숲의 정령에 가까울수록 가시덩굴이 더 많은 피해를 줍니다. 능력을 발동하면 목숨과 캐시를 생성합니다.
Avatar of Wrath Description,풍선이 많으면 많을수록 더 많은 피해를 줍니다!
,
Increased Production Description,라운드마다 바나나 다발 2개를 추가로 생산합니다.
Long Life Bananas Description,바나나가 썩을 때까지 걸리는 시간이 15초에서 30초로 늘어납니다.
EZ Collect Description,"바나나 수확 범위가 넓어지고, 미수확 바나나도 반값에 자동으로 수확합니다. 원숭이 은행이 가득 차 수입을 거둘 때가 되면 빛이 납니다."
Greater Production Description,라운드마다 바나나 다발 2개를 더 추가로 생산합니다.
Valuable Bananas Description,바나나 다발의 캐시 가격이 25% 증가합니다.  
Banana Salvage Description,"미수확 바나나가 거의 제값에 자동 수확되고, 은행도 가득 차면 자동으로 수입을 획득하게 됩니다. 농장을 되팔 때 받는 가격이 10% 증가합니다."
Banana Plantation Description,라운드마다 바나나 다발 16개를 생산합니다.
Monkey Bank Description,라운드마다 머니를 생산하며 은행에 저장합니다. 라운드마다 15%의 이자를 법니다.
Marketplace Description,라운드마다 머니를 생산하며 총액에 추가합니다. 간단하지요.
Banana Research Facility Description,라운드마다 개당 $300 가치의 바나나 상자를 5개 생산합니다.
IMF loan Description,"IMF 대출 능력: $10,000을 빌리며, 이는 시간이 지나면 되갚아야 합니다."
Central Market Description,"라운드마다 머니를 잔뜩 벌며, 상인의 수입이 10% 증가합니다."
Banana Central Description,바나나를 원하세요? 여기 바나나 있어요!
Monkey-Nomics Description,절대로 망해선 안 되는 상황이라면...
Monkey Wall Street Description,원숭이 무역의 중심지가 라운드마다 엄청난 수입을 벌어들이고 라운드마다 목숨을 생성합니다.
,
Sentry Gun Description,임시로 감시 총을 만들고 근처에 배치합니다.
Larger Service Area Description,사정거리가 증가하며 더욱 넓은 영역에 경비 탑을 배치합니다. 경비 탑의 범위가 증가합니다.
Oversize Nails Description,거대해진 못이 한 번에 냉동 풍선을 포함한 8개의 풍선을 터트립니다. 거품과 경비 탑의 위력도 향상합니다.
Faster Engineering Description,엔지니어의 능률이 올라 경비 포탑과 거품과 풍선 함정을 더 자주 생산합니다.
Deconstruction Description,못총과 경비 탑이 MOAB급과 강화 풍선에 추가 피해를 줍니다.
Pin Description,공격 시 잠시 동안 풍선을 그 자리에 고정시킵니다.
Sprockets Description,경비 포탑과 엔지니어의 공격 속도가 증가합니다.
Cleansing Foam Description,캐모와 재생 속성을 제거하는 거품을 뿌리고 납 풍선을 터트립니다.
Double Gun Description,총이 두 개니까 재미도 두 배입니다.
Sentry Expert Description,필요에 따라 다른 공격 유형의 경비 탑을 배치할 수 있습니다.
Overclock Description,오버클록 능력: 대상 타워의 공격 속도를 잠시 동안 어마어마하게 향상합니다.
Bloon Trap Description,풍선 함정이 가득 찰 때까지 풍선을 가둡니다. 누르면 함정을 비워서 캐시를 얻습니다.
Sentry Paragon Description,어마어마한 파괴력을 지녔지만 불안정한 경비 탑을 생성합니다.
Ultraboost Description,울트라급으로 오버클록된 원숭이는 오버클록될 때마다 효과는 작지만 영구적인 부스트를 얻습니다.
XXXL Trap Description,거대한 풍선 함정으로 일부 가장 큰 풍선도 가둘 수 있습니다...
,
Bigger Stacks Description,공격당 생성하는 스파이크 무더기가 더욱 커집니다.
Faster Production Description,생산 속도가 빠르게 증가합니다.
Long Reach Description,"스파이크 무더기 투하 영역이 증가하며, 무더기의 지속 시간 또한 증가합니다."
White Hot Spikes Description,납 풍선과 얼린 풍선을 절단합니다.
Even Faster Production Description,생산 속도를 더욱 증가합니다.
Smart Spikes Description,각 라운드 시작 시 스파이크 공장이 특수 표적우선순위와 빠른 생산력을 갖습니다.
Spiked Balls Description,세라믹과 강화 풍선에 추가 피해를 주는 뾰족한 스파이크구를 생산합니다.
MOAB SHREDR Description,초-강력-찢어발기기-엔진-작동-면도날이 MOAB급 풍선을 찢습니다.
Long Life Spikes Description,스파이크 지속 시간이 매우 증가하며 다음 라운드까지 이어질 수 있습니다.
Spiked Mines Description,스파이크를 모두 잃으면 스파이크 지뢰가 폭발합니다.
Spike Storm Description,스파이크 폭풍 능력: 트랙 전체를 덮을 정도의 스파이크를 발사합니다.
Deadly Spikes Description,"치명적인 스파이크가 한 개당 2겹을 뚫고 터트리며, 한 라운드 더 지속됩니다."
Super Mines Description,거의 모든 걸 초토화할 수 있는 거대한 폭발성 스파이크 지뢰를 생산합니다.
Carpet of Spikes Description,트랙 전체에 스파이크 카펫을 주기적으로 깝니다.
Perma-Spike Description,공격력이 높은 스파이크가 거의 영구적이 됩니다.
,
Military Efficiency Description,반경 내에서 군사 원숭이가 차지하는 면적을 줄입니다.
Magic Sciences Description,반경 내 마법 원숭이에게 추가 관통력과 공격 속도를 부여합니다.
Private Tuition Description,라운드마다 영웅을 위한 XP를 더 많이 생성합니다.
Wider Influence Description,아카데미의 영향력 반경이 증가합니다.
Academic Network Description,이 업그레이드를 통해 모든 아카데미의 아카데미 반경을 증가시킬 수 있습니다.
Heroic Presence Description,아카데미의 반경 내에 있는 동안 영웅의 사정거리가 15% 증가합니다.
M.A.S.H Description,원숭이군 외과 병원은 풍선을 터트리면 추가 목숨을 줍니다.
Wizards Library Description,"반경 내의 마법사, 드루이드, 연금술사는 세 업그레이드 경로 모두에서 2티어까지 배울 수 있습니다."
Heroic Academy Description,영웅의 능력 쿨다운이 감소합니다.
Military Barracks Description,"반경 내의 군사 원숭이의 사정거리와 터트리는 힘이 증가하며, 되팔 때 가격도 증가합니다."
Magic Arcanum Description,아카데미 졸업생 능력: 주변에 어떤 마법 원숭이가 있느냐에 따라 능력이 정해지는 강력한 원숭이를 생산합니다.
Power Hero Development (PhD) Description,라운드마다 영웅을 위한 추가 XP를 매우 많이 생성합니다.
Military HQ Description,"곳곳의 군사 원숭이의 사정거리와 터트리는 힘이 크게 증가하며, 상당한 공격력 버프가 붙습니다."
Nexus Crucible Description,능력으로 생산된 아카데미 졸업생은 영구적입니다!
Dynamic Duo Description,두 번째 영웅을 가질 수 있습니다!
,
Bigger Radius Description,마을의 영향력 반경이 증가합니다.
Grow Blocker Description,마을의 반경 내에 있는 동안 재생 풍선의 능력이 작동하지 않습니다.
Monkey Business Description,마을의 반경 내에서 구매하는 모든 원숭이와 3티어 이하의 업그레이드에 10%의 할인을 적용합니다.
Jungle Drums Description,반경 내의 모든 원숭이의 공격 속도가 증가합니다.
Radar Scanner Description,반경 내의 모든 원숭이가 캐모 풍선을 공격할 수 있습니다.
Monkey Commerce Description,이 업그레이드를 적용하면 다른 마을과 최대 2번까지 중첩되는 5%의 추가 할인율이 붙습니다.
Primary Training Description,반경 내 모든 일차 원숭이의 사정거리와 관통력과 발사무기 속도가 증가합니다.
Monkey Intelligence Bureau Description,정보국에서 특수 풍선 터트리기 비법을 전수하여 주변 원숭이들이 모든 유형의 풍선을 터트릴 수 있게 됩니다.
Monkey Town Description,원숭이 타운 반경 내의 모든 원숭이가 풍선을 터뜨릴 때마다 추가 캐시를 받습니다.
Primary Mentoring Description,반경 내 모든 일차 원숭이가 1티어 업그레이드를 무료로 얻고 사정거리가 증가하며 능력 쿨다운이 감소합니다.
Call to Arms Description,군대 소집 능력: 잠시 동안 주변 원숭이의 공격 속도와 터트리는 힘이 50% 증가합니다.
Monkey City Description,영향력 반경과 반경 내 캐시 생산량을 증가하고 라운드마다 무료로 다트 원숭이를 줍니다.
Primary Expertise Description,"메가 노포 공격을 추가하며, 반경 내 모든 일차 원숭이의 터트리는 힘이 증가하고, 능력 쿨다운이 더 단축되며, 1티어 및 2티어 업그레이드를 무료로 얻습니다."
Homeland Defense Description,20초 동안 모든 원숭이의 공격 속도와 터트리는 힘을 100% 증가합니다.
Monkeyopolis Description,주변의 모든 바나나 농장과 그 수입을 흡수하여 새 원숭이를 위한 공간을 마련합니다.
,
//Ability Names,
Super Monkey Fan Club Ability,슈퍼 원숭이 팬클럽
Plasma Monkey Fan Club Ability,플라스마 원숭이 팬클럽
Turbo Charge Ability,터보 과급기
Perma Charge Ability,영구 충전
MOAB Assassin Ability,MOAB 암살
MOAB Eliminator Ability,MOAB 제거
Blade Maelstrom Ability,칼날 소용돌이
Super Maelstrom Ability,슈퍼 소용돌이
Snowstorm Ability,눈폭풍
Absolute Zero Ability,절대 영도
Glue Strike Ability,글루 스트라이크
Glue Storm Ability,글루 폭풍
Supply Drop Ability,물품 드롭
Elite Sniper Ability,엘리트 보급품 투하
Elite Defender Ability,엘리트 수비수
First Strike Capability Ability,선제 공격
Pre-emptive Strike Ability,예방 공격
Monkey Pirates Ability,MOAB 테이크다운
Pirate Lord Ability,해적왕
Ground Zero Ability,낙하지점
Tsar Bomba Ability,차르 봄바
Support Chinook Redeploy Ability,치누크 지원 재배치
Support Chinook Supplies Ability,치누크 지원 보급품
Special Poperations Ability,특수 터트리기 작전
Pop and Awe Ability,터지고 멍하니
Rocket Storm Ability,로켓 폭풍
Mauler Storm Ability,격투자 폭풍
Summon Phoenix Ability,피닉스 소환
Wizard Lord Phoenix Ability,마법사 군주 피닉스
Soulbind Ability,암흑의 군주
Tech Terror Ability,파멸
The Anti-Bloon Ability,풍선대항마
Legend of the Night Ability,밤의 전설
Bloon Sabotage Ability,사보타주
Grand Saboteur Ability,그랜드 사보추어
Transforming Tonic Ability,변신 강장제
IMF loan Ability,IMF 대출
Monkey-Nomics Ability,원숭이 경제학
Overclock Ability,오버클록
Spike Storm Ability,스파이크 스톰
Carpet of Spikes Ability,스파이크 카펫
Magic Arcanum Ability,아카데미 졸업생
Call to Arms Ability,군대 소집
Homeland Defense Ability,국토 방어
,
//Ability Descriptions,
Super Monkey Fan Club Ability Description,주변에 있는 다트 원숭이를 최대 10마리까지 10초 동안 슈퍼 원숭이로 개조합니다.
Plasma Monkey Fan Club Ability Description,다트 원숭이가 이 클럽의 엘리트 회원이 되면 더욱 강해집니다!
Turbo Charge Ability Description,10초 동안 이 원숭이의 공격 속도를 믿기지 않는 경지로 올립니다.
Perma Charge Ability Description,15초 동안 이 원숭이가 추가 피해를 주도록 합니다.
MOAB Assassin Ability Description,특수 미사일이 날아가 MOAB급 풍선에게 막대한 피해를 줍니다.
MOAB Eliminator Ability Description,암살 능력이 6배의 피해를 주며 쿨다운이 감소합니다.
Blade Maelstrom Ability Description,영역에 칼날의 폭풍이 휘몰아칩니다.
Super Maelstrom Ability Description,소용돌이 능력이 더욱 강력해지며 지속 시간도 길어집니다.
Snowstorm Ability Description,화면의 모든 풍선을 잠시 얼립니다.
Absolute Zero Ability Description,추위에 면역이 있는 풍선과 MOAB급 풍선까지 포함하여 모든 유형의 풍선을 얼릴 정도로 추운 능력입니다.
