//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Clique
Tech Terror Ability Description,Destrói a maior parte dos Bloons completa e absolutamente no raio de explosão.
The Anti-Bloon Ability Description,<Comando> <Erradicar Bloons> <INICIAR>
Legend of the Night Ability Description,"Quando toda a esperança se perde, nos voltamos a ele..."
Bloon Sabotage Ability Description,Durante a sabotagem todos os Bloons se movem com velocidade reduzida.
Grand Saboteur Ability Description,Duração da habilidade mais longa e Bloons Classe MOAB nascem com menos vida durante a sabotagem.
Transforming Tonic Ability Description,Fazendas próximas ao Druida geram 50% mais dinheiro por um curto período.
IMF loan Ability Description,"Empresta $10.000, mas você precisa devolver com o tempo."
Monkey-Nomics Ability Description,Para quando se é muito grande para errar...
Overclock Ability Description,O macaco alvo fica superpoderoso por um curto período.
Spike Storm Ability Description,Dispara uma grossa camada de espinhos sobre toda a pista.
Carpet of Spikes Ability Description,"Coloca um tapete de espinhos sobre toda a pista, todas as rodadas."
Magic Arcanum Ability Description,Cria um poderoso macaco cujas habilidades são baseadas nos Macacos Mágicos próximos.
Call to Arms Ability Description,Dá a todos os macacos o DOBRO da velocidade de ataque e estouros por 10 segundos.
Homeland Defense Ability Description,A habilidade afeta TODOS os Macacos e dura 15 segundos.
,
//Maps,
TownCentre,Centro da Cidade
Tutorial,Campo dos Símios
TreeStump,Toco de Árvore
InTheLoop,No Loop
BTD1,BTD1
Cubism,Cubismo
FourCircles,Quatro Círculos
Cracked,Partido
Hedge,Cerca Viva
Streambed,Leito do Rio
MonkeysInSpace,Macacos no Espaço
Underground,Subterrâneo
AnotherBrick,Outro Tijolo
#ouch,#Ai
EndOfTheRoad,Fim da Estrada
Chutes,Canaletas
Rake,Ancinho
OffTheCoast,Litoral
MuddyPuddles,Lamaçal
ParkPath,Caminho do Parque
Logs,Troncos
TestMap,Mapa Teste
Cornfield,Milharal
SpiceIslands,Ilhas das Especiarias
FiringRange,Estande de Tiro
HighFinance,Altas Finanças
Downstream,Correnteza Abaixo
DarkCastle,Castelo Sombrio
FrozenOver,Congelado
Haunted,Assombrado
Quad,Quadra
MoonLanding,Pouso Lunar
AlpineRun,Corrida Alpina
Peninsula,Península
,
//Tower Groups,
Primary,Primário
Military,Militar
Magic,Mágico
Support,Suporte
Heroes,Heróis
Powers,Poderes
,
//Misc,
Crit,Crítico
,
//Target Types,
TT_Close,Perto
TT_First,Primeiro
TT_Last,Último
TT_Strong,Forte
TT_Track,Normal
TT_Circle,Círculo
TT_CloseTrack,Perto
TT_CustomPath,Pista Personalizada
TT_Elite,Elite
TT_FarTrack,Distante
TT_FigureInfinite,Infinito
TT_FigureEight,Oito
TT_FollowTouch,Seguir Toque
TT_LockInPlace,Travar Local
TT_NecromancerTarget,Alvo do Necromante
TT_OffsetTrack,Pista Alternativa
TT_PatrolPoints,Pontos de Patrulha
TT_Pursuit,Perseguição
TT_RandomPosition,Posição Aleatória
TT_RandomTarget,Mira Aleatória
TT_SmartTrack,Inteligente
TT_Submerge,Submergir
TT_CloseSharedRange,Alcance Próximo Compartilhado
TT_ExpensiveFriendlyTarget,Mirar Amigável Caro
TT_FirstSharedRange,Primeiro Alcance Compartilhado
TT_FriendlyTarget,Mirar Amigável
TT_Grapplable,Agarrável
TT_TargetIndependant,Mira Independente
TT_TargetInFront,Mirar na Frente
TT_LastSharedRange,Último Alcance Compartilhado
TT_TargetMoab,Mirar MOAB
TT_TargetOpposite,Mira Oposta
TT_TargetPointer,Mirar Apontador
TT_SetTarget,Escolher Alvo
TT_StrongSharedRange,Mirar Poderoso Compartilhado
TT_TargetTag,Mirar Etiqueta
TT_TrackOrDefault,Pista ou Padrão
TT_Centered,Caminho Centrado
,
//Currency,
Cash,Dinheiro
XP,XP
Monkey Money,Dinheiro de Macaco
Free,Grátis
,
Round,Rodada
Max Tier Reached,Nível Máximo Alcançado
Empty,Vazio
Not Upgraded,Não Melhorado
Owned,Possuído
Max Upgrades,Máximo de Melhorias
Deployed Message,{0} Alocados
,
//UI Misc,
OK,OK
Cancel,Cancelar
Start,Iniciar
Return To Menu,Menu
Freeplay,JOGO LIVRE
Continue,Continuar
Done,Pronto
Try Again,Tentar Novamente
Continue?,Continuar?
,
Rewards,RECOMPENSAS:
Change Hero,Mudar Herói
Select a Hero,Escolha um Herói
Select a Map,Escolha um Mapa
Selected,Escolhido
Select a Hero Subheading,Seu herói é um poderoso macaco que comanda suas tropas na batalha
Select Language,Escolher Idioma
Unlock All,LIBERAR TUDO
Upgrade Ingame cost,Custo em Jogo
Loading,Carregando...
,
Defeat,Derrota
Defeat Message,Tente de novo em uma dificuldade mais fácil
Victory,Vitória
Victory Message,Você deteve os malditos Bloons
,
,
//ModeSelectScreen,
Select a Mode,Selecione um Modo
Mode Standard,Padrão
Mode MilitaryOnly,Só Militares
Mode Apopalypse,Estouralipse
Mode Reverse,Reverso
Mode Sandbox,Sandbox
Mode PrimaryOnly,Só Primários
Mode Deflation,Esvaziamento
Mode Half Cash,Metade do Dinheiro
Mode DailyChallenge,Desafio Diário
,
//GameTypeScreen,
Choose a Game,Escolha um Jogo
New Game,Novo Jogo
Daily Challenge,Desafio Diário
Co-op,Cooperativo
Random,Aleatório
,
//HomeScreen,
HS Monkeys,MACACOS
HS Heroes,HEROIS
HS Play,JOGAR
HS Powers,PODERES
HS Knowledge,CONHECIMENTO
,
//In game screens,
Upgrades,Melhorias
Sell,Vender
Get More,Obter Mais
,
// PauseMenu ,
Controls,Controles:
Drag & Drop,Arraste & Solte
Lock & Drop,Solte & Trave
Line of Sight,Linha de Visão
Continuous Play,Jogo Contínuo
Off,Desligado
Store,Loja
Home,Inicial
Restart,Reiniciar
You ran out of lives on:,Você ficou sem vidas em:
Game Over Round,Rodada {0}
Victory Body,Parabéns! Você completou essa pista em: {0}
,
// LinK,
Log out,Sair
Clear Data,Limpar Dados
Login,Login
Not logged into LiNK,Não conectado ao LiNK
Logged into LiNK as,Conectado ao LiNK como {0}
,
// Map Difficulty,
MD Beginner,Iniciante
MD Intermediate,Intermediário
MD Advanced,Avançado
MD Expert,Expert
MD Extreme,Extremo
,
//Tower Specific Messages,
Patrol Message,[I] para definir ponto de patrulha
Sun Temple Title,Sacrifício do Templo
Sun Temple Body,O Templo exige sacrifícios. Todas as torres próximas serão destruídas aumentando o poder incrível do Templo de várias formas. Você foi avisado...
True Sun Temple Title,Sacrifício do Templo
True Sun Temple Body,Você deseja invocar o \nVERDADEIRO DEUS DO SOL!!??
Heli Pilot Redeploy Message,Arraste e solte uma torre para relocar
Heli Pilot Redeploy Message Banned,Não é possível relocar essa torre
Select a tower to Soulbind,Selecione uma torre para Encantar
Select Point,Selecione Ponto
Select a tower to link,Selecione uma torre para conectar
Cannot link to this tower,Não pode conectar esta torre
Tower is already linked,A torre já está conectada
Tower must have an ability,A torre deve ter uma habilidade válida
Unlink,Desconectar
,
//Upgrades Screen,
Unlock Message,Libere por:
XP To Spend,{0} XP para gastar:
,
//Tower screen,
Unlock Hero,Liberar Nível
Max Level Hero,Nível máximo alcançado!
,
//Hero Screen,
InGame Cost,Custo no jogo: ${0}
,
//Knowledge Screen,
Knowledge Requirement,Exige pelo menos {0} mais ponto(s) investido em {1}
,
//Removables,
Removable Cost,Remover por ${0}
,
// Powers Select Screen,
Select a Power,Escolha um Poder
Add For:,Adicionar por:
,
// Achievements screen,
Achievements,Conquistas
Rewards:,Recompensas:
,
//Debug Options,
Set Health,Definir Vida
Set Health Description,Digite um valor para definir como novo valor de vida
Set Cash,Definir Dinheiro
Set Cash Description,Digite um valor para definir como novo valor de dinheiro
,
//Difficulty,
Easy,Fácil
Medium,Médio
Hard,Difícil
Impoppable,Inestourável
Sandbox,Sandbox
Easy Description,No Fácil os macacos custam menos que o normal os Bloons se movem um pouco mais lentos e você tem 200 vidas. Vencer a rodada 40 no Fácil te dá uma medalha de bronze na pista.
Medium Description,No Médio os macacos custam o normal os Bloons se movem normalmente e você tem 150 vidas. Vencer a rodada 60 no Médio te dá uma medalha de prata na pista.
Hard Description,"No Difícil os macacos custam mais que o normal você começa na rodada 3, os Bloons se movem um pouco mais rápido e você tem 100 vidas. Vencer a rodada 80 no Difícil te dá uma medalha de ouro na pista."
Impoppable Description,"No Inestourável os macacos custam muito mais que o normal, você começa na rodada 6, os Bloons se movem mais rápido e você tem 1 vida. Vencer a rodada 100 no Inestourável te dá uma medalha de platina na pista."
Sandbox Description,"No Sandbox, os macacos custam o normal, os Bloons se movem normalmente e você tem vidas e dinheiro ilimitados."
,
,
,
,
,
//Popup Screens,
Unlock All Title,Liberar Todas as Melhorias
Unlock All Body,Liberar todas as melhorias por {0} XP.
Not Enough Cash Title,Dinheiro Insuficiente
Not Enough Cash Body,Estoure mais Bloons para conseguir dinheiro.
Not Enough XP Title,XP Insuficiente
Not Enough XP Body,Você precisa de {0} de XP.\nTorres custam XP a cada rodada que passa
Already Own Upgrade Title,Melhoria já possuída
Already Own Upgrade Body,Você já tem essa melhoria.
Locked Title,Melhoria Bloqueada
Locked Body,Você precisa comprar a melhoria anterior antes de comprar essa.
Quit Title,Sair
Quit Body,Tem certeza que deseja sair do tutorial?
Continue Saved Game Title,Continuar o último jogo salvo?
Continue Saved Game Body,Você deseja continuar da rodada {0} em {1} jogando no modo {2} na dificuldade {3}?
Continue Saved Game Okay,Carregar Jogo
Continue Saved Game Cancel,Novo Jogo
,
,
//Hero Messages,
Generic Hero Message,Precisa de ajuda?
,
//Tutorial,
Welcome Title,Boas-vindas a Bloons™ Tower Defense 6
Welcome Title Partial,Boas-vindas a  
Welcome Body,Uma Aventura Épica de Macacos X Bloons
Town Trouble Title,Boas-vindas a Bloons™ Tower Defense 6
Town Trouble Body,Os Bloons invadiram sua cidade!
Town Trouble Button,Tome de volta
Bloon Entry,Impeça os Bloons de passarem!
Bloon Outro,...e tente escapar daqui.
Place First Tower,Coloque um Macaco Dardo para começar.
Place Second Tower,Coloque outro Macaco Dardo e [I] Jogar
Press Go,Agora [I] VÁ!
Finished Round One,"Foi fácil, não? [I] Jogar para começar a próxima rodada"
Earning Experience,Estourar Bloons dá experiência aos seus Macacos.
Unlocking Upgrades,Seus Macacos Dardos têm o suficiente para liberar uma melhoria
Upgrade Details,Cada Macaco tem 5 melhorias em 3 caminhos. Libere um deles agora.
Upgrade Complete,Ótimo! Você agora pode melhorar seus Macacos existentes com essa melhoria.
Select Monkey,"Você liberou a categoria, mas ainda precisa aplicá-la aos macacos no jogo. Toque em um Macaco agora."
Select Upgrade,"Agora, selecione a melhoria liberada para comprá-la e equipá-la."
Hero Title,Heróis!
Quincy Intro,Precisa de ajuda?
Hero Info,Quincy é um Herói Macaco que se melhora durante o jogo. Ele pode estourar vários Bloons a cada tiro.
Last Round,Uma rodada para o fim!
Next Map Title,Bom trabalho!
Next Map Description,"Nós os pusemos para correr, siga para aquela Grande Árvore agora!"
Next Map Button,Vamos
Big Tree Title,Grande Árvore
Big Tree Description,"Essa Árvore bloqueia a visão dos seus macacos, então, coloque-os com cuidado. Alguns macacos podem atirar por cima dos obstáculos."
Big Tree Victory Title,Um Último Esforço...
Big Tree Victory Description,"A vitória está próxima, siga para o Centro da Cidade!"
Big Tree Victory Button,Vamos
Town Centre Title,Centro da Cidade
Town Centre Description,Destrua todos os Bloons e salve sua cidade.
Town Centre Victory Description,Conseguimos!
Home Description,Boas-vindas ao lar
Xp Reminder Title,Não se esqueça!
Xp Reminder Description,Lembre-se de gastar os pontos de XP dos seus Macacos para liberar mais melhorias para eles.
Lose Tutorial Title,Ooops!
Lose Tutorial Description,Você ficou sem vidas. Tente novamente. Experimente colocar mais macacos perto da pista ou fazendo mais melhorias.
Select a Monkey,Escolha um Macaco
Earning Experience Title,Liberando Melhorias
Unlocking Upgrades Title,Liberando Melhorias
Next,Próxima
,
//Loading Messages,
Loading Message 0,Inspecionando hieróglifos...
Loading Message 1,Treinando Macacos...
Loading Message 2,Preparando Dardos...
Loading Message 3,Inflando Bloons...
Loading Message 4,Coletando Bananas...
Loading Message 5,Dando um tempo...
Loading Message 6,Cortando a grama...
Loading Message 7,Liberando Cthulhu Macaco...
Loading Message 8,Acordando o Deus Sol...
Loading Message 9,Invocando Heróis...
Loading Message 10,Baixando novo conteúdo
Internet Connection Required Message,Conexão com a internet necessária para baixar novo conteúdo do jogo. Verifique sua conexão. Tentando novamente...
,
// Achievements,
Achievement 1 Name,Inestourável
Achievement 1 Description,Estoure {0} Bloons
Achievement 2 Name,Assassino de MOAB
Achievement 2 Description,Destrua {0} MOABs
Achievement 3 Name,Brigão dos BFBs
Achievement 3 Description,Destrua {0} BFBs
Achievement 4 Name,ZOMGinador
Achievement 4 Description,Destrua {0} ZOMGs
Achievement 5 Name,Me Resolveu com DDT
Achievement 5 Description,Destrua {0} DDTs
Achievement 6 Name,Sapador
Achievement 6 Description,Estoure {0} Bloons Fortificados ou MOAB. Evite mortes instantâneas e remover fort. para melhor resultado.
Achievement 7 Name,Primeira Vitória
Achievement 7 Description,{0} Vitórias não-tutoriais em mapas iniciantes
Achievement 8 Name,Gafanhoto
Achievement 8 Description,Vença em {0} mapas iniciantes diferentes
Achievement 9 Name,Próximo Nível
Achievement 9 Description,Ganhe {0} jogos num mapa intermediário
Achievement 10 Name,Acólito
Achievement 10 Description,Ganhe jogos em {0} mapas intermediários diferentes
Achievement 11 Name,Jogador Avançado
Achievement 11 Description,Ganhe {0} jogos em um mapa avançado
Achievement 12 Name,Jogador Extremo
Achievement 12 Description,Ganhe {0} jogos em um mapa extremo
Achievement 13 Name,Macacão
Achievement 13 Description,Coloque uma torre de macaco nível 4
Achievement 14 Name,Mega Macaco
Achievement 14 Description,Coloque uma torre de macaco nível 5
Achievement 15 Name,Hora do Herói
Achievement 15 Description,Coloque um Herói num mapa não tutorial
Achievement 16 Name,"Poderes Heroicos, Ativar"
Achievement 16 Description,Use qualquer habilidade heroica nível 3
Achievement 17 Name,Maior e Pior
Achievement 17 Description,Use qualquer habilidade heroica nível 10
Achievement 18 Name,Herói Épico
Achievement 18 Description,Eleve qualquer herói ao nível {0}
Achievement 19 Name,Liga dos Macacos Vingadores
Achievement 19 Description,Vença um jogo com {0} Heróis diferentes
Achievement 20 Name,Você tem a Força
Achievement 20 Description,Use poderes pela primeira vez
Achievement 21 Name,Usuário de Poderes
Achievement 21 Description,Use poderes {0} vezes
Achievement 22 Name,Empoderado
Achievement 22 Description,Use poderes {0} vezes
Achievement 23 Name,Estudante
Achievement 23 Description,Aplique seu primeiro ponto de Conhecimento Símio
Achievement 24 Name,Acadêmico
Achievement 24 Description,Aplique {0} pontos de Conhecimento Símio
Achievement 25 Name,Dr. Macaco
Achievement 25 Description,Gaste 106 pontos de Conhecimento Símio
Achievement 26 Name,Primeiro os Primeiros Macacos
Achievement 26 Description,Vença {0} jogos usando apenas macacos primários
Achievement 27 Name,Macacos de Guerra
Achievement 27 Description,Vença {0} jogos usando apenas macacos militares
Achievement 28 Name,Abra-macaca
Achievement 28 Description,Vença {0} jogos usando apenas macacos mágicos
Achievement 29 Name,Macacos Não Celebrados
Achievement 29 Description,Vença {0} jogos usando apenas macacos de suporte
Achievement 30 Name,Inflados
Achievement 30 Description,Vença a rodada {0} no modo Esvaziamento
Achievement 31 Name,Sobrevivente
Achievement 31 Description,Vença a rodada {0} no modo Estouralipse
Achievement 32 Name,Indie
Achievement 32 Description,Vença {0} jogos com rodadas de Bloons Alternados
Achievement 33 Name,Estourável
Achievement 33 Description,Vença {0} jogos na dificuldade Inestourável
Achievement 34 Name,Econômico
Achievement 34 Description,Vença {0} jogos no modo de Metade do Dinheiro
Achievement 35 Name,Bloonzilla!
Achievement 35 Description,Vença {0} jogos contra MOABs com o dobro de vida
Achievement 36 Name,Reversor de Papeis
Achievement 36 Description,Vença um jogo no modo Reverso
Achievement 37 Name,Medalhista
Achievement 37 Description,Ganhe todas as medalhas de um mapa
Achievement 38 Name,Herói Condecorado
Achievement 38 Description,Ganhe 36 medalhas de dificuldade em mapas iniciantes
Achievement 39 Name,Azul com vermelho dá...
Achievement 39 Description,Estoure {0} Bloons Roxos
Achievement 40 Name,Infravermelho
Achievement 40 Description,Estoure {0} Bloons Camuflados
Achievement 41 Name,Nossos Poderes Combinados
Achievement 41 Description,Obtenha pelo menos 12 poderes diferentes
Achievement 42 Name,Desafiante
Achievement 42 Description,Vença {0} Desafio Diário
Achievement 43 Name,Aprendiz de Desafios
Achievement 43 Description,Vença {0} Desafios Diários
Achievement 44 Name,Mestre dos Desafios
Achievement 44 Description,Vença {0} Desafios Diários
Achievement 45 Name,Semana Perfeita
Achievement 45 Description,Complete todos os desafios diários em uma semana.
Achievement 46 Name,Macaco Instruído
Achievement 46 Description,Libere todo Conhecimento Símio de uma área
Achievement 47 Name,Mestre dos Bloons
Achievement 47 Description,Vença {0} mapa no modo CHIMPS
Achievement 48 Name,Mestre dos Bloons Superior
Achievement 48 Description,Vença {0} mapas no modo CHIMPS
Achievement 49 Name,Mestre dos Bloons Extremo
Achievement 49 Description,Vença {0} mapas no modo CHIMPS
Achievement 50 Name,Super BAD
Achievement 50 Description,Destrua {0} BADs
Collect,Colete
,
//Standard Round Messages,
,
,
Hint 2,"Você recebe 1 de dinheiro para cada camada de Bloon estourada, mais um bônus ao fim de cada rodada."
Hint 7,"Continue jogando Bloons TD 6 regularmente e confira novas atualizações - mapas, heróis, desafios e outras coisas incríveis."
Hint 12,"Quanto mais você usar um tipo de macaco, mais melhorias você liberará para esse tipo."
Hint 26,"Está vendo aqueles Bloons com listras zebradas? Eles combinam a maldade dos Bloons Brancos e Pretos e têm um de cada dentro, só de onda."
Hint 32,Você viu um Bloon Camuflado lá na rodada 24. Espero que esteja pronto para mais!
Hint 38,"O fim da próxima rodada tem 2 Bloons Arco-Íris Regeneradores. Se não tomar cuidado, 2 podem virar muitos mais..."
Hint 39,Primeiro Bloon Classe MOAB na próxima rodada. Não diga que não avisei!
Hint 41,A caminho: Bloons Arco-Íris Regeneradores e Bloons Arco-Íris Camuflados. Está pronto pra isso?
Hint 45,Bloons de Cerâmica Fortificados a seguir.
Hint 50,Muitos Bloons de Cerâmica Camuflados podem acabar com seu dia. Só estou dizendo.
Hint 54,"BTD6 é incrível. A vida também é incrível. Não se esqueça de parar de vez em quando para fazer outras coisas. Depois, jogue mais BTD6!"
Hint 58,Você estoura Chumbo? E Camuflados? Que tal... Camuflados de Chumbo?
Hint 59,Rodada final da dificuldade Média a seguir. Parabéns! Se é que você pode estourar o Bloon BFB...
Hint 62,"Se você jogou BTD5, você se lembra como era a rodada 63. Se você é novo no jogo, é o seguinte: Muitos Bloons de Cerâmica reunidos."
Hint 73,Próxima rodada: Bloons de Cerâmica Fortificados Regeneradores Camuflados. Nossa! Quanta coisa!
Hint 77,O que acontece quando se reúne 75 Bloons de Cerâmica num pequeno espaço? Você já vai descobrir!
Hint 79,"Última rodada da dificuldade Difícil. Lance tudo o que puder no Bloons ZOMG. É grande e lento, mas muito, muito poderoso."
Hint 89,"O que é um Bloon DDT? É tipo um MOAB cruzado com Bloons Rosa, Camuflados e de Chumbo. No pior sentido."
Hint 100,Parabéns por vencer a rodada 100! Aproveite sua recompensa!
,
//Alternate Round Messages [will comment out duplicates for now / warnings],
Alternate Hint 3,Rodadas de Bloon Alternativas...
Alternate Hint 4,"Você sabe que ""Alternativas"" só quer dizer mais difícil, certo?"
Alternate Hint 5,Você entrou em pânico quando viu o Camuflado?
Alternate Hint 7,Ainda está com todas as vidas?
Alternate Hint 8,"Hã, quando será que o primeiro Chumbo aparecerá?"
Alternate Hint 21,Isso é o que chamamos de rodada de fome de dinheiro...
Alternate Hint 39,"Próxima rodada, o MOAB de sempre. Será?"
Alternate Hint 59,BFB na próxima rodada. Ou será um FBFB?
Alternate Hint 77,A próxima rodada é péssima...
Alternate Hint 79,"ZOMG, isso foi difícil..."
Alternate Hint 99,"Não foi tão BAD, foi?"
Alternate Hint 100,Parabéns por vencer a rodada 100! Aproveite sua recompensa!
,
// iap ,
Max Level,Nível Máximo
Processing,Processando
Purchased,Comprado
Purchase failed,A compra falhou. Verifique sua conexão com a internet e login do dispositivo.
,
// Time,
days,dias
day,dia
hours,horas
hour,hora
minutes,minutos
minute,minuto
seconds,segundos
second,segundo
,
// Store: standard,
btd6_monkeymoney,Dinheiro de Macaco
btd6_monkeymoney Description,Um punhado saudável de Dinheiro de Macaco.
btd6_pileomonkeymoney,Pilha de Dinheiro de Macaco
btd6_pileomonkeymoney Description,Uma grande pilha de Dinheiro de Macaco
btd6_vaultomonkeymoney,Cofre de Dinheiro de Macaco
btd6_vaultomonkeymoney Description,Um cofre inteiro entupido de Dinheiro de Macaco.
btd6_mountainomonkeymoney,Montanha de Dinheiro de Macaco
btd6_mountainomonkeymoney Description,Você precisará de uma equipe de macacos alpinistas para chegar até o topo dessa maravilhosa montanha de Dinheiro de Macaco.
btd6_towerxp,(5000) XP de Macaco
btd6_towerxp Description,Receba {0} de XP para sua torre macaco favorita agora!
btd6_fulltowerunlock,Liberar Macaco Totalmente
btd6_fulltowerunlock Description,Libere todas as melhorias de uma torre macaco instantaneamente.
btd6_doublecashmode,Modo Dinheiro Dobrado
btd6_doublecashmode Description,Receba o dobro de dinheiro em jogo para sempre! Pode ser desativado.
btd6_knowledgeunlocked,Conhecimento Liberado
btd6_knowledgeunlocked Description,Libere os segredos do Conhecimento Símio! Suba instantaneamente para o Nível {0} e receba {1} pontos de conhecimento bônus!
btd6_knowledgepoint,Ponto de Conhecimento
btd6_knowledgepoint Description,Torne-se mais sábio nos caminhos dos macacos com esse Ponto de Conhecimento.
btd6_herobooster,Impulso de Herói
btd6_herobooster Description,O herói selecionado no seu jogo atual se torna nível {0} até o fim desse jogo.
btd6_powersattackpack,Pacote de Poderes de Ataque
btd6_powersattackpack Description,Uma variedade de {0} Poderes de Macaco voltados para a batalha.
btd6_instatowerspack,Pacote Insta de Macaco
btd6_instatowerspack Description,"5 torres de macaco, prontas para por no jogo de graça! Contém 2 Nível 1, 2 Nível 2 e 1 Nível 3"
btd6_tier3instatowerspack,Pacote Insta de Macaco Nível 3
btd6_tier3instatowerspack Description,10 torres de macaco Insta nível 3 prontas para por no jogo de graça!
btd6_tier4instatowerspack,Pacote Insta de Macaco Nível 4
btd6_tier4instatowerspack Description,10 torres de macaco Insta nível 4 prontas para por no jogo de graça!
btd6_needmoremonkeymoneyprompt,Sem Dinheiro de Macaco suficiente! Comprar mais?
,
,
// Store: Limited Time Packs,
btd6_knowledgepoints,{0} Pontos de Conhecimento
btd6_knowledgepoints Description,Pegue {0} Pontos de Conhecimento Símio agora!
btd6_extraTowerxp,XP de Torre Extra ({0})
btd6_extraTowerxp Description,Receba {0} de XP para sua torre favorita agora!
btd6_extramonkeymoney,Dinheiro de Macaco Extra
btd6_extramonkeymoney Description,Oferta especial! {0} de Dinheiro de Macaco por um preço baixinho.
btd6_powerspandamonium,Pandemônio de Poderes
btd6_powerspandamonium Description,Com nossos poderes combinados! {0} dos melhores Poderes de Macaco que você pode receber em apenas um pacote!
btd6_instatowersmegabooster,Mega Impulso Macacos Insta
btd6_instatowersmegabooster Description,"Esse megapacote contém 5 Torres Insta Nível 2, 12 Nível 3 e 3 Nível 4, prontas para por em jogo de graça!"
btd6_megamonkeycompendiumpack,Pacote Compêndio Mega Macaco
btd6_megamonkeycompendiumpack Description,"Um imenso pacote cheio de coisas maravilhosas! 25.000 em Dinheiro de Macaco, 100 poderes de ataque, 30 torres de macaco insta nível 3, 15 nível 4, 5 nível 5 e Conhecimento Liberado (Nível 30, 5 Pontos CM Bônus)!"
btd6_tier5instatowerpack,Pacote Insta de Macaco Nível 5
btd6_tier5instatowerpack Description,"10 torres de macaco nível 5, prontas para colocar em jogo de graça!"
,
// Store: Sale packs,
btd6_pileomonkeymoney_sale,Oferta de Pilha de Dinheiro de Macaco
btd6_pileomonkeymoney_sale Description,Uma grande pilha de Dinheiro de Macaco
btd6_vaultomonkeymoney_sale,Oferta de Cofre de Dinheiro de Macaco
btd6_vaultomonkeymoney_sale Description,Um cofre inteiro entupido de Dinheiro de Macaco.
btd6_knowledgepoints_sale,Oferta de {0} Conhecimentos
btd6_knowledgepoints_sale Description,Pegue {0} Pontos de Conhecimento Símio agora!
btd6_instatowersmegabooster_sale,Oferta de Mega Impulso de Macacos Insta
btd6_instatowersmegabooster_sale Description,"Esse megapacote contém 5 Torres Insta Nível 2, 12 Nível 3 e 3 Nível 4, prontas para por em jogo de graça!"
btd6_tier3instatowerspack_sale,Oferta de Pacote de Macacos Insta Nível 3
btd6_tier3instatowerspack_sale Description,10 torres de macaco Insta nível 3 prontas para por no jogo de graça!
btd6_tier4instatowerspack_sale,Oferta de Pacote de Macacos Insta Nível 4
btd6_tier4instatowerspack_sale Description,10 torres de macaco Insta nível 4 prontas para por no jogo de graça!
,
Restore,Restaurar
Today,Hoje
DailyRewardDay,Dia {0}
Sale Ends In,Oferta acaba em: 
Offer Ends In,Oferta acaba em: 
Promo Ends In,Promoção acaba em: 
Loot.TowerXP.Title,{0} XP
Loot.Base.Description,x {0}
Loot.BaseAdd.Description,+ {0}
Loot.InstaRank.Description,Nvl {0}
Loot.DoubleCashMode.Title,Modo Dinheiro Dobrado
Loot.FullTowerUnlock.Title,Liberação {0} torres completas
Loot.HeroBooster.Title,Impulso de Herói
Loot.InstaRankToLevel.Title,Nível {0} instantâneo
Loot.PowerPacks.Title,Pacotes de Poder
Loot.KnowledgePoints.Title,Pontos de Conhecimento
Loot.MonkeyMoney.Title,Dinheiro de Macaco
Loot.RandomInstaTower.Title,Macaco Insta Aleatório
Loot.RandomAttackPower.Title,Poder de Ataque Aleatório
Loot.RandomBestPower.Title,Melhor Poder Aleatório
Loot.RandomInstaTowerTier.Title,Macaco Insta Nível {0}
,
ExistingData.Title,Dados já existentes encontrados
ExistingData.Message,nível {0}\nVocê deseja manter esses dados ou limpá-los?
ExistingData.Clear,Limpar
ExistingData.Keep,Manter
,
Shop.Title,Loja
Shop.SubHeading,"Vá se mimar, você merece!"
Shop.Sale,Oferta
Shop.Bonus,Bônus
Claimed,Coletada
Map,Mapa
Difficulty,Dificuldade
Monkeys Available:,Macacos Disponíveis:
Go,Vá!
Knowledge,Conhecimento
Daily Reward,Recompensa Diária
Settings,Configurações
Language,Idioma
Events,Eventos
Upgrades:,Melhorias:
Ingame cost:,Custo em Jogo:
Select,Escolher
Path Closed,Caminho Fechado
Store unavailable,Loja indisponível
,
// ------------- Monkey Knowledge,
// Primary,
IncreasedLifespan,Duração Aumentada
IncreasedLifespanDescription,"Duração de projétil aumentada para Macacos Dardos, Bombardeiros, Cospe Tachinhas e Cospe Cola."
ExtraDartPops,Estouro de Dardos Extra
ExtraDartPopsDescription,Macacos Dardos recebem +1 perfuração em todos os tiros.
CheapRangs,Baratorangues
CheapRangsDescription,Custo base dos Lançadores de Bumerangues reduzido em 50.
FraggyFrags,Fragmentadoras Fragmentantes
FraggyFragsDescription,Bombas de fragmentação ganham mais 2 fragmentos.
FastGlue,Cola Rápida
FastGlueDescription,Cospe Cola tem 10% mais velocidade de ataque.
IcyChill,Calafrio
IcyChillDescription,Raio de congelamento ligeiramente aumentado.
HardTacks,Tachinhas Duras
HardTacksDescription,Tachinhas podem estourar Bloons Congelados.
CrossbowReach,Alcance da Besta
CrossbowReachDescription,Alcance da Besta aumentado.
4And4,4 e 4
4And4Description,O disparo triplo dos Macacos Dardos lança 4 dardos a cada quarto tiro.
ForceVsForce,Força X Força
ForceVsForceDescription,A Jamanta causa +2 de dano por tiro contra Bloons classe MOAB.
MasterDoubleCross,Bestas Mestres Duplas
MasterDoubleCrossDescription,Permite ter DOIS Mestres Besteiros.
ExtraBounce,Ricochete Extra
ExtraBounceDescription,Aumenta o Ricochete do Bumerangue para até 80 vezes.
