//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Haz clic en
Arcane Blast Description,Estallidos mágicos más grandes y más poderosos que atraviesan 2 capas de bloons.
Wall of Fire Description,Crea una pared de fuego supercaliente en el camino que cocina a los bloons que la cruzan.
Monkey Sense Description,Permite que el hechicero ataque a los Camufloons.
Arcane Mastery Description,"Ataques más rápidos y con más alcance, daño y poder reventador."
Dragon's Breath Description,Arroja llamas interminables a los bloons cercanos y mejora Bola de fuego y Pared de fuego.
Shimmer Description,Gana un ataque de magia oscura que revela la ubicación de todos los camufloons cercanos de forma permanente cada tanto.
Arcane Spike Description,Magia de disparo más rápido hace un daño enorme a casi todos los tipos de Bloons.
Summon Phoenix Description,Habilidad Invocación de fénix: el poderoso fénix hace estragos entre los bloons durante 20 segundos.
Necromancer: Unpopped Army Description,"Reanima a los enemigos reventados hace poco, que se vuelven sirvientes destructores de bloons."
Archmage Description,Un verdadero amo de la hechicería mágica.
Wizard Lord Phoenix Description,El amo hechicero se vuelve un amo de las llamas y se convierte en un fénix de lava superpoderoso por poco tiempo.
Soulbind Description,Reanima Bloons sirvientes aún más poderosos para despedazar al enemigo y mejora a todos los otros Nigromantes.
,
Laser Blasts Description,Dispara estallidos láser poderosos en lugar de dardos.
Super Range Description,Los supermonos necesitan superalcance.
Knockback Description,Los bloons reciben retroceso o desaceleración después de cada golpe.
Plasma Blasts Description,El plasma vaporiza casi todo lo que toca.
Epic Range Description,¿Por qué conformarse con algo súper si puedes tener algo épico?
Ultravision Description,Permite que el supermono dispare un poco más lejos y vea a los camufloons.
Sun Avatar Description,Canaliza la energía del núcleo del sol.
Robo Monkey Description,"Mitad supermono, mitad robot asesino de la muerte. ¡Dispara 2 pistolas a la vez y puede acertar críticos!"
Dark Knight Description,Las hojas oscuras aumentan el retroceso y la perforación y causan más daño a los bloons clase MOAB. Gana la habilidad Desvío oscuro para trasladarse a un punto cercano.
Sun Temple Description,Los sacrificios en las torres mejoran y modifican los ataques del templo.
Tech Terror Description,Habilidad Aniquilación: destruye por completo a casi todos los bloons dentro del radio del estallido.
Dark Champion Description,Las cuchillas oscuras del campeón se destacan por perforar y arruinar a todos los tipos de bloon.
True Sun God Description,Tiemblen ante el poder terrible del verdadero dios del sol.
The Anti-Bloon Description,<Directiva> <Erradicar bloons> <INICIAR>
Legend of the Night Description,Recurrimos a él cuando se pierde toda esperanza...
,
Ninja Discipline Description,Aumenta el alcance y la velocidad de ataque.
Distraction Description,Algunos bloons se distraen y retroceden.
Seeking Shuriken Description,Los shuriken buscarán y reventarán a los bloons de forma automática.
Sharp Shurikens Description,Los shuriken pueden reventar 4 bloons cada uno.
Counter-Espionage Description,Los ataques ninja quitan el camuflaje a los bloons que tocan.
Caltrops Description,Arroja miguelitos filosos en el camino cercano.
Double Shot Description,Lanza 2 shuriken a la vez.
Shinobi Tactics Description,Aumenta la velocidad de ataque y la perforación de los ninjas cercanos. Se acumula 20 veces.
Flash Bomb Description,Lanza una bomba cegadora que paraliza a varios bloons.
Bloonjitsu Description,¡Lanza 5 shuriken a la vez!
Bloon Sabotage Description,"Habilidad Sabotaje: dura 15 segundos. Durante el sabotaje, todos los bloons se mueven la mitad de rápido.  "
Sticky Bomb Description,Lanza bombas de tiempo poderosas a los bloons clase MOAB.
Grandmaster Ninja Description,"Lanza a una velocidad increíble, 8 shuriken por tiro."
Grand Saboteur Description,La habilidad dura más tiempo y los bloons clase MOAB se generan con menos vida durante el sabotaje.
Master Bomber Description,Un mono que es una máquina de demolición de MOAB.
,
Larger Potions Description,Las pociones más grandes afectan un área más grande.
Stronger Acid Description,Las pociones ácidas disuelven bloons más rápido.
Acid Pool Description,"Si no hay bloons cerca, el alquimista baña el camino cercano con ácido."
Acidic Mixture Dip Description,Arroja una poción útil a los monos que les permite reventar bloons emplomados y hacer más daño a bloons cerámicos y de clase MOAB. Se desgasta después de varios ataques.
Perishing Potions Description,"Las pociones de ataque hacen mucho más daño a los bloons clase MOAB y les quitan la fortificación a los bloons más pequeños. Además, se mejoran los brebajes y estimulantes."
Alchemist Faster Throwing Description,Arroja pociones y ataca más rápido.
Berserker Brew Description,"Un brebaje especial les da a los monos daño, alcance y velocidad de ataque adicionales. Dura más."
Unstable Concoction Description,Baña a los bloons clase MOAB en una sustancia explosiva que causa una explosión grande cuando son reventados.
Lead to Gold Description,"Convierte a los bloons emplomados en oro. Los solventes especiales hacen más daño a los bloons emplomados, los destruyen en un tiro y generan dinero."
Stronger Stimulant Description,Un brebaje vesánico extrafuerte que tiene un efecto aún más poderoso sobre el objetivo. Dura aún más.
Transforming Tonic Description,Habilidad Transformación: convierte al alquimista en un monstruo de ataque poderoso durante 20 segundos.
Rubber to Gold Description,Convierte a todos los bloons en oro de forma parcial y otorga más dinero por cada bloon afectado que se revienta.
Permanent Brew Description,El brebaje vesánico se vuelve permanente en los monos que lo beben.
Total Transformation Description,Transforma a cinco monos cercanos en monstruos agresivos desquiciados durante 20 segundos.
Bloon Master Alchemist Description,La poción de encogimiento secreta convierte a todos los bloons afectados en bloons rojos.
,
Hard Thorns Description,Las espinas duras pueden reventar 2 bloons cada una y revientan cualquier tipo.
Thorn Swarm Description,Lanza 8 espinas por tiro en vez de 5.
Druidic Reach Description,Aumenta mucho el alcance.
Heart of Thunder Description,Desata estallidos regulares de rayos bifurcados que van de bloon en bloon.
Heart of Oak Description,Los ataques convierten a los Bloons Regenerativos en Bloons normales.
Heart of Vengeance Description,Obtiene 10 % de velocidad de ataque y 1 % por cada vida perdida desde el valor inicial después de la mejora. El máximo es 100 % y disminuye si se restauran vidas.
Druid of the Storm Description,La ráfagas de viento vuelan a los bloons del camino y los alejan de la salida.
Druid of the Jungle Description,Hace crecer unas enredaderas que atrapan y aplastan a los bloons uno a la vez. Deja una pila de espinas letales.
Druid of Wrath Description,Gana velocidad de ataque durante la ronda siempre que el druida esté atacando a bloons.
Ball Lightning Description,Crea una bola de rayo poderosa que dispara rayos adicionales.  
Jungle's Bounty Description,Habilidad La abundancia de la selva: genera dinero adicional por cada bananal cerca del druida. También puede atrapar a dos bloons con enredaderas a la vez.
Poplust Description,Potencia la velocidad de ataque y perforación de otros druidas en su radio. Puede acumularse hasta 5 veces en un mismo druida.
Superstorm Description,"La Supertormenta impacta en todos los tipos de bloon, hace un daño enorme y los aleja de la salida."
Spirit of the Forest Description,Hace crecer unas enredaderas espinosas en el camino que causan daño constante y daño adicional a los bloons cerámicos. Las más cercanas al espíritu del bosque hacen más daño. La habilidad activada genera vidas y más dinero.
Avatar of Wrath Description,"Cuantos más bloons haya, más daño hace."
,
Increased Production Description,Hace crecer 2 racimos de bananas adicionales por ronda.
Long Life Bananas Description,Las bananas duran 30 segundos antes de pudrirse en vez de 15.
EZ Collect Description,El radio de recolección de bananas es mayor y las que dejas se recolectan de forma automática y dan la mitad del valor. Los bancos moneriles brillan cuando están llenos y listos para la recolección.
Greater Production Description,Hace crecer 2 racimos MÁS de bananas por ronda.
Valuable Bananas Description,Las bananas valen un 25 % más de dinero por racimo.  
Banana Salvage Description,Las bananas que dejas se recolectan de forma automática por casi el total y los bancos también lo hacen cuando están llenos. Aumento de tasa de reventa de granjas de 10 %.
Banana Plantation Description,Hace crecer 16 racimos de bananas por ronda.
Monkey Bank Description,Todo el dinero generado por este platanal ahora se guarda en el banco y gana un 15 % de interés en cada ronda.
Marketplace Description,Genera dinero en cada ronda y lo suma a tu total. Sin complicaciones.
Banana Research Facility Description,Produce 5 cajas grandes de bananas en cada ronda que valen $300 cada una.
IMF loan Description,"Habilidad Préstamo del FMI: te da $10 000, pero tienes que devolverlos de a poco."
Central Market Description,Gana grandes sumas de dinero en cada ronda y da +10 % de ingresos a los buques mercantes.
Banana Central Description,¿Quieres bananas? ¡Tenemos bananas!
Monkey-Nomics Description,Para cuando eres demasiado grande para quebrar...
Monkey Wall Street Description,Las negociaciones del centro de monos ganan ingresos colosales y generan vidas en cada ronda.
,
Sentry Gun Description,Crea armas centinelas temporales y las despliega cerca.
Larger Service Area Description,Dispara más lejos y despliega centinelas en un área mucho más grande. Los centinelas tienen más alcance.
Oversize Nails Description,La masivización permite que los clavos revienten 8 bloons a la vez incluidos los congelados. También aumenta la eficacia de la espuma y el centinela.
Faster Engineering Description,"El aumento de eficiencia permite que el ingeniero produzca centinelas, espuma y trampas de bloons con mayor frecuencia."
Deconstruction Description,Los disparos de la pistola de clavos y el centinela hacen más daño a bloons clase MOAB y fortificados.
Pin Description,Fija a los bloons en el lugar por poco tiempo cuando les acierta.
Sprockets Description,Aumenta la velocidad de ataque del arma centinela y del ingeniero.
Cleansing Foam Description,Rocía espuma que quita el camuflaje y la regeneración y revienta a los bloons emplomados.
Double Gun Description,Dos armas: el doble de diversión.
Sentry Expert Description,Los centinelas se despliegan con diferentes tipos de daño según tu necesidad.
Overclock Description,Habilidad Sobreaceleración: ataca a otra torre para aumentar la velocidad de ataque durante un tiempo corto.
Bloon Trap Description,La trampa para bloons los captura hasta llenarse. Selecciona una trampa llena para vaciarla a cambio de dinero.
Sentry Paragon Description,Crea centinelas superpoderosos y muy inestables.
Ultraboost Description,Los monos sobreacelerados reciben un incremento pequeño y permanente cada vez que reciben sobreaceleración.
XXXL Trap Description,Las trampas de bloons enormes pueden atrapar algunos de los bloons más grandes…
,
Bigger Stacks Description,Crea pilas de clavos más grandes por disparo.
Faster Production Description,Aumenta el ritmo de producción muy rápido.
Long Reach Description,Aumenta el alcance de los montones de clavos y estos duran más.
White Hot Spikes Description,Atraviesa bloons emplomados y congelados.
Even Faster Production Description,Aumenta el ritmo de producción aún más.
Smart Spikes Description,La fábrica de clavos gana una prioridad de objetivos especial y producción acelerada al inicio de cada ronda.
Spiked Balls Description,Produce bolas claveteadas que hacen más daño a los bloons cerámicos y fortificados.
MOAB SHREDR Description,Cuchillas con gran poder rasgador impulsadas por motores que trituran bloons clase MOAB.
Long Life Spikes Description,Los clavos duran mucho más y pueden seguir en el camino una ronda adicional.
Spiked Mines Description,Las minas claveteadas explotan con violencia cuando pierden todos sus clavos.
Spike Storm Description,Habilidad Tormenta de clavos: dispara una capa gruesa de clavos sobre todo el camino.
Deadly Spikes Description,Clavos letales adicionales que pueden atravesar 2 capas por clavo y duran otra ronda.
Super Mines Description,Crea minas claveteadas gigantes y explosivas que pueden eliminar casi todo.
Carpet of Spikes Description,Extiende una alfombra de clavos en todo el camino.
Perma-Spike Description,Los clavos de gran daño se vuelven casi permanentes.
,
Military Efficiency Description,Reduce la huella de los monos militares en el radio.
Magic Sciences Description,Los monos mágicos en su radio reciben perforación y velocidad de ataque extras.
Private Tuition Description,Genera más PE por ronda para tu héroe.
Wider Influence Description,Le da un radio de influencia mayor a la academia.
Academic Network Description,Aumenta el radio de todas las academias con esta mejora.
Heroic Presence Description,Los héroes reciben un aumento en su alcance del 15 % en el radio de la academia.
M.A.S.H Description,El hospital militar de monos da más vidas cuando revientas bloons.
Wizards Library Description,"Los hechiceros, druidas y alquimistas en el radio pueden aprender hasta el grado 2 en sus tres ramas de mejoras."
Heroic Academy Description,Se reducen los tiempos de recuperación de las habilidades de tu héroe.
Military Barracks Description,"Los monos militares en el radio reciben un alcance más largo, revientan más bloons y se pueden vender a una tasa favorable."
Magic Arcanum Description,Habilidad Graduado: crea un mono poderoso cuyas habilidades se basan en los monos mágicos que tiene cerca.
Power Hero Development (PhD) Description,Genera muchísimos PE extra por ronda para tu héroe.
Military HQ Description,"Los monos militares de toda la pantalla ganan un alcance enorme, revientan más bloons y hacen más daño."
Nexus Crucible Description,Los graduados creados por la habilidad son permanentes.
Dynamic Duo Description,Te permite tener un segundo héroe.
,
Bigger Radius Description,Aumenta el radio de influencia de la aldea.
Grow Blocker Description,Impide que los bloons regenerativos funcionen dentro del radio de la aldea.
Monkey Business Description,Brinda un descuento del 10 % para todos los monos y las mejoras de grado 3 que se compren en el radio de la aldea.
Jungle Drums Description,Aumenta la velocidad de ataque de todos los monos en el radio.
Radar Scanner Description,Permite que todos los monos en el radio ataquen a los camufloons.
Monkey Commerce Description,Esta mejora otorga un descuento adicional del 5 % acumulable con hasta 2 aldeas más.
Primary Training Description,"Todos los monos primarios en el radio reciben más alcance, perforación y velocidad de proyectiles."
Monkey Intelligence Bureau Description,La agencia otorga conocimientos especiales que permiten que los monos cercanos revienten todo tipo de bloons.
Monkey Town Description,Todos los monos dentro del radio del pueblo moneril otorgan más dinero por cada bloon que revientas.
Primary Mentoring Description,"Todos los Monos Primarios en el radio reciben mejoras de grado 1 gratis, alcance aumentado y una reducción a los tiempos de recuperación de habilidades."
Call to Arms Description,Habilidad A las Armas: otorga a los Monos cercanos +50 % de velocidad de ataque y reventadas durante un tiempo corto.
Monkey City Description,"Aumenta el radio de influencia y la regeneración de dinero, y te da un mono dardero gratis en cada ronda."
Primary Expertise Description,"Agrega el ataque de Megabalista. Además, todos los Monos Primarios en el radio reciben más poder reventador, más reducción de tiempos de recuperación de habilidades y mejoras de grados 1 y 2 gratis."
Homeland Defense Description,La habilidad ahora aumenta la velocidad de ataque y de reventadas en un 100 % para todos los Monos durante 20 segundos.
Monkeyopolis Description,Absorbe todos los bananales cercanos y sus ingresos y libera espacio para poner monos nuevos.
,
//Ability Names,
Super Monkey Fan Club Ability,Club de fans del supermono
Plasma Monkey Fan Club Ability,Club de fans del mono plasmático
Turbo Charge Ability,Turbocarga
Perma Charge Ability,Permacarga
MOAB Assassin Ability,Asesino de MOAB
MOAB Eliminator Ability,Eliminador de MOAB
Blade Maelstrom Ability,Vorágine de cuchillas
Super Maelstrom Ability,Supervorágine
Snowstorm Ability,Tormenta de nieve
Absolute Zero Ability,Cero absoluto
Glue Strike Ability,Ataque pegajoso
Glue Storm Ability,Tormenta de pegamento
Supply Drop Ability,Entrega de provisiones
Elite Sniper Ability,Entrega de provisiones de élite
Elite Defender Ability,Defensor de élite
First Strike Capability Ability,Primer ataque
Pre-emptive Strike Ability,Ataque preventivo
Monkey Pirates Ability,Derribo de MOAB
Pirate Lord Ability,Señor de los piratas
Ground Zero Ability,Zona cero
Tsar Bomba Ability,Bomba zar
Support Chinook Redeploy Ability,Redespliegue de Chinook de apoyo
Support Chinook Supplies Ability,Suministros de Chinook de apoyo
Special Poperations Ability,Reventaduras especiales
Pop and Awe Ability,Dominio total
Rocket Storm Ability,Tormenta de misiles
Mauler Storm Ability,Tormenta de golpes
Summon Phoenix Ability,Invocación de fénix
Wizard Lord Phoenix Ability,Amo hechicero fénix
Soulbind Ability,Príncipe de las Tinieblas
Tech Terror Ability,Aniquilación
The Anti-Bloon Ability,El antibloon
Legend of the Night Ability,Leyenda de la noche
Bloon Sabotage Ability,Sabotaje
Grand Saboteur Ability,Gran saboteador
Transforming Tonic Ability,Tónico transformante
IMF loan Ability,Préstamo del FMI
Monkey-Nomics Ability,Ecomonía
Overclock Ability,Sobreaceleración
Spike Storm Ability,Tormenta de clavos
Carpet of Spikes Ability,Alfombra de clavos
Magic Arcanum Ability,Graduado
Call to Arms Ability,Llamamiento a las armas
Homeland Defense Ability,Defensa nacional
,
//Ability Descriptions,
Super Monkey Fan Club Ability Description,Convierte hasta 10 monos darderos en supermonos durante 10 segundos.
Plasma Monkey Fan Club Ability Description,Una membresía de élite de este club otorga aún más potencia a los monos darderos.
Turbo Charge Ability Description,Hace que este mono ataque muy rápido durante 10 segundos.
Perma Charge Ability Description,Hace que este mono inflija daño adicional durante 15 segundos.
MOAB Assassin Ability Description,Un misil especial hace un daño tremendo a los bloons clase MOAB.
MOAB Eliminator Ability Description,La habilidad Asesino hace daño x6 con un tiempo de recuperación corto.
Blade Maelstrom Ability Description,Cubre el área con una tormenta de cuchillas.
Super Maelstrom Ability Description,La habilidad vorágine es aún más poderosa y dura más tiempo.
Snowstorm Ability Description,Congela a todos los bloons en pantalla por poco tiempo.
Absolute Zero Ability Description,"La habilidad es tan fría que congela a todos los tipos de bloons, incluidos los inmunes al frío y los clase MOAB."
Glue Strike Ability Description,Pega a todos los bloons en pantalla.
Glue Storm Ability Description,La habilidad Tormenta de pegamento baña de pegamento la pantalla entera durante 10 segundos.
Supply Drop Ability Description,Suelta una caja llena de dinero.
Elite Sniper Ability Description,Entrega de provisiones da mucho más dinero.
Elite Defender Ability Description,Una vida perdida duplica la velocidad de ataque de este francotirador por poco tiempo.
First Strike Capability Ability Description,Un misil devastador impacta en el bloon más grande en pantalla. Destruye hasta un bloon ZOMG de una vez o muchos bloons más pequeños.
Pre-emptive Strike Ability Description,El efecto Asesino de MOAB activa un misil anti MOAB adicional siempre que un bloon clase MOAB aparece en la entrada de bloons.
Monkey Pirates Ability Description,Atrapa a un bloon clase MOAB y lo derriba.
Pirate Lord Ability Description,Puede disparar 3 ganchos a la vez y saquear más dinero de cada bloon clase MOAB que derriba.
Ground Zero Ability Description,Aumenta la efectividad de las bombas soltadas. Habilidad zona cero: Suelta una bomba enorme que destruye casi todo lo que hay en pantalla.
Tsar Bomba Ability Description,"Una bomba muy, muy grande. ¡Que alguien detenga esta locura!"
Support Chinook Redeploy Ability Description,Puede recoger y redesplegar a casi todos los tipos de monos.
Support Chinook Supplies Ability Description,Suelta vidas y cajas de dinero.
Special Poperations Ability Description,Despliega un mono marine especial y poderoso que tiene una ametralladora.
Pop and Awe Ability Description,"Suelta explosiones en toda la pantalla, que revientan e inmovilizan a todos los bloons durante unos segundos."
Rocket Storm Ability Description,Envía una tormenta de cohetes potente en todas las direcciones.
Mauler Storm Ability Description,Cada misil hace un daño extremo a los bloons clase MOAB.
Summon Phoenix Ability Description,El poderoso fénix hace estragos entre los bloons durante 20 segundos.
Wizard Lord Phoenix Ability Description,El amo hechicero se vuelve un amo de las llamas y se convierte en un fénix de lava superpoderoso por poco tiempo.
Soulbind Ability Description,Reanima Bloons sirvientes aún más poderosos para despedazar al enemigo.
Tech Terror Ability Description,Destruye casi todos los bloons dentro del radio del estallido por completo.
The Anti-Bloon Ability Description,<Directiva> <Erradicar bloons> <INICIAR>
Legend of the Night Ability Description,Recurrimos a él cuando se pierde toda esperanza...
Bloon Sabotage Ability Description,"Durante el sabotaje, todos los Bloons se mueven más lento."
Grand Saboteur Ability Description,La habilidad dura más tiempo y los bloons clase MOAB se generan con menos vida durante el sabotaje.
Transforming Tonic Ability Description,Los bananales cercanos al Druida ganan un 50 % más de dinero por poco tiempo.
IMF loan Ability Description,Te da $10 000 pero tienes que devolverlos de a poco.
Monkey-Nomics Ability Description,Para cuando eres demasiado grande para quebrar...
Overclock Ability Description,El mono afectado se vuelve superpoderoso durante un tiempo corto.
Spike Storm Ability Description,Dispara una capa gruesa de clavos sobre todo el camino.
Carpet of Spikes Ability Description,Extiende una alfombra de clavos en todo el camino en cada ronda.
Magic Arcanum Ability Description,Crea un mono poderoso cuyas habilidades se basan en los monos mágicos que tiene cerca.
Call to Arms Ability Description,Otorga el DOBLE de velocidad de ataque y capacidad de reventar bloons durante 10 segundos a todos los monos cercanos.
Homeland Defense Ability Description,La habilidad afecta a TODOS los monos y dura 15 segundos.
,
//Maps,
TownCentre,Centro del pueblo
Tutorial,Prado moneril
TreeStump,Tocón
InTheLoop,En el bucle
BTD1,BTD1
Cubism,Cubismo
FourCircles,Cuatro círculos
Cracked,Rajado
Hedge,Seto
Streambed,Lecho
MonkeysInSpace,Monos en el espacio
Underground,Bajo tierra
AnotherBrick,Otro ladrillo
#ouch,#Auch
EndOfTheRoad,Final del camino
Chutes,Conductos
Rake,Rastrillo
OffTheCoast,Lejos de la costa
MuddyPuddles,Charcos fangosos
ParkPath,Sendero del parque
Logs,Troncos
TestMap,Mapa de prueba
Cornfield,Maizal
SpiceIslands,Islas de especias
FiringRange,Campo de Tiro
HighFinance,Altas finanzas
Downstream,Corriente abajo
DarkCastle,Castillo oscuro
FrozenOver,Congelamiento
Haunted,Embrujado
Quad,Cuadrangular
MoonLanding,Alunizaje
AlpineRun,Trayecto alpino
Peninsula,Península
,
//Tower Groups,
Primary,Primario
Military,Militar
Magic,Mágico
Support,Refuerzo
Heroes,Héroes
Powers,Poderes
,
//Misc,
Crit,Crítico
,
//Target Types,
TT_Close,Cercano
TT_First,Primero
TT_Last,Último
TT_Strong,Fuerte
TT_Track,Normal
TT_Circle,Círculo
TT_CloseTrack,Cercano
TT_CustomPath,Sendero personalizado
TT_Elite,Élite
TT_FarTrack,Lejano
TT_FigureInfinite,Figura infinito
TT_FigureEight,Figura ocho
TT_FollowTouch,Seguir toque
TT_LockInPlace,Fijar
TT_NecromancerTarget,Objetivo de nigromante
TT_OffsetTrack,Camino inclinado
TT_PatrolPoints,Puntos de patrullaje
TT_Pursuit,Persecución
TT_RandomPosition,Posición aleatoria
TT_RandomTarget,Objetivo aleatorio
TT_SmartTrack,Inteligente
TT_Submerge,Sumergir
TT_CloseSharedRange,Alcance compartido cercano
TT_ExpensiveFriendlyTarget,Objetivo aliado caro
TT_FirstSharedRange,Alcance compartido primero
TT_FriendlyTarget,Objetivo aliado
TT_Grapplable,Atrapable
TT_TargetIndependant,Objetivo independiente
TT_TargetInFront,Objetivo al frente
TT_LastSharedRange,Alcance compartido último
TT_TargetMoab,Objetivo MOAB
TT_TargetOpposite,Objetivo opuesto
TT_TargetPointer,Señalador de objetivo
TT_SetTarget,Establecer objetivo
TT_StrongSharedRange,Alcance compartido fuerte
TT_TargetTag,Etiqueta de objetivo
TT_TrackOrDefault,Camino o predeterminado
TT_Centered,Sendero centrado
,
//Currency,
Cash,Dinero
XP,PE
Monkey Money,Mónares
Free,Gratis
,
Round,Ronda
Max Tier Reached,Grado máx. alcanzado
Empty,Vacío
Not Upgraded,Sin mejorar
Owned,Ya tienes esto
Max Upgrades,Máx. de mejoras
Deployed Message,{0} desplegados
,
//UI Misc,
OK,Aceptar
Cancel,Cancelar
Start,Inicio
Return To Menu,Menú
Freeplay,Juego libre
Continue,Continuar
Done,Hecho
Try Again,Intentar de nuevo
Continue?,¿Continuar?
,
Rewards,Recompensas:
Change Hero,Cambiar héroe
Select a Hero,Seleccionar héroe
Select a Map,Seleccionar mapa
Selected,Seleccionado
Select a Hero Subheading,Tu héroe es un mono poderoso que lidera a sus tropas a la batalla.
Select Language,Seleccionar idioma
Unlock All,DESBLOQUEAR TODO
Upgrade Ingame cost,Costo en el juego
Loading,Cargando...
,
Defeat,Derrota
Defeat Message,Inténtalo de nuevo con una dificultad más baja
Victory,Victoria
Victory Message,Detuviste a esos malditos bloons
,
,
//ModeSelectScreen,
Select a Mode,Seleccionar modo
Mode Standard,Estándar
Mode MilitaryOnly,Solo militar
Mode Apopalypse,Apopalipsis
Mode Reverse,Reversa
Mode Sandbox,Entorno de pruebas
Mode PrimaryOnly,Solo primario
Mode Deflation,Deflación
Mode Half Cash,Mitad del dinero
Mode DailyChallenge,Desafío diario
,
//GameTypeScreen,
Choose a Game,Elegir una partida
New Game,Partida nueva
Daily Challenge,Desafío diario
Co-op,Cooperativo
Random,Aleatorio
,
//HomeScreen,
HS Monkeys,MONOS
HS Heroes,HÉROES
HS Play,JUGAR
HS Powers,PODERES
HS Knowledge,CONOCIMIENTO
,
//In game screens,
Upgrades,Mejoras
Sell,Vender
Get More,Obtener más
,
// PauseMenu ,
Controls,Controles
Drag & Drop,Soltar y Trabar
Lock & Drop,Trabar y soltar
Line of Sight,Línea de visión
Continuous Play,Juego continuo
Off,No
Store,Tienda
Home,Inicio
Restart,Reiniciar
You ran out of lives on:,Se te terminaron las vidas en:
Game Over Round,Ronda {0}
Victory Body,¡Felicitaciones! Completaste este camino en: {0}
,
// LinK,
Log out,Cerrar sesión
Clear Data,Borrar datos
Login,Iniciar sesión
Not logged into LiNK,No iniciaste sesión en LiNK
Logged into LiNK as,Iniciaste sesión en LiNK como {0}
,
// Map Difficulty,
MD Beginner,Principiante
MD Intermediate,Intermedio
MD Advanced,Avanzado
MD Expert,Experto
MD Extreme,Extremo
,
//Tower Specific Messages,
Patrol Message,[I] para establecer el punto de patrullaje
Sun Temple Title,Sacrificio del templo
Sun Temple Body,El templo exige un sacrificio. Se destruirán todas las torres cercanas y se mejorará el poder increíble del templo de diferentes maneras. Te lo advertimos...
True Sun Temple Title,Sacrificio del templo
True Sun Temple Body,¿Quieres invocar al\nverdadero dios del sol?
Heli Pilot Redeploy Message,Arrastra y suelta una torre para redesplegarla
Heli Pilot Redeploy Message Banned,No se puede redesplegar esta torre
Select a tower to Soulbind,Elige una torre para aplicar Atadura de alma
Select Point,Elige un punto
Select a tower to link,Elige una torre para vincular
Cannot link to this tower,No se puede vincular con esta torre
Tower is already linked,La torre ya está vinculada
Tower must have an ability,La torre debe tener una habilidad válida
Unlink,Desvincular
,
//Upgrades Screen,
Unlock Message,Desbloquear por:
XP To Spend,{0} PE para gastar:
,
//Tower screen,
Unlock Hero,Desbloquear nivel
Max Level Hero,¡Nivel máx. alcanzado!
,
//Hero Screen,
InGame Cost,Costo dentro del juego: ${0}
,
//Knowledge Screen,
Knowledge Requirement,Requiere al menos {0} punto(s) más invertidos en {1}
,
//Removables,
Removable Cost,Quitar por ${0}
,
// Powers Select Screen,
Select a Power,Selecciona un poder
Add For:,Agregar por:
,
// Achievements screen,
Achievements,Logros
Rewards:,Recompensas:
,
//Debug Options,
Set Health,Establecer salud
Set Health Description,Ingresa un valor para establecerlo como nuevo valor de vida.
Set Cash,Establecer dinero
Set Cash Description,Ingresa un valor para establecerlo como nuevo valor de dinero.
,
//Difficulty,
Easy,Fácil
Medium,Intermedio
Hard,Difícil
Impoppable,Imposibloon
Sandbox,Entorno de pruebas
Easy Description,"En fácil, los monos cuestan menos de lo normal, los bloons se mueven un poco más lento y tienes 200 vidas. Si superas la ronda 40 en fácil, conseguirás una medalla de bronce en ese camino."
Medium Description,"En Intermedio, los monos cuestan lo normal, los bloons se mueven de modo normal y tienes 150 vidas. Si superas la ronda 60 en intermedio, conseguirás una medalla de plata en ese camino."
Hard Description,"En Difícil, los Monos cuestan más de lo normal, comienzas en el asalto 3, los Bloons se mueven un poco más rápido y tienes 100 vidas. Si superas la ronda 80 en Difícil conseguirás una medalla de oro en ese camino."
Impoppable Description,"En Imposibloon, los Monos cuestan mucho más de lo normal, comienzas en el asalto 6, los Bloons se mueven más rápido y tienes 1 vida. Si superas la ronda 100 en Imposibloon conseguirás una medalla de platino en ese camino."
Sandbox Description,"En entorno de pruebas, los monos cuestan lo normal, los bloons se mueven de modo normal y tienes vidas y dinero ilimitados."
,
,
,
,
,
//Popup Screens,
Unlock All Title,Desbloquear todas las mejoras
Unlock All Body,Desbloquear todas las mejoras por {0} PE.
Not Enough Cash Title,No hay dinero suficiente
Not Enough Cash Body,Revienta más bloons para obtener dinero.
Not Enough XP Title,No hay PE suficientes
Not Enough XP Body,Necesitas {0} PE.\nLas torres ganan PE cada vez que se pasa una ronda
Already Own Upgrade Title,Ya tienes esta mejora
Already Own Upgrade Body,Ya obtuviste esta mejora.
Locked Title,Mejora bloqueada
Locked Body,Debes comprar la mejora anterior antes de comprar esta.
Quit Title,Abandonar
Quit Body,¿Seguro que quieres salir del tutorial?
Continue Saved Game Title,¿Continuar la última partida guardada?
Continue Saved Game Body,¿Quieres continuar desde la ronda {0} en {1} jugando al modo {2} en dificultad {3}?
Continue Saved Game Okay,Cargar guardada
Continue Saved Game Cancel,Partida nueva
,
,
//Hero Messages,
Generic Hero Message,¿Necesitas ayuda?
,
//Tutorial,
Welcome Title,Bienvenidos a Bloons™ Tower Defense 6
Welcome Title Partial,Bienvenido a  
Welcome Body,Una aventura épica de monos contra bloons
Town Trouble Title,Bienvenidos a Bloons™ Tower Defense 6
Town Trouble Body,Los bloons se apoderaron del pueblo.
Town Trouble Button,Recupéralo.
Bloon Entry,No permitas que pasen los bloons
Bloon Outro,ni que escapen por aquí.
Place First Tower,Coloca un mono dardero para empezar.
