//Input. Needs to be first e.g [I] replaced by click or tap,
Click,انقر
Monkey Intelligence Bureau Description,منح المكتب معارف خاصة عن ظهور البالونات، مما يتيح للقرود القريبة فرقعة جميع أنواع البالونات.
Monkey Town Description,حصول جميع القرود داخل دائرة نصف قطرها من مدينة القرود على أموال إضافية لكل فرقعة للبالونات.
Primary Mentoring Description,حصول جميع القرود الأساسية الموجودة في دائرة نصف قطرها على ترقيات من المستوى 1 مجانًا ونطاق متزايد وتقليل فترات تباطؤ القدرة.
Call to Arms Description,القدرة على الدعوة للتسليح: منح القرود القريبة + 50٪ سرعة هجوم وفرقعة لفترة قصيرة.
Monkey City Description,زيادة نصف قطر التأثير، وجني النقود ضمن النطاق، ومنحك قرد نشاب مجانًا في كل جولة.
Primary Expertise Description,إضافة هجوم ميجا باليستا، بالإضافة إلى أن جميع القرود الأساسية ضمن النطاق تحصل على قوة فرقعة أكبر، وتقليل فترات تباطؤ القدرة بشكل أكبر وترقيات المستوى 1 و 2 مجانًا.
Homeland Defense Description,القدرة الموجودة الآن تعمل على زيادة سرعة الهجوم والفرقعة بنسبة 100٪ لجميع القرود مدة 20 ثانية.
Monkeyopolis Description,امتصاص جميع مزارع الموز المجاورة والدخل المتأتي منها، مما يوفر مساحة للقرود الجديدة.
,
//Ability Names,
Super Monkey Fan Club Ability,نادي المعجبين بالقرد الخارق
Plasma Monkey Fan Club Ability,نادي المعجبين بقرد البلازما
Turbo Charge Ability,تيربو تشارج
Perma Charge Ability,بيرما تشارج
MOAB Assassin Ability,قاتل موآب المأجور
MOAB Eliminator Ability,"التخلص من منطاد ""موآب"""
Blade Maelstrom Ability,دوامة الشفرات
Super Maelstrom Ability,الدوامة الفائقة
Snowstorm Ability,عاصفة جليدية
Absolute Zero Ability,أبسلوت زيرو
Glue Strike Ability,ضربة غراء
Glue Storm Ability,عاصفة الغراء
Supply Drop Ability,تراجع الإمداد
Elite Sniper Ability,تراجع إمداد النخبة
Elite Defender Ability,مدافع النخبة
First Strike Capability Ability,الضربة الأولى
Pre-emptive Strike Ability,غارة استباقية
Monkey Pirates Ability,"إسقاط ""منطاد ""موآب"""
Pirate Lord Ability,سيد القراصنة
Ground Zero Ability,النقطة صفر
Tsar Bomba Ability,قنبلة القيصر
Support Chinook Redeploy Ability,إعادة نشر دعم شينوك
Support Chinook Supplies Ability,إمدادات دعم شينوك
Special Poperations Ability,عمليات فرقعة خاصة
Pop and Awe Ability,الفرقعة والروعة
Rocket Storm Ability,عاصفة الصواريخ
Mauler Storm Ability,عاصفة مولر
Summon Phoenix Ability,استدعاء طائر الفينيق
Wizard Lord Phoenix Ability,طائر فينيق سيد العرافين
Soulbind Ability,أمير الظلام
Tech Terror Ability,الإبادة
The Anti-Bloon Ability,عدو البالونات
Legend of the Night Ability,أسطورة الليل
Bloon Sabotage Ability,أعمال التخريب
Grand Saboteur Ability,المخرب الكبير
Transforming Tonic Ability,المنشط التحويلي
IMF loan Ability,قرض صندوق النقد الدولي
Monkey-Nomics Ability,اقتصاديات القردة
Overclock Ability,زيادة سرعة الهجوم
Spike Storm Ability,عاصفة أشواك/مسامير
Carpet of Spikes Ability,سجادة من الأشواك/المسامير
Magic Arcanum Ability,خريج الأكاديمية
Call to Arms Ability,دعوة لحمل السلاح
Homeland Defense Ability,الدفاع عن أرض الوطن
,
//Ability Descriptions,
Super Monkey Fan Club Ability Description,تحويل ما يصل إلى 10 من القرود النشابة القريبة إلى قرود فائقة لمدة 10 ثوانٍ.
Plasma Monkey Fan Club Ability Description,منح عضوية النخبة في هذا النادي القرود النَّشابة قوة أكثر!
Turbo Charge Ability Description,جعل هجوم القرد هذا سريعًا بشكل لا يصدق لمدة 10 ثوانٍ.
Perma Charge Ability Description,من شأنها جعل هذا القرد يتسبب في إحداث ضرر إضافي لمدة 15 ثانية.
MOAB Assassin Ability Description,صاروخ خاص يحلق ويتسبب في إحداث أضرار جسيمة في البالونات من فئة منطاد موآب.
MOAB Eliminator Ability Description,تتسبب القدرة على الاغتيال في إحداث ضرر بمقدار 6 أضعاف مع فترة تهدئة قصيرة.
Blade Maelstrom Ability Description,تغطية المنطقة في عاصفة الشفرات.
Super Maelstrom Ability Description,قدرة أكبر على عمل دوامة قوية والاستمرار لفترة أطول.
Snowstorm Ability Description,تجميد جميع البالونات الموجودة على الشاشة لفترة قصيرة.
Absolute Zero Ability Description,"تتميز هذه القدرة بشدة برودتها لدرجة أنها تعمل على تجميد جميع أنواع البالونات بما في ذلك المحصنة من البرودة والبالونات من فئة منطاد ""موآب""."
Glue Strike Ability Description,لصق جميع البالونات على الشاشة.
Glue Storm Ability Description,قدرة العاصفة الغرائية تضرب الشاشة بأكملها طوال 10 ثوانٍ بالغراء.
Supply Drop Ability Description,إنزال صندوق مليء بالنقود.
Elite Sniper Ability Description,إسقاط المؤن والإمدادات يؤدي إلى منح المزيد من النقود.
Elite Defender Ability Description,الحياة المفقودة تمنح هذا القناص سرعة هجوم × 2 لفترة قصيرة كرد انتقامي.
First Strike Capability Ability Description,ضربة صاروخية مدمرة على أكبر بالون موجود على الشاشة. يدمر ما يصل إلى منطاد زومج واحد دفعة واحدة، أو الكثير من البالونات الأصغر.
Pre-emptive Strike Ability Description,"يطلق تلقائيًا صاروخًا إضافيًا مضادًا لمنطاد موآب عند خروج بالونات من فئة منطاد ""موآب"" من مدخل البالونات."
Monkey Pirates Ability Description,"القدرة على إنهاء منطاد ""موآب"": يصطدم بالبالونات من فئة منطاد ""موآب"" وتسقطها أرضًا. الهجوم الرئيسي يضيف مدفعين آخرين."
Pirate Lord Ability Description,"إمكانية إطلاق 3 خطافات شابكة في وقت واحد، ونهب أموال إضافية من كل بالون من فئة منطاد ""موآب""."
Ground Zero Ability Description,الزيادة من فعالية عملية إسقاط القنبلة. قدرة الأرض الصفرية: إسقاط قنبلة ضخمة من شأنها تدمير معظم الأشياء على الشاشة.
Tsar Bomba Ability Description,قنبلة كبيرة للغاية. شخص ما وضع حد لهذا الجنون!
Support Chinook Redeploy Ability Description,إمكانية التقاط وإعادة نشر معظم أنواع القرود.
Support Chinook Supplies Ability Description,إسقاط الأرواح وصناديق النقود.
Special Poperations Ability Description,نشر قرد مميز وقوي من مشاة البحرية بمدفع رشاش.
Pop and Awe Ability Description,سقوط الانفجارات على الشاشة بالكامل، وفرقعة وشل حركة جميع البالونات لبضع ثوان.
Rocket Storm Ability Description,إرسال عاصفة قوية من الصواريخ في جميع الاتجاهات.
Mauler Storm Ability Description,يعمل كل صاروخ على إنزال أضرار بالغة بالبالونات من فئة منطاد موآب.
Summon Phoenix Ability Description,طائر الفينيق القوي يدمر البالونات لمدة 20 ثانية.
Wizard Lord Phoenix Ability Description,يصبح سيد السحرة سيد الشعلة، ويتحول إلى عنقاء الحمى البركانية فائق القوة لفترة قصيرة.
Soulbind Ability Description,إعادة إحياء خادمات أقوى للبالونات بهدف القضاء على العدو، بالإضافة إلى تعزيز البالونات التي لم تمت التابعة لجميع مستحضري الأرواح الآخرين.
Tech Terror Ability Description,تدمير معظم البالونات بشكل كامل ونهائيًا ضمن نصف قطر  دائرة الانفجار.
The Anti-Bloon Ability Description,<توجيه البرنامج> <القضاء على بالونات> <ابدأ>
Legend of the Night Ability Description,لا نلجأ إليه إلا عند انقطاع الأمل ...
Bloon Sabotage Ability Description,الاستمرار 15 ثوان. أثناء التخريب، تتحرك جميع البالونات بسرعة منخفضة.
Grand Saboteur Ability Description,"تتميز مدة التي تستمر فيها عمل القدرة بأنها أطول، ويكون إنتاج بالونات من فئة منطاد ""موآب"" أقل صحة أثناء التخريب."
Transforming Tonic Ability Description,تكسب المزارع القريبة من الكاهن أموالاً أكثر بنسبة 50٪ لفترة قصيرة.
IMF loan Ability Description,منحك 10000 دولار ولكن عليك سدادها بمرور الوقت.
Monkey-Nomics Ability Description,عندما تكون أكبر من أن تفشل ...
Overclock Ability Description,يصبح القرد المستهدف مدعومًا للغاية لفترة قصيرة.
Spike Storm Ability Description,إطلاق طبقة سميكة من السنون والنتوءات فوق المسار بأكمله.
Carpet of Spikes Ability Description,وضع سجادة من السنون والنتوءات فوق المسار بأكمله، في كل جولة.
Magic Arcanum Ability Description,إيجاد قرد قوي تعتمد قدراته على القرود السحرية القريبة.
Call to Arms Ability Description,منح جميع القرود سرعة مضاعفة وزيادة القدرة على الفرقعة لمدة 10 ثوانٍ.
Homeland Defense Ability Description,تأثير القدرة على جميع القرود والاستمرار لمدة 15 ثانية.
,
//Maps,
TownCentre,وسط المدينة
Tutorial,مروج القردة
TreeStump,أرومة الشجرة
InTheLoop,في الحلقة
BTD1,بلونز تي دي 1
Cubism,التكعيبية
FourCircles,الأربع دوائر
Cracked,المقسمة
Hedge,الحافة
Streambed,قاع النهر
MonkeysInSpace,القرود في الفضاء
Underground,تحت الأرض
AnotherBrick,قالب قرميد آخر
#ouch,#أوتش
EndOfTheRoad,نهاية الطريق
Chutes,المنحدر
Rake,رايك
OffTheCoast,قبالة الساحل
MuddyPuddles,البرك الموحلة
ParkPath,مسار المنتزه
Logs,الأشجار
TestMap,خريطة الاختبار
Cornfield,حقل الذرة
SpiceIslands,جزر التوابل
FiringRange,ميدان الرماية
HighFinance,تمويل مرتفع
Downstream,المجرى النهري
DarkCastle,القلعة المظلمة
FrozenOver,متجمد
Haunted,مسكون
Quad,رباعية
MoonLanding,هبوط القمر
AlpineRun,جولة جبال الألب
Peninsula,شبه الجزيرة
,
//Tower Groups,
Primary,أولية
Military,عسكرية
Magic,سحرية
Support,الدعم
Heroes,الأبطال
Powers,قوى
,
//Misc,
Crit,الحالة حرجة
,
//Target Types,
TT_Close,قريب
TT_First,الأول
TT_Last,الأخير
TT_Strong,قوي
TT_Track,عادي
TT_Circle,مستدير
TT_CloseTrack,قريب
TT_CustomPath,مسار مخصص
TT_Elite,نخبوي
TT_FarTrack,بعيد
TT_FigureInfinite,شكل غير متناهي
TT_FigureEight,رقم ثمانية
TT_FollowTouch,متابعة اللمس
TT_LockInPlace,تأمين في المكان
TT_NecromancerTarget,مستحضر الأرواح المستهدف
TT_OffsetTrack,مسار الإزاحة
TT_PatrolPoints,نقاط الدورية
TT_Pursuit,ملاحقة
TT_RandomPosition,موقف عشوائي
TT_RandomTarget,هدف عشوائي
TT_SmartTrack,ذكي
TT_Submerge,مغمور
TT_CloseSharedRange,نطاق مشترك على مقربة
TT_ExpensiveFriendlyTarget,هدف ودود باهظ الثمن
TT_FirstSharedRange,أول نطاق مشترك
TT_FriendlyTarget,هدف ودود
TT_Grapplable,يمكن اختطافه
TT_TargetIndependant,هدف مستقل
TT_TargetInFront,هدف على الجبهة
TT_LastSharedRange,آخر نطاق مشترك
TT_TargetMoab,استهداف منطاد موآب
TT_TargetOpposite,الهدف المقابل
TT_TargetPointer,مؤشر الهدف
TT_SetTarget,الهدف المحدد
TT_StrongSharedRange,نطاق مشترك قوي
TT_TargetTag,علامة الهدف
TT_TrackOrDefault,المسار أو الافتراضي
TT_Centered,مسار مركزي
,
//Currency,
Cash,نقدي
XP,نقاط الخبرة
Monkey Money,أموال القرود
Free,مجانًا
,
Round,جولة
Max Tier Reached,تم بلوغ الحد الأقصى من المستوى
Empty,فارغ
Not Upgraded,لم تتم الترقية
Owned,مملوك
Max Upgrades,أقصى ترقية
Deployed Message,تم نشر {0}
,
//UI Misc,
OK,موافق
Cancel,إلغاء
Start,البدء
Return To Menu,القائمة
Freeplay,لعب حر
Continue,استمرار
Done,تم
Try Again,حاول ثانية
Continue?,استمرار؟
,
Rewards,المكافآت:
Change Hero,تغيير البطل
Select a Hero,اختيار البطل
Select a Map,اختيار خريطة
Selected,محدد
Select a Hero Subheading,بطلك هو قرد قوي يقود قواتك إلى المعركة
Select Language,حدد اللغة
Unlock All,فتح الكل
Upgrade Ingame cost,التكلفة داخل اللعبة
Loading,جارٍ التحميل...
,
Defeat,هزيمة
Defeat Message,ربما أحاول مرة أخرى على مستوى صعوبة أقل
Victory,نصر
Victory Message,لقد نجحت في إيقاف البالونات البغيضة
,
,
//ModeSelectScreen,
Select a Mode,حدد الوضع
Mode Standard,قياسي
Mode MilitaryOnly,عسكري فقط
Mode Apopalypse,نبوءة انتهاء عالم البالونات
Mode Reverse,عكسي
Mode Sandbox,ساندبوكس
Mode PrimaryOnly,أساسي فقط
Mode Deflation,تفريغ هواء البالونات
Mode Half Cash,نصف نقدي
Mode DailyChallenge,التحدي اليومي
,
//GameTypeScreen,
Choose a Game,اختر لعبة
New Game,لعبة جديدة
Daily Challenge,التحدي اليومي
Co-op,تعاوني
Random,عشوائي
,
//HomeScreen,
HS Monkeys,قرود
HS Heroes,الأبطال
HS Play,لعب
HS Powers,القوى
HS Knowledge,المعرفة
,
//In game screens,
Upgrades,الترقيات
Sell,بيع
Get More,الحصول على المزيد
,
// PauseMenu ,
Controls,الضوابط
Drag & Drop,السحب والإفلات
Lock & Drop,إفلات وتأمين
Line of Sight,مرمى التصويب
Continuous Play,استمرار اللعب
Off,إيقاف
Store,المتجر
Home,الصفحة الرئيسية
Restart,إعادة بدء
You ran out of lives on:,نفدت الأرواح في:
Game Over Round,الجولة {0}
Victory Body,تهانينا! لقد أكملت هذا المسار على: {0}
,
// LinK,
Log out,تسجيل الخروج
Clear Data,مسح البيانات
Login,تسجيل الدخول
Not logged into LiNK,لم تسجل الدخول إلى LiNK
Logged into LiNK as,تم تسجيل الدخول إلى LiNK باسم {0}
,
// Map Difficulty,
MD Beginner,مبتدئ
MD Intermediate,متوسط
MD Advanced,متقدم
MD Expert,خبير
MD Extreme,شديد
,
//Tower Specific Messages,
Patrol Message,[I] لتحديد نقطة دورية
Sun Temple Title,تضحية الهيكل
Sun Temple Body,يتطلب الهيكل التضحية. سيتم تدمير جميع الأبراج القريبة، مما يعزز قوة الهيكل المذهلة بطرق مختلفة. لقد تم تحذيرك...
True Sun Temple Title,تضحية الهيكل
True Sun Temple Body,هل ترغب في استدعاء \nإله الشمس الحقيقي!!؟؟
Heli Pilot Redeploy Message,قم بسحب وإفلات برج لإعادة النشر
Heli Pilot Redeploy Message Banned,يتعذر إعادة نشر هذا البرج
Select a tower to Soulbind,حدد برجًا لسولبِند
Select Point,حدد نقطة
Select a tower to link,حدد برجًا للارتباط به
Cannot link to this tower,يتعذر الارتباط بهذا البرج
Tower is already linked,البرج مرتبط بالفعل
Tower must have an ability,يجب أن يكون لدى البرج قدرة صالحة
Unlink,فك الارتباط
,
//Upgrades Screen,
Unlock Message,فتح:
XP To Spend,{0} من نقاط الخبرة لإنفاقها:
,
//Tower screen,
Unlock Hero,فتح مستوى
Max Level Hero,أقصى مستوى تم الوصول إليه
,
//Hero Screen,
InGame Cost,التكلفة داخل اللعبة: {0} دولار أمريكي
,
//Knowledge Screen,
Knowledge Requirement,يتطلب على الأقل {0} نقطة (نقاط) أخرى مستثمرة في {1}
,
//Removables,
Removable Cost,إزالة مقابل {0} دولارًا أمريكيًا
,
// Powers Select Screen,
Select a Power,حدد قوة
Add For:,إضافة لـ:
,
// Achievements screen,
Achievements,الإنجازات
Rewards:,المكافآت:
,
//Debug Options,
Set Health,تعيين الصحة
Set Health Description,أدخل قيمة لتعيينها كقيمة صحية جديدة
Set Cash,تعيين النقدية
Set Cash Description,أدخل قيمة لتعيينها كقيمة نقدية جديدة
,
//Difficulty,
Easy,سهل
Medium,وسط
Hard,متوسط
Impoppable,لا يمكن الفرقعة
Sandbox,ساندبوكس
Easy Description,في المستوى السهل تكون تكلفة الفرود أقل من المعتاد، حيث تتحرك البالونات أبطأ قليلاً ولديك 200 حياة. الفوز في الجولة 40 في الوضع السهل يمنحك ميدالية برونزية عن هذا المسار.
Medium Description,في الوضع المتوسط، تكون تكلفة القرود عادية، حيث تتحرك البالونات بشكل طبيعي ولديك 150 حياة. الفوز في الجولة 60 في المتوسط يمنحك ميدالية فضية لهذا المسار.
Hard Description,في الوضع الصعب، تكون تكلفة القردة أكثر من المعتاد، حيث تبدأ في الجولة الثالثة، وتتحرك البالونات بشكل أسرع قليلاً ولديك 100 حياة. الفوز بالجولة 80 في المستوى الصعب يمنحك ميدالية ذهبية عن هذا المسار.
Impoppable Description,"في وضع عدم الفرقعة تكون تكلفة القردة أكثر بكثير من المعتاد، حيث تبدأ في الجولة السادسة، وتتحرك البالونات بشكل أسرع ويكون لديك حياة واحدة. الفوز في الجولة 100 في وضع ""لا يمكن الفرقعة""، يمنحك ميدالية فضية عن هذا المسار."
Sandbox Description,في وضع الساندبوكس، تكون تكلفة القرود عادية، حيث تتحرك البالونات بشكل طبيعي ولديك حياة ونقود غير محدودة.
,
,
,
,
,
//Popup Screens,
Unlock All Title,فتح جميع الترقيات
Unlock All Body,فتح كافة ترقيات {0} نقاط الخبرة.
Not Enough Cash Title,ليس لديك نقود كافية
Not Enough Cash Body,فرقع مزيدًا من البالونات للحصول على النقود.
Not Enough XP Title,ليس لديك نقاط خبرة كافية
Not Enough XP Body,أنت بحاجة إلى {0} من نقاط الخبرة.\n الأبراج تحظى بنقاط خبرة في كل مرة يتم فيها تمرير الجولة.
Already Own Upgrade Title,الترقية مملوكة بالفعل
Already Own Upgrade Body,أنت تمتلك هذه الترقية فعليًا.
Locked Title,الترقية مقفلة
Locked Body,يجب عليك شراء الترقية السابقة قبل شراء هذه الترقية.
Quit Title,انسحاب
Quit Body,هل أنت متأكد من رغبتك في الخروج من البرنامج التعليمي؟
Continue Saved Game Title,هل تريد متابعة آخر لعبة محفوظة؟
Continue Saved Game Body,هل ترغب في الاستمرار من الجولة {0} في الوضع {2} للعب {1} على مستوى صعوبة {3}؟
Continue Saved Game Okay,حفظ التحميل
Continue Saved Game Cancel,لعبة جديدة
,
,
//Hero Messages,
Generic Hero Message,بحاجة لبعض المساعدة؟
,
//Tutorial,
Welcome Title,مرحبًا بك في بلونز™ تاور ديفينس 6
Welcome Title Partial,مرحبا بك في
Welcome Body,مغامرة ملحمية للقرود ضد البالونات
Town Trouble Title,مرحبًا بك في بلونز™ تاور ديفينس 6
Town Trouble Body,لقد استولى البالونات على مدينتك!
Town Trouble Button,بادر باسترجاعها
Bloon Entry,أوقف البالونات من العبور!
Bloon Outro,... وحاول الهروب من هنا.
Place First Tower,ضع القرد النَّشاب للبدء.
Place Second Tower,ضع قرد نشاب آخر بعد [I] للعب
Press Go,الآن [I] يذهب!
Finished Round One,كان هذا سهلاً أليس كذلك؟ [I] يلعب لبدء الجولة التالية
Earning Experience,فرقعة البالونات تعمل على إكساب القرود التي لديك خبرة.
Unlocking Upgrades,لدى القرود النَّشابة ما يكفي لفتح ترقية
Upgrade Details,كل نوع من أنواع القرود لديه 5 ترقيات في 3 مسارات. افتح واحد منهم الآن.
Upgrade Complete,رائع! يمكنك الآن ترقية القرود الموجودة لديك بهذه الترقية.
Select Monkey,لقد قمت بفتح الترقية، لكنك ما زلت بحاجة إلى استخدامها مع القرود في اللعبة. المس قرد الآن.
Select Upgrade,الآن، حدد الترقية غير المؤمنة لشرائها وتجهيزها.
Hero Title,أبطال!
Quincy Intro,بحاجة لبعض المساعدة؟
Hero Info,كوينسي هو القرد البطل الذي يقوم بترقية نفسه أثناء اللعبة. بإمكانه فرقعة عدة بالونات في كل تسديدة.
Last Round,جولة واحدة للانطلاق!
Next Map Title,عمل جيد!
Next Map Description,لقد جعلناهم في حالة فرار، توجه بعد ذلك إلى تلك الشجرة الكبيرة!
Next Map Button,هيا بنا
Big Tree Title,شجرة كبيرة
Big Tree Description,هذه الشجرة تحجب رؤية القرود خاصتك، لذا ضعهم بعناية. يمكن لبعض القرود التسديد من فوق الحواجز.
Big Tree Victory Title,دفعة نهائية ...
Big Tree Victory Description,النصر يلوح في الأفق، ادفع إلى وسط المدينة!
Big Tree Victory Button,هيا بنا
Town Centre Title,وسط المدينة
Town Centre Description,اسحق كل البالونات وانقذ مدينتك.
Town Centre Victory Description,لقد نجحنا!
Home Description,مرحبا بك في منزلك
Xp Reminder Title,لا تنس!
Xp Reminder Description,تذكر عدم إنفاق نقاط خبرة القرد خاصتك لفتح المزيد من الترقيات للقرود التي لديك.
Lose Tutorial Title,عذرًا!
Lose Tutorial Description,لقد نفدت الأرواح التي لديك! حاول مرة أخرى. حاول وضع المزيد من القرود بالقرب من المسار أو الحصول على المزيد من الترقيات.
Select a Monkey,حدد قردًا
Earning Experience Title,فتح الترقيات
Unlocking Upgrades Title,فتح الترقيات
Next,التالي
,
//Loading Messages,
Loading Message 0,فحص الهيروغليفية ...
Loading Message 1,تدريب القرود ...
Loading Message 2,جارٍ تحضير السهام ...
Loading Message 3,نفخ البالونات
Loading Message 4,جمع الموز ...
Loading Message 5,اخذ استراحة...
Loading Message 6,تقليم الحدائق ...
Loading Message 7,إطلاق القرد كثولهو ...
Loading Message 8,إيقاظ إله الشمس ...
Loading Message 9,استدعاء الأبطال ...
Loading Message 10,تنزيل محتوى جديد
Internet Connection Required Message,يلزم الاتصال بالإنترنت لتنزيل محتوى جديد للعبة. يرجى التحقق من الاتصال. إعادة المحاولة ...
,
// Achievements,
Achievement 1 Name,لا يمكن الفرقعة
Achievement 1 Description,فرقعة {0} من البالونات
Achievement 2 Name,قاتل موآب المأجور
Achievement 2 Description,تدمير {0} من مناطيد موآب
Achievement 3 Name,منطاد بي إف بي المشاكس
Achievement 3 Description,تدمير {0} من مناطيد بي إف بي
Achievement 4 Name,زومجينيتور
Achievement 4 Description,تدمير {0} من مناطيد زومجينيتور
Achievement 5 Name,لقد قمت بعمل على منطاد دي دي تي
Achievement 5 Description,تدمير {0} من مناطيد دي دي تي
Achievement 6 Name,سابر
Achievement 6 Description,فرقع {0} من البالونات المعززة أو فئة منطاد موآب. تجنب حالات القتل الفوري والتجريد من التحصينات للحصول على أفضل النتائج.
Achievement 7 Name,أول فوز
Achievement 7 Description,ربح {0} من خرائط المبتدئين غير التعليمية
Achievement 8 Name,الجراد
Achievement 8 Description,اربح {0} من مختلف خرائط مستوى المبتدئين
Achievement 9 Name,المستوى التالي
Achievement 9 Description,اربح {0} لعبة على خريطة المستوى المتوسط
Achievement 10 Name,مساعد
Achievement 10 Description,اربح {0} من مختلف خرائط المستوى المتوسط
Achievement 11 Name,لاعب متقدم
Achievement 11 Description,اربح {0} لعبة على خريطة المستوى المتقدم
Achievement 12 Name,لاعب متطرف
Achievement 12 Description,اربح {0} لعبة على الخريطة الحدودية
Achievement 13 Name,القرد الكبير
Achievement 13 Description,انشر برج قرد من المستوى 4
Achievement 14 Name,القرد الضخم
Achievement 14 Description,انشر برج قرد من المستوى 5
Achievement 15 Name,توقيت البطل
Achievement 15 Description,انشر بطلاً على خريطة غير تعليمية
Achievement 16 Name,تفعيل صلاحيات البطل
Achievement 16 Description,استخدم أي قدرة بطل من المستوى 3
Achievement 17 Name,أكبر، أسوء
Achievement 17 Description,استخدم أي قدرة بطل من المستوى 10
Achievement 18 Name,بطل ملحمي
Achievement 18 Description,رتب أي بطل على المستوى {0}
Achievement 19 Name,دوري القرد المنتقم
Achievement 19 Description,فز بدور في اللعبة من أجل {0} من الأبطال المختلفين
Achievement 20 Name,لديك القوة
Achievement 20 Description,استخدم القوى لأول مرة
Achievement 21 Name,مستخدم القوي
Achievement 21 Description,استخدم القوى {0} مرة
Achievement 22 Name,مفوض
Achievement 22 Description,استخدم القوى {0} مرة
Achievement 23 Name,طالب
Achievement 23 Description,قم باستخدام أول نقطة معرفة للقرد
Achievement 24 Name,عالم
Achievement 24 Description,استخدام {0} من نقاط معرفة القرود
Achievement 25 Name,القرد الطبيب
Achievement 25 Description,إنفاق 106 من نقاط معرفة القرود
Achievement 26 Name,القرود الأولى أولا
Achievement 26 Description,اربح {0} من الأدوار في اللعبة باستخدام القردة الأساسية فقط
Achievement 27 Name,قرود الحرب
Achievement 27 Description,اربح {0} من الأدوار في اللعبة باستخدام القرود العسكرية فقط
Achievement 28 Name,أبراكادابمونكي
Achievement 28 Description,اربح {0} من أدوار اللعبة باستخدام القرود السحرية فقط
Achievement 29 Name,القرود المجهولة
Achievement 29 Description,اربح {0} من أدوار اللعبة باستخدام قرود الدعم فقط
Achievement 30 Name,منفوخ
Achievement 30 Description,تغلب على الجولة {0} في وضع التفريغ من الهواء
Achievement 31 Name,الناجي
Achievement 31 Description,تغلب على الجولة {0} في وضع نبوءة انتهاء عالم البالونات
Achievement 32 Name,إيندي
Achievement 32 Description,اربح {0} من أدوار اللعبة باستخدام الجولات البديلة للبالونات
Achievement 33 Name,قابلية الفرقعة
Achievement 33 Description,اربح {0} من أدوار اللعبة في درجة الصعوبة المستحيلة
Achievement 34 Name,ثريفتي
Achievement 34 Description,اربح {0} من الأشواط في وضع نصف النقود
Achievement 35 Name,بلونزيلا!
Achievement 35 Description,"اربح {0} من الأشواط ضد مناطيد ""موآب"" التي لديها ضعف نقاط الصحة"
Achievement 36 Name,عاكس الدور
Achievement 36 Description,اربح لعبة في الوضع العكسي
Achievement 37 Name,الفائز بالميدالية
Achievement 37 Description,احصل على جميع الميداليات للخريطة
Achievement 38 Name,البطل المزين
Achievement 38 Description,احصل على 36 ميدالية صعوبة على خرائط المبتدئين
Achievement 39 Name,الأحمر والأزرق يؤدي إلى ...
Achievement 39 Description,فرقعة {0} من البالونات الأرجوانية
Achievement 40 Name,الأشعة تحت الحمراء
Achievement 40 Description,فرقعة {0} من البالونات المموهة
Achievement 41 Name,قوانا مجتمعة
Achievement 41 Description,اجمع ما لا يقل عن 12 قوة مختلفة
Achievement 42 Name,تشالنجر
Achievement 42 Description,اربح {0} من التحديات اليومية
Achievement 43 Name,تحدي المبتدئ
Achievement 43 Description,اربح {0} من التحديات اليومية
Achievement 44 Name,سيد التحديات
Achievement 44 Description,اربح {0} من التحديات اليومية
Achievement 45 Name,أسبوع مثالي
Achievement 45 Description,أكمل جميع التحديات اليومية في أسبوع
Achievement 46 Name,الزعيم العارف
Achievement 46 Description,افتح كل معارف القرد في فرع واحد
Achievement 47 Name,سيد البالونات
Achievement 47 Description,تغلب على الخريطة {0} في وضع تشمبس
Achievement 48 Name,سيد البالونات الفائقة
Achievement 48 Description,تغلب {0} من الخرائط في وضع تشمبس
Achievement 49 Name,سيد البالونات غير المحدودة
Achievement 49 Description,تغلب {0} من الخرائط في وضع تشمبس
Achievement 50 Name,"منطاد ""باد"" الفائق"
Achievement 50 Description,"تدمير {0} من مناطيد ""باد"""
Collect,تجميع
,
//Standard Round Messages,
,
,
Hint 2,تحصل على نقود واحدة مقابل كل طبقة من البالونات التي يجري فرقعتها، بالإضافة إلى بعض المكافآت في نهاية كل جولة.
Hint 7,استمر في لعب بلونز تي دي 6 بانتظام وتحقق من التحديثات الجديدة - الخرائط والأبطال والتحديات والروعة الأخرى.
Hint 12,كلما استخدمت قردًا معينًا، زادت الترقيات التي ستفتحها أمام استخدامه.
Hint 26,هل ترى تلك البالونات المخططة بنمط الحمار الوحشي؟ إنها تجمع بين مزايا البالونات البيضاء والبالونات السوداء، وتحتوي على خليط من كل منهما للمتعة فقط.
Hint 32,لقد رأيت بالونة واحدة مموهة تعود في الجولة 24. أتمنى أن تكون جاهزًا للمزيد!
Hint 38,في نهاية الجولة التالية يوجد لديك 2 من البالونات بألوان قوس قزح والقابلة لإعادة نمو. إذا تم التعامل معها بشكل سيئ، يمكن أن يزيد العدد عن 2...
Hint 39,"الجولة التالية أول بالون من فئة منطاد ""موآب"". لا تقل أنه لم يتم تحذيرك!"
Hint 41,قادم: إعادة نمو البالونات بألوان قوس قزح والبالونات المموهة. هل رتبت كل هذا؟
Hint 45,بالونات سيراميكية محصنة قادمة بعد ذلك.
Hint 50,لمجرد القول أنه من الممكن أن تدمر الكثير من البالونات السيراميكية المموهة يومك.
