//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Tıkla
Metal Freeze Description,Kurşun ve Kamuflajlı Bloon’ları dondurabilir ve patlatabilir.
Deep Freeze Description,"Delmeyi artırır, ekstra bir katmanı dondurur ve donma eylemi daha uzun sürer."
Re-Freeze Description,Zaten donuk olan Bloon’ları tekrar dondurabilir.
Ice Shards Description,Donmuş Bloon’lar patlarken jilet gibi keskin parçalar fırlar.
Arctic Wind Description,Delmeyi büyük oranda artırır ve Bloon’ları yavaşlatıp yakındaki suyu donduran bir süper soğuk aura kazanır.
Cryo Cannon Description,Daha uzun menzile sahip küçük buz bombalarını seri şekilde fırlatır.
Embrittlement Description,"MOAB Sınıfı Bloon’ları vurabilir. Vurulan tüm Bloon’lar kırılganlaşır, donukken ekstra hasar alırlar ve Kamuflajlı özelliklerini kaybederler."
Snowstorm Description,"Kar Fırtınası Yeteneği: Ekrandaki tüm normal Bloon’ları, Beyaz, Zebra ve Kamuflajlıları dondurur ve MOAB Sınıfı Bloon’ları yavaşlatır."
Icicles Description,Donmuş Bloon’lar onlara dokunan Bloon’ları patlatabilen keskin sarkıtlar oluşturur.
Super Brittle Description,MOAB Sınıfı Bloon’lar dahil donmuş Bloon’lar ağır hasar alır.
Absolute Zero Description,"Yetenek öylesine soğuktur ki, Beyaz, Zebra ve Kamuflajlı dahil tüm normal Bloon’ları daha uzun süre için dondurur, MOAB Sınıfını daha uzun süre yavaşlatır ve bu süre boyunca tüm Buz Maymunlarının saldırı hızını büyük oranda artırır."
Icicle Impale Description,MOAB Sınıfı Bloon’lara ağır hasar veren ve onları donduran büyük sarkıt çiviler fırlatır.
,
Glue Soak Description,"Yapışkan, Bloon'un tüm katmanlarına yayılır."
Bigger Globs Description,Her atışta 2 Bloon kaplayabilir.
Stickier Glue Description,Yapışkan etkisinin çok daha uzun sürmesini sağlar.
Corrosive Glue Description,"Yapışkanlı Bloon’ların birkaç saniyede bir, bir katmanı patlar."
Glue Splatter Description,Atış başına 6 Bloon’a kadar yapışkan sıçratır.
Stronger Glue Description,Bloon’ları çok daha fazla yavaşlatır.
Bloon Dissolver Description,Atış başına ek bir Bloon yapıştırabilir ve solventler her saniye iki katmanı eritir.
Glue Hose Description,Yapışkanı 3 kat hızlı fırlatır!
MOAB Glue Description,Gelişmiş yapışkan formül MOAB Sınıfı Bloon’lara yapışmasını sağlar.
Bloon Liquefier Description,Saniyede 10 patlatma sağlayan sıvılaştırıcı bileşikler uygular.
Glue Strike Description,"Yapışkanlı Vuruş Yeteneği: Ekrandaki tüm Bloon’lara yapışır, bu da Bloon’ların tüm kaynaklardan daha fazla hasar almalarına neden olur ve bu bir süre devam eder."
Relentless Glue Description,Yapışkanlanan patlak Bloon’lar parkurda bir yapışkan topağı bırakır.
The Bloon Solver Description,Bloon’lar sorun mu yaratıyor? İşte çözüm.
Glue Storm Description,Yapışkan Fırtınası yeteneği 15 saniye boyunca ekrana yapışkan yağdırır. Yapışkanlı Bloon’lar yapışkanlıyken ekstra hasar alır.
Super Glue Description,"Yapışkan öyle güçlüdür ki, etkilenen tüm Bloon’ları geçici olarak hareketsizleştirir!"
,
Full Metal Jacket Description,Atışlar Bloon’ların 4 katmanını patlatabilir mermiler ve şarapnel Kurşun ve Donmuş Bloon’ları patlatabilir.
Night Vision Goggles Description,Nişancının Kamuflajlı bloon’ları tespit edip ek 2 hasar uygulamasını sağlar.
Fast Firing Description,Normalden daha hızlı fırlatır.
Large Calibre Description,Atışlar Bloon’ların 7 katmanını patlatabilir.
Shrapnel Shot Description,Yok edilen Bloon’lar her yöne keskin şarapnel püskürtür.
Even Faster Firing Description,Çok daha hızlı fırlatır!
Deadly Precision Description,"Atış başına 20 hasar, artı seramiklere bonus hasar. Seramiği yok etmeye yeterlidir."
Bouncing Bullet Description,3 sefere kadar yeni hedeflere sekerek fırlatır.
Semi-Automatic Description,3 kat hızlı saldırır!
Maim MOAB Description,Çok daha fazla hasar verir ve kısa süre için MOAB Sınıfı Bloon’ları hareketsizleştirir.
Supply Drop Description,İkmal Malzemesi Düşürme Yeteneği: nakitle dolu bir sandık düşürür. Normal saldırı Kurşun Bloon’lara da hasar verir ve Şarapnelle patlatma gücünü artırır.
Full Auto Rifle Description,İnanılmaz patlatma gücüne sahip tam otomatik silah.
Cripple MOAB Description,Felç olan MOAB’lar daha uzun süre hareketsizleşir ve diğer tüm saldırılardan ekstra hasar alır.
Elite Sniper Description,İkmal malzemesi düşürme çok daha fazla nakit kazandırır. Tüm keskin nişancılara Elit hedefleme önceliği ve daha hızlı yükleme sağlar.
Elite Defender Description,Süper hızlı atış yapar ve hatta Bloon’lar parkurdan ne kadar uzaktaysa o kadar hızlanır. Can kaybından sonra 4 kat saldırı hızı kazanır. MOAB Sınıfı Bloon’lara daha fazla hasar verir.
,
Longer Range Description,Saldırı menzili artar.
Barbed Darts Description,Denizaltının okları ek olarak 3 Bloon patlatabilir.
Twin Guns Description,Eklenen ikiz silah. Balistik Füze ve Bloontoniyum Reaktörü’nü iyileştirir.
Advanced Intel Description,Diğer atıcılarının yarıçapı içindeki Bloon’ların uzun menzilli hedeflenmesini sağlar.
Heat-tipped Darts Description,"Kızgın uçlu oklar, Maymun Denizaltının, Donmuş ve Kurşun Bloon’ları patlatmasını sağlar."
Airburst Darts Description,Havada patlayan oklar büyük oranda arttırılmış patlatma gücü için 3 parçaya ayrılır. Bloontoniyum Reaktörü’nü daha fazla iyileştirir.
Submerge and Support Description,Yarıçapı içindeki Kamuflajlı Bloon’ları kalıcı olarak görünür hale getiren Suya Batık hedefleme seçeneği ekler ancak batıkken saldırıda bulunmaz.
Ballistic Missile Description,Füze menzil içinde hedefi bulabilir ekstra MOAB ve Seramik hasarı verir.
Triple Guns Description,Çok daha hızlı ateşleme için üçüncü bir silah ekler.
Bloontonium Reactor Description,"Kamuflajlıyı tespit etmek için suya batar, Bloon’ları patlatır ve suda konuşlanan yakındaki Maymunların gecikme süresi yeteneğini %15 azaltır."
First Strike Capability Description,İlk Vuruş Yeteneği: Ekrandaki en büyük Bloon’a yok edici bir füze saldırısı ve sıçratma hasarı.
Armor Piercing Darts Description,Özel AP okları yüksek hasar patlatma gücü kazanır ayrıca MOAB sınıfı Bloon’lara ek hasar verir.
Energizer Description,Yetenek gecikme süreleri her yerde %20 azalır. Yarıçaptayken Kahramanlar %50 daha hızlı XP kazanır ve su Maymunları yetenek gecikme süreleri yarıya düşer.
Pre-emptive Strike Description,Bloon girişinden MOAB Sınıfı Bloon canlandığında otomatik olarak güçlü bir füze saldırısı etkisi tetiklenir.
Sub Commander Description,Komutan ve yarıçapındaki tüm Denizaltılara ekstra delme ve hasar kazandırır.
,
Buccaneer-Faster Shooting Description,Güvertedeki tüm silahlar daha hızlı vurur.
Buccaneer-Grape Shot Description,Gemiye 5 keskinleştirilmiş üzüm ekler.
Buccaneer-Long Range Description,Çok daha uzun menzile sahiptir ve fırlatıcılar daha hızlı uçar.
Buccaneer-Double Shot Description,Ateşlenen gemi silahlarını artırır.
Buccaneer-Hot Shot Description,Yanan sıcak üzüm atışı Kurşun Bloon’ları patlatabilir ve Bloon’ları ateşe verir.
Buccaneer-Crow's Nest Description,Geminin Kamuflajlı Bloon’ları vurmasını sağlar.
Buccaneer-Destroyer Description,Muhteşem bir hızla saldırır!
Buccaneer-Cannon Ship Description,Güçlü bombalar atan kuvvetli bir top ekler.
Buccaneer-Merchantman Description,Her turda otomatik olarak nakit oluşturur.
Buccaneer-Aircraft Carrier Description,Hedeflerini bombalayan avcı uçağı dalgaları gönderir ve MOAB sınıfı Bloon’lara füzeler fırlatır.
Buccaneer-Monkey Pirates Description,Gemiye 2 top ekler ve saldırılar daha fazla hasar yaratır. MOAB Parçalama Yeteneği: Bir MOAB sınıfı bloon’u yakalar ve alt eder.
Buccaneer-Favored Trades Description,Daha hızlı saldırır ve tur başına bir sürü para oluşturur.
Buccaneer-Carrier Flagship Description,Ekstra hasar verir. Diğer Maymunları geminin üst güvertesine yerleştirebilir ve suda konuşlanan tüm Maymunların ve Pilot Maymunların saldırı hızını artırır.
Buccaneer-Pirate Lord Description,"Son derece yüksek saldırı hızına sahiptir ve tek seferde 3 yakalayıcı kanca fırlatabilir, indirilen her bir MOAB Sınıfı Bloon’dan ekstra nakit yağar."
Buccaneer-Trade Empire Description,Tur başına daha fazla nakit oluşturur. Tüccar sayısına göre diğer tüm Tüccarlarla kazanılan nakit miktarını 20’ye kadar artırır ve tüm Tüccar hasarını artırır.
,
Rapid Fire Description,Normalden daha hızlı fırlatır.
Exploding Pineapple Description,"Yarıçaptaki Maymunlar yüksek satış değerine sahiptir. Yere, birkaç saniye sonra şiddetli bir şekilde patlayan ananaslar düşürür. Pilotun patlayıcı saldırıları geliştirildi."
Sharper Darts Description,Oklar tek seferde 8 Bloon patlatabilir.
Lots More Darts Description,Tek seferde 12 ok fırlatır.
Spy Plane Description,Pilot Maymunun Kamuflajlı Bloon’ları vurmasını sağlar ve onlara daha fazla hasar verir.
Centered Path Description,Maksimum harita kapsamı için yeni ortalanmış uçuş yolu.
Fighter Plane Description,Hızlı uçar ve MOAB savar füzeler fırlatır.
Bomber Ace Description,Bloon parkurundan geçerken bir dizi bomba atar.
Neva-Miss Targeting Description,Oklar Bloon’ları otomatik olarak bulup patlatır.
Operation: Dart Storm Description,Her atışta 16 ok fırlatır ve iki kat hızlıdır.
Ground Zero Description,Bomba hasarı önemli ölçüde artar. Sıfır Noktası yeteneği: Ekrandaki çoğu şeyi yok eden büyük bir bomba atar.
Spectre Description,Seri şekilde oklar ve bombalar atarak birçok Bloon türünü kolayca bastırır.
Sky Shredder Description,Bloon’lar geldiklerine pişman olurlar.
Tsar Bomba Description,Çok ama çok büyük bir bomba. Biri bu çılgınlığa dur desin!
Flying Fortress Description,Bu BÜYÜK bir uçak.
,
Quad Darts Description,Her atışta 2 yerine 4 ok fırlatır.
Bigger Jets Description,Güçlü jetler Helikopterin daha hızlı hareket etmesini sağlar.
Faster Firing Description,Tüm Helikopter saldırıları için son derece yüksek saldırı hızı.
Pursuit Description,Yeni hedefleme seçeneği Helikopterin Bloon’ları otomatik olarak arayıp takip etmesini sağlar.
IFR Description,Helikopter Pilotu’nun Kamuflajlı Bloon’ları fark edip vurmasını sağlar.
Faster Darts Description,Oklar havadan çok daha hızlı fırlatılır.
Razor Rotors Description,"Jilet Pervane bıçaklar, Kurşun ve Donmuş Bloon’lar dahil, temas ettikleri Bloon’ları parçalar."
Downdraft Description,"Bloon’ları Helikopterden uzağa, girişe geri uçurur."
MOAB Shove Description,MOAB Sınıfı Bloon’lara çarpıp iterek hareketlerini tersine çevirir veya yavaşlatır. Daha Büyük Jetler ve IFR yükseltmeleri ile İtme artırılır.
Apache Dartship Description,Büyük füze dizisi ve güçlü makineli tüfekler ekler.
Support Chinook Description,Yetenekler: Can ve nakit sandıkları düşürür veya birçok Maymun türünü toplayıp yeniden görevlendirebilir.
Comanche Defense Description,En çok ihtiyaç duyulduğunda otomatik olarak 3 Komançi daha çağırır.
Apache Prime Description,Apaçi Öncü Birliği birçok Bloon’u şiştiğine pişman eder.
Special Poperations Description,Makine tüfeğe sahip güçlü ve özel bir Maymun Deniz Kuvvetini görevlendirir.
Comanche Commander Description,Yükseltilmiş silahlar. Ayrıca otomatik olarak 3 Komançi daha çağırır. Kalıcı olarak.
,
Bigger Blast Description,Daha büyük mermiler daha büyük bir patlama yarıçapı oluşturur.
Mortar Faster Reload Description,Havanın saldırı hızını artırır.
Increased Accuracy Description,Atışların daha isabetli olmasını sağlar.
Bloon Buster Description,Tek seferde Bloon’ların 2 katmanını parçalar!
Mortar Rapid Reload Description,Çok daha hızlı yükleme.
Burny Stuff Description,Hasarlı Bloon’lar her vuruşla bir an için ateşe verilir.
Shockwave Description,"Patlama şok dalgası, Bloon’ları etki noktasında sersemletir, bloon’ları daha geniş bir alanda patlatır ve Yanıcı Madde hasarını artırır."
Heavy Shells Description,"Ağır mermiler Seramik, Kurşun, tüm Güçlendirilmiş ve sersemletilmiş Bloon’lara ekstra hasar verir. Siyah Bloon’ları da patlatabilir."
Signal Flare Description,Alevlerin patlattığı Kamuflajlı Bloon’lar kamuflajlarını kalıcı olarak kaybeder.
The Big One Description,Yıkıcı patlamaların her biri Bloon’ların 7 katmanını patlatır ve Yanıcı Madde hasarını daha da artırır.
Artillery Battery Description,"Bombardıman Yeteneği: Biraz daha geniş bir alanda seri atış saldırısı gönderir. Ana saldırı, BAD’lere ve Patron Bloon’lara daha fazla hasar verir ve inanılmaz hızlı saldırılar için 3 namluya yükselir."
Shattering Shells Description,"Ezici mermiler, en büyük bloon’lar hariç özel bloon özelliklerini çıkarır ve ekstra hasar için MOAB Sınıfı Bloon’ları yakar."
The Biggest One Description,Geniş bir alanda Bloon’ları ve katmanlarını derinlemesine patlatır ve güçlü Yanıcı Madde hasarı verir.
Pop and Awe Description,"Korkut Patlat yeteneği: Tüm ekrana patlamalar yağdırır, birkaç saniyeliğine tüm Bloon’lara hasar verir ve hareketsizleştirir. Topçu Bataryaları BAD’lere ve Patron Bloon’lara daha fazla hasar verir. Ana saldırı sersemletilmiş Bloon’lara karşı ek bonus hasarı kazandırır."
Blooncineration Description,"Süper sıcak yakıcı malzeme, her atışta Bloon’un 5 katmanını eritir ve toplu hasarla MOAB Sınıfı Bloon’ları kül eder."
,
Focused Firing Description,Ok Silahının isabetini artırır.
Advanced Targeting Description,Ok Nişancısının Kamuflajlı Bloon’ları vurmasını sağlar.
Powerful Darts Description,"Oklar daha hızlı hareket eder, donmuş bloon’ları patlatabilir ve her biri 3 Bloon patlatabilir."
Faster Swivel Description,Namlu çok daha hızlı dönebilir.
Faster Barrel Spin Description,Silah ateşini çok daha hızlandırır.
Depleted Bloontonium Description,Atışlar herhangi bir Bloon türüne hasar verebilir.
Laser Shock Description,Lazer uçlu atışlar Bloon’ların vurulduktan 1 saniye sonra şoka sokularak vurulmasını sağlar.
Laser Cannon Description,Donmuş Bloon’ları patlatabilen çok daha güçlü lazer patlamalarını seri şekilde fırlatır.
Hydra Rocket Pods Description,Tüm Bloon türlerine hasar verebilen seyreltilmiş bloontonyum füzeleri fırlatır ve birden fazla patlama tetikler.
Buckshot Description,Oklar yerine ölümcül saçma dalgaları fırlatır.
Plasma Accelerator Description,Güçlü bir enerji ışınını tek bir noktaya odaklar.
Rocket Storm Description,Roket Fırtınası yeteneği: Geniş bir koni alana güçlü bir roket fırtınası fırlatır
Bloon Area Denial System Description,Otomatik olarak saldırmak üzere ayarlanabilen 4 namlulu otomatik top.
Ray of Doom Description,Kesintisiz bir imha oluşturur. Zamanın olduğunda çoğu Bloon’u kurutabilirsin.
M.A.D Description,MOAB Garantili Yok Edici. Daha yavaş ateşlemeli mega füzeler MOAB Sınıfı Bloon’lara aşırı derecede hasar verir.
Bloon Exclusion Zone Description,6 namluya yükseltildi ve son derece yüksek hasar verir. Bloon’ların varlığı silinir.
,
Guided Magic Description,"Büyülü atışlar, saklanıyor olsalar bile Bloon’ları arayıp bulur ve daha uzun sürer."
Fireball Description,Her birkaç saniyede bir patlayıcı ateş topu büyüsü yapar.
Intense Magic Description,Daha güçlü büyülü atışlar daha hızlı hareket eder ve daha fazla Bloon patlatabilir.
Arcane Blast Description,"Daha büyük, daha güçlü büyülü patlamalar Bloon’un 2 katmanını patlatır."
Wall of Fire Description,"Parkurda, geçerken Bloon’ları kızartacak süper sıcak bir ateş duvarı oluşturur."
Monkey Sense Description,Menzili biraz artırır ve Sihirbazın Kamuflajlı Bloon’ları vurmasını sağlar.
Arcane Mastery Description,"Yüksek menzil, hasar ve patlatma gücüne sahip daha hızlı saldırılar."
Dragon's Breath Description,"Yakındaki Bloon’lara sınırsız alev püskürtür, Ateş Topu ve Ateş Duvarı’nı daha fazla iyileştirir."
Shimmer Description,Yakındaki tüm Kamuflajlı bloon’ların yerini belirli aralıklarla ortaya çıkaran bir kara büyü saldırısı kazanır.
Arcane Spike Description,"Daha hızlı sihir atışı, birçok Bloon türüne büyük hasar verir."
Summon Phoenix Description,Anka Kuşunu Çağırma yeteneği: Güçlü anka kuşu 20 saniye boyunca Bloon’lara hasar verir.
Necromancer: Unpopped Army Description,Bloon’ları yok etmek için yakın zamanda patlatılan düşmanları yardımcı olarak canlandırır.
Archmage Description,Büyü ustalığında gerçek bir uzman. Daha hızlı saldırır ve MOAB Sınıfı Bloon’lara daha fazla hasar verir.
Wizard Lord Phoenix Description,Sihir Lordu alevin ustası olur ve kısa süreliğine süper güçlü bir Lav Anka Kuşuna dönüşür.
Soulbind Description,"Düşmanı yok etmek için çok daha güçlü Bloon yardımcılar canlandırır ve diğer tüm Büyücüleri geliştirir, o da hayatını kurtarabilir…"
,
Laser Blasts Description,Oklar yerine güçlü lazer patlamaları fırlatır.
Super Range Description,Süper Maymunların Süper Menzile ihtiyacı vardır.
Knockback Description,Her vuruştan sonra Bloon’lar geriye doğru itilir veya yavaşlatılır.
Plasma Blasts Description,Plazma temas ettiği her şeyi buharlaştırır.
Epic Range Description,EPİK’e sahip olmak varken neden süperle yetinesin ki?
Ultravision Description,Süper Maymunun biraz daha uzağa atış yapmasını ve Kamuflajlı Bloon’ları görüp onlara daha fazla hasar vermesini sağlar.
Sun Avatar Description,Gücü Güneşin çekirdeğinden gönderir.
Robo Monkey Description,Yarı Süper Maymun yarı ölümcül katil robot. Tek seferde 2 silahtan ateş eder ve kritik vuruş yapabilir!
Dark Knight Description,Karanlık bıçaklar şaşırtma ve delmeyi artırır ve MOAB Sınıfı Bloon’lara ekstra hasar verir. Yakındaki bir yere geçmek için Karanlık Kayması yeteneği kazanır.
Sun Temple Description,Atıcı geliştirmeden ödün vererek Tapınağın saldırılarını değiştirir.
Tech Terror Description,İmha yeteneği: Birçok Bloon’u tamamen ve patlama yarıçapındakileri tamamen yok eder.
Dark Champion Description,Şampiyon karanlık bıçaklar tüm Bloon türlerini deler ve parçalar.
True Sun God Description,GERÇEK Güneş Tanrısı’nın MUHTEŞEM gücü karşısında titre!!
The Anti-Bloon Description,<Program Talimatı> <Bloon’ları Yok Et> <BAŞLAT>
Legend of the Night Description,Tüm ümitler tükenince ona döndük...
,
Ninja Discipline Description,Saldırı menzilini ve hızını artırır.
Distraction Description,Bazı Bloon’lar şaşırır ve geriye doğru hareket eder.
Seeking Shuriken Description,"Ninja Yıldızları, Bloon’ları otomatik olarak bulup patlatır."
Sharp Shurikens Description,Ninja Yıldızları tek seferde 4 Bloon patlatabilir.
Counter-Espionage Description,Ninja saldırıları hasar verdikleri Bloon’lardan kamuflajlı çıkarabilir.
Caltrops Description,Yakındaki parkura demir çivileri fırlatır.
Double Shot Description,Tek seferde 2 ninja yıldızı fırlatır.
Shinobi Tactics Description,Yakındaki Ninjaların saldırı hızını ve delme gücünü artırır. 20 kez yığın oluşturur.
Flash Bomb Description,Bazen birden fazla Bloon’u sersemleten bir flaş bomba fırlatır.
Bloonjitsu Description,Tek seferde 5 ninja yıldızı fırlatır!
Bloon Sabotage Description,Sabotaj yeteneği: 15 saniye sürer. Sabotaj sırasında tüm Bloon’lar yarı hızda hareket eder.  
Sticky Bomb Description,"MOAB Sınıfı Bloon’lara güçlü, isabetli yükler fırlatır."
Grandmaster Ninja Description,Atış başına inanılmaz hızlı 8 Ninja yıldızı fırlatır!
Grand Saboteur Description,Yetenek süresi daha uzundur ve MOAB Sınıfı Bloon’lar sabotaj sırasında daha düşük can sayısıyla canlanır. Tüm Shinobi'leri güçlendirir.
Master Bomber Description,Bir MOAB imha makinesi Maymun.
,
Larger Potions Description,Daha büyük iksirler daha büyük bir alana yayılır.
Stronger Acid Description,Asitli iksirler Bloon’ları daha hızlı çözer.
Acid Pool Description,Yakında hiç Bloon yoksa Simyacı yakındaki parkuru asitle ıslatabilir.
Acidic Mixture Dip Description,"Yakındaki Maymunlara bir yardımcı iksir fırlatarak Kurşun Bloon’ları patlatmalarını, Seramik ve MOAB sınıfı Bloon’lara ekstra hasar vermelerini sağlar. Birkaç saldırıdan sonra yok olur."
Perishing Potions Description,Saldırı iksirleri MOAB sınıfı Bloon’lara daha fazla hasar verir ve daha küçük Bloon’ların Güçlendirilmiş özelliklerini kaldırır. Ayrıca İçecekleri ve Etkileri kuvvetlendirir.
Alchemist Faster Throwing Description,İksirler fırlatır ve daha hızlı saldırır.
Berserker Brew Description,"Yakındaki Maymunlara, ekstra hasar, menzil ve saldırı hızı kazandıran bir özel içecek atar."
Unstable Concoction Description,MOAB Sınıfı Bloon’ları patlayıcı bir maddeyle kaplar ve bu madde Bloon’lar patlatılırken büyük bir patlama oluşturur.
Lead to Gold Description,Kurşun Bloon’ları ALTINA dönüştürür! Özel solventler Kurşun Bloon’lara ekstra hasar vererek onları tek vuruşta yok eder ve nakit oluşturur.
Stronger Stimulant Description,Hedef üzerinde çok daha güçlü bir etkiye sahip ekstra kuvvetli öfke içeceği. Çok daha uzun sürer.
Transforming Tonic Description,Dönüşüm yeteneği: Simyacıyı 20 saniye boyunca güçlü saldırı Canavarına dönüştürür.
Rubber to Gold Description,"Tüm Bloon’ları kısmen altına dönüştürür, etkilenen Bloon’lardan patlatma başına daha fazla nakit kazanılır."
Permanent Brew Description,Öfke içeceği onu içen Maymunlar üzerinde KALICI olur.
Total Transformation Description,Yakındaki beş Maymunu 20 saniye boyunca çılgın saldırı canavarına dönüştürür.
Bloon Master Alchemist Description,"Gizli küçültme iksiri, etkilenen tüm Bloon’ları Kırmızı Bloon’lara dönüştürür."
,
Hard Thorns Description,Sert dikenlerin her biri 2 Bloon patlatabilir ve herhangi bir Bloon türünü de patlatabilir.
Thorn Swarm Description,Atış başına 5 yerine 8 diken fırlatır.
Druidic Reach Description,Menzili büyük oranda artırır.
Heart of Thunder Description,Düzenli olarak Bloon’dan Bloon’a kavis çizen çatallı yıldırım patlamaları yayar.
Heart of Oak Description,"Saldırılar, Yeniden Şişen Bloon'ları normal Bloon’lara dönüştürür."
Heart of Vengeance Description,Yükseltmeden sonra başlangıç değerinden itibaren %10 saldırı hızı ve kaybedilen her can için %1 saldırı hızı kazanır. %100’de maksimuma çıkar ve canlar geri yüklenirse azalır.
Druid of the Storm Description,Kuvvetli rüzgâr Bloon’ları çıkıştan uzağa parkurun dışına uçurur.
Druid of the Jungle Description,Bloon’ları teker teker engellemek ve çarpmak için yerden bir üzüm asması çağırır geride ölümcül bir diken yığını bırakır.
Druid of Wrath Description,Tur sırasında Medyum Bloon’lara saldırdığı sürece saldırı hızı artar.
Ball Lightning Description,Ek yıldırımlar fırlatan güçlü yıldırım topları oluşturur ve Bloon’ları dondurabilir.
Jungle's Bounty Description,Ormanın Hediyesi Yeteneği: Her kullanımda ve ayrıca Medyumun yanındaki her Muz Çiftliği için ekstra nakit sağlar. Bloon’ları yakalamak için iki üzüm asması çağırır ve diken yığınları ekstra delme gücüne sahiptir.
Poplust Description,Yarıçaptaki tüm Medyumlar için saldırı hızını ve delmeyi artırır. Herhangi bir tek Medyumda 5 kez istiflenebilir.
Superstorm Description,Süper Fırtına tüm Bloon türlerini ağır hasar vererek patlatır ve onları çıkışın uzağına uçurur.
Spirit of the Forest Description,Yol boyunca seramiklere kalıcı ve bonus hasar veren dikenli asma yaprakları büyütür. Ormanın Ruhuna en yakın asma yaprakları daha fazla hasar verir. Etkinleştirilmiş yetenek can ve daha fazla nakit sağlar.
Avatar of Wrath Description,Ne kadar fazla Bloon varsa o kadar fazla hasar verir!
,
Increased Production Description,Tur başına 2 ekstra Muz salkımı yetiştirir.
Long Life Bananas Description,Muzlar 15 yerine 30 saniye çürümeden durur.
EZ Collect Description,Muzların toplama yarıçapı daha büyüktür ve toplanmamış Muzlar yarı değerine otomatik olarak toplanır. Maymun Bankaları dolduklarında ve toplamaya hazır olduklarında parlarlar.
Greater Production Description,Tur başına 2 ekstra Muz salkımı DAHA yetiştirir.
Valuable Bananas Description,Muzlar salkım başına %25 daha fazla nakit getirir.  
Banana Salvage Description,Toplanmamış Muzlar neredeyse tam değerlerinde otomatik olarak toplanır ve Bankalar dolduklarında otomatik olarak toplanır. Çiftlik geri satış oranı %10 arttı
Banana Plantation Description,Tur başına 16 Muz salkımı yetiştirir.
Monkey Bank Description,Bu çiftlik tarafından oluşturulan tüm para artık bankada saklanır ve her turda %15 faiz kazanır.
Marketplace Description,Her turda para oluşturur ve toplamına ekler. Sorun yok.
Banana Research Facility Description,"Her turda, her biri 300 Dolar değerinde 5 büyük Muz sandığı üretir."
IMF loan Description,IMF Kredi Yeteneği: 9.000 Dolar verir ama bunu zamanla geri ödemen gerekir.
Central Market Description,Her turda yığınla para kazanır ve Tüccarlara +%10 gelir sağlar.
Banana Central Description,Muz mu istiyorsun? Bizde Muz var!
Monkey-Nomics Description,Batamayacak kadar büyük olduğunda...
Monkey Wall Street Description,Maymun Merkezi ticaretleri her turda muazzam bir gelir sağlar ve can oluşturur ve etki alanı  içinde gelir toplar.
,
Sentry Gun Description,Geçici gözcü silahlar oluşturur ve onları yakında konuşlandırır.
Larger Service Area Description,Daha uzağa fırlatır ve çok daha geniş bir alanda gözcüler görevlendirir. Gözcüler daha uzun menzile sahip olur.
Oversize Nails Description,"Yığınlama, çivilerin, donmuş bloon’lar dahil, tek seferde 8 Bloon patlatmasına olanak tanır. Ayrıca, Köpük ve Gözcü etkilerini artırır."
Faster Engineering Description,"Yüksek yeterlilik Mühendisin; gözcüler, köpük ve bloon tuzaklarını daha sık oluşturmasına olanak tanır."
Deconstruction Description,Çivi silahı ve Gözcü atışları MOAB Sınıfı ve Güçlendirilmiş Bloon’lara ekstra hasar verir.
Pin Description,Vurulduğunda kısa süreliğine Bloon’ları olduğu yerde sıkıştırır.
Sprockets Description,Gözcü silah ve Mühendis saldırı hızını artırır.
Cleansing Foam Description,Kamuflajı ve Yeniden Şişmeyi kaldıran bir köpük püskürtür ve Kurşun Bloon’ları patlatır.
Double Gun Description,Eğlenceyi iki katına çıkaran iki silah.
Sentry Expert Description,Gözcüler ihtiyacına göre farklı hasar türleriyle görevlidir.
Overclock Description,Hız Aşırtma Yeteneği: Kısa süre için saldırı hızını süper yüklü hale getirmek için başka bir atıcıyı hedef alır.
Bloon Trap Description,Bloon tuzağı tam dolana kadar Bloon’ları yakalar. Nakit için dolan tuzağı boşaltmak üzere seç.
Sentry Paragon Description,Süper güçlü ama son derece kararsız nöbetçiler oluşturur.
Ultraboost Description,Ultra Hız Aşırtan Maymunlar hız aşırtmaya her ulaştıklarında küçük ama kalıcı bir destek kazanır.
XXXL Trap Description,Büyük Bloon tuzakları en büyük Bloon’ları bile yakalayabilir…
,
Bigger Stacks Description,Atış başına daha büyük çivi yığınları oluşturur.
Faster Production Description,Üretim hızını çabucak artırır.
Long Reach Description,Çivi yığını düşürmeleri için menzili artırır ve yığınlar daha uzun sürer.
White Hot Spikes Description,Kurşun Bloon’ları ve Donmuş Bloon’ları keser.
Even Faster Production Description,Üretim hızını çok daha fazla artırır.
Smart Spikes Description,"Çivi Fabrikası, her turun başlangıcında özel hedefleme önceliği ve hızlandırılmış üretim kazanır."
Spiked Balls Description,Seramik ve Güçlendirilmiş Bloon’lara ekstra hasar veren çivili toplar üretir.
MOAB SHREDR Description,"Süper-Şiddetli-Parçalayıcı-Motor-Güdümlü-Jiletler, MOAB Sınıfı Bloon’ları parçalar."
Long Life Spikes Description,Çiviler çok daha uzun süre kalır ve bir tur boyunca sürebilir.
Spiked Mines Description,Çivili mayınlar tüm çivileri yok olduğunda şiddetli bir şekilde patlar.
Spike Storm Description,Çivi Fırtınası yeteneği: Tüm parkura kalın bir çivi katmanı fırlatır.
Deadly Spikes Description,"Ekstra ölümcül çiviler, çivi başına 2 katman patlatabilir ve bir tur daha sürer."
