//Input. Needs to be first e.g [I] replaced by click or tap,
Click,點擊
Fighter Plane Description,快速飛行並啟動反MOAB飛彈。
Bomber Ace Description,穿過氣球路徑時丟一行炸彈。
Neva-Miss Targeting Description,飛鏢自動追蹤並自行擊破氣球。
Operation: Dart Storm Description,每梭子射出16支飛鏢，且速度翻倍。
Ground Zero Description,炸彈造成的傷害大幅增加。寸草不生技能：丟下一顆巨型炸彈，可炸掉屏幕上大部分氣球。
Spectre Description,調整射出飛鏢和炸彈，輕鬆控制大多數氣球類型。
Sky Shredder Description,氣球們會後悔來這。
Tsar Bomba Description,非常非常大的炸彈。快來人，這太瘋狂，受不了了！
Flying Fortress Description,這是架大飛機。
,
Quad Darts Description,一梭子射出4支飛鏢，而不是2支。
Bigger Jets Description,強大的噴氣式可使直升機速度加快很多。
Faster Firing Description,加快所有直升飛機的攻擊速度。
Pursuit Description,新的瞄準選項，可使直升機自動追蹤並追擊氣球。
IFR Description,允許直升機飛行員發現並打擊偽裝氣球。
Faster Darts Description,飛鏢在空中推進得更快。
Razor Rotors Description,剃刀轉子刀刃撕裂接觸到的氣球包括鉛和被凍結的氣球。
Downdraft Description,將氣球從直升機跟前向入口方向吹走。
MOAB Shove Description,可撞擊MOAB級氣球，阻礙或減緩它們的移動。大型噴射機和IFR升級可增強撞擊效果。
Apache Dartship Description,增加一個大型飛彈陣列和一支強大機槍。
Support Chinook Description,技能：空投生命和現金寶箱，或者可以挑選和重新部署大多數類型的猴子。
Comanche Defense Description,在最需要時自動呼叫另外3個科曼奇。
Apache Prime Description,阿帕奇主戰機讓大多數氣球都希望自己從來沒吹起來過。
Special Poperations Description,部署一隻拿著機槍的特種海軍猴子。
Comanche Commander Description,升級的武器。同時自動再呼叫3個科曼奇。永久有效。
,
Bigger Blast Description,較大的砲彈可炸出較大的半徑。
Mortar Faster Reload Description,提高迫擊砲的攻擊速度。
Increased Accuracy Description,使射擊更準確。
Bloon Buster Description,一下擊碎2層氣球！
Mortar Rapid Reload Description,還要更快的裝彈
Burny Stuff Description,每次命中可使受到傷害的氣球暫時起火。
Shockwave Description,爆炸衝擊波可將接觸到的氣球擊暈，擊破很大範圍內的氣球，並使燃燒造成的傷害增加。
Heavy Shells Description,重型砲彈可對陶瓷氣球，鉛氣球和所有強化氣球造成額外傷害，還可擊破黑氣球。
Signal Flare Description,被信號彈擊破的偽裝氣球永久失去偽裝。
The Big One Description,毀滅性爆炸可擊破7層氣球，並使燃燒造成的傷害進一步增加
Artillery Battery Description,火砲台升級為3個砲管，以超乎想像的速度攻擊。
Shattering Shells Description,粉碎砲彈將去除氣球的所有特性，但是最大的氣球除外。
The Biggest One Description,爆炸衝擊可擊破大片範圍內的氣球及氣球層，並造大量燃燒傷害。
Pop and Awe Description,爆炸並畏怯技能：爆炸如雨點覆蓋整個螢幕，擊破並困住所有氣球，持續幾秒。
Blooncineration Description,每次射擊超熱刺釘可以熔化5層氣球，點燃MOAB級氣球造成往外傷害，消除DDT偽裝。
,
Focused Firing Description,提高了飛鏢槍的精度。
Advanced Targeting Description,使飛鏢槍手能夠命中偽裝氣球。
Powerful Darts Description,飛鏢移動速度更快，可擊破凍結的地球，每隻飛鏢可擊破3個氣球。
Faster Swivel Description,槍管旋轉得更快。
Faster Barrel Spin Description,使槍射擊更快。
Depleted Bloontonium Description,射擊會損壞任何氣球類型。
Laser Shock Description,鐳射可在擊中氣球1秒後再次衝擊，將它們擊破。
Laser Cannon Description,快速射出威力巨大的鐳射炸彈，可擊破冰凍氣球。
Hydra Rocket Pods Description,射出枯竭的氣球飛彈，可對所有類型氣球造成傷害，並觸發多次爆炸。
Buckshot Description,射出一波波致命鉛彈而不是飛鏢。
Plasma Accelerator Description,將一個強大的能量束集中到一點上。
Rocket Storm Description,火箭風暴技能：在錐形範圍內發射強大的火箭風暴。
Bloon Area Denial System Description,可将4管自動大炮設置為自動攻擊。
Ray of Doom Description,創造一條完整氣球湮滅線。這樣，你可以在閑暇時清除大部分氣球。
M.A.D Description,MOAB氣球篤定毀滅者。慢速射出超級飛彈，可對MOAB級氣球造成巨大傷害。
Bloon Exclusion Zone Description,大幅增加傷害並升級到6管大炮。氣球將被全部消滅。
,
Guided Magic Description,魔法射擊持續時間更長，氣球即使躲在掩體之後也會被追蹤到。
Fireball Description,每幾秒施出爆炸火球法術。
Intense Magic Description,更多強大的魔法，射擊速度更快，並可擊破更多氣球。
Arcane Blast Description,更大更強的魔法，爆炸可擊破2層氣球。
Wall of Fire Description,在路徑上創建一個超熱火牆，能燒掉路過的氣球。
Monkey Sense Description,允許法師打擊偽裝氣球。
Arcane Mastery Description,攻擊速度加快，射程、傷害和擊破力得到增強。
Dragon's Breath Description,向附近的氣球噴出無盡火焰，並增強化火球和火牆。
Shimmer Description,獲得黑魔法攻擊，可周期性地顯示附近所有偽裝氣球的位置。
Arcane Spike Description,魔法攻擊速度加快，對大多數類型氣球造成海量傷害。
Summon Phoenix Description,召喚不死鳥技能：強大的不死鳥造成氣球在浩劫，持續20秒。
Necromancer: Unpopped Army Description,復活最近被擊破的氣球，使它們成為僕人，幫助破壞氣球。
Archmage Description,真正的魔法大師。
Wizard Lord Phoenix Description,大法師成為火焰大師，短時間內變成一隻超級強大的熔岩不死鳥。
Soulbind Description,復活更強大的氣球僕人摧毀敵人，提升其他所有死靈法師的能力。
,
Laser Blasts Description,射出一波波強大的鐳射彈而不是飛鏢。
Super Range Description,超猴需要超級射程。
Knockback Description,每次打擊，氣球都被向後推，且速度減慢。
Plasma Blasts Description,電漿可將幾乎所有觸及到的東西汽化。
Epic Range Description,如果你能用上史詩級，還要什麼超級？
Ultravision Description,使超猴的射程稍遠，並可看見偽裝氣球。
Sun Avatar Description,可利用日核的能量。
Robo Monkey Description,半超猴，半殺手死亡機器人。同時使用2把槍射擊！
Dark Knight Description,暗刃可增加擊退和穿透力，对MOAB級氣球造成額外傷害。獲得黑暗轉移技能，可轉移至附近的一個位置。
Sun Temple Description,塔犧牲增強，修改神廟攻擊。
Tech Terror Description,殲滅技能：在爆炸範圍內完全徹底地毀掉大部分氣球。
Dark Champion Description,冠軍黑刃，擅長刺破並摧毀所有氣球類型。
True Sun God Description,在真太陽神的超級力量面前顫抖吧！！
The Anti-Bloon Description,<程式指令> <消滅氣球> <發起進攻>
Legend of the Night Description,在我們徹底失去希望的時候，我們就會來到他身邊...
,
Ninja Discipline Description,增加攻擊範圍和攻擊速度。
Distraction Description,一些氣球會分心，並往後移動。
Seeking Shuriken Description,手裡劍可自動追蹤並自行擊破氣球。
Sharp Shurikens Description,手裡劍每把可以擊破4個氣球。
Counter-Espionage Description,忍者攻擊可消除命中氣球的偽裝。
Caltrops Description,向附近的路徑上投擲帶刺鐵蒺藜。
Double Shot Description,一次擲出2把手裡劍。
Shinobi Tactics Description,提高附近忍者的攻擊速度和穿透力。堆疊20次。
Flash Bomb Description,投擲閃光炸彈那擊暈多多氣球。
Bloonjitsu Description,一次擲出5把手裡劍！
Bloon Sabotage Description,陰謀破壞技能：持續15秒。在陰謀破壞期間，所有氣球都以一半的速度移動。 
Sticky Bomb Description,對MOAB級氣球投擲強大的定時炸彈。
Grandmaster Ninja Description,投擲速度非常快，每次射8把手裡劍！
Grand Saboteur Description,技能持續時間更長，陰謀破壞期間，MOAB級氣球生成時生命值降低。
Master Bomber Description,猴子MOAB爆破機。
,
Larger Potions Description,更多藥水在更大的區域潑灑。
Stronger Acid Description,酸性藥水溶解氣球更快。
Acid Pool Description,如果煉金術士附近沒有氣球在附近，則用酸來浸濕附近的路徑。
Acidic Mixture Dip Description,向附近的猴子扔出增益藥劑，使它們能擊破鉛氣球，並對陶瓷氣球和MOAB級氣球造成額外傷害，會在幾次攻擊後失效。
Perishing Potions Description,攻擊藥水對MOAB級氣球輸出更多傷害，去除小氣球的加強屬性。還可以強化釀造和興奮劑的效果。
Alchemist Faster Throwing Description,投擲藥水，攻擊速度加快。
Berserker Brew Description,特別釀造可給猴子增加額外攻擊力，攻擊範圍和攻擊速度。持續較長時間。
Unstable Concoction Description,將MOAB級氣球塗上爆炸物質，使它們在被擊破時造成巨大爆炸。
Lead to Gold Description,将鉛氣球轉換成金幣！特殊溶劑可對鉛氣球造成額外傷害，一擊就能摧毀它們，並生成現金。
Stronger Stimulant Description,超强釀造對目標還有更强大的效果。持續更長時間。
Transforming Tonic Description,變身技能：將煉金術士變成強大的攻擊型怪獸，持續20秒。
Rubber to Gold Description,將所有氣球的一部分變成金子，受影響的氣球每次擊破掉更多的錢。
Permanent Brew Description,喝了狂暴之釀的猴子，能力永久持續。
Total Transformation Description,將附近的五隻猴子變成攻擊狂獸，持續20秒。
Bloon Master Alchemist Description,秘密縮小藥水將所有受影響的氣球轉換為紅色氣球。
,
Hard Thorns Description,堅硬荊棘每支可擊破2個任意類型的氣球。
Thorn Swarm Description,一梭子射出8支荊棘，而不是5支。
Druidic Reach Description,大幅增加射程。
Heart of Thunder Description,施放常規的分叉閃電波，弧光從一個氣球彈到另一氣球。
Heart of Oak Description,攻擊可使重生氣球轉變成普通氣球。
Heart of Vengeance Description,完成此升級後，獲得10%的攻擊速度提升，並且每損失一條命攻擊速度再提升1%。最多可獲得100%的攻擊速度提升，效果會在生命值恢復後消失。
Druid of the Storm Description,一陣陣風從出口將氣球吹出路徑。
Druid of the Jungle Description,從地面召喚葡萄藤，同時可纏住並砸碎一個氣球，並留下一堆致命荊棘。
Druid of Wrath Description,本回合期間，只要督伊德正在擊破氣球，即增加攻擊速度。
Ball Lightning Description,生成强大的閃電球，不僅可射出額外閃電箭，還可凍結氣球。
Jungle's Bounty Description,叢林賞金技能：每次使用可生成現金，並且督伊德附近的每座香蕉農場都會生成額外現金。葡萄藤可同時纏住兩個氣球。
Poplust Description,本回合期間，只要德魯伊正在擊破氣球，即增加攻擊速度。
Superstorm Description,超級風暴造成所有種類的氣球巨大傷害，並將它們從出口處吹走。
Spirit of the Forest Description,在路徑上種植刺藤，造成持續傷害，對陶瓷氣球造成額外傷害，技能激活後可恢復生命和生成現金。
Avatar of Wrath Description,氣球越多，造成的傷害就越大！
,
Increased Production Description,每回合額外長出2串香蕉。
Long Life Bananas Description,香蕉30秒後腐爛，而不是15秒。
EZ Collect Description,香蕉的收集半徑更大。自動收集未收集的香蕉可獲得一半的現金。猴子銀行在儲存滿並且準備收集時會發光。
Greater Production Description,每回合再額外長出2串香蕉。
Valuable Bananas Description,每串香蕉現金價值多25%。 
Banana Salvage Description,自動收集未收集的香蕉可獲得幾乎全部現金，猴子銀行在儲存滿會自動收集。農場回售率提高10%。
Banana Plantation Description,每回合長出16串香蕉。
Monkey Bank Description,農場生產的所有金錢現在都存儲到銀行，每一回合賺取15%的利息。
Marketplace Description,每回合生成一筆錢並存入銀行。乾脆俐落。
Banana Research Facility Description,每回合生產5個大香蕉寶箱，每個價值$300。
IMF loan Description,"IMF貸款技能：給你$10,000，但你必須慢慢歸還。"
Central Market Description,每回合獲得一堆錢都給商船+10%的收入。
Banana Central Description,你想要香蕉？我們有香蕉！
Monkey-Nomics Description,當你大到不能失敗時..
Monkey Wall Street Description,猴子交易中心每回合可賺取巨額收入和恢復生命。
,
Sentry Gun Description,製造臨時崗哨槍並在附近部署。
Larger Service Area Description,射得更遠，並在還要更大的區域部署哨兵。
Oversize Nails Description,規模化不仅可使釘子一次擊破8個氣球，包括冰凍氣球，還可提高泡沫的效力。
Faster Engineering Description,效率的提高可頻繁地建造哨兵塔樓和更快速地噴射泡沫。
Deconstruction Description,釘槍和哨兵射擊對MOAB級氣球和強化氣球造成額外傷害。
Pin Description,撞擊氣球在短時間內被固定在位。
Sprockets Description,提升哨兵槍和工程師攻擊速度。
Cleansing Foam Description,噴霧泡沫，阻止偽裝和重生，並擊破鉛氣球。
Double Gun Description,兩支槍，雙倍樂趣。
Sentry Expert Description,根據你的需要，哨兵部署不同的傷害類型。
Overclock Description,超頻技能：使另一座塔的攻擊速度在短時間內大幅加快。
Bloon Trap Description,氣球陷阱捕獲氣球直到滿了為止。選擇清空裝滿了的陷阱，獲得現金。
Sentry Paragon Description,創造出能力超群但是極度不穩定的哨兵。
Ultraboost Description,超級超頻猴子每次超頻時都可以獲得一點永久提升。
XXXL Trap Description,大氣球陷阱可以捕獲部分最大的氣球……
,
Bigger Stacks Description,每次射擊創造出更大一堆針刺。
Faster Production Description,迅速提高生產率。
Long Reach Description,擴大路釘的掉落範圍，並延長路釘的存在時間。
White Hot Spikes Description,切進鉛氣球和被凍結的氣球。
Even Faster Production Description,還要更大地提高生產率。
Smart Spikes Description,針刺工廠每回合開始獲得特殊目標優先和加速生產。
Spiked Balls Description,生產刺球，對陶瓷和強化氣球造成額外傷害。
MOAB SHREDR Description,超硬引擎驅動的剃刀，可把MOAB級氣球絞成碎末。
Long Life Spikes Description,針刺持續時間更長，可堅持一回合。
Spiked Mines Description,帶刺地雷在失去所有針刺後劇烈爆炸。
Spike Storm Description,針刺風暴技能：在整條路徑上射出一層厚厚的針刺。
Deadly Spikes Description,額外的致命針刺每次可擊破2層氣球，並可額外存在1回合。
Super Mines Description,創造出巨大的帶刺爆炸地雷，可以消滅幾乎任何東西。
Carpet of Spikes Description,定期在所有路徑上擺放針刺。
Perma-Spike Description,高傷害針刺幾乎變得永久存在。
,
Military Efficiency Description,減少半徑內的軍事猴子的佔地面積。
Magic Sciences Description,半徑內的魔法猴子獲得額外的穿透力和攻擊速度。
Private Tuition Description,每回合為你的英雄生成更多的XP。
Wider Influence Description,給學院更大的影響力半徑。
Academic Network Description,此這個升級增加所有學院的學院半徑。
Heroic Presence Description,英雄在學院半徑範圍內增加15％射程。
M.A.S.H Description,猴子軍醫外科醫院根據所擊破的氣球提供額外性命。
Wizards Library Description,半徑內的法師、督伊德煉金術士在所有三條升級路徑中都可學到2階。
Heroic Academy Description,你的英雄的技能冷卻時間縮短了。
Military Barracks Description,半徑內軍事猴子獲得更長射程、更多擊破力，並且可以優惠的價格出售。
Magic Arcanum Description,學院畢業生技能：創造一個強大的猴子，其能力基於附近有什麼類型的魔法猴子。
Power Hero Development (PhD) Description,每回合為你的英雄生成大量的額外XP。
Military HQ Description,各處的軍事猴子都獲得巨大的射程、擊破力和傷害增益。
Nexus Crucible Description,技能創造出的學院畢業生是永久的！
Dynamic Duo Description,讓你獲得第二個英雄！
,
Bigger Radius Description,增加村莊的影響半徑。
Grow Blocker Description,村莊半徑內防止氣球重生。
Monkey Business Description,所有猴子售價降低 10%，升級猴村範圍內3階或以下的猴子。
Jungle Drums Description,提高半徑內所有猴子的攻擊速度。
Radar Scanner Description,允許半徑內的所有猴子攻擊偽裝氣球。
Monkey Commerce Description,此次升級可額外享受5%的折扣，可與最多2個其他村莊進行疊加。
Primary Training Description,半徑內的所有初級猴子都會獲得更多射程、穿透力和拋射速度。
Monkey Intelligence Bureau Description,該局提供特殊的氣球擊破知識，允許附近的猴子擊破所有類型的氣球。
Monkey Town Description,猴鎮半徑範圍內的所有猴子可憑粒子獲得額外現金。
Primary Mentoring Description,作用範圍內的所有初級猴子獲得1階免費升級，射程增加，技能冷卻時間縮短。
Call to Arms Description,集結號技能：使附近猴子的攻擊速度和擊破力在短時間內提升50%。
Monkey City Description,增加影響半徑，增加半徑內的現金生成，並且每回合免費獲得一個飛鏢猴。
Primary Expertise Description,增加超級弩炮攻擊，並且作用範圍內所有初級猴子的擊破力增加，技能冷卻時間進一步減少，免費獲得1級和2級免費升級。
Homeland Defense Description,所有猴子的技能攻速和擊破力提高100%，持續20秒。
Monkeyopolis Description,吸納所有附近的香蕉農場和它們的收入，為新猴子騰出空間。
,
//Ability Names,
Super Monkey Fan Club Ability,超猴粉絲團
Plasma Monkey Fan Club Ability,電漿猴粉絲團
Turbo Charge Ability,渦輪充能
Perma Charge Ability,永久充電
MOAB Assassin Ability,暗殺MOAB
MOAB Eliminator Ability,消除MOAB
Blade Maelstrom Ability,刀刃漩渦
Super Maelstrom Ability,超級漩渦
Snowstorm Ability,暴風雪
Absolute Zero Ability,絕對零度
Glue Strike Ability,粘膠打擊
Glue Storm Ability,粘膠風暴
Supply Drop Ability,搖錢樹
Elite Sniper Ability,精英搖錢樹
Elite Defender Ability,精英防禦者
First Strike Capability Ability,第一擊
Pre-emptive Strike Ability,先發製人
Monkey Pirates Ability,MOAB追擊
Pirate Lord Ability,海盜王
Ground Zero Ability,寸草不生
Tsar Bomba Ability,沙皇邦巴
Support Chinook Redeploy Ability,支援奇努克重新部署
Support Chinook Supplies Ability,支援奇供應
Special Poperations Ability,特別擊破
Pop and Awe Ability,爆炸中，請仰視
Rocket Storm Ability,火箭風暴
Mauler Storm Ability,重鎚風暴
Summon Phoenix Ability,召喚不死鳥
Wizard Lord Phoenix Ability,大法師不死鳥
Soulbind Ability,黑暗王子
Tech Terror Ability,殲滅
The Anti-Bloon Ability,反氣球者
Legend of the Night Ability,夜的傳說
Bloon Sabotage Ability,破壞
Grand Saboteur Ability,大破壞者
Transforming Tonic Ability,變形補劑
IMF loan Ability,IMF貸款
Monkey-Nomics Ability,猴子經濟學
Overclock Ability,超頻
Spike Storm Ability,針刺風暴
Carpet of Spikes Ability,針刺地毯
Magic Arcanum Ability,學院畢業生
Call to Arms Ability,集結號
Homeland Defense Ability,國土防禦
,
//Ability Descriptions,
Super Monkey Fan Club Ability Description,將附近最多10隻飛鏢猴子轉換為超猴，持續10秒。
Plasma Monkey Fan Club Ability Description,粉絲團的精英會員身份，可以給飛鏢猴子還要更大的力量！
Turbo Charge Ability Description,讓這隻猴子的攻擊速度極快，持續10秒。
Perma Charge Ability Description,使此猴子造成額外傷害，持續15秒。
MOAB Assassin Ability Description,特種導彈飛出，對MOAB級氣球造成巨大傷害。
MOAB Eliminator Ability Description,刺殺技能造成6x傷害，有短暫冷卻時間。
Blade Maelstrom Ability Description,刀刃風暴覆蓋整個區域。
Super Maelstrom Ability Description,更強大的漩渦技能，持續時間更長。
Snowstorm Ability Description,短時間內凍結螢幕上所有氣球。
Absolute Zero Ability Description,該技能非常強大，可以凍結所有類型的氣球，包括寒冷免疫氣球和MOAB級氣球。
Glue Strike Ability Description,短時間內凍結螢幕上所有氣球。
Glue Storm Ability Description,粘膠風暴技能可將整個螢幕都塗上粘膠，持續時間10秒。
Supply Drop Ability Description,掉一個裝滿現金的寶箱。
Elite Sniper Ability Description,搖錢樹掉多得多的現金。
Elite Defender Ability Description,失去一條性命，此狙擊手可獲得2x的攻擊速度，在短時間內進行報復時有效。
First Strike Capability Ability Description,對螢幕上最大的氣球發出致命的飛彈打擊。一次可幹掉最多艘ZOMG級氣球或很多較小的氣球。
Pre-emptive Strike Ability Description,每當MOAB級氣球從氣球入口進入時，額外自動觸發一枚反MOAB級氣球飛彈。
Monkey Pirates Ability Description,MOAB追擊技能：抓住一艘MOAB級的氣球並把它擊落。主攻擊額外增加兩門大砲。
Pirate Lord Ability Description,可以一次射出3個抓鉤，每用它們擊落一艘MOAB級氣球，都掉落額外的現金。
Ground Zero Ability Description,增加爆炸掉落的效果。寸草不生技能：丟下一顆巨型炸彈，可炸掉屏幕上大部分物體。
Tsar Bomba Ability Description,非常非常大的炸彈。快來人，這太瘋狂，受不了了！
Support Chinook Redeploy Ability Description,可選擇和部署大多數類型的猴子。
Support Chinook Supplies Ability Description,掉落生命和現金寶箱。
Special Poperations Ability Description,部署一隻拿著機槍的特種海軍猴子。
Pop and Awe Ability Description,爆炸如雨點覆蓋整個螢幕，擊破並困住所有氣球，持續幾秒。
Rocket Storm Ability Description,向各個方向發射強大的火箭風暴。
Mauler Storm Ability Description,每支飛彈都可對MOAB級氣球造成極大傷害。
Summon Phoenix Ability Description,強大的不死鳥造成氣球在浩劫，持續20秒。
Wizard Lord Phoenix Ability Description,大法師成為火焰大師，短時間內變成一隻超級強大的熔岩不死鳥。
Soulbind Ability Description,復活更多氣球僕人去消滅敵人。
Tech Terror Ability Description,在爆炸範圍內完全徹底地毀掉大部分氣球。
The Anti-Bloon Ability Description,<程式指令> <消滅氣球> <發起進攻>
Legend of the Night Ability Description,在我們徹底失去希望的時候，我們就會來到他身邊...
Bloon Sabotage Ability Description,持續15秒。在破壞期間，所有氣球移速減慢。
Grand Saboteur Ability Description,技能持續時間更長，陰謀破壞期間，MOAB級氣球生成時生命值降低。
Transforming Tonic Ability Description,督伊德的附近農場可以多賺50%的錢，短時間內有效。
IMF loan Ability Description,"給你$10,000，但你必須慢慢歸還。"
Monkey-Nomics Ability Description,當你大到不能失敗時..
Overclock Ability Description,目標猴子在短時間內超級充能。
Spike Storm Ability Description,在整條路徑上射出一層厚厚的針刺。
Carpet of Spikes Ability Description,每回合在整條路徑上放置一條針刺地毯。
Magic Arcanum Ability Description,創造一個強大的猴子，其技能基於附近的魔法猴子。
Call to Arms Ability Description,給予所有猴子雙倍攻擊速度和擊破力，持續10秒。
Homeland Defense Ability Description,技能影響所有猴子並持續15秒。
,
//Maps,
TownCentre,鎮中心
Tutorial,猴子草甸
TreeStump,樹樁
InTheLoop,循環中
BTD1,BTD1
Cubism,立體主義
FourCircles,四個圈子
Cracked,龜裂之地
Hedge,樹籬
Streambed,河床
MonkeysInSpace,太空猴子
Underground,地下
AnotherBrick,另一塊磚
#ouch,#哎喲
EndOfTheRoad,路的盡頭
Chutes,滑槽
Rake,耙子
OffTheCoast,遠離海岸
MuddyPuddles,泥濘水坑
ParkPath,公園路徑
Logs,原木
TestMap,測試圖
Cornfield,玉米地
SpiceIslands,香料群島
FiringRange,靶場
HighFinance,複雜財務
Downstream,下游
DarkCastle,黑暗城堡
FrozenOver,冰凍
Haunted,鬼屋
Quad,四方院
MoonLanding,登月點
AlpineRun,高山跑道
Peninsula,半島
,
//Tower Groups,
Primary,主戰
Military,軍事
Magic,魔法
Support,支援
Heroes,英雄
Powers,能量
,
//Misc,
Crit,暴擊
,
//Target Types,
TT_Close,近距
TT_First,第一個
TT_Last,最後一個
TT_Strong,強大
TT_Track,正常
TT_Circle,圈子
TT_CloseTrack,近距
TT_CustomPath,自訂路徑
TT_Elite,精英
TT_FarTrack,遠
TT_FigureInfinite,數字無限
TT_FigureEight,數字八
TT_FollowTouch,跟隨觸摸
TT_LockInPlace,鎖定到位
TT_NecromancerTarget,死靈法師目標
TT_OffsetTrack,偏移路徑
TT_PatrolPoints,巡邏點
TT_Pursuit,尋踪
TT_RandomPosition,隨機位置
TT_RandomTarget,隨機目標
TT_SmartTrack,聰明
TT_Submerge,淹沒
TT_CloseSharedRange,近距共享射程
TT_ExpensiveFriendlyTarget,昂貴的友軍目標
TT_FirstSharedRange,第一個共享射程
TT_FriendlyTarget,友好目標
TT_Grapplable,抓得住
TT_TargetIndependant,獨立目標
TT_TargetInFront,前面目標
TT_LastSharedRange,最後共享射程
TT_TargetMoab,目標MOAB
TT_TargetOpposite,目標相反
TT_TargetPointer,目標指針
TT_SetTarget,設定目標
TT_StrongSharedRange,強大的共享射程
TT_TargetTag,目標標籤
TT_TrackOrDefault,路徑或默認
TT_Centered,中心路徑
,
//Currency,
Cash,現金
XP,XP
Monkey Money,猴幣
Free,免費
,
Round,回合
Max Tier Reached,已達到最高階
Empty,空
Not Upgraded,未升級
Owned,擁有
Max Upgrades,最大升級
Deployed Message,{0}個已部署
,
//UI Misc,
OK,好
Cancel,取消
Start,開始
Return To Menu,選單
Freeplay,自由游戲
Continue,繼續
Done,完成
Try Again,再試一次
Continue?,繼續？
,
Rewards,獎勵：
Change Hero,更改英雄
Select a Hero,選擇一個英雄
Select a Map,選擇一個地圖
Selected,已選中
Select a Hero Subheading,你的英雄是一隻強大的猴子，帶領你的部隊參戰
Select Language,選擇語言
Unlock All,全部解鎖
Upgrade Ingame cost,遊戲內花費
Loading,載入中...
,
Defeat,失敗
Defeat Message,也許再試試開較低難度
Victory,勝利
Victory Message,你阻止了討厭的氣球
,
,
//ModeSelectScreen,
Select a Mode,選擇模式
Mode Standard,標準
Mode MilitaryOnly,僅限軍事
Mode Apopalypse,啟示錄
Mode Reverse,反向
Mode Sandbox,沙箱
Mode PrimaryOnly,僅初級
Mode Deflation,放氣
Mode Half Cash,一半現金
Mode DailyChallenge,每日挑戰
,
//GameTypeScreen,
Choose a Game,選擇遊戲
New Game,新建遊戲
Daily Challenge,每日挑戰
Co-op,組隊模式
Random,隨機
,
//HomeScreen,
HS Monkeys,猴子
HS Heroes,英雄
HS Play,開始遊戲
HS Powers,力量
HS Knowledge,知識
,
//In game screens,
Upgrades,升級
Sell,賣出
Get More,得到更多
,
// PauseMenu ,
Controls,控制
Drag & Drop,拖動並放置
Lock & Drop,放下和鎖定
Line of Sight,視線
Continuous Play,連續遊戲
Off,關閉
Store,商店
Home,首頁
Restart,重新開始
You ran out of lives on:,你的生命用完：
Game Over Round,第 {0} 回合
Victory Body,恭喜！你於第{0}回合完成了本路徑
,
// LinK,
Log out,登出
Clear Data,清除資料
Login,登入
Not logged into LiNK,未登入到LiNK
Logged into LiNK as,以{0}登入到LiNK
,
// Map Difficulty,
MD Beginner,初學
MD Intermediate,中級
MD Advanced,高級
MD Expert,專家
MD Extreme,極端
,
//Tower Specific Messages,
Patrol Message,[I]設定巡邏點
Sun Temple Title,神廟供品
Sun Temple Body,神廟需要供品。所有附近的塔樓都將被毀壞，以不同的方式增強神殿難以置信力量。已警告你了...
True Sun Temple Title,神廟供品
True Sun Temple Body,你是否想要召喚\n“真太陽神”!!？
Heli Pilot Redeploy Message,將塔拖放到重新部署
Heli Pilot Redeploy Message Banned,無法重新部署此塔
Select a tower to Soulbind,選擇一座塔給靈盲
Select Point,選擇點
Select a tower to link,選擇一座塔進行結合
Cannot link to this tower,無法與這座塔進行結合
Tower is already linked,已經成功結合塔
Tower must have an ability,塔必須擁有一項有效技能
Unlink,取消結合
,
//Upgrades Screen,
Unlock Message,解鎖花費：
XP To Spend,消耗{0}XP：
,
//Tower screen,
Unlock Hero,解鎖級別
Max Level Hero,已達最高級別！
,
//Hero Screen,
InGame Cost,遊戲內花費：$ {0}
,
//Knowledge Screen,
Knowledge Requirement,至少需要需要再投資到{1}{0}點
,
//Removables,
Removable Cost,刪除費用${0}
,
// Powers Select Screen,
Select a Power,選擇一種力量
Add For:,添加：
,
// Achievements screen,
Achievements,成就
Rewards:,獎勵：
,
//Debug Options,
Set Health,設定生命值
Set Health Description,輸入一個數值，以設定為新的生命值
Set Cash,設定現金
Set Cash Description,輸入一個數值設定為新的現金值
,
//Difficulty,
Easy,簡單
Medium,中等
Hard,困難
Impoppable,極難
Sandbox,沙箱
Easy Description,打開簡單模式，猴子的費用低於正常水平，氣球移動速度稍慢一點，同時你有200條生命。在簡單模式下打敗40回合，你即獲得該路徑的銅牌獎章。
Medium Description,打開中等模式，猴子成本正常，氣球移動正常，你有150條生命。在中等模式下打敗60回合，你即獲得該路徑的銀牌獎章。
Hard Description,困難模式中，猴子的成本比普通模式稍高，你會從第3回合開始，氣球的移動速度稍快，你有100條生命。在困難模式中完成80回合可獲得該路徑的黃金獎勵。
Impoppable Description,不可擊破模式中，猴子的成本比普通模式高很多，你會從第6回合開始，氣球的移動速度快很多，你有1條生命。在不可擊破模式中完成100回合可獲得該路徑的鉑金獎勵。
Sandbox Description,打開沙箱模式，猴子花費正常，氣球移動正常，你有無限生命和現金。
,
,
,
,
,
//Popup Screens,
Unlock All Title,解鎖所有升級
Unlock All Body,用{0}的XP解鎖所有升級。
Not Enough Cash Title,沒有足夠的現金
Not Enough Cash Body,擊破更多氣球獲取現金。
Not Enough XP Title,XP不足
Not Enough XP Body,你需要{0}XP。\n每完成一回合，防禦都可以獲得XP
Already Own Upgrade Title,已擁有升級
Already Own Upgrade Body,你已經擁有此項升級。
Locked Title,升級未解鎖
Locked Body,購買此升級之前，您必須購買之前的升級。
Quit Title,退出
Quit Body,你確定要退出教程嗎？
