//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Napsauta
Greater Production Description,Kasvattaa toiset 2 lisäbanaaniterttua kierrosta kohti.
Valuable Bananas Description,Banaanit ovat 25 % arvokkaampia terttua kohti.  
Banana Salvage Description,"Keräämättömät banaanit kerätään automaattisesti lähes täyteen hintaan, ja pankit kerätään automaattisesti niiden täyttyessä. Farmien takaisinmyyntihinta kasvaa 10 %."
Banana Plantation Description,Kasvattaa 16 banaaniterttua joka kierroksella.
Monkey Bank Description,"Kaikki tämän farmin tuottamat rahat talletetaan pankkiin, ja ne saavat 15 % korkoa kullakin kierroksella."
Marketplace Description,Tuottaa rahaa kullakin kierroksella ja lisää sen kokonaismäärääsi. Helppoa ja vaivatonta.
Banana Research Facility Description,"Tuottaa kullakin kierroksella 5 suurta banaanilaatikkoa, jotka ovat kukin arvoltaan 300 $."
IMF loan Description,"IMF-laina-kyky: saat 10 000 $, mutta sinun täytyy maksaa se takaisin ajan mittaan."
Central Market Description,Tuottaa roppakaupalla rahaa joka kierroksella ja antaa kauppiaille +10 % tulon.
Banana Central Description,Haluatko banaanin? Meillä on banaani!
Monkey-Nomics Description,Kun olet liian suuri epäonnistumaan...
Monkey Wall Street Description,Apinakauppojen keskiö tuottaa kolossaalisia tuloja ja lisää elämiä joka kierroksella.
,
Sentry Gun Description,Luo väliaikaisia vartiotykkejä ja asettaa ne lähelle.
Larger Service Area Description,Ampuu kauemmas ja asettaa vartiotykkejä suuremmalle alueelle. Vartiotykin kantama kasvaa.
Oversize Nails Description,"Massivointi mahdollistaa naulan poksauttavan 8 bloonia kerralla, mukaan lukien jäätyneet. Lisää myös vaahdon ja vartiotykin tehokkuutta."
Faster Engineering Description,"Insinöörit voivat tuottaa kasvaneen tehokkuuden ansiosta useammin vartiotorneja, vaahtoa ja bloon-ansoja."
Deconstruction Description,Naulapistooli ja vartiotykit tekevät lisävahinkoa MOAB-luokan ja vahvistetuille blooneille.
Pin Description,Kiinnittää bloonit paikalleen lyhyeksi ajaksi kun niihin isketään.
Sprockets Description,Lisää vartiotykkien ja insinöörin hyökkäysnopeutta.
Cleansing Foam Description,"Suihkuttaa vaahtoa, joka poistaa maastokuvioinnin ja regeneraation sekä poksauttaa lyijyblooneja."
Double Gun Description,Kaksi asetta tuplahupia varten.
Sentry Expert Description,Vartiotykit käyttävät erilaisia vahinkotyyppejä tarpeidesi mukaan.
Overclock Description,Ylikellotus-kyky: Valitse toinen torni ylikellottaaksesi sen hyökkäysnopeuden hetkeksi.
Bloon Trap Description,"Blooniansa kaappaa blooneja, kunnes se täyttyy. Valitse ansa tyhjentääksesi sen, jolloin saat käteistä."
Sentry Paragon Description,Luo supervoimakkaita mutta todella epävakaita vartiotykkejä.
Ultraboost Description,Superylikellotetut apinat saavat pienen mutta pysyvän tehostuksen aina kun ne ylikellotetaan.
XXXL Trap Description,Valtavat blooniansat voivat kaapata jopa suurimpia blooneja…
,
Bigger Stacks Description,Luo suurempia piikkipinoja laukausta kohti.
Faster Production Description,Kasvattaa tuotantovauhtia huomattavasti.
Long Reach Description,Kasvattaa piikkipinojen asetusaluetta ja pinot kestävät pidempään.
White Hot Spikes Description,Leikkaa lyijybloonien ja jäätyneiden bloonien läpi.
Even Faster Production Description,Parantaa tuotantonopeutta entisestään.
Smart Spikes Description,Piikkitehdas saa erityisen kohdeprioriteetin ja kiihdytetyn tuotannon kunkin kierroksen alussa.
Spiked Balls Description,"Tuottaa piikkipalloja, jotka tekevät enemmän vahinkoa keraamisille ja vahvistetuille blooneille."
MOAB SHREDR Description,Super-Ihmeellisesti Losauttavat Piikikkäät Repijät silppuavat MOAB-luokan blooneja.
Long Life Spikes Description,Piikit kestävät paljon pidempään ja voivat jatkaa kerran seuraavalle kierrokselle.
Spiked Mines Description,"Piikkimiinat räjähtävät voimallisesti, kun ne menettävät kaikki piikkinsä."
Spike Storm Description,Piikkimyrsky-kyky: ampuu paksun piikkimaton koko reitille.
Deadly Spikes Description,Erityisen kuolettavat piikit voivat poksauttaa 2 kerrosta piikkiä kohti ja kestävät toisen kierroksen.
Super Mines Description,"Luo giganttisia räjähtäviä piikkimiinoja, jotka voivat pyyhkiä pois melkein mitä vain."
Carpet of Spikes Description,Asettaa säännöllisesti piikkimaton koko reitille.
Perma-Spike Description,Tehokkaat piikit tulevat melkein pysyviksi.
,
Military Efficiency Description,Vähentää alueella olevien sotilasapinoiden pinta-alaa.
Magic Sciences Description,Alueella olevat maagiset apinat saavat lisää lävistystä ja hyökkäysnopeutta.
Private Tuition Description,Tuottaa sankarillesi lisää XP:tä kierrosta kohti.
Wider Influence Description,Antaa akatemialle laajamittaisemman vaikutusalueen.
Academic Network Description,Lisää kaikkien akatemioiden aluetta tällä päivityksellä.
Heroic Presence Description,Sankarit saavat 15 % suuremman kantaman ollessaan akatemian alueella.
M.A.S.H Description,Sotilaallinen Apinoiden Kirurginen Sairaala antaa bloonien poksautuksesta lisäelämiä.
Wizards Library Description,"Alueella olevat velhot, druidit ja alkemistit voivat oppia tason 2 kaikissa kolmessa päivityspolussa."
Heroic Academy Description,Sankarisi kykyjen palautumisaikoja on lyhennetty.
Military Barracks Description,"Alueella olevat sotilasapinat saavat pidemmän kantaman, enemmän poksautuksia ja ne voidaan myydä hyvällä hinnalla."
Magic Arcanum Description,"Akatemiasta valmistunut -kyky: luo voimakkaan apinan, jonka kyvyt perustuvat siihen, millaisia läheiset maagiset apinat ovat."
Power Hero Development (PhD) Description,Tuottaa sankarillesi paljon lisää XP:tä kierrosta kohti.
Military HQ Description,"Sotilasapinat kaikkialla saavat valtavasti kantamaa, poksautuksia ja vahinkoa."
Nexus Crucible Description,Akatemiasta valmistunut -kyvyn luomat apinat ovat pysyviä!
Dynamic Duo Description,Mahdollistaa sinun saavan toisen sankarin!
,
Bigger Radius Description,Lisää kylän vaikutuksen aluetta.
Grow Blocker Description,Estää bloonien regeneraatiota toimimasta kylän alueella.
Monkey Business Description,"Tarjoaa 10 % alennuksen kaikille apinoille ja enintään tason 3 päivityksille, jotka ostetaan kylän alueella."
Jungle Drums Description,Lisää kaikkien alueella olevien apinoiden hyökkäysnopeutta.
Radar Scanner Description,Mahdollistaa kaikkien alueella olevien apinoiden hyökkäävän maastokuvioisten bloonien kimppuun.
Monkey Commerce Description,"Ylimääräinen 5  %:n alennus, joka voidaan yhdistää jopa 2 muun samaa päivitystä käyttävän kylän kanssa."
Primary Training Description,"Kaikki alueella olevat perusapinat saavat lisää kantamaa, lävistystä ja ammusten nopeutta."
Monkey Intelligence Bureau Description,Virasto antaa erityistä tietämystä bloonien poksautuksesta ja mahdollistaa lähellä olevien apinoiden poksauttavan kaikkia bloonityyppejä.
Monkey Town Description,Kaikki Apinakylän kantamalla olevat apinat saavat jokaisesta bloonin poksautuksesta ylimääräistä käteistä.
Primary Mentoring Description,"Kaikki alueella olevat perusapinat saavat tason 1 päivitykset veloituksetta, suuremman kantaman ja lyhyemmät kykyjen palautumisajat."
Call to Arms Description,Aseisiinkutsu-kyky: Antaa läheisille apinoille +50 % hyökkäysnopeuteen ja poksautukseen hetkeksi.
Monkey City Description,"Lisää vaikutusaluetta, käteisen keräämisaluetta ja antaa ilmaisen Tikka-apinan joka kierros."
Primary Expertise Description,"Lisää megaballista-hyökkäyksen, ja lisäksi kaikki alueella olevat perusapinat saavat lisää poksautustehoa, kykyjen palautumisaika lyhenee entisestään ja tason 1 ja 2 päivitykset saa veloituksetta."
Homeland Defense Description,Kyky kasvattaa nyt hyökkäysnopeutta ja poksautusta 100 % kaikille apinoille 20 sekunniksi.
Monkeyopolis Description,Imee itseensä kaikki lähellä olevat banaanifarmit ja niiden tulot vapauttaen tilaa uusille apinoille.
,
//Ability Names,
Super Monkey Fan Club Ability,Superapinan faniklubi
Plasma Monkey Fan Club Ability,Plasma-apinan faniklubi
Turbo Charge Ability,Turbolataus
Perma Charge Ability,Ikilataus
MOAB Assassin Ability,MOAB-salamurhaaja
MOAB Eliminator Ability,MOAB-eliminaattori
Blade Maelstrom Ability,Terämyrsky
Super Maelstrom Ability,Supermyrsky
Snowstorm Ability,Lumimyrsky
Absolute Zero Ability,Absoluuttinen nollapiste
Glue Strike Ability,Liimaisku
Glue Storm Ability,Liimamyrsky
Supply Drop Ability,Tarvikepudotus
Elite Sniper Ability,Eliittitarvikepudotus
Elite Defender Ability,Eliittipuolustaja
First Strike Capability Ability,Ensi-isku
Pre-emptive Strike Ability,Ennalta ehkäisevä isku
Monkey Pirates Ability,MOABin alasveto
Pirate Lord Ability,Piraattiherra
Ground Zero Ability,Nollapiste
Tsar Bomba Ability,Tsar-Bomba
Support Chinook Redeploy Ability,Tuki-Chinookin siirtokyky
Support Chinook Supplies Ability,Tuki-Chinookin tarvikekyky
Special Poperations Ability,Erityispoksautukset
Pop and Awe Ability,Poksulamaannutus
Rocket Storm Ability,Rakettimyrsky
Mauler Storm Ability,Raatelijamyrsky
Summon Phoenix Ability,Feeniksin kutsu
Wizard Lord Phoenix Ability,Velhoherra Feenix
Soulbind Ability,Pimeyden prinssi
Tech Terror Ability,Tuho
The Anti-Bloon Ability,Anti-Bloon
Legend of the Night Ability,Yön legenda
Bloon Sabotage Ability,Sabotointi
Grand Saboteur Ability,Suuri sabotoija
Transforming Tonic Ability,Muuntava tonikki
IMF loan Ability,IMF-laina
Monkey-Nomics Ability,Apinatalous
Overclock Ability,Ylikellotus
Spike Storm Ability,Piikkimyrsky
Carpet of Spikes Ability,Piikkimatto
Magic Arcanum Ability,Akatemiasta valmistunut
Call to Arms Ability,Aseisiinkutsu
Homeland Defense Ability,Kotimaan puolustus
,
//Ability Descriptions,
Super Monkey Fan Club Ability Description,Muuntaa jopa 10 läheistä Tikka-apinaa Superapinaksi 10 sekunnin ajaksi.
Plasma Monkey Fan Club Ability Description,Tämän klubin eliittijäsenyys takaa Tikka-apinoille vieläkin enemmän tehoa!
Turbo Charge Ability Description,Saa tämän apinan hyökkäämään hämmästyttävän nopeasti 10 sekunnin ajaksi.
Perma Charge Ability Description,Saa tämän apinan tekemään lisävahinkoa 15 sekunnin ajan.
MOAB Assassin Ability Description,Erityinen ohjus lentää ja tekee valtavasti vahinkoa MOAB-luokan blooneille.
MOAB Eliminator Ability Description,Salamurhauskyky tekee kuusinkertaisesti vahinkoa lyhyellä palautumisajalla.
Blade Maelstrom Ability Description,Peittää alueen terämyrskyllä.
Super Maelstrom Ability Description,Vieläkin tehokkaampi ja pidempikestoinen myrskykyky.
Snowstorm Ability Description,Jäädyttää kaikki bloonit näytöllä hetkellisesti.
Absolute Zero Ability Description,"Kyky on niin kylmä, että se jäädyttää kaikki bloonityypit, mukaan lukien kylmälle immuunit ja MOAB-luokan."
Glue Strike Ability Description,Liimaa kaikki bloonit näytölle.
Glue Storm Ability Description,Liimamyrsky-kyky tykittää koko näytölle liimaa 10 sekunnin ajan.
Supply Drop Ability Description,Pudottaa rahaa täynnä olevan laatikon.
Elite Sniper Ability Description,Tarvikepudotus antaa paljon enemmän käteistä.
Elite Defender Ability Description,Menetetty elämä antaa tälle tarkka-ampujalle 2x hyökkäysnopeuden lyhyeksi ajaksi kostoa varten.
First Strike Capability Ability Description,"Lamaannuttava ohjusisku ruudun suurimmalle bloonille. Tuhoaa jopa ZOMG-bloonin kerralla, tai useampia pienempiä blooneja."
Pre-emptive Strike Ability Description,"Automaattisesti laukaisee ylimääräisen anti-MOAB-ohjuksen aina, kun MOAB-luokan blooni saapuu kenttään."
Monkey Pirates Ability Description,Tarttuu MOAB-luokan blooniin ja kiskoo sen alas.
Pirate Lord Ability Description,"Voi ampua 3 heittokoukkua kerralla ja ryöstää lisävaroja kultakin MOAB-luokan bloonilta, jonka ne kiskovat alas."
Ground Zero Ability Description,"Lisää pommipudotusten tehoa. Nollapiste-kyky: pudottaa valtavan pommin, joka tuhoaa useimmat asiat näytöllä."
Tsar Bomba Ability Description,"Erittäin, erittäin suuri pommi. Joku saisi pysäyttää tämän hulluuden!"
Support Chinook Redeploy Ability Description,Voi noutaa ja siirtää useimpia apinatyyppejä.
Support Chinook Supplies Ability Description,Pudottaa elämiä ja rahalaatikoita.
Special Poperations Ability Description,Ottaa käyttöön tehokkaan konekiväärillä varustetun apinarannikkojääkärin.
Pop and Awe Ability Description,Räjähdykset täyttävät koko ruudun poksauttaen ja pysäyttäen paikalleen kaikki bloonit muutaman sekunnin ajaksi.
Rocket Storm Ability Description,Lähettää voimakkaan rakettimyrskyn kaikkiin suuntiin.
Mauler Storm Ability Description,Kukin ohjus tekee äärimmäistä vahinkoa MOAB-luokan blooneille.
Summon Phoenix Ability Description,Voimakas feeniks tekee tuhojaan blooneille 20 sekunnin ajan.
Wizard Lord Phoenix Ability Description,"Velhoherrasta tulee tulen mestari, joka muuttuu hetkellisesti supertehokkaaksi laavafeenikseksi."
Soulbind Ability Description,Herätä entistä voimakkaampia bloonipalvelijoita henkiin tuhoamaan vihollisia.
Tech Terror Ability Description,Tuhoaa useimmat bloonit räjähdyksen alueelta tuusannuuskaksi.
The Anti-Bloon Ability Description,<Ohjelmadirektiivi> <Hävitä bloonit> <ALOITA>
Legend of the Night Ability Description,"Käännymme hänen puoleensa, kun kaikki toivo on menetetty..."
Bloon Sabotage Ability Description,Sabotaasin aikana kaikki bloonit liikkuvat hitaammin.
Grand Saboteur Ability Description,Kyky kestää pidempään ja MOAB-luokan bloonit syntyvät heikompina sabotaasin aikana.
Transforming Tonic Ability Description,Druidin lähellä olevat farmit ansaitsevat 50 % enemmän rahaa hetken aikaa.
IMF loan Ability Description,"Saat 10 000 $, mutta sinun täytyy maksaa se takaisin ajan mittaan."
Monkey-Nomics Ability Description,Kun olet liian suuri epäonnistumaan...
Overclock Ability Description,Kohdeapinasta tulee supertehokas lyhyeksi aikaa.
Spike Storm Ability Description,Ampuu paksun piikkimaton koko reitille.
Carpet of Spikes Ability Description,Asettaa piikkimaton koko reitille joka kierroksella.
Magic Arcanum Ability Description,"Luo voimakkaan apinan, jonka kyvyt perustuvat siihen, millaisia läheiset maagiset apinat ovat."
Call to Arms Ability Description,Antaa kaikille apinoille KAKSINKERTAISEN hyökkäysnopeuden ja poksautuksen 10 sekunnin ajaksi.
Homeland Defense Ability Description,Kyky vaikuttaa KAIKKIIN apinoihin ja kestää 15 sekunnin ajan.
,
//Maps,
TownCentre,Kaupungin keskusta
Tutorial,Apinaniitty
TreeStump,Kanto
InTheLoop,Silmukassa
BTD1,BTD1
Cubism,Kubismi
FourCircles,Neljä ympyrää
Cracked,Murtunut
Hedge,Pensasaita
Streambed,Joen uoma
MonkeysInSpace,Apinat avaruudessa
Underground,Maanalainen
AnotherBrick,Tiilimuuri
#ouch,#Auts
EndOfTheRoad,Tien pää
Chutes,Temppelikourut
Rake,Harava
OffTheCoast,Ulapalla
MuddyPuddles,Mutaiset lätäköt
ParkPath,Puistopolku
Logs,Tukit
TestMap,Testikartta
Cornfield,Maissipelto
SpiceIslands,Maustesaaret
FiringRange,Ampumarata
HighFinance,Finanssiala
Downstream,Alavirta
DarkCastle,Synkkä linna
FrozenOver,Jäätynyt
Haunted,Kummittelu
Quad,Nelikulmio
MoonLanding,Kuulaskeutuminen
AlpineRun,Alppikierros
Peninsula,Niemimaa
,
//Tower Groups,
Primary,Perus
Military,Sotilaallinen
Magic,Maaginen
Support,Tuki
Heroes,Sankarit
Powers,Voimat
,
//Misc,
Crit,Kriittinen
,
//Target Types,
TT_Close,Lähin
TT_First,Ensimmäinen
TT_Last,Viimeinen
TT_Strong,Voimakas
TT_Track,Normaali
TT_Circle,Ympyrä
TT_CloseTrack,Lähin
TT_CustomPath,Mukautettu polku
TT_Elite,Eliitti
TT_FarTrack,Kaukana
TT_FigureInfinite,Luku ääretön
TT_FigureEight,Luku kahdeksan
TT_FollowTouch,Seuraa kosketusta
TT_LockInPlace,Lukitse paikalleen
TT_NecromancerTarget,Manaajakohde
TT_OffsetTrack,Poikkeamajäljitys
TT_PatrolPoints,Partiointipisteet
TT_Pursuit,Jahti
TT_RandomPosition,Satunnainen sijainti
TT_RandomTarget,Satunnainen kohde
TT_SmartTrack,Älykäs
TT_Submerge,Sukella
TT_CloseSharedRange,Läheinen jaettu kantama
TT_ExpensiveFriendlyTarget,Kallis ystävällinen kohde
TT_FirstSharedRange,Ensimmäinen jaettu kantama
TT_FriendlyTarget,Ystävällinen kohde
TT_Grapplable,Tartuttava
TT_TargetIndependant,Kohde riippumaton
TT_TargetInFront,Kohde edessä
TT_LastSharedRange,Viimeinen jaettu kantama
TT_TargetMoab,Kohteena MOAB
TT_TargetOpposite,Kohteena vastakkainen
TT_TargetPointer,Kohteena kohdistin
TT_SetTarget,Aseta kohde
TT_StrongSharedRange,Voimakas jaettu kantama
TT_TargetTag,Kohdemerkintä
TT_TrackOrDefault,Reitti tai oletus
TT_Centered,Keskitetty polku
,
//Currency,
Cash,Käteinen
XP,XP
Monkey Money,Apinaraha
Free,Vapaa
,
Round,Kierros
Max Tier Reached,Maksimitaso saavutettu
Empty,Tyhjä
Not Upgraded,Ei päivitetty
Owned,Ostettu
Max Upgrades,Maksimipäivitykset
Deployed Message,{0} käytössä
,
//UI Misc,
OK,OK
Cancel,Peruuta
Start,Käynnistä
Return To Menu,Valikko
Freeplay,Vapaa peli
Continue,Jatka
Done,Valmis
Try Again,Yritä uudestaan
Continue?,Jatketaanko?
,
Rewards,PALKINNOT:
Change Hero,Vaihda sankaria
Select a Hero,Valitse sankari
Select a Map,Valitse kartta
Selected,Valittu
Select a Hero Subheading,"Sankarisi on voimakas apina, joka johtaa joukkosi taisteluun"
Select Language,Valitse kieli
Unlock All,AVAA KAIKKI
Upgrade Ingame cost,Hinta pelissä
Loading,Ladataan...
,
Defeat,Tappio
Defeat Message,Voit aina yrittää uudelleen helpommalla
Victory,Voitto
Victory Message,Pysäytit ilkeät bloonit
,
,
//ModeSelectScreen,
Select a Mode,Valitse tila
Mode Standard,Standardi
Mode MilitaryOnly,Vain sotilasvoimat
Mode Apopalypse,Täystuho
Mode Reverse,Käänteinen
Mode Sandbox,Hiekkalaatikko
Mode PrimaryOnly,Vain perus
Mode Deflation,Tyhjennys
Mode Half Cash,Puolet käteistä
Mode DailyChallenge,Päivittäinen haaste
,
//GameTypeScreen,
Choose a Game,Valitse peli
New Game,Uusi peli
Daily Challenge,Päivittäinen haaste
Co-op,Yhteistoiminta
Random,Satunnainen
,
//HomeScreen,
HS Monkeys,APINAT
HS Heroes,SANKARIT
HS Play,PELAA
HS Powers,VOIMAT
HS Knowledge,TIETÄMYS
,
//In game screens,
Upgrades,Päivitykset
Sell,Myy
Get More,Hanki lisää
,
// PauseMenu ,
Controls,Ohjaus
Drag & Drop,Vedä ja pudota
Lock & Drop,Pudota ja lukitse
Line of Sight,Näkölinja
Continuous Play,Jatkuva peli
Off,Pois päältä
Store,Kauppa
Home,Alkuruutu
Restart,Aloita alusta
You ran out of lives on:,Elämät loppuivat kierroksella:
Game Over Round,Kierros {0}
Victory Body,Onnittelut! Selvitit tämän radan vaikeustasolla: {0}
,
// LinK,
Log out,Kirjaudu ulos
Clear Data,Tyhjennä tiedot
Login,Kirjaudu sisään
Not logged into LiNK,Ei kirjauduttu LiNK-palveluun
Logged into LiNK as,Kirjauduttu LiNK-palveluun tunnuksella {0}
,
// Map Difficulty,
MD Beginner,Aloittelija
MD Intermediate,Keskitaso
MD Advanced,Edistynyt
MD Expert,Asiantuntija
MD Extreme,Äärimmäinen
,
//Tower Specific Messages,
Patrol Message,[I] asettaaksesi partiointipisteen
Sun Temple Title,Temppeliuhraus
Sun Temple Body,"Temppeli vaatii uhria. Kaikki läheiset tornit tuhotaan, mikä parantaa temppelin entisestään loistavaa voimaa eri tavoilla. Sinua on varoitettu..."
True Sun Temple Title,Temppeliuhraus
True Sun Temple Body,Haluatko kutsua koolle \nTODELLISEN AURINGONJUMALAN!!??
Heli Pilot Redeploy Message,Vedä ja pudota torni siirtääksesi sitä
Heli Pilot Redeploy Message Banned,Tätä tornia ei voi siirtää
Select a tower to Soulbind,Valitse torni Sielusidettä varten
Select Point,Valitse piste
Select a tower to link,Valitse linkitettävä torni
Cannot link to this tower,Ei voi linkittää tähän torniin
Tower is already linked,Torni on jo linkitetty
Tower must have an ability,Tornilla on oltava kelvollinen kyky
Unlink,Poista linkki
,
//Upgrades Screen,
Unlock Message,Avaa lukko:
XP To Spend,{0} XP:tä käytettävänä:
,
//Tower screen,
Unlock Hero,Avaa taso
Max Level Hero,Maksimitaso saavutettu!
,
//Hero Screen,
InGame Cost,Hinta pelissä: {0} $
,
//Knowledge Screen,
Knowledge Requirement,Vaatii ainakin {0} lisäpistettä investoituna kohdassa {1}
,
//Removables,
Removable Cost,Poista hintaan {0} $
,
// Powers Select Screen,
Select a Power,Valitse voima
Add For:,Osta:
,
// Achievements screen,
Achievements,Saavutukset
Rewards:,Palkinnot:
,
//Debug Options,
Set Health,Aseta terveys
Set Health Description,Syötä arvo asettaaksesi uuden terveysarvon
Set Cash,Aseta käteinen
Set Cash Description,Syötä arvo asettaaksesi uuden käteisarvon
,
//Difficulty,
Easy,Helppo
Medium,Keskitaso
Hard,Vaikea
Impoppable,Poksauttamaton
Sandbox,Hiekkalaatikko
Easy Description,"Helpolla apinat maksavat tavallista vähemmän, bloonit liikkuvat hieman hitaammin ja elämiä sinulla on 200. Kun voitat 40 kierrosta Helppo-vaikeudella, saat pronssimitalin kyseisestä kentästä."
Medium Description,"Keskitasolla apinat maksavat tavallisen määrän, bloonit liikkuvat normaalisti ja elämiä sinulla on 150. Kun voitat 60 kierrosta Keskitaso-vaikeudella, saat hopeamitalin kyseisestä kentästä."
Hard Description,"Vaikealla apinat maksavat tavallista enemmän, aloitat kierrokselta 3, bloonit liikkuvat hieman nopeammin ja elämiä sinulla on 100. Kun voitat 80 kierrosta Vaikea-vaikeustasolla, saat kultamitalin kyseisestä kentästä."
Impoppable Description,"Poksauttamattomalla apinat maksavat paljon tavallista enemmän, aloitat tasolta 6, bloonit liikkuvat nopeammin ja elämiä sinulla on vain 1. Kun voitat 100 kierrosta Poksauttamaton-vaikeustasolla, saat platinamitalin kyseisestä kentästä."
Sandbox Description,"Hiekkalaatikossa apinat maksavat normaalin määrän, bloonit liikkuvat normaalisti ja sinulla on rajoittamaton määrä elämiä ja käteistä."
,
,
,
,
,
//Popup Screens,
Unlock All Title,Avaa kaikki päivitykset
Unlock All Body,Avaa kaikki päivitykset {0} XP:llä.
Not Enough Cash Title,Ei riittävästi rahaa
Not Enough Cash Body,Poksauta lisää blooneja hankkiaksesi käteistä.
Not Enough XP Title,Ei riittävästi XP:tä
Not Enough XP Body,Tarvitset {0} XP:tä.\nTornit ansaitsevat XP:tä aina kun kierros läpäistään
Already Own Upgrade Title,Omistat jo päivityksen
Already Own Upgrade Body,Sinulla on jo tämä päivitys.
Locked Title,Päivitys lukittu
Locked Body,Sinun tulee hankkia aikaisempi päivitys ennen tätä.
Quit Title,Lopeta
Quit Body,Haluatko varmasti poistua opetuskartasta?
Continue Saved Game Title,Jatketaanko viimeistä tallennettua peliä?
Continue Saved Game Body,Haluatko jatkaa kierroksesta {0} kentässä {1} ja pelata tilaa {2} vaikeustasolla {3}?
Continue Saved Game Okay,Lataa tallennus
Continue Saved Game Cancel,Uusi peli
,
,
//Hero Messages,
Generic Hero Message,Tarvitsetko apua?
,
//Tutorial,
Welcome Title,Tervetuloa Bloons™ Tower Defense 6 -peliin
Welcome Title Partial,Tervetuloa:
Welcome Body,Eeppinen apinat vs. bloonit -seikkailu
Town Trouble Title,Tervetuloa Bloons™ Tower Defense 6 -peliin
Town Trouble Body,Bloonit ovat ottaneet kaupunkisi haltuunsa!
Town Trouble Button,Valtaa se
Bloon Entry,Estä blooneja pääsemästä läpi!
Bloon Outro,...ja yritä paeta täältä.
Place First Tower,Aloita asettamalla Tikka-apina.
Place Second Tower,Aseta toinen Tikka-apina. [I] sitten Pelaa.
Press Go,[I] nyt Aloita!
Finished Round One,Se oli helppoa vai mitä? [I] Pelaa aloittaaksesi seuraavan kierroksen
Earning Experience,Bloonien poksauttelu antaa apinoillesi kokemusta.
Unlocking Upgrades,Tikka-apinoillasi on riittävästi XP:tää päivityksen avaamiseksi
Upgrade Details,Kullakin apinatyypillä on 5 päivitystä 3 polussa. Avaa yksi niistä heti.
Upgrade Complete,Upeaa! Voit nyt päivittää olemassa olevat apinasi kyseisellä päivityksellä.
Select Monkey,"Olet avannut päivityksen, mutta se on vielä otettava käyttöön apinoilla pelissä. Napauta nyt apinaa."
Select Upgrade,Valitse nyt avattu päivitys ostaaksesi ja ottaaksesi sen käyttöön.
Hero Title,Sankarit!
Quincy Intro,Tarvitsetko apua?
Hero Info,"Quincy on apinasankari, joka päivittää itseään pelin aikana. Hän voi poksauttaa useita blooneja laukausta kohti."
Last Round,Yksi kierros jäljellä!
Next Map Title,Hyvää työtä!
Next Map Description,"Saimme ne vetäytymään, siirry seuraavaksi tuolle suurelle puulle!"
Next Map Button,Aloitetaan
Big Tree Title,Suuri puu
Big Tree Description,"Tämä puu estää näkymän apinoidesi näkymän, joten aseta ne huolellisesti. Osa apinoista voi ampua esteiden yli."
Big Tree Victory Title,Vielä viimeinen ponnistus...
Big Tree Victory Description,"Voitto on näkyvissä, jaksa vielä kaupungin keskustaan!"
Big Tree Victory Button,Aloitetaan
Town Centre Title,Kaupungin keskusta
Town Centre Description,Murskaa kaikki bloonit ja pelasta kaupunkisi.
Town Centre Victory Description,Selvisimme!
Home Description,Tervetuloa kotiin
Xp Reminder Title,Älä unohda!
Xp Reminder Description,Muista käyttää apinoidesi XP-pisteitä avataksesi lisää päivityksiä apinoillesi.
Lose Tutorial Title,Hupsis!
Lose Tutorial Description,Elämät loppuivat! Yritä uudelleen. Yritä asettaa useampia apinoita radan lähelle tai hanki lisää päivityksiä.
Select a Monkey,Valitse apina
Earning Experience Title,Päivitysten avaaminen
Unlocking Upgrades Title,Päivitysten avaaminen
Next,Seuraava
,
//Loading Messages,
Loading Message 0,Tutkitaan hieroglyfejä…
Loading Message 1,Koulutetaan apinoita...
Loading Message 2,Valmistellaan tikkoja…
Loading Message 3,Täytetään blooneja...
Loading Message 4,Kerätään banaaneja...
Loading Message 5,Pidetään taukoa...
Loading Message 6,Trimmataan puutarhoja...
Loading Message 7,Vapautetaan apina-Cthulhua...
Loading Message 8,Herätetään auringonjumalaa...
Loading Message 9,Kutsutaan sankareita...
Loading Message 10,Ladataan uutta sisältöä
Internet Connection Required Message,Internet-yhteys vaaditaan uuden pelisisällön lataamiseen. Tarkista yhteys. Yritetään uudelleen...
,
// Achievements,
Achievement 1 Name,Poksauttamaton
Achievement 1 Description,Poksauta {0} bloonia
Achievement 2 Name,MOAB-salamurhaaja
Achievement 2 Description,Tuhoa {0} MOAB-luokan bloonia
Achievement 3 Name,BFB-rähinöitsijä
Achievement 3 Description,Tuhoa {0} BFB-luokan bloonia
Achievement 4 Name,ZOMGinaattori
Achievement 4 Description,Tuhoa {0} ZOMG-luokan bloonia
Achievement 5 Name,DDT-tuhoaja
Achievement 5 Description,Tuhoa {0} DDT-luokan bloonia
Achievement 6 Name,Pioneeri
Achievement 6 Description,Poksauta {0} vahvistettua tai MOAB-luokan bloonia. Välittömät tapot ja vahvistuksen poisto hidastavat työtä.
Achievement 7 Name,Ensimmäinen voitto
Achievement 7 Description,{0} muu kuin aloittelijan opetuskartan voitto
Achievement 8 Name,Heinäsirkka
Achievement 8 Description,Voita {0} eri aloittelijakartalla
Achievement 9 Name,Seuraava taso
Achievement 9 Description,Voita {0} peli keskitason kartalla
Achievement 10 Name,Avustaja
Achievement 10 Description,Voita {0} eri keskitason kartalla
Achievement 11 Name,Edistynyt pelaaja
Achievement 11 Description,Voita {0} peli edistyneellä kartalla
