//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Clicca
Depleted Bloontonium Description,I colpi possono danneggiare bloon di tutti i tipi.
Laser Shock Description,I colpi con punta laser spingono i bloon a scoppiare di nuovo 1 secondo dopo che sono stati colpiti.
Laser Cannon Description,Spara rapidamente delle raffiche laser molto più potenti che possono far scoppiare i bloon congelati.
Hydra Rocket Pods Description,Spara missili di bloontonio impoverito che possono danneggiare tutti i tipi di bloon e innescare molteplici esplosioni.
Buckshot Description,Spara raffiche di letali pallettoni anziché freccette.
Plasma Accelerator Description,Concentra un potente raggio energetico in un unico punto.
Rocket Storm Description,Abilità Tempesta di missili: lancia una potente tempesta di missili in un ampio cono.
Bloon Area Denial System Description,Cannone automatico a 4 canne che può essere programmato per attaccare automaticamente.
Ray of Doom Description,Crea una solida linea di annientamento. Puoi eliminare i bloon a tuo piacimento.
M.A.D Description,Distruzione garantita MOAB. I mega missili con velocità di tiro ridotta infliggono danni molto gravi ai bloon di classe MOAB.
Bloon Exclusion Zone Description,Ora presenta 6 canne e infligge danni enormemente maggiori. I bloon verranno spazzati via dall'esistenza.
,
Guided Magic Description,"I colpi magici sono in grado di trovare i bloon, anche quelli nascosti."
Fireball Description,Lancia ogni pochi secondi una sfera di fuoco esplosiva.
Intense Magic Description,I colpi magici più potenti sono in grado di muoversi più rapidamente e di far scoppiare un maggior numero di bloon.
Arcane Blast Description,Raffiche magiche più potenti e dal raggio d'azione più ampio capaci di far scoppiare 2 strati di bloon.
Wall of Fire Description,Crea un muro di fuoco da un punto all'altro del tracciato capace di incenerire i bloon mentre passano.
Monkey Sense Description,Consente al mago di colpire i bloon mimetizzati.
Arcane Mastery Description,Attacchi più veloci con portata e danni aumentati e maggior numero di bloon distrutti.
Dragon's Breath Description,Sputa fiamme in direzione dei bloon e potenzia Palla di fuoco e Muro di fuoco.
Shimmer Description,Ottiene un attacco di magia nera che rivela periodicamente la posizione di tutti i bloon mimetizzati nelle vicinanze in modo permanente.
Arcane Spike Description,La magia a fuoco rapido infligge gravi danni alla maggior parte dei tipi di bloon.
Summon Phoenix Description,Abilità Evoca la fenice: la potente fenice sparge distruzione tra i bloon per 20 secondi.
Necromancer: Unpopped Army Description,Riporta in vita i bloon fatti scoppiare di recente per usarli come servi e distruggere altri bloon.
Archmage Description,Un vero maestro della magia.
Wizard Lord Phoenix Description,Il mago supremo diventa maestro della fiamma e si trasforma per un breve lasso di tempo in una super potente fenice di lava.
Soulbind Description,Riporta in vita bloon servi ancora più potenti per annientare il nemico.
,
Laser Blasts Description,Spara potenti raffiche laser anziché freccette.
Super Range Description,Alle Superscimmie serve una portata super.
Knockback Description,Dopo ogni colpo i bloon vengono spinti indietro o rallentati.
Plasma Blasts Description,Il plasma è in grado di vaporizzare tutto ciò con cui entra in contatto.
Epic Range Description,Perché accontentarsi di qualcosa di super quando può diventare EPICO?
Ultravision Description,Consente alla Superscimmia di sparare un po' più lontano e di vedere i bloon mimetizzati.
Sun Avatar Description,Attinge al potere presente nel nucleo del sole.
Robo Monkey Description,Metà Super scimmia e metà letale robot killer. Spara con due pistole contemporaneamente e può mettere a segno colpi critici!
Dark Knight Description,Le lame oscure aumentano lo spintone e la perforazione e infliggono danni extra ai bloon di classe MOAB. Ottiene l'abilità Trasformazione oscura per spostarsi in una posizione vicina.
Sun Temple Description,Il sacrificio delle torri potenzia e modifica gli attacchi del tempio.
Tech Terror Description,Abilità Annientamento: distrugge completamente e totalmente la maggior parte dei bloon nel raggio dell'esplosione.
Dark Champion Description,Le lame del campione oscuro sono l'ideale per perforare e distruggere tutti i tipi di bloon.
True Sun God Description,Tremate al cospetto dell'INCREDIBILE potere del VERO dio del sole!
The Anti-Bloon Description,<Direttiva programmazione> <Annientamento bloon> <AVVIARE>
Legend of the Night Description,"Quando ogni speranza è perduta, è a lui che ci rivolgiamo.."
,
Ninja Discipline Description,Aumenta la portata e la velocità di attacco.
Distraction Description,Alcuni bloon verranno distratti e inizieranno a fare retromarcia.
Seeking Shuriken Description,Gli shuriken saranno in grado di seguire e far scoppiare i bloon.
Sharp Shurikens Description,Ogni shuriken è in grado di far scoppiare 4 bloon.
Counter-Espionage Description,Gli attacchi ninja possono togliere la mimetizzazione ai bloon che danneggiano.
Caltrops Description,Lancia piedi di corvo acuminati sul tracciato vicino.
Double Shot Description,Lancia 2 shuriken alla volta.
Shinobi Tactics Description,Aumenta velocità d'attacco e penetrazione dei ninja vicini. Si accumula 20 volte.
Flash Bomb Description,A volte lancia una bomba luminosa che stordisce più bloon contemporaneamente.
Bloonjitsu Description,Lancia 5 shuriken alla volta.
Bloon Sabotage Description,Abilità Sabotaggio: per i 15 secondi della sua durata tutti i bloon si muovono a velocità dimezzata. 
Sticky Bomb Description,Lancia potenti cariche esplosive temporizzate contro i bloon classe MOAB.
Grandmaster Ninja Description,Lancia 8 shuriken per colpo e con velocità incredibile!
Grand Saboteur Description,L'abilità ha una durata superiore e durante il sabotaggio vengono generati bloon classe MOAB con meno PV.
Master Bomber Description,Una scimmia capace da sola di demolire i bloon classe MOAB.
,
Larger Potions Description,Le pozioni maxi hanno effetto su un'area più vasta.
Stronger Acid Description,Le pozioni acide dissolvono i bloon più rapidamente.
Acid Pool Description,"Se non vi sono bloon nelle vicinanze, l'alchimista può inondare il tracciato di acido."
Acidic Mixture Dip Description,Lancia una pozione di supporto alle scimmie vicine che consente loro di far scoppiare i bloon di piombo nonché di infliggere danni extra ai bloon di ceramica e di classe MOAB. Si esaurisce dopo numerosi attacchi.
Perishing Potions Description,Le pozioni di attacco infliggono più danni ai bloon classe MOAB e privano i bloon più piccoli della proprietà di fortificazione. Rafforza anche gli infusi e gli stimolanti.
Alchemist Faster Throwing Description,Lancia pozioni e attacca più velocemente.
Berserker Brew Description,L'infuso speciale conferisce alle scimmie la possibilità di provocare danno extra nonché portata e velocità d'attacco maggiori. Dura più a lungo.
Unstable Concoction Description,"Ricopre i bloon classe MOAB con una sostanza esplosiva che, al loro scoppio, provoca un'enorme esplosione."
Lead to Gold Description,"Converte i bloon di piombo in ORO! I solventi speciali infliggono danni extra ai bloon di piombo, distruggendoli in un colpo e generando contante."
Stronger Stimulant Description,L'Infuso del Berserker extra forte ha ancora più effetto sul bersaglio. Dura ancora più a lungo.
Transforming Tonic Description,Abilità Trasformazione: tramuta l'alchimista in un potente mostro per 20 secondi.
Rubber to Gold Description,Trasforma ogni bloon parzialmente in oro fornendo più contante per tutti i bloon scoppiati.
Permanent Brew Description,L'Infuso del Berserker diventa PERMANENTE sulle scimmie che lo bevono.
Total Transformation Description,Trasforma per 20 secondi 5 scimmie vicine in mostri aggressivi.
Bloon Master Alchemist Description,La pozione segreta del rimpicciolimento tramuta tutti i bloon sotto il suo effetto in bloon rossi.
,
Hard Thorns Description,Ogni spina coriacea è in grado di far scoppiare 2 bloon e ha effetto sui bloon di ogni tipo.
Thorn Swarm Description,Spara 8 spine anziché 5 per colpo.
Druidic Reach Description,Aumenta considerevolmente la portata.
Heart of Thunder Description,Rilascia a intervalli regolari scariche di fulmini biforcuti che spazzano via i bloon.
Heart of Oak Description,Gli attacchi trasformano i bloon rigeneranti in bloon normali.
Heart of Vengeance Description,Conferisce il 10% di velocità di attacco e l'1% per ogni vita persa dal valore iniziale al momento del potenziamento. Il massimo è al 100% e diminuisce se le vite vengono ripristinate.
Druid of the Storm Description,Raffiche di vento spazzano i bloon via dal tracciato e lontani dall'uscita.
Druid of the Jungle Description,"Evoca un rampicante che germoglia dal suolo e avvolge stritolandolo un bloon per volta, lasciandosi dietro una pila di spine letali."
Druid of Wrath Description,Conferisce velocità d'attacco durante il round fintantoché il druido continua ad attaccare bloon.
Ball Lightning Description,Crea potenti fulmini globulari dai quali scaturiscono fulmini aggiuntivi. 
Jungle's Bounty Description,"Abilità Dono della giungla: genera contante a ogni utilizzo, più contante extra per ciascun vivaio di banane accanto al druido. Può anche afferrare due bloon alla volta con i rampicanti."
Poplust Description,Potenzia la velocità d'attacco e la perforazione di tutti i druidi nel suo raggio d'azione. È cumulabile con un massimo di 5 volte su un singolo druido.
Superstorm Description,Super tempesta provoca danno grave a tutti i tipi di bloon e li allontana dall'uscita.
Spirit of the Forest Description,"Fa crescere rampicanti spinati lungo il percorso, che infliggono danni costanti e danni bonus ai bloon di ceramica. I rampicanti più vicini allo spirito della foresta infliggono più danni. L'abilità attivata genera vite e più contante."
Avatar of Wrath Description,Maggiore è il numero di bloon presente e più grave sarà il danno!
,
Increased Production Description,Genera 2 caschi di banane extra per round.
Long Life Bananas Description,Le banane durano 30 secondi anziché 15 prima di marcire.
EZ Collect Description,Il raggio di raccolta di Banane è più ampio e le banane non raccolte vengono raccolte automaticamente per la metà del valore. Le Banche scimmiesche si illumineranno quando saranno al completo e pronte per la raccolta.
Greater Production Description,Genera ALTRI 2 caschi di banane extra per round.
Valuable Bananas Description,Il valore delle banane in contante è maggiore del 25% per casco. 
Banana Salvage Description,"Le banane non raccolte vengono raccolte automaticamente per il loro valore quasi intero, e le Banche vengono raccolte automaticamente quando al completo. Il tasso di rivendita del vivaio aumenta del 10%"
Banana Plantation Description,Genera 16 caschi di banane per round.
Monkey Bank Description,In ogni round genera denaro e lo deposita in banca con un interesse del 15% per round.
Marketplace Description,In ogni round genera denaro che si aggiunge al tuo totale. Sul serio.
Banana Research Facility Description,In ogni round produce 5 grandi casse di banane del valore di 300 $ ciascuna.
IMF loan Description,Abilità Prestito del FSI: ottieni 10.000 $ che dovrai restituire col tempo.
Central Market Description,Fornisce un bel po' di denaro e le entrate dei mercantili superano il 10%.
Banana Central Description,Cerchi banane? Ce le abbiamo noi!
Monkey-Nomics Description,Per quando sei troppo grande per fallire….
Monkey Wall Street Description,Centro nevralgico dei commerci. Le sue entrate sono enormi e genera vite in ogni round.
,
Sentry Gun Description,Crea cannoni sentinella temporanei e schierali nelle vicinanze.
Larger Service Area Description,Spara più lontano e schiera sentinelle su un'area più vasta. Le sentinelle hanno una portata maggiore.
Oversize Nails Description,"L'enormizzazione permette ai chiodi di far esplodere 8 bloon in una volta, compresi quelli congelati. Aumenta anche l'efficacia di schiuma e sentinella."
Faster Engineering Description,"L'efficienza aumentata permette all'ingegnere di produrre sentinelle, schiuma e trappole per bloon più spesso."
Deconstruction Description,I colpi di sparachiodi e sentinella infliggono danni extra ai bloon di classe MOAB e a quelli fortificati.
Pin Description,Per un breve lasso di tempo consente di immobilizzare i bloon in una determinata posizione.
Sprockets Description,Aumenta la velocità di attacco di cannone sentinella e ingegnere.
Cleansing Foam Description,Spruzza una schiuma in grado di rimuovere mimetizzazione e rigenerazione e di far scoppiare i bloon di piombo.
Double Gun Description,Due pistole per raddoppiare il divertimento.
Sentry Expert Description,Le sentinelle vengono schierate con diversi tipi di danno in base alle tue esigenze.
Overclock Description,Abilità sovraccarico: bersaglia un'altra torre per sovralimentare la sua velocità d'attacco per un breve lasso di tempo.
Bloon Trap Description,La trappola per bloon cattura bloon fino a riempirsi. Seleziona per svuotarla in cambio di contante.
Sentry Paragon Description,Crea sentinelle super potenti ma molto instabili.
Ultraboost Description,Le scimmie ultra-sovraccaricate ottengono un potenziamento di lieve entità ma permanente ogni volta che vengono sovraccaricate.
XXXL Trap Description,Enormi trappole per bloon in grado di intrappolare al loro interno alcuni dei bloon più imponenti…
,
Bigger Stacks Description,Genera pile di aculei più grandi con ogni colpo.
Faster Production Description,Aumenta rapidamente il tasso di produzione.
Long Reach Description,"Aumenta la portata dei ritrovamenti di pile di aculei, inoltre le pile durano più a lungo."
White Hot Spikes Description,Sono in grado di perforare bloon di piombo e congelati.
Even Faster Production Description,Aumenta ancora di più il tasso di produzione.
Smart Spikes Description,Con la fabbrica di aculei si ottiene una speciale priorità nella mira e una produzione accelerata all'inizio di ogni round.
Spiked Balls Description,Produce sfere acuminate che provocano danno extra a bloon di ceramica e fortificati.
MOAB SHREDR Description,Lame super resistenti motorizzate tritura bloon classe MOAB
Long Life Spikes Description,Gli aculei durano più a lungo e rimangono attivi per un altro round.
Spiked Mines Description,Le mine acuminate esplodono violentemente quando perdono tutti gli aculei.
Spike Storm Description,Abilità Tempesta di aculei: cosparge l'intero tracciato di uno spesso strato di aculei.
Deadly Spikes Description,Aculei letali extra in grado di far scoppiare 2 strati di bloon con ogni aculeo e durano un altro round.
Super Mines Description,Crea gigantesche mine acuminate la cui esplosione è in grado di devastare ogni cosa.
Carpet of Spikes Description,Stende regolarmente un tappeto di aculei sull'intero tracciato.
Perma-Spike Description,Gli aculei a danni elevati diventano quasi permanenti.
,
Military Efficiency Description,Riduce l'impatto delle scimmie soldato nel suo raggio d'azione.
Magic Sciences Description,Le scimmie magiche nel suo raggio d'azione ottengono penetrazione e velocità d'attacco extra.
Private Tuition Description,A ogni round genera più PE per il tuo eroe.
Wider Influence Description,Conferisce all'accademia un raggio d'azione più ampio.
Academic Network Description,Aumenta il raggio d'azione dell'accademia per tutte le accademie con questo potenziamento.
Heroic Presence Description,Gli eroi ottengono il 15% in più di portata mentre sono nel raggio d'azione dell'accademia.
M.A.S.H Description,L'ospedale militare chirurgico delle scimmie conferisce vite extra per ogni bloon fatto scoppiare.
Wizards Library Description,"Maghi, druidi e alchimisti nel suo raggio d'azione sono in grado di apprendere abilità di livello 2 max in tutti e tre i percorsi di potenziamento."
Heroic Academy Description,Il tempo di ricarica delle abilità del tuo eroe subisce una riduzione.
Military Barracks Description,"Le scimmie soldato nel suo raggio d'azione ottengono maggiore portata e potenza perforatrice. Inoltre, esse possono essere vendute a un prezzo vantaggioso."
Magic Arcanum Description,Abilità Diplomato all'accademia: crea una potente scimmia le cui abilità si basano su quelle delle scimmie magiche vicine.
Power Hero Development (PhD) Description,In ogni round genera molti più PE per il tuo eroe.
Military HQ Description,"Le scimmie soldato, ovunque si trovino, ottengono portata, potenza perforatrice e bonus danno di gran lunga superiori."
Nexus Crucible Description,I diplomati all'accademia creati dall'abilità sono permanenti!
Dynamic Duo Description,Ti consente di ottenere un secondo eroe!
,
Bigger Radius Description,Aumenta il raggio d'azione del villaggio.
Grow Blocker Description,I bloon rigeneranti non funzionano quando si trovano nel raggio d'azione del villaggio.
Monkey Business Description,Offre uno sconto del 10% su tutte le scimmie e i potenziamenti di livello 3 o inferiore acquistati nel raggio d'azione del villaggio.
Jungle Drums Description,Aumenta la velocità d'attacco di tutte le scimmie nel suo raggio d'azione.
Radar Scanner Description,Consente a tutte le scimmie nel suo raggio d'azione di attaccare i bloon mimetizzati.
Monkey Commerce Description,Con questo potenziamento viene fornito un ulteriore sconto del 5% cumulabile con max altri 2 villaggi.
Primary Training Description,"Tutte le scimmie primarie nel suo raggio d'azione ottengono più portata, penetrazione e velocità dei proiettili."
Monkey Intelligence Bureau Description,L'Agenzia conferisce conoscenze speciali in materia di scoppio dei bloon rendendo le scimmie vicine capaci di far scoppiare bloon di tutti i tipi.
Monkey Town Description,Tutte le scimmie nel raggio d'azione della Città delle scimmie ottengono contante extra per ogni bloon scoppiato.
Primary Mentoring Description,"Tutte le scimmie primarie nel suo raggio d'azione ottengono gratuitamente potenziamenti di livello 1, portata aumentata e tempi di recupero delle abilità ridotti."
Call to Arms Description,Abilità Chiamata alle armi: conferisce alle scimmie vicine +50% velocità d'attacco e scoppi per un breve lasso di tempo.
Monkey City Description,"Aumenta il raggio d'azione e la generazione di contante al suo interno, e ti conferisce una scimmia a freccette gratis per ciascun round."
Primary Expertise Description,"Aggiunge l'attacco Mega ballista, e tutte le scimmie primarie nel raggio ottengono maggior potenza di scoppio, tempi di recupero delle abilità ulteriormente ridotti e aggiornamenti livello 1 e 2 gratis."
Homeland Defense Description,L'abilità ora aumenta la velocità d'attacco e lo scoppio del 100% per tutte le scimmie per 20 secondi.
Monkeyopolis Description,Assorbe tutti i vivai di banane vicini e le rispettive entrate lasciando spazio libero per nuove scimmie.
,
//Ability Names,
Super Monkey Fan Club Ability,Fan club della super scimmia
Plasma Monkey Fan Club Ability,Fan club della scimmia al plasma
Turbo Charge Ability,Carica turbo
Perma Charge Ability,Carica permanente
MOAB Assassin Ability,Assassinio MOAB
MOAB Eliminator Ability,Eliminazione MOAB
Blade Maelstrom Ability,Vortice di lame
Super Maelstrom Ability,Super vortice
Snowstorm Ability,Tempesta di neve
Absolute Zero Ability,Zero assoluto
Glue Strike Ability,Spargi colla
Glue Storm Ability,Tempesta di colla
Supply Drop Ability,Lancio scorte
Elite Sniper Ability,Rilascio scorte élite
Elite Defender Ability,Difensore élite
First Strike Capability Ability,Primo attacco
Pre-emptive Strike Ability,Attacco preventivo
Monkey Pirates Ability,Abbattimento MOAB
Pirate Lord Ability,Signore dei pirati
Ground Zero Ability,Punto di impatto
Tsar Bomba Ability,Bomba Zar
Support Chinook Redeploy Ability,Riposizionamento supporto Chinook
Support Chinook Supplies Ability,Rifornimenti supporto Chinook
Special Poperations Ability,Preparativi speciali
Pop and Awe Ability,Scoppia e terrorizza
Rocket Storm Ability,Tempesta di missili
Mauler Storm Ability,Tempesta demolitrice
Summon Phoenix Ability,Evoca la fenice
Wizard Lord Phoenix Ability,Mago supremo fenice
Soulbind Ability,Principe delle tenebre
Tech Terror Ability,Annientamento
The Anti-Bloon Ability,L'anti-bloon
Legend of the Night Ability,Leggenda della notte
Bloon Sabotage Ability,Sabotaggio
Grand Saboteur Ability,Gran sabotatore
Transforming Tonic Ability,Tonico mutaforma
IMF loan Ability,Prestito del FSI
Monkey-Nomics Ability,Scimmia-nomici
Overclock Ability,Sovraccarico
Spike Storm Ability,Tempesta di aculei
Carpet of Spikes Ability,Tappeto di aculei
Magic Arcanum Ability,Diplomato all'accademia
Call to Arms Ability,Chiamata alle armi
Homeland Defense Ability,Difesa nazionale
,
//Ability Descriptions,
Super Monkey Fan Club Ability Description,Trasforma max 10 scimmie lancia freccette vicine in Superscimmie per 10 secondi.
Plasma Monkey Fan Club Ability Description,L'appartenenza a questo club d'élite conferisce ancora più potere alle scimmie lancia freccette!
Turbo Charge Ability Description,Rende per 10 secondi l'attacco di questa scimmia incredibilmente rapido.
Perma Charge Ability Description,Consente a questa scimmia di provocare danno aggiuntivo per 15 secondi.
MOAB Assassin Ability Description,Un missile speciale si abbatte contro bloon classe MOAB provocando enormi danni.
MOAB Eliminator Ability Description,L'abilità Assassinio provoca danno 6 volte maggiore con minor tempo di ricarica.
Blade Maelstrom Ability Description,Ricopre l'area coinvolta con una tempesta di lame.
Super Maelstrom Ability Description,Abilità Vortice ancora più potente e di durata maggiore.
Snowstorm Ability Description,Congela per un breve lasso di tempo tutti i bloon sullo schermo.
Absolute Zero Ability Description,"Questa abilità ha effetto su tutti i tipi di bloon, inclusi quelli immuni al congelamento e quelli di classe MOAB."
Glue Strike Ability Description,Ricopre di colla tutti i bloon presenti sullo schermo.
Glue Storm Ability Description,L'abilità Tempesta di colla bombarda per 10 secondi l'intera schermata con la colla.
Supply Drop Ability Description,Rilascia una cassa piena di contante.
Elite Sniper Ability Description,Il rilascio scorte fornisce molto più contante.
Elite Defender Ability Description,"Per una vita perduta un cecchino riceve, in contraccambio, un attacco 2 volte più rapido per un breve lasso di tempo."
First Strike Capability Ability Description,Abilità: un devastante attacco missilistico contro i bloon più imponenti capace di distruggere bloon di tipo ZOMG in un colpo solo oppure molti bloon di categoria minore.
Pre-emptive Strike Ability Description,Attiva automaticamente un missile anti-MOAB extra ogniqualvolta compare un nuovo bloon classe MOAB dal varco di ingresso.
Monkey Pirates Ability Description,Afferra e abbatte un bloon classe MOAB.
Pirate Lord Ability Description,È in grado di lanciare 3 rampini alla volta e di ricavare contante extra da ogni bloon di classe MOAB catturato.
Ground Zero Ability Description,Aumenta l'efficacia dello sgancio di bombe. Abilità Punto d'impatto: rilascia un'enorme bomba che distrugge la maggior parte degli oggetti presenti sullo schermo.
Tsar Bomba Ability Description,"Una bomba molto, molto grande. Bisogna farla finita con queste esagerazioni!"
Support Chinook Redeploy Ability Description,Raccoglie e riposiziona scimmie di quasi tutti i tipi.
Support Chinook Supplies Ability Description,Rilascia vite e casse contenenti contante.
Special Poperations Ability Description,Mette in campo una potente scimmia marina speciale munita di mitragliatrice.
Pop and Awe Ability Description,Le esplosioni piovono su tutta la schermata facendo scoppiare e immobilizzando i bloon per pochi secondi.
Rocket Storm Ability Description,Invia una potente tempesta di missili in tutte le direzioni.
Mauler Storm Ability Description,Ogni missile provoca danno molto grave ai bloon classe MOAB.
Summon Phoenix Ability Description,La potente fenice sparge distruzione tra i bloon per 20 secondi.
Wizard Lord Phoenix Ability Description,Il mago supremo diventa maestro della fiamma e si trasforma per un breve lasso di tempo in una super potente fenice di lava.
Soulbind Ability Description,Riporta in vita bloon servi ancora più potenti per annientare il nemico.
Tech Terror Ability Description,Annienta la maggior parte dei bloon nel raggio dell'esplosione.
The Anti-Bloon Ability Description,<Direttiva programmazione> <Annientamento bloon> <AVVIARE>
Legend of the Night Ability Description,"Quando ogni speranza è perduta, è a lui che ci rivolgiamo.."
Bloon Sabotage Ability Description,Durante il sabotaggio tutti i bloon si muovono a velocità ridotta.
Grand Saboteur Ability Description,L'abilità ha una durata superiore e durante il sabotaggio vengono generati bloon classe MOAB con meno PV.
Transforming Tonic Ability Description,Per un breve lasso di tempo i vivai accanto ai druidi guadagnano il 50% in più di denaro.
IMF loan Ability Description,Ottieni 10.000 $ che dovrai restituire col tempo.
Monkey-Nomics Ability Description,Per quando sei troppo grande per fallire….
Overclock Ability Description,"Per un breve lasso di tempo, conferisce super poteri alla scimmia sotto il suo effetto."
Spike Storm Ability Description,Cosparge l'intero tracciato di uno spesso strato di aculei.
Carpet of Spikes Ability Description,In ogni round stende un tappeto di aculei sull'intero tracciato.
Magic Arcanum Ability Description,Crea una potente scimmia le cui abilità si basano su quelle delle scimmie magiche vicine.
Call to Arms Ability Description,RADDOPPIA la velocità d'attacco e la potenza perforatrice di tutte le scimmie per 10 secondi.
Homeland Defense Ability Description,Questa abilità ha effetto su TUTTE le scimmie e dura 15 secondi.
,
//Maps,
TownCentre,Centrocittà
Tutorial,Campo delle scimmie
TreeStump,Tronco d'albero
InTheLoop,Nel loop
BTD1,BTD1
Cubism,Cubismo
FourCircles,Quattro cerchi
Cracked,Spaccatura
Hedge,Siepe
Streambed,Fiume secco
MonkeysInSpace,Scimmie nello spazio
Underground,Underground
AnotherBrick,Un altro mattone
#ouch,#Ahia!
EndOfTheRoad,Fine della strada
Chutes,Paracadute
Rake,Rastrello
OffTheCoast,Al largo della costa
MuddyPuddles,Pozze fangose
ParkPath,Sentiero nel parco
Logs,Tronchi
TestMap,Mappa di prova
Cornfield,Campo di mais
SpiceIslands,Isole delle spezie
FiringRange,Poligono
HighFinance,Alta finanza
Downstream,A valle
DarkCastle,Castello oscuro
FrozenOver,Ghiacciato
Haunted,Possessione
Quad,Quadrangolo
MoonLanding,Allunaggio
AlpineRun,Corsa alpina
Peninsula,Penisola
,
//Tower Groups,
Primary,Primaria
Military,Soldato
Magic,Magica
Support,Supporto
Heroes,Eroi
Powers,Poteri
,
//Misc,
Crit,Critico
,
//Target Types,
TT_Close,Vicino
TT_First,Primo
TT_Last,Ultimo
TT_Strong,Forte
TT_Track,Normale
TT_Circle,Cerchio
TT_CloseTrack,Vicino
TT_CustomPath,Percorso personalizzato
TT_Elite,Élite
TT_FarTrack,Lontano
TT_FigureInfinite,Forma dell'infinito
TT_FigureEight,Forma dell'otto
TT_FollowTouch,Segui il tocco
TT_LockInPlace,Bloccalo al suo posto
TT_NecromancerTarget,Bersaglio del negromante
TT_OffsetTrack,Tracciato sbilanciato
TT_PatrolPoints,Punti di pattugliamento
TT_Pursuit,Insegui
TT_RandomPosition,Posizione casuale
TT_RandomTarget,Bersaglio casuale
TT_SmartTrack,Intelligente
TT_Submerge,Immersione
TT_CloseSharedRange,Portata condivisa ravvicinata
TT_ExpensiveFriendlyTarget,Bersaglio amico costoso
TT_FirstSharedRange,Portata condivisa primaria
TT_FriendlyTarget,Bersaglio amico
TT_Grapplable,Afferrabile
TT_TargetIndependant,Bersaglio indipendente
TT_TargetInFront,Bersaglio antistante
TT_LastSharedRange,Portata condivisa finale
TT_TargetMoab,Bersaglio MOAB
TT_TargetOpposite,Bersaglio opposto
TT_TargetPointer,Puntatore bersaglio
TT_SetTarget,Imposta bersaglio
TT_StrongSharedRange,Portata condivisa forte
TT_TargetTag,Etichetta bersaglio
TT_TrackOrDefault,Tracciato o predefinito
TT_Centered,Sentiero centrato
,
//Currency,
Cash,Contante
XP,XP
Monkey Money,Denaro
Free,Gratis
,
Round,Round
Max Tier Reached,Livello massimo raggiunto
Empty,Vuoto
Not Upgraded,Non potenziato
Owned,Già in possesso
Max Upgrades,Livello massimo\npotenziamento\nraggiunto
Deployed Message,{0} schierati
,
//UI Misc,
OK,OK
Cancel,Annulla
Start,Inizia
Return To Menu,Menu
Freeplay,GIOCO LIBERO
Continue,Continua
Done,Fatto
Try Again,Riprova
Continue?,Continua?
,
Rewards,RICOMPENSE:
Change Hero,Cambia eroe
Select a Hero,Seleziona un eroe
Select a Map,Seleziona una mappa
Selected,Selezionata
Select a Hero Subheading,Il tuo eroe è una potente scimmia che guida le tue truppe in battaglia
Select Language,Seleziona lingua
Unlock All,SBLOCCA TUTTO
Upgrade Ingame cost,Prezzo in valuta del gioco
Loading,Caricamento in corso…
,
Defeat,Hai perso
Defeat Message,Magari la prossima volta riprova con un livello di difficoltà inferiore
Victory,Vittoria
Victory Message,Hai fermato quei terribili bloon
,
,
//ModeSelectScreen,
Select a Mode,Seleziona una modalità
Mode Standard,Standard
Mode MilitaryOnly,Solo esercito
Mode Apopalypse,Apocalisse
Mode Reverse,Retromarcia
Mode Sandbox,Sabbionaia
Mode PrimaryOnly,Solo primaria
Mode Deflation,Sgonfiamento
Mode Half Cash,Contante dimezzato
Mode DailyChallenge,Sfida giornaliera
,
//GameTypeScreen,
Choose a Game,Scegli una partita
New Game,Nuova partita
Daily Challenge,Sfida giornaliera
Co-op,Cooperativa
Random,Casuale
,
//HomeScreen,
HS Monkeys,SCIMMIE
HS Heroes,EROI
HS Play,GIOCA
HS Powers,POTERI
HS Knowledge,SAPIENZA
,
//In game screens,
Upgrades,Potenziamenti
Sell,Vendi
Get More,Ottieni altro
,
// PauseMenu ,
Controls,Comandi
Drag & Drop,Trascina
Lock & Drop,Rilascia e blocca
Line of Sight,Visuale
Continuous Play,Gioco ininterrotto
Off,Disattivato
Store,Negozio
Home,Pagina iniziale
Restart,Riavvia
You ran out of lives on:,Vite esaurite in:
Game Over Round,Round {0}
Victory Body,Congratulazioni! Hai completato questo tracciato su: {0}
,
// LinK,
Log out,Esci
Clear Data,Cancella dati
Login,Accedi
Not logged into LiNK,Accesso a LiNK non eseguito
Logged into LiNK as,Accesso a LiNK eseguito come {0}
,
// Map Difficulty,
MD Beginner,Principiante
MD Intermediate,Intermedio
MD Advanced,Avanzato
MD Expert,Esperto
MD Extreme,Estremo
,
//Tower Specific Messages,
Patrol Message,[I] per impostare il punto di pattugliamento
Sun Temple Title,Tempio del sacrificio
Sun Temple Body,Il tempio esige un sacrificio. Tutte le torri nei paraggi saranno distrutte accrescendo in modi diversi l'incredibile potere del tempio. Sei stato avvisato…
True Sun Temple Title,Tempio del sacrificio
True Sun Temple Body,Desideri evocare il \NVERO DIO DEL SOLE?
Heli Pilot Redeploy Message,Trascina e rilascia una torre da riposizionare
Heli Pilot Redeploy Message Banned,Impossibile riposizionare questa torre
Select a tower to Soulbind,Seleziona una torre per effettuare un legame animico
Select Point,Seleziona punto
Select a tower to link,Seleziona una torre da collegare
Cannot link to this tower,Impossibile collegare questa torre
Tower is already linked,Questa torre è già collegata
Tower must have an ability,La torre deve possedere un'abilità valida
Unlink,Scollega
,
//Upgrades Screen,
Unlock Message,Sblocca per:
XP To Spend,{0} PE da spendere:
,
//Tower screen,
